DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,2650.6,2714.45,2637.0,2686.45,38641,53.94
2025-04-15,2720.0,2752.1,2688.0,2709.5,13868,51.64
2025-04-16,2700.0,2723.0,2637.0,2654.2,13023,51.49
2025-04-17,2656.5,2685.4,2612.2,2631.3,13012,48.91
2025-04-21,2631.0,2676.9,2604.3,2664.2,35427,68.78
2025-04-22,2687.0,2700.0,2642.8,2674.5,13812,55.55
2025-04-23,2680.0,2691.8,2621.0,2660.7,12912,51.41
2025-04-24,2669.0,2708.0,2648.1,2700.0,17453,62.7
2025-04-25,2700.0,2700.8,2635.8,2678.9,20444,63.88
2025-04-28,2675.0,2708.4,2637.1,2689.1,15000,51.17
2025-04-29,2712.0,2725.0,2663.0,2704.8,7659,48.03
2025-04-30,2682.0,2706.0,2646.1,2684.4,37018,71.2
2025-05-02,2661.5,2775.9,2615.4,2624.9,22734,40.72
2025-05-05,2614.9,2638.2,2562.0,2600.4,19754,53.66
2025-05-06,2600.4,2631.5,2561.3,2572.4,7974,38.5
2025-05-07,2540.0,2637.0,2527.3,2621.4,15584,64.92
2025-05-08,2619.2,2662.0,2585.0,2619.6,9548,50.99
2025-05-09,2619.6,2630.0,2528.0,2606.9,8142,42.82
2025-05-12,2636.0,2693.5,2636.0,2687.2,9905,58.7
2025-05-13,2710.0,2748.3,2678.4,2717.3,8945,49.45
2025-05-14,2690.1,2789.0,2690.1,2752.6,16207,53.96
2025-05-15,2778.5,2813.0,2742.5,2788.2,10332,42.96
2025-05-16,2792.0,2923.0,2775.1,2838.4,20639,37.06
2025-05-19,2873.0,2936.2,2786.8,2846.8,28075,44.87
2025-05-20,2888.5,2895.0,2827.3,2848.2,14222,52.04
2025-05-21,2848.0,2901.7,2835.9,2892.2,17189,48.32
2025-05-22,2890.0,2911.9,2848.0,2885.1,11580,60.74
2025-05-23,2850.0,2902.0,2842.9,2877.2,13140,61.0
2025-05-26,2896.9,2950.0,2838.9,2937.1,62187,88.54
2025-05-27,2947.0,2968.5,2886.2,2907.9,12174,51.65
2025-05-28,2929.0,2929.0,2864.6,2880.3,26304,52.94
2025-05-29,2880.0,2945.0,2824.5,2856.9,24301,49.5
2025-05-30,2850.0,2860.0,2791.0,2839.0,28854,57.3
2025-06-02,2801.7,2827.2,2730.0,2809.7,41859,70.67
2025-06-03,2822.0,2849.0,2760.0,2790.8,26602,71.57
2025-06-04,2815.0,2873.9,2785.0,2842.9,10252,59.5
2025-06-05,2842.9,2861.5,2806.1,2819.4,8202,47.72
2025-06-06,2843.5,2889.8,2803.6,2860.4,11571,40.03
2025-06-09,2885.0,2919.0,2852.2,2904.7,12361,53.14
2025-06-10,2928.8,2929.0,2876.8,2920.7,15329,70.34
2025-06-11,2930.0,2950.0,2892.6,2912.7,9547,48.47
2025-06-12,2936.0,2938.0,2880.0,2891.8,113611,93.82
2025-06-13,2880.0,2900.5,2825.7,2888.6,9451,36.77
2025-06-16,2862.0,2888.6,2815.6,2870.0,16567,55.91
2025-06-17,2894.5,2894.5,2839.8,2850.5,12043,55.09
2025-06-18,2832.2,2880.0,2800.6,2849.3,17070,71.78
2025-06-19,2849.3,2857.0,2811.0,2832.4,10541,68.5
2025-06-20,2832.3,2900.0,2794.1,2834.0,276354,92.95
2025-06-23,2825.0,2841.9,2801.0,2812.4,7412,51.27
2025-06-24,2812.4,2836.5,2750.0,2765.5,17821,49.99
2025-06-25,2770.2,2847.3,2766.1,2809.8,10288,46.94
2025-06-26,2809.8,2840.0,2800.0,2820.4,9726,48.9
2025-06-27,2844.5,2855.0,2820.4,2847.9,10585,61.23
2025-06-30,2864.0,2940.9,2851.8,2930.8,22038,56.27
2025-07-01,2950.0,2957.8,2875.0,2892.8,13435,52.91
2025-07-02,2890.0,2917.5,2854.0,2896.9,16401,49.34
2025-07-03,2898.0,2912.0,2856.0,2864.6,223511,94.99
2025-07-04,2885.0,2924.0,2840.0,2864.1,26232,66.27
2025-07-07,2874.9,3033.7,2830.0,3006.7,392568,76.91
2025-07-08,3006.9,3050.0,2860.0,2932.7,89499,26.87
2025-07-09,2924.1,2924.1,2845.2,2882.0,498524,91.91
2025-07-10,2857.0,2945.0,2857.0,2906.8,21415,30.82
2025-07-11,2920.0,2936.9,2870.2,2903.0,23227,25.23
2025-07-14,2893.5,2901.0,2855.6,2873.9,14013,29.99
2025-07-15,2898.5,2907.8,2816.1,2884.3,24596,34.53
2025-07-16,2900.0,2900.0,2826.0,2832.8,15230,49.37
2025-07-17,2835.0,2869.0,2831.6,2861.5,9725,50.63
2025-07-18,2867.1,2867.1,2802.0,2810.9,11811,57.89
2025-07-21,2810.9,2865.0,2773.1,2819.5,24652,40.6
2025-07-22,2820.0,2843.5,2795.0,2798.9,7184,53.59
2025-07-23,2802.0,2802.1,2773.9,2784.1,17021,70.47
2025-07-24,2784.1,2815.8,2782.5,2798.4,12623,65.03
2025-07-25,2798.4,2800.0,2702.4,2709.5,17978,59.73
2025-07-28,2709.5,2730.0,2652.8,2667.0,12208,46.09
2025-07-29,2660.2,2680.0,2625.0,2657.5,8697,52.58
2025-07-30,2665.5,2730.0,2665.5,2687.8,10810,46.95
2025-07-31,2680.0,2708.9,2631.0,2648.7,9165,52.53
2025-08-01,2625.1,2699.9,2572.0,2580.6,39856,22.78
2025-08-04,2579.0,2580.2,2501.0,2506.2,15752,46.89
2025-08-05,2502.1,2527.5,2441.0,2460.8,17644,52.35
2025-08-06,2470.0,2483.5,2342.0,2351.6,28938,59.73
2025-08-07,2351.7,2389.5,2256.0,2329.6,31893,42.86
2025-08-08,2311.0,2354.7,2309.9,2328.4,14951,45.31
2025-08-11,2350.0,2350.0,2299.1,2323.4,14291,42.89
2025-08-12,2344.0,2364.5,2319.9,2335.6,10904,41.83
2025-08-13,2355.5,2394.0,2325.1,2352.2,13529,45.09
2025-08-14,2374.0,2385.0,2334.0,2343.0,5975,52.25
2025-08-18,2363.0,2387.1,2341.0,2374.3,8138,48.22
2025-08-19,2380.0,2442.9,2364.7,2420.4,15035,53.21
2025-08-20,2435.0,2440.0,2390.1,2395.8,7749,60.06
2025-08-21,2400.0,2454.7,2376.1,2445.1,20328,56.6
2025-08-22,2445.1,2449.9,2372.5,2420.2,14190,51.66
2025-08-25,2441.0,2460.0,2420.1,2449.2,12301,57.02
2025-08-26,2442.0,2456.9,2380.0,2393.2,22402,66.87
2025-08-28,2413.5,2413.5,2346.1,2378.8,12586,66.86
2025-08-29,2381.0,2450.0,2345.0,2392.1,80686,84.61
2025-09-01,2392.1,2421.8,2370.0,2400.5,11700,41.79
2025-09-02,2400.0,2409.9,2346.2,2381.6,23860,56.45
2025-09-03,2381.6,2420.0,2363.2,2400.8,19072,61.0
2025-09-04,2400.8,2434.5,2399.3,2412.8,11955,56.52
2025-09-05,2433.5,2433.5,2376.2,2402.6,10890,60.04
2025-09-08,2425.0,2425.0,2358.0,2374.5,21814,45.07
2025-09-09,2376.0,2412.0,2342.2,2359.1,68574,86.82
2025-09-10,2370.7,2400.5,2350.0,2361.3,39415,81.1
2025-09-11,2381.5,2389.5,2362.1,2376.0,24130,79.12
2025-09-12,2383.1,2394.0,2370.0,2376.4,8928,54.97
2025-09-15,2396.5,2413.8,2375.0,2406.6,10614,53.08
2025-09-16,2417.4,2435.2,2388.2,2422.4,59546,69.53
2025-09-17,2418.0,2433.5,2392.6,2408.0,33230,76.16
2025-09-18,2425.5,2494.0,2401.4,2480.3,33239,50.99
2025-09-19,2495.0,2495.0,2391.2,2413.4,69051,54.51
2025-09-22,2413.5,2445.5,2400.0,2415.4,41144,76.36
2025-09-23,2425.0,2489.0,2381.1,2450.1,35086,44.53
2025-09-24,2449.0,2497.9,2423.2,2458.2,19447,40.28
2025-09-25,2451.0,2507.0,2445.8,2499.7,49978,62.78
2025-09-26,2499.6,2499.6,2390.5,2413.8,36491,44.25
2025-09-29,2413.8,2430.0,2390.0,2411.2,10915,53.63
2025-09-30,2432.0,2432.0,2386.7,2410.5,12063,57.55
2025-10-01,2404.0,2430.0,2387.2,2414.4,11424,45.43
2025-10-03,2414.4,2429.1,2391.0,2415.2,16182,44.27
2025-10-06,2415.2,2427.2,2360.0,2376.3,25402,63.66
2025-10-07,2376.3,2415.0,2374.0,2402.0,16170,55.3
2025-10-08,2402.0,2402.0,2332.2,2339.0,17940,58.89
2025-10-09,2339.0,2359.0,2329.0,2340.1,9392,58.68
2025-10-10,2340.1,2348.0,2323.0,2340.8,9561,56.57
2025-10-13,2335.0,2335.9,2302.1,2319.9,9273,55.26
2025-10-14,2325.0,2330.6,2298.0,2319.0,9306,49.94
2025-10-15,2327.0,2327.2,2270.0,2303.6,29619,63.62
2025-10-16,2317.0,2350.0,2295.3,2314.5,13964,54.69
2025-10-17,2310.0,2444.0,2295.1,2386.0,27343,55.8
2025-10-20,2399.0,2399.0,2309.0,2317.8,34588,53.74
2025-10-21,2319.9,2370.0,2317.6,2357.9,3907,57.05
2025-10-22,2319.9,2370.0,2317.6,2357.9,3907,57.05
2025-10-23,2354.0,2448.0,2317.1,2419.8,35494,53.27
2025-10-24,2427.0,2480.0,2404.6,2442.8,76156,81.24
2025-10-27,2449.2,2771.9,2433.5,2567.9,858085,16.49
2025-10-28,2548.0,2548.0,2471.3,2488.2,60645,27.77
2025-10-29,2500.0,2502.3,2425.0,2431.5,34566,59.21
2025-10-30,2431.5,2466.1,2402.2,2417.2,114665,84.79
2025-10-31,2411.0,2470.7,2400.0,2424.8,19812,36.46
2025-11-03,2422.0,2489.6,2406.7,2482.1,17081,55.68
2025-11-04,2465.0,2500.0,2434.5,2447.4,20269,48.05
2025-11-05,2465.0,2500.0,2434.5,2447.4,20269,48.05
2025-11-06,2447.0,2447.0,2406.2,2419.9,11522,52.69
2025-11-07,2424.0,2440.0,2370.0,2409.5,46130,82.39
2025-11-10,2470.0,2490.0,2410.1,2432.2,71530,51.49
2025-11-11,2434.8,2473.4,2418.0,2456.2,14416,44.73
2025-11-12,2456.2,2491.1,2450.7,2461.2,11381,47.32
2025-11-13,2482.0,2485.0,2449.7,2470.0,12455,46.92
