DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-07-15,840.0,844.0,803.0,810.5,388929,77.0
2025-07-16,811.7,819.8,784.0,800.5,413488,68.38
2025-07-17,805.0,834.4,797.8,809.5,369100,54.72
2025-07-18,817.0,830.0,802.2,815.5,245041,51.88
2025-07-21,812.0,817.9,786.2,789.0,225298,68.86
2025-07-22,788.4,788.5,754.0,757.4,291995,60.4
2025-07-23,758.0,779.7,754.1,768.8,307479,68.16
2025-07-24,765.9,776.4,745.6,748.5,272192,61.34
2025-07-25,747.2,749.0,703.0,714.6,391529,64.41
2025-07-28,718.0,722.6,689.4,702.0,335839,59.74
2025-07-29,693.0,712.5,684.3,705.7,194706,52.33
2025-07-30,705.0,731.7,702.6,718.3,251316,49.7
2025-07-31,704.0,710.9,686.0,689.6,326755,58.32
2025-08-01,694.6,698.0,672.0,675.35,195405,63.06
2025-08-04,683.5,703.45,666.0,694.75,274939,57.06
2025-08-05,703.95,729.0,686.7,724.65,393046,46.56
2025-08-06,725.0,726.0,660.0,665.1,737804,40.0
2025-08-07,664.0,664.9,636.7,644.45,260204,49.85
2025-08-08,644.95,658.0,641.1,644.6,151049,36.2
2025-08-11,644.9,652.0,619.2,635.35,718731,60.21
2025-08-12,640.0,694.95,638.0,681.1,1449004,33.94
2025-08-13,690.0,696.3,666.15,671.45,298350,57.57
2025-08-14,678.0,678.0,644.0,647.0,175609,58.89
2025-08-18,665.95,665.95,636.0,639.65,184350,48.99
2025-08-19,640.0,658.8,637.05,651.05,298578,47.6
2025-08-20,653.0,686.5,650.1,653.75,513568,44.4
2025-08-21,653.95,661.65,644.2,648.25,229621,60.62
2025-08-22,650.0,655.1,636.3,638.0,166655,74.89
2025-08-25,635.15,650.0,633.0,636.4,119773,49.76
2025-08-26,636.45,639.3,620.1,622.65,159681,64.33
2025-08-28,622.95,635.45,612.8,620.2,117188,47.65
2025-08-29,620.5,625.7,603.85,606.65,158193,57.71
2025-09-01,607.0,638.0,606.0,618.65,253445,56.89
2025-09-02,621.95,638.9,616.95,625.8,133189,43.95
2025-09-03,625.2,628.8,611.75,617.85,278152,54.85
2025-09-04,625.0,632.5,604.0,606.6,170478,66.67
2025-09-05,609.45,618.1,602.05,614.35,150188,53.82
2025-09-08,620.0,641.4,611.0,620.65,574922,69.04
2025-09-09,629.65,649.75,622.95,645.35,309621,48.41
2025-09-10,647.0,653.1,635.0,636.65,193406,51.42
2025-09-11,636.65,641.8,614.7,617.15,212713,47.73
2025-09-12,620.95,627.25,613.6,614.85,144153,51.86
2025-09-15,615.9,630.4,612.5,628.3,132262,47.66
2025-09-16,628.3,635.0,625.05,628.9,79052,53.09
2025-09-17,631.0,648.4,630.25,640.2,213264,53.9
2025-09-18,645.0,652.0,633.25,642.35,335540,64.95
2025-09-19,642.35,667.5,640.3,664.65,503393,68.69
2025-09-22,665.0,697.8,661.05,672.3,752090,54.36
2025-09-23,679.15,679.15,643.75,648.6,189257,51.1
2025-09-24,645.1,646.9,626.5,631.1,198327,50.23
2025-09-25,625.0,639.0,622.4,631.0,85249,41.23
