DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-28,172.0,182.0,172.0,179.98,20137,67.59
2025-04-29,182.85,188.4,176.0,178.01,13633,54.24
2025-04-30,180.0,180.0,172.05,174.23,5882,53.04
2025-05-02,174.16,176.41,170.11,171.94,9488,78.97
2025-05-05,176.21,179.39,167.04,171.46,20331,53.14
2025-05-06,171.5,173.11,160.0,161.04,26581,67.25
2025-05-07,158.2,164.94,157.6,163.18,11428,45.96
2025-05-08,159.99,167.79,159.99,163.14,5082,62.04
2025-05-09,155.8,167.0,155.8,161.31,7807,39.05
2025-05-12,161.31,174.0,161.31,171.0,11312,63.41
2025-05-13,171.0,173.49,167.26,169.91,3644,52.99
2025-05-14,172.58,178.0,170.0,173.25,21410,49.29
2025-05-15,178.99,207.9,174.73,207.9,234115,29.78
2025-05-16,224.7,237.81,220.0,220.4,408849,25.69
2025-05-19,216.0,219.5,207.1,208.53,32600,57.32
2025-05-20,208.0,208.0,197.01,198.6,33391,59.57
2025-05-21,199.9,211.0,199.9,203.92,40798,51.42
2025-05-22,204.49,213.5,201.64,205.08,25131,58.47
2025-05-23,202.25,207.06,201.0,203.65,15377,68.43
2025-05-26,204.99,212.89,200.36,207.92,20529,70.69
2025-05-27,209.5,213.4,204.06,206.76,28557,63.48
2025-05-28,206.0,208.57,200.55,201.07,17153,69.5
2025-05-29,199.09,205.31,195.01,195.95,18185,70.91
2025-05-30,199.88,199.88,187.81,195.32,16898,61.87
2025-06-02,194.0,197.38,187.05,192.1,24308,44.39
2025-06-03,195.44,195.44,185.12,186.13,11558,58.61
2025-06-04,189.46,189.46,176.72,179.34,39040,55.63
2025-06-05,179.0,184.79,178.01,180.94,15038,56.18
2025-06-06,180.25,199.0,180.0,192.16,24839,60.67
2025-06-09,196.96,199.8,189.0,190.68,19718,66.62
2025-06-10,194.0,194.46,187.21,189.67,6463,67.54
2025-06-11,190.0,192.41,187.41,190.16,8451,63.5
2025-06-12,193.3,195.13,185.0,188.27,16790,55.41
2025-06-13,187.03,187.5,183.31,185.93,8135,52.51
2025-06-16,184.89,185.99,181.22,182.64,142098,97.73
2025-06-17,182.64,191.34,181.0,181.97,6261,44.23
2025-06-18,182.33,186.34,180.0,180.98,8297,61.85
2025-06-19,185.5,185.5,175.9,177.07,14651,55.15
2025-06-20,178.41,182.0,176.49,177.97,8338,49.84
