DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-09-26,21.25,22.39,20.32,21.29,2487834,14.5
2025-09-29,22.1,22.25,21.25,21.4,1481639,16.04
2025-09-30,21.39,22.0,21.18,21.53,1398277,10.18
2025-10-01,21.4,22.25,21.4,22.1,861885,45.71
2025-10-03,22.25,22.4,21.7,21.74,556863,22.24
2025-10-06,21.74,22.3,21.5,22.05,708657,30.15
2025-10-07,22.0,22.12,21.5,21.61,421081,31.23
2025-10-08,21.95,21.95,21.35,21.46,562410,39.93
2025-10-09,21.89,21.89,21.25,21.44,2227788,62.81
2025-10-10,21.47,22.39,21.41,21.88,956218,37.44
2025-10-13,21.65,22.5,21.6,22.12,765036,42.34
2025-10-14,22.0,22.55,21.74,21.88,685761,45.05
2025-10-15,21.76,22.25,21.7,21.92,415673,45.12
2025-10-16,22.0,22.74,21.8,22.07,973170,39.6
2025-10-17,22.0,22.12,21.8,21.85,350865,35.87
2025-10-20,21.76,22.24,21.4,21.64,419662,24.29
2025-10-21,21.76,23.0,21.76,22.12,629992,21.64
2025-10-22,21.76,23.0,21.76,22.12,629992,21.64
2025-10-23,22.05,22.38,21.8,21.97,806038,34.29
2025-10-24,21.97,22.34,21.97,22.02,416523,19.0
2025-10-27,21.96,22.89,21.96,22.25,1318794,36.42
2025-10-28,22.15,22.48,22.0,22.11,417400,31.05
2025-10-29,22.15,23.15,22.02,22.94,1365773,27.97
2025-10-30,23.12,23.43,22.7,22.83,2870388,53.5
2025-10-31,22.99,23.7,22.81,23.31,744907,40.26
2025-11-03,23.3,23.98,23.2,23.46,916828,37.59
2025-11-04,23.7,23.93,23.2,23.32,558582,37.51
2025-11-05,23.7,23.93,23.2,23.32,558582,37.51
2025-11-06,23.33,23.68,23.0,23.05,693983,49.91
2025-11-07,23.0,23.24,22.85,23.11,468769,51.99
2025-11-10,23.11,23.75,22.55,22.7,825503,57.66
2025-11-11,23.5,24.95,21.01,21.79,24360032,15.26
2025-11-12,22.0,23.5,22.0,23.2,5930926,19.19
2025-11-13,23.49,23.94,23.0,23.82,4483776,15.82
2025-11-14,23.25,24.86,23.25,24.81,7781268,33.29
2025-11-17,24.75,25.25,23.93,25.05,10004524,23.95
2025-11-18,24.95,25.3,22.5,22.78,6791850,32.43
2025-11-19,22.75,23.69,22.7,23.09,5038128,13.92
2025-11-20,23.32,23.7,22.8,23.05,3334201,12.46
2025-11-21,23.0,23.79,22.93,22.97,1900597,16.1
2025-11-24,23.01,23.44,22.9,23.01,1239751,16.87
2025-11-25,23.01,23.4,22.23,22.46,2862590,13.71
2025-11-26,22.65,23.17,22.36,23.08,3889559,44.36
2025-11-27,23.27,23.28,22.0,22.76,4352259,21.52
2025-11-28,23.1,23.1,22.55,22.61,600487,36.71
2025-12-01,22.6,23.16,22.58,23.14,1697056,32.17
2025-12-02,23.14,24.25,23.0,23.21,9367408,19.88
2025-12-03,23.24,23.87,23.06,23.39,2334163,21.14
2025-12-04,23.39,24.3,23.39,24.19,4487197,61.17
2025-12-05,24.25,24.7,23.94,24.01,6590654,21.08
2025-12-08,24.01,25.09,23.5,23.55,1190010,35.85
2025-12-09,23.48,24.39,23.48,23.99,3724890,30.3
2025-12-10,23.96,24.75,23.96,24.43,1531536,40.05
2025-12-11,24.53,25.35,24.38,24.81,3133518,45.43
2025-12-12,24.99,25.0,24.69,24.78,810722,35.29
2025-12-15,24.7,25.03,24.53,24.61,197849,36.34
2025-12-16,24.6,24.79,24.42,24.64,495858,50.07
2025-12-17,24.6,24.75,24.4,24.45,465223,25.64
2025-12-18,24.44,24.62,24.4,24.46,329380,65.22
2025-12-19,24.57,24.89,24.4,24.45,518773,34.56
2025-12-22,24.46,24.75,24.3,24.42,1803386,63.7
2025-12-23,24.4,24.89,24.25,24.4,695937,39.31
2025-12-24,24.35,24.84,24.25,24.41,1981673,68.45
2025-12-25,24.35,24.84,24.25,24.41,1981673,68.45
2025-12-26,24.4,24.7,24.12,24.32,652263,39.1
2025-12-29,24.3,24.48,24.0,24.28,954746,39.44
2025-12-30,24.28,24.5,24.13,24.2,1603387,72.7
2025-12-31,24.2,24.52,24.0,24.32,619637,32.91
2026-01-01,24.3,24.65,24.0,24.62,652863,25.52
2026-01-02,24.75,25.85,24.6,25.56,1995297,50.49
2026-01-05,25.84,26.15,24.95,25.11,465956,43.01
2026-01-06,25.02,25.35,24.85,25.05,913148,66.03
2026-01-07,25.29,25.29,24.7,24.96,919672,67.68
2026-01-08,25.0,25.2,24.69,24.8,300397,38.61
2026-01-09,24.8,25.4,24.54,25.27,1115540,41.66
2026-01-12,25.1,25.26,24.54,24.7,1481748,36.47
2026-01-13,24.7,25.77,24.7,25.66,818394,49.23
2026-01-14,25.6,27.37,25.27,26.52,3435041,23.2
2026-01-15,25.6,27.37,25.27,26.52,3435041,23.2
2026-01-16,26.06,27.5,25.72,25.8,8378685,20.32
2026-01-19,25.99,26.69,25.75,26.26,7852627,41.66
2026-01-20,26.58,26.87,26.35,26.52,1576564,54.39
2026-01-21,27.0,27.05,26.45,26.75,4820461,23.43
2026-01-22,26.7,27.5,26.45,26.95,6603569,18.15
2026-01-23,27.3,27.69,26.26,26.37,3948745,29.61
2026-01-26,27.3,27.69,26.26,26.37,3948745,29.61
2026-01-27,27.0,27.5,25.1,26.17,9346758,27.5
2026-01-28,27.0,27.0,25.56,26.58,5336495,29.1
2026-01-29,26.46,26.56,25.75,25.98,1386376,22.2
2026-01-30,25.9,26.39,25.65,25.98,360041,56.45
2026-02-02,26.0,26.43,25.3,25.69,507217,21.21
2026-02-03,25.99,26.7,25.25,25.36,5927198,43.11
2026-02-04,25.99,25.99,25.41,25.57,678360,48.3
2026-02-05,25.5,26.2,25.0,26.02,4215751,42.28
2026-02-06,26.27,26.44,25.41,25.74,698304,31.05
2026-02-09,26.0,26.35,25.5,25.58,496717,39.02
2026-02-10,25.51,25.83,25.44,25.51,374074,37.64
2026-02-11,25.51,26.55,25.42,26.25,8061738,76.03
2026-02-12,26.69,26.84,25.7,26.06,6735428,25.34
2026-02-13,26.2,26.64,25.68,26.04,15697232,37.45
2026-02-16,26.8,26.8,25.41,26.17,13946456,32.76
2026-02-17,26.49,26.49,25.45,25.76,3622798,18.79
2026-02-18,26.13,26.13,25.35,25.55,5728570,6.85
2026-02-19,25.5,25.98,25.5,25.76,3479321,31.27
2026-02-20,25.7,26.42,25.7,26.05,3948686,20.26
2026-02-23,26.4,26.95,25.93,26.12,3182012,33.36
2026-02-24,26.0,27.5,25.92,26.63,8031755,30.19
2026-02-25,26.84,27.1,25.45,26.26,4063071,27.25
2026-02-26,26.37,26.53,25.93,26.05,2997165,14.43
2026-02-27,26.0,26.2,25.96,26.01,626357,29.33
2026-03-02,25.5,25.75,25.25,25.52,961838,52.48
2026-03-03,25.5,25.75,25.25,25.52,961838,52.48
2026-03-04,24.9,25.71,24.9,25.58,2070145,60.44
2026-03-05,25.4,26.0,25.35,25.7,2236603,21.11
2026-03-06,25.7,26.96,25.37,26.03,12317546,36.34
2026-03-09,26.03,27.0,24.4,24.54,1819210,36.68
2026-03-10,24.99,25.55,24.47,24.8,4253150,39.6
2026-03-11,24.93,25.49,24.75,24.77,2991695,63.57
2026-03-12,24.55,25.58,24.55,25.05,5594379,53.95
2026-03-13,25.0,25.1,24.45,24.52,3763954,57.04
2026-03-16,24.4,25.2,24.4,25.07,1704669,57.98
2026-03-17,25.4,25.4,24.77,24.83,3291489,84.18
2026-03-18,25.25,25.25,24.5,24.74,2338491,54.5
2026-03-19,24.68,25.14,24.45,24.84,1400049,66.15
2026-03-20,25.2,25.3,24.94,25.01,1964167,67.19
2026-03-23,25.0,25.01,24.1,24.37,3292267,83.37
2026-03-24,24.8,24.9,24.4,24.55,1654366,63.65
2026-03-25,25.1,25.49,24.8,25.04,2417111,64.93
2026-03-26,25.1,25.49,24.8,25.04,2417111,64.93
2026-03-27,25.15,25.18,24.7,24.73,452488,33.01
2026-03-30,24.5,24.75,24.18,24.23,1109951,50.27
2026-03-31,24.5,24.75,24.18,24.23,1109951,50.27
2026-04-01,24.85,24.85,24.51,24.6,442815,35.03
2026-04-02,24.99,25.11,24.41,24.59,640843,27.97
2026-04-03,24.99,25.11,24.41,24.59,640843,27.97
2026-04-06,24.89,25.04,24.3,24.84,567640,22.9
2026-04-07,25.49,25.49,24.5,24.52,1697396,34.46
2026-04-08,25.1,26.0,24.95,25.3,1289993,42.01
2026-04-09,25.3,25.59,24.95,25.02,374402,44.37
2026-04-10,25.03,25.64,25.03,25.51,770296,43.36
2026-04-13,25.55,26.05,25.25,25.25,436162,24.9
2026-04-14,25.55,26.05,25.25,25.25,436162,24.9
2026-04-15,25.5,25.72,25.41,25.47,373206,52.04
2026-04-16,25.5,25.74,25.36,25.61,1026117,66.63
2026-04-17,25.84,26.05,25.51,25.7,1245485,65.75
2026-04-20,25.6,25.94,25.35,25.42,415426,49.45
2026-04-21,25.42,25.89,24.92,25.48,2705035,62.79
2026-04-22,25.5,28.0,25.5,26.33,1169516,50.43
2026-04-23,26.5,28.8,25.95,28.71,7695315,59.26
2026-04-24,29.04,29.49,28.01,28.83,4598765,27.27
2026-04-27,29.14,29.8,28.52,29.09,8655304,27.83
2026-04-28,29.01,30.0,29.0,29.55,2562813,41.65
2026-04-29,29.5,29.86,29.34,29.7,1042947,37.19
2026-04-30,29.65,30.0,28.79,29.64,8478821,54.54
2026-05-01,29.65,30.0,28.79,29.64,8478821,54.54
2026-05-04,30.75,31.46,24.05,24.35,19645178,27.64
2026-05-05,24.0,25.32,24.0,25.05,4890906,25.51
2026-05-06,25.59,26.2,25.32,26.12,2657677,53.28
2026-05-07,26.6,27.35,26.29,26.81,3515534,33.34
2026-05-08,26.88,27.0,26.5,26.8,3744579,19.85
2026-05-11,27.2,27.2,26.6,26.75,949565,42.14
2026-05-12,26.7,26.98,26.05,26.17,1145119,45.12
2026-05-13,26.21,27.03,26.21,26.68,1566529,38.1
2026-05-14,26.7,26.94,26.26,26.36,992288,37.96
2026-05-15,26.35,28.48,26.3,26.61,24064389,14.31
2026-05-18,27.25,27.7,26.01,27.11,7963393,32.69
2026-05-19,27.59,28.83,27.22,27.4,4747925,14.36
2026-05-20,27.78,28.07,27.02,27.96,8374639,26.48
2026-05-21,28.38,28.6,28.04,28.48,3535626,19.67
2026-05-22,28.89,29.2,28.53,29.08,4136234,19.3
2026-05-25,29.2,29.6,29.08,29.54,4657189,17.82
2026-05-26,29.67,31.0,29.37,29.96,3990596,18.81
2026-05-27,29.9,30.52,29.69,30.47,8485491,40.36
2026-05-28,29.9,30.52,29.69,30.47,8485491,40.36
2026-05-29,30.7,30.74,28.9,30.03,12239734,39.45
2026-06-01,30.03,30.7,29.97,30.47,4951827,29.96
2026-06-02,30.45,30.45,29.15,30.34,5202137,47.14
2026-06-03,30.15,30.53,29.96,30.41,6152770,42.85
2026-06-04,30.25,30.98,30.05,30.96,4241743,53.4
2026-06-05,30.99,31.31,30.0,30.66,4416547,24.36
2026-06-08,30.65,30.65,28.63,29.88,5814231,37.96
2026-06-09,29.7,30.5,29.7,30.44,1182114,55.19
2026-06-10,30.4,30.97,30.28,30.83,3295952,56.08
2026-06-11,30.83,31.5,28.84,31.44,7851052,34.42
2026-06-12,32.0,32.41,29.52,29.96,22408234,14.29
2026-06-15,31.0,31.34,28.0,29.38,21377325,5.15
2026-06-16,29.0,30.87,28.28,30.54,8743145,28.16
2026-06-17,30.49,30.68,28.2,28.3,8132565,25.72
2026-06-18,28.6,29.1,27.63,28.1,16328720,13.17
2026-06-19,28.26,30.04,27.76,29.46,17414651,21.87
2026-06-22,29.7,29.8,27.5,27.64,23398644,12.23
2026-06-23,27.88,27.88,27.0,27.16,2197455,28.73
2026-06-24,27.3,27.56,26.54,27.47,3230398,21.14
2026-06-25,27.75,27.75,26.3,26.55,3617208,28.51
2026-06-26,27.75,27.75,26.3,26.55,3617208,28.51
2026-06-29,26.61,26.79,25.5,26.35,2878620,11.82
2026-06-30,27.0,27.29,26.11,26.32,2908786,18.74
2026-07-01,26.7,26.99,26.25,26.32,1139585,37.26
2026-07-02,26.5,26.7,26.28,26.6,1764697,69.52
2026-07-03,26.77,27.5,26.73,27.02,1183825,36.4
2026-07-06,27.0,27.3,27.0,27.2,798934,22.63
2026-07-07,27.5,27.5,26.91,27.26,899725,35.29
2026-07-08,27.2,27.3,26.51,26.67,1451294,25.44
2026-07-09,26.5,27.5,26.45,26.73,6034192,5.21
2026-07-10,27.0,27.24,26.6,26.68,3970230,21.4
2026-07-13,27.0,27.06,26.21,26.58,2493347,7.13
2026-07-14,26.98,27.4,26.5,27.13,14709917,9.74
2026-07-15,27.5,30.75,27.4,30.15,24834439,11.34
2026-07-16,33.0,33.01,30.16,30.88,17955423,9.24
2026-07-17,31.84,31.84,28.01,28.04,15632169,13.69
2026-07-20,27.86,28.9,27.19,28.48,7741971,7.44
