DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,470.0,474.3,458.65,468.15,329511,23.72
2025-04-15,469.0,490.65,469.0,489.05,353179,33.36
2025-04-16,489.0,498.2,483.0,486.2,176364,24.38
2025-04-17,483.0,490.3,472.2,474.5,196488,44.67
2025-04-21,477.0,483.95,468.7,479.45,152420,31.67
2025-04-22,479.4,494.4,475.25,476.4,171058,28.03
2025-04-23,479.3,484.45,465.7,467.35,260011,51.41
2025-04-24,469.9,472.8,460.95,462.7,204346,45.73
2025-04-25,465.1,466.9,440.25,444.0,243689,44.64
2025-04-28,445.5,458.8,441.95,449.25,298460,24.1
2025-04-29,452.05,454.8,441.8,443.75,121494,36.83
2025-04-30,444.9,469.7,434.1,441.2,1044558,20.02
2025-05-02,441.2,463.5,430.7,456.75,296100,28.04
2025-05-05,454.85,456.75,443.1,445.25,357318,50.88
2025-05-06,444.2,451.8,441.25,444.55,164201,28.67
2025-05-07,435.0,445.6,435.0,443.85,122365,28.78
2025-05-08,443.85,454.9,432.8,437.6,167914,38.01
2025-05-09,433.6,442.95,429.3,438.1,127309,22.45
2025-05-12,446.1,459.0,446.1,451.0,190055,44.58
2025-05-13,453.0,457.35,447.5,449.0,107988,43.68
2025-05-14,450.0,468.7,450.0,458.45,213773,31.33
2025-05-15,465.0,465.9,458.0,460.0,173656,45.28
2025-05-16,460.0,467.7,460.0,464.45,116189,47.78
2025-05-19,469.0,480.05,465.1,472.15,239531,43.04
2025-05-20,472.55,477.7,463.1,464.2,190073,55.51
2025-05-21,464.0,467.25,458.05,461.9,74140,42.64
2025-05-22,461.85,473.0,459.4,471.55,97607,45.1
2025-05-23,472.75,473.7,458.55,462.75,135274,50.19
2025-05-26,468.0,470.9,464.1,467.3,69522,43.67
2025-05-27,469.4,469.6,461.7,464.45,70118,51.94
2025-05-28,465.5,475.9,465.1,468.1,110057,48.27
2025-05-29,458.8,463.05,450.55,458.85,305009,30.9
2025-05-30,463.45,464.0,453.5,461.0,120396,57.93
2025-06-02,462.0,463.35,437.35,443.6,262495,54.83
2025-06-03,445.6,450.3,438.7,441.35,97743,45.97
2025-06-04,441.35,443.0,435.0,440.15,136127,47.27
2025-06-05,440.15,464.75,438.75,451.9,419317,22.3
2025-06-06,451.0,456.15,448.0,451.1,366240,72.79
2025-06-09,457.0,458.15,447.0,448.35,110609,51.72
2025-06-10,450.65,460.0,448.75,454.2,121986,45.07
2025-06-11,456.6,462.9,452.15,461.25,141232,44.91
2025-06-12,461.45,514.8,457.25,486.55,10854214,7.67
2025-06-13,478.0,516.4,472.0,503.15,3461488,15.48
2025-06-16,503.0,529.0,498.3,518.6,4400856,14.42
2025-06-17,519.2,526.25,505.05,512.95,1035032,21.97
2025-06-18,508.45,516.9,501.5,504.75,466446,26.73
2025-06-19,503.6,514.8,484.55,488.55,605327,23.68
2025-06-20,487.0,498.45,485.1,488.4,353996,27.79
2025-06-23,485.0,495.65,482.25,491.6,250446,31.05
2025-06-24,497.0,499.0,481.35,483.65,260277,40.72
2025-06-25,486.2,490.6,481.1,482.55,211630,44.07
2025-06-26,485.0,487.05,475.5,477.9,190554,45.87
2025-06-27,480.2,490.25,480.0,482.95,365361,39.78
2025-06-30,486.7,486.85,473.25,476.0,282950,45.73
2025-07-01,475.95,476.3,462.2,463.55,349518,60.57
2025-07-02,464.2,478.8,461.4,466.05,444999,29.45
2025-07-03,465.0,486.6,465.0,483.1,594483,27.1
2025-07-04,484.0,486.9,474.2,477.9,223741,35.03
2025-07-07,478.9,483.7,462.1,469.65,247564,35.41
2025-07-08,470.0,473.65,464.0,465.7,155298,42.06
2025-07-09,467.0,498.0,467.0,479.9,719622,23.55
2025-07-10,478.0,486.95,478.0,483.55,219372,32.91
2025-07-11,480.8,486.0,474.55,477.75,154341,36.84
2025-07-14,474.55,479.35,472.05,475.5,83913,38.96
2025-07-15,476.5,484.6,476.5,479.05,133070,46.85
2025-07-16,479.05,487.95,479.05,481.9,136440,36.66
2025-07-17,482.05,486.9,476.7,478.45,114383,56.42
2025-07-18,479.0,486.55,472.0,482.85,139836,36.38
2025-07-21,481.0,488.0,477.65,482.5,161077,38.62
2025-07-22,485.9,525.9,483.7,514.8,10875414,7.35
2025-07-23,519.0,531.9,514.3,524.0,2347594,18.93
2025-07-24,524.0,524.0,503.55,507.25,550922,34.41
2025-07-25,507.0,507.0,491.0,494.45,213718,43.55
2025-07-28,489.0,516.85,485.3,500.15,638780,21.23
2025-07-29,500.15,505.95,492.8,495.15,256744,32.22
2025-07-30,495.15,509.95,490.3,493.65,261117,26.59
2025-07-31,486.1,506.0,483.2,501.0,552710,39.78
2025-08-01,502.6,537.7,502.6,513.95,3531106,17.59
2025-08-04,512.7,535.0,505.55,523.2,1375528,20.3
2025-08-05,523.5,531.95,520.3,526.8,587258,26.88
2025-08-06,526.5,527.5,500.2,502.75,485407,39.33
2025-08-07,499.9,511.8,487.3,500.45,406259,29.2
2025-08-08,501.4,518.4,491.9,499.3,599671,23.28
2025-08-11,491.5,498.0,473.3,490.3,560870,29.73
2025-08-12,490.05,513.0,484.35,489.5,848790,38.46
2025-08-13,487.6,502.05,487.3,492.75,370274,36.66
2025-08-14,495.3,508.1,487.0,487.9,359430,25.34
2025-08-18,490.05,497.0,484.8,490.45,156498,36.18
2025-08-19,491.2,509.0,491.2,506.45,278025,38.57
2025-08-20,506.4,515.55,494.0,497.35,293538,33.52
2025-08-21,499.5,510.0,497.35,499.5,260761,39.41
2025-08-22,501.2,502.45,485.25,486.35,298542,69.71
2025-08-25,488.6,491.6,483.0,484.6,130022,48.39
2025-08-26,486.75,487.05,468.7,472.25,144370,53.8
2025-08-28,472.0,478.0,463.8,473.9,145330,27.77
2025-08-29,473.9,478.1,469.65,474.0,87555,42.58
2025-09-01,478.0,482.5,475.1,478.7,105224,33.82
2025-09-02,480.6,486.4,468.7,479.55,99309,32.31
2025-09-03,482.0,486.0,476.1,478.4,135686,48.48
2025-09-04,481.5,485.05,470.1,471.55,98954,48.98
2025-09-05,472.2,478.45,468.4,474.55,99657,42.68
2025-09-08,476.9,477.8,465.65,468.75,82374,54.62
2025-09-09,471.7,473.3,465.0,468.75,106501,48.77
2025-09-10,470.0,478.0,468.3,475.15,156730,57.02
2025-09-11,475.15,480.8,472.8,479.2,194713,48.53
2025-09-12,478.0,484.7,475.3,478.05,147238,38.34
2025-09-15,480.4,482.0,470.6,474.0,97312,53.32
2025-09-16,476.9,481.0,474.05,479.45,101499,57.75
2025-09-17,481.0,494.0,481.0,483.9,210322,39.03
2025-09-18,484.6,488.9,474.7,482.1,152718,50.24
2025-09-19,482.1,487.0,476.1,483.85,132374,46.89
2025-09-22,483.85,483.85,475.0,476.1,106664,75.3
2025-09-23,476.9,478.2,470.5,472.05,119091,60.96
2025-09-24,472.05,473.9,460.0,461.5,131545,61.92
2025-09-25,462.0,463.4,450.0,451.45,177906,51.13
2025-09-26,451.05,453.1,440.0,443.35,110955,45.33
2025-09-29,445.3,451.0,440.0,442.3,83101,42.05
2025-09-30,439.0,446.95,436.35,440.9,180539,44.71
2025-10-01,442.6,451.45,438.35,446.25,176668,49.61
2025-10-03,446.95,449.6,439.85,442.5,153250,53.84
2025-10-06,444.0,444.7,435.0,440.05,147130,49.46
2025-10-07,440.0,508.3,440.0,487.8,37516376,4.85
2025-10-08,480.7,486.0,455.5,458.3,4250306,19.41
2025-10-09,458.0,458.2,445.0,451.0,1157384,24.93
2025-10-10,452.0,459.9,445.0,447.75,577176,28.13
2025-10-13,445.85,447.65,440.6,443.05,478824,43.52
2025-10-14,443.05,458.55,443.05,452.45,813961,22.47
2025-10-15,450.5,455.65,445.8,449.3,338768,33.84
2025-10-16,449.0,454.0,447.5,452.1,222440,36.37
2025-10-17,453.0,458.75,445.5,448.1,264855,29.94
2025-10-20,450.0,454.75,445.8,452.75,213007,36.22
2025-10-21,456.95,456.95,446.25,452.2,60076,54.92
2025-10-22,456.95,456.95,446.25,452.2,60076,54.92
2025-10-23,454.0,457.9,447.6,450.25,160010,50.78
2025-10-24,450.25,452.5,447.0,449.25,102228,45.85
2025-10-27,450.0,452.35,447.85,449.1,84709,48.47
2025-10-28,449.1,453.1,445.8,447.4,84177,48.86
2025-10-29,447.4,468.5,447.4,463.75,829742,31.33
2025-10-30,463.0,473.85,457.55,472.25,335958,43.98
2025-10-31,474.0,481.0,466.7,476.8,313656,51.6
2025-11-03,480.1,485.5,472.05,480.6,328223,41.12
2025-11-04,480.65,482.0,474.05,476.65,155946,47.16
2025-11-05,480.65,482.0,474.05,476.65,155946,47.16
2025-11-06,475.0,477.15,462.8,470.0,184209,52.07
2025-11-07,467.65,474.2,458.8,471.15,110685,37.87
2025-11-10,470.0,470.0,450.9,458.9,299901,33.49
2025-11-11,460.0,475.45,453.3,465.2,279703,21.86
2025-11-12,465.05,484.35,463.05,480.2,409846,44.91
2025-11-13,480.2,498.95,480.05,492.05,732807,41.01
2025-11-14,492.0,492.6,480.25,485.85,180680,43.09
2025-11-17,484.0,494.65,483.0,491.85,194157,53.63
2025-11-18,493.4,493.4,478.6,482.55,116331,48.17
2025-11-19,482.0,484.9,475.2,481.05,94925,42.51
2025-11-20,485.0,485.0,470.0,472.2,108928,43.63
2025-11-21,471.0,473.0,461.6,462.65,128244,55.33
2025-11-24,467.25,467.25,450.4,452.45,143457,58.86
2025-11-25,453.7,463.0,453.55,461.15,112439,47.13
2025-11-26,464.6,480.0,460.7,474.45,158335,51.99
2025-11-27,474.5,478.0,464.5,466.0,73608,42.96
2025-11-28,466.0,468.5,462.15,464.3,37646,48.02
2025-12-01,464.0,467.7,460.35,464.15,46975,40.71
2025-12-02,463.0,467.85,458.3,465.75,72555,52.06
2025-12-03,464.0,467.6,454.3,458.15,84287,54.51
2025-12-04,458.8,459.35,450.75,452.6,56221,58.19
2025-12-05,452.6,454.45,438.95,446.65,224983,71.97
2025-12-08,447.1,449.95,438.05,444.0,135799,63.93
2025-12-09,443.95,451.65,433.9,448.0,96495,44.08
2025-12-10,448.05,453.0,438.05,439.45,79342,46.04
2025-12-11,437.6,444.2,437.6,439.9,69295,48.31
2025-12-12,440.55,445.1,439.0,442.3,81342,48.97
2025-12-15,442.3,448.65,430.0,445.55,86605,55.31
2025-12-16,445.0,445.55,437.2,438.7,118377,56.37
2025-12-17,437.0,444.6,434.05,441.0,108676,46.98
2025-12-18,441.0,442.35,435.1,437.0,43680,51.71
2025-12-19,437.45,459.0,437.05,456.75,382092,33.82
2025-12-22,459.0,460.75,447.85,450.55,105401,53.57
2025-12-23,450.0,460.0,450.0,451.55,103842,37.97
2025-12-24,452.0,454.3,446.0,447.25,89826,57.32
2025-12-25,452.0,454.3,446.0,447.25,89826,57.32
2025-12-26,446.9,455.0,444.35,449.65,89283,46.62
2025-12-29,448.15,453.95,444.5,449.3,75999,58.73
2025-12-30,450.0,450.0,442.5,444.0,53188,48.27
2025-12-31,444.55,463.75,444.55,459.05,215560,38.68
2026-01-01,459.0,464.0,452.3,454.55,48411,40.49
2026-01-02,455.0,457.55,452.15,455.3,51519,52.53
2026-01-05,458.5,475.95,457.2,474.25,301944,44.04
2026-01-06,475.1,484.25,471.9,481.95,279259,43.86
2026-01-07,481.95,499.6,478.1,480.55,402122,34.42
2026-01-08,482.8,482.8,461.95,463.2,118693,48.65
2026-01-09,463.25,464.9,449.4,451.4,107811,41.76
2026-01-12,450.0,451.35,435.0,445.3,98441,35.76
2026-01-13,445.0,451.95,442.55,447.6,73740,45.15
2026-01-14,445.9,469.4,442.2,460.15,227010,36.97
2026-01-15,445.9,469.4,442.2,460.15,227010,36.97
2026-01-16,457.55,460.15,449.05,455.0,68915,56.83
2026-01-19,451.3,464.45,444.6,445.75,64607,41.59
2026-01-20,448.0,448.0,425.0,433.6,153798,49.69
2026-01-21,433.6,435.0,415.1,417.75,210005,49.48
2026-01-22,423.75,436.0,423.0,432.6,204374,34.42
2026-01-23,432.5,435.65,410.75,418.75,199185,57.04
2026-01-26,432.5,435.65,410.75,418.75,199185,57.04
2026-01-27,422.4,423.0,406.05,410.4,207789,59.06
2026-01-28,411.9,426.65,410.6,423.55,210690,43.99
2026-01-29,423.0,425.9,406.05,412.0,179520,46.39
2026-01-30,412.0,456.45,409.1,445.1,1914327,11.69
2026-02-02,432.95,436.5,418.5,425.3,62880,47.66
2026-02-03,439.9,443.6,430.0,434.45,214499,53.19
2026-02-04,434.45,447.1,433.0,445.35,189873,42.4
2026-02-05,445.5,447.5,435.0,439.7,80341,39.4
2026-02-06,439.7,439.7,428.75,435.1,58666,44.44
2026-02-09,439.0,453.2,435.15,451.3,140282,63.7
2026-02-10,451.3,473.05,449.75,469.0,324242,46.23
2026-02-11,472.0,475.0,458.4,460.45,100797,49.49
2026-02-12,458.15,460.0,451.3,457.1,62117,56.42
2026-02-13,452.4,453.9,432.35,436.65,112914,57.31
2026-02-16,439.0,472.0,421.0,462.25,1600659,12.58
2026-02-17,460.0,483.5,457.7,473.0,693662,15.83
2026-02-18,467.15,487.55,466.55,483.65,329218,34.25
2026-02-19,483.0,489.9,461.5,464.5,114854,33.57
2026-02-20,466.75,469.25,455.0,458.5,197357,49.05
2026-02-23,462.9,463.5,453.05,455.75,186847,70.47
2026-02-24,456.2,456.2,434.95,440.3,127031,46.46
2026-02-25,440.0,441.0,431.15,435.45,120694,47.1
2026-02-26,435.45,445.55,431.5,439.65,420815,74.87
2026-02-27,439.65,442.8,429.15,434.65,172941,51.08
2026-03-02,428.35,430.0,411.25,417.4,143257,50.76
2026-03-03,428.35,430.0,411.25,417.4,143257,50.76
2026-03-04,410.0,412.0,397.15,399.6,270090,61.24
2026-03-05,401.2,404.2,390.2,396.85,182281,49.4
2026-03-06,396.0,403.6,391.35,395.55,154061,40.86
2026-03-09,386.1,391.9,377.0,381.6,182150,45.55
2026-03-10,386.2,390.65,379.0,382.15,232480,44.16
2026-03-11,383.0,390.45,378.3,380.2,435644,53.52
2026-03-12,380.6,385.8,361.9,380.9,614605,55.36
2026-03-13,382.0,383.95,364.0,375.5,255259,50.11
2026-03-16,376.0,377.0,363.45,370.0,296241,46.88
2026-03-17,371.0,374.55,363.85,369.0,135841,38.57
2026-03-18,370.1,383.45,370.1,381.2,155459,44.17
2026-03-19,377.4,377.4,365.0,366.15,191185,69.64
2026-03-20,368.1,375.55,368.1,370.35,107864,47.9
2026-03-23,362.25,368.0,336.2,340.6,273573,47.72
2026-03-24,345.0,350.0,338.0,344.65,246100,43.54
2026-03-25,347.0,358.6,345.8,352.15,173038,52.71
2026-03-26,347.0,358.6,345.8,352.15,173038,52.71
2026-03-27,350.1,350.35,332.1,334.1,328509,51.83
2026-03-30,332.1,346.45,323.05,337.85,451293,47.84
2026-03-31,332.1,346.45,323.05,337.85,451293,47.84
2026-04-01,345.0,369.0,345.0,364.15,293928,27.64
2026-04-02,360.7,366.1,350.85,364.0,74098,35.96
2026-04-03,360.7,366.1,350.85,364.0,74098,35.96
2026-04-06,365.0,370.85,359.35,368.35,106623,32.25
2026-04-07,368.35,383.9,365.05,375.25,194409,26.87
2026-04-08,387.5,395.0,382.8,386.15,182314,38.3
2026-04-09,384.0,388.35,378.05,380.25,86354,40.15
2026-04-10,382.0,391.0,382.0,387.25,82004,42.7
2026-04-13,385.95,389.55,372.7,386.25,94467,41.99
2026-04-14,385.95,389.55,372.7,386.25,94467,41.99
2026-04-15,392.0,399.1,388.0,395.5,454024,53.34
2026-04-16,399.0,412.4,394.65,400.65,255177,35.72
2026-04-17,400.0,407.0,398.05,401.9,211389,49.69
2026-04-20,405.0,406.9,395.0,401.75,177365,41.25
2026-04-21,400.3,415.5,400.3,410.0,178795,44.92
2026-04-22,410.0,426.7,407.1,414.15,317402,27.85
2026-04-23,414.15,415.0,405.3,407.05,102576,42.53
2026-04-24,409.6,412.1,399.05,403.55,88295,42.8
2026-04-27,403.6,416.45,403.55,411.2,92146,45.71
2026-04-28,411.95,414.3,407.8,409.65,46845,48.54
2026-04-29,409.3,415.0,403.0,406.2,74402,47.18
2026-04-30,407.0,407.0,398.1,403.9,58827,40.58
2026-05-01,407.0,407.0,398.1,403.9,58827,40.58
2026-05-04,404.7,411.45,404.35,405.75,52271,49.43
2026-05-05,407.2,407.6,398.25,403.05,71337,40.49
2026-05-06,402.3,411.8,401.5,409.1,88231,40.95
2026-05-07,411.2,414.55,409.35,411.7,79474,51.89
2026-05-08,410.0,414.75,407.3,410.45,78906,53.54
2026-05-11,410.45,410.45,397.0,399.9,125670,50.17
2026-05-12,397.8,402.55,380.1,386.35,100657,47.41
2026-05-13,389.75,393.7,384.95,392.25,61498,48.1
2026-05-14,394.95,398.2,387.0,394.55,68886,40.4
2026-05-15,394.55,402.0,387.05,388.3,98462,45.52
2026-05-18,389.1,390.6,371.55,380.8,100878,38.55
2026-05-19,381.0,386.7,378.7,384.0,70030,49.92
2026-05-20,381.75,390.7,377.75,386.45,60327,40.78
2026-05-21,389.5,421.45,388.0,398.8,2587353,53.1
2026-05-22,400.0,405.0,391.1,394.25,302641,69.86
2026-05-25,395.05,409.2,394.55,403.15,182906,42.61
2026-05-26,402.0,413.6,401.0,405.6,161264,41.37
2026-05-27,407.2,420.9,407.2,414.4,388637,40.73
2026-05-28,407.2,420.9,407.2,414.4,388637,40.73
2026-05-29,413.0,416.05,386.5,406.6,886706,45.66
2026-06-01,392.35,395.05,353.95,365.2,2079686,31.83
2026-06-02,356.3,359.85,333.8,344.65,2911257,34.04
2026-06-03,342.05,380.0,342.05,377.45,7688522,5.73
2026-06-04,374.05,404.95,372.1,401.15,2942863,15.26
2026-06-05,396.0,401.55,390.0,399.6,331233,15.87
