DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,227.21,227.21,215.99,216.77,8480,80.65
2025-04-15,215.0,230.04,210.0,217.7,3966,59.53
2025-04-16,217.7,223.01,217.7,221.59,3248,81.9
2025-04-17,220.84,223.4,219.15,219.36,5496,94.89
2025-04-21,230.0,230.0,218.71,221.49,6921,74.84
2025-04-22,227.18,227.18,217.65,218.07,9383,68.52
2025-04-23,220.98,222.9,214.42,220.27,17343,53.17
2025-04-24,225.0,225.0,217.51,222.02,4391,84.99
2025-04-25,221.0,223.0,218.6,220.0,3581,75.79
2025-04-28,220.54,227.43,219.5,222.0,2126,68.72
2025-04-29,222.0,228.03,222.0,224.34,4159,75.86
2025-04-30,224.48,227.98,221.22,225.0,8171,91.03
2025-05-02,227.5,236.5,222.11,223.67,17658,41.01
2025-05-05,229.61,243.99,227.51,241.81,12739,85.23
2025-05-06,241.44,241.44,230.1,232.35,6273,38.71
2025-05-07,236.98,236.98,231.03,236.28,4546,80.58
2025-05-08,248.97,248.97,230.5,232.54,9227,87.23
2025-05-09,251.6,251.6,222.0,231.42,7972,74.42
2025-05-12,236.96,238.45,232.02,236.13,4743,77.44
2025-05-13,244.01,244.01,235.0,235.99,5363,94.78
2025-05-14,238.15,238.98,231.9,233.15,6540,81.02
2025-05-15,233.17,236.0,228.73,231.95,3526,52.52
2025-05-16,231.5,239.5,231.5,234.51,6725,80.54
2025-05-19,232.94,239.49,231.7,236.98,6470,81.42
2025-05-20,237.63,238.98,230.0,232.07,4160,63.03
2025-05-21,234.08,237.89,230.0,232.38,6674,80.34
2025-05-22,232.62,233.0,229.44,232.59,3015,56.35
2025-05-23,236.45,239.69,232.71,236.38,2005,36.81
2025-05-26,236.38,245.5,230.0,231.04,11110,65.09
2025-05-27,237.16,254.14,230.15,253.44,123819,70.6
2025-05-28,254.99,256.01,244.1,244.99,10646,59.27
2025-05-29,248.96,252.37,236.11,237.92,8630,66.66
2025-05-30,242.24,242.24,231.05,231.97,8725,64.11
2025-06-02,235.41,236.92,231.62,234.14,3983,72.63
2025-06-03,235.43,238.0,231.6,235.96,5839,86.88
2025-06-04,235.96,239.63,225.0,232.55,27256,86.47
2025-06-05,232.55,234.0,229.86,232.39,4738,80.39
2025-06-06,232.0,238.21,232.0,235.31,4025,84.75
2025-06-09,244.4,244.4,235.05,238.89,13230,68.64
2025-06-10,238.0,246.78,238.0,242.92,10845,48.21
2025-06-11,250.0,250.0,237.99,246.73,4417,50.03
2025-06-12,248.99,248.99,242.25,246.27,6281,80.0
2025-06-13,244.86,246.4,240.16,245.0,2482,52.01
2025-06-16,249.99,249.99,242.03,244.66,4628,81.24
2025-06-17,244.66,248.01,244.66,246.5,2706,78.97
2025-06-18,250.07,253.69,247.0,251.18,4879,64.21
2025-06-19,249.57,285.0,249.57,255.38,56107,40.05
2025-06-20,256.65,268.74,250.33,260.76,10320,70.9
2025-06-23,260.76,269.48,251.3,263.14,5063,66.32
2025-06-24,262.45,267.65,261.67,265.27,4646,71.16
2025-06-25,269.99,269.99,262.6,268.97,6928,78.22
2025-06-26,259.99,273.16,254.99,261.2,11861,46.84
2025-06-27,266.85,272.34,260.1,271.19,5964,58.03
2025-06-30,275.95,275.95,262.61,264.03,4921,59.85
2025-07-01,266.9,267.4,260.0,262.95,2472,50.2
2025-07-02,265.0,268.9,260.85,265.3,2536,73.94
2025-07-03,275.0,275.0,260.1,262.65,5068,21.05
2025-07-04,260.0,271.8,253.95,259.05,7300,36.63
2025-07-07,259.95,271.9,253.0,268.95,9850,83.85
2025-07-08,269.2,285.0,266.7,280.55,9280,75.77
2025-07-09,265.0,304.9,265.0,296.55,84772,35.45
2025-07-10,305.0,314.0,273.05,281.4,51359,47.96
2025-07-11,287.05,293.4,273.15,275.8,14495,56.24
2025-07-14,278.8,278.8,267.3,272.55,4679,45.07
2025-07-15,268.5,279.4,268.5,274.5,4217,57.1
2025-07-16,276.6,277.5,271.95,273.85,5613,71.74
2025-07-17,275.95,280.85,267.3,269.85,13329,49.99
2025-07-18,271.85,271.85,263.1,265.3,7396,59.0
2025-07-21,261.3,274.9,261.3,273.7,9018,76.38
2025-07-22,280.0,299.1,273.1,287.5,24982,62.59
2025-07-23,295.45,295.5,285.0,287.2,3231,78.09
2025-07-24,288.9,289.25,280.1,281.55,3587,75.86
2025-07-25,279.65,294.45,275.15,287.0,6528,70.96
2025-07-28,280.0,292.85,277.7,283.2,6734,43.87
2025-07-29,279.65,295.9,275.0,282.55,19101,39.9
2025-07-30,282.55,286.5,277.2,281.35,6596,41.6
