DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,219.9,224.99,219.89,222.96,26048,42.75
2025-04-15,226.3,240.4,226.3,234.96,26158,47.29
2025-04-16,235.0,237.99,232.6,236.23,20599,42.48
2025-04-17,236.23,247.0,233.21,240.82,43430,51.86
2025-04-21,240.82,245.0,235.85,243.2,32751,47.05
2025-04-22,246.85,290.0,239.21,286.54,492434,22.51
2025-04-23,294.8,294.8,274.33,280.15,125135,31.45
2025-04-24,280.14,280.15,272.0,272.35,37375,53.73
2025-04-25,277.0,277.0,261.55,264.91,64900,52.5
2025-04-28,262.25,267.15,260.21,262.31,25099,41.39
2025-04-29,266.25,276.64,260.54,271.85,35696,42.21
2025-04-30,271.85,271.85,253.51,255.97,36078,60.08
2025-05-02,258.0,263.15,252.8,258.85,27780,39.77
2025-05-05,259.85,264.55,256.8,260.55,22794,54.53
2025-05-06,260.55,261.9,250.55,251.55,22612,67.34
2025-05-07,250.0,257.5,244.35,247.85,48492,49.97
2025-05-08,247.85,257.45,242.1,247.3,25517,43.28
2025-05-09,230.2,243.0,230.2,240.55,34421,37.83
2025-05-12,244.2,262.45,244.2,254.3,50628,35.61
2025-05-13,254.1,264.95,252.6,260.0,54366,50.86
2025-05-14,262.05,287.2,262.05,273.9,109184,43.59
2025-05-15,275.0,284.8,271.95,281.9,45318,45.51
2025-05-16,284.9,289.65,279.2,283.3,53588,46.47
2025-05-19,285.0,286.9,275.0,277.9,29906,55.79
2025-05-20,280.0,282.05,273.2,274.25,18144,39.59
2025-05-21,270.2,295.0,270.2,292.35,145012,37.19
2025-05-22,291.6,292.4,285.1,289.7,33779,50.96
2025-05-23,285.0,294.0,285.0,291.25,28051,53.17
2025-05-26,294.15,309.0,294.1,299.45,75161,52.98
2025-05-27,301.7,312.65,295.2,305.3,65704,55.9
2025-05-28,309.0,309.0,287.0,289.6,106310,57.23
2025-05-29,287.0,291.65,280.0,285.15,36164,50.38
2025-05-30,285.15,299.9,285.15,296.65,51590,51.23
2025-06-02,299.0,309.65,289.15,300.3,43946,49.21
2025-06-03,300.3,304.45,290.6,292.7,19530,51.78
2025-06-04,294.9,294.9,286.75,288.55,22102,54.47
2025-06-05,288.55,306.0,288.55,302.3,71718,55.26
2025-06-06,305.3,305.3,294.6,296.8,28743,55.6
2025-06-09,299.0,302.2,290.1,299.9,25501,52.57
2025-06-10,300.95,302.7,296.2,300.15,21039,63.76
2025-06-11,297.25,324.0,297.25,308.15,167660,42.09
2025-06-12,310.0,314.0,303.15,305.35,40807,53.52
2025-06-13,294.85,301.8,292.8,297.4,42185,56.84
2025-06-16,295.5,301.45,288.55,294.5,23780,48.92
2025-06-17,296.75,305.85,292.85,301.25,29800,44.48
2025-06-18,301.25,302.75,290.25,292.85,32233,46.51
2025-06-19,294.35,303.75,285.3,286.55,23497,39.07
2025-06-20,289.4,290.45,283.1,284.6,18214,52.29
2025-06-23,281.75,287.15,276.4,279.35,36740,46.67
2025-06-24,283.0,291.0,279.3,281.95,35984,56.95
2025-06-25,283.4,291.9,281.9,285.35,163383,71.05
2025-06-26,288.75,291.6,283.05,284.2,20753,50.36
2025-06-27,287.05,287.95,279.15,281.7,55882,63.83
2025-06-30,285.95,316.7,283.15,294.75,240620,26.54
2025-07-01,296.9,299.7,286.4,290.55,28640,52.95
2025-07-02,288.0,293.7,285.25,287.55,21134,50.75
2025-07-03,289.0,292.7,282.6,285.5,33557,62.28
2025-07-04,288.35,288.35,283.0,284.75,21850,50.24
2025-07-07,284.1,290.15,281.0,282.45,23934,48.3
2025-07-08,285.0,285.5,277.05,279.4,27572,54.05
2025-07-09,282.0,301.4,279.2,298.1,122917,71.29
2025-07-10,295.1,298.75,289.35,291.1,43528,64.84
2025-07-11,293.85,308.0,292.55,296.05,155421,38.05
2025-07-14,297.55,299.3,286.4,289.9,52991,41.0
2025-07-15,292.2,299.75,292.05,297.2,24817,52.78
2025-07-16,297.2,302.85,295.55,300.25,52254,58.33
2025-07-17,302.25,304.2,297.0,298.1,32767,50.04
2025-07-18,295.1,301.9,294.4,299.85,25835,49.58
2025-07-21,302.0,302.0,290.0,291.6,21008,50.77
2025-07-22,294.0,298.2,283.8,287.85,53059,60.29
2025-07-23,287.45,291.95,284.5,288.65,19873,63.28
2025-07-24,287.95,291.4,285.0,289.3,13267,52.63
2025-07-25,289.0,290.0,282.25,284.95,23480,40.63
2025-07-28,282.65,289.2,277.55,279.4,27023,54.75
2025-07-29,279.0,283.6,272.3,277.65,25503,51.57
2025-07-30,278.1,296.0,278.0,291.85,44693,37.06
2025-07-31,285.3,288.9,283.3,285.45,24903,79.62
