DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,224.29,224.97,219.26,223.23,632399,29.53
2025-04-15,226.0,232.99,224.7,232.01,977508,35.05
2025-04-16,230.01,235.79,230.01,232.72,692262,32.77
2025-04-17,233.0,235.44,231.0,233.75,779832,33.16
2025-04-21,235.0,248.0,232.4,242.82,1557467,35.12
2025-04-22,243.0,245.1,239.11,240.67,790285,32.43
2025-04-23,241.61,244.37,236.37,241.81,693035,33.49
2025-04-24,241.81,243.99,238.62,239.28,722381,37.37
2025-04-25,240.47,243.89,227.68,229.96,1293327,28.21
2025-04-28,227.3,235.8,226.2,234.06,1051587,32.61
2025-04-29,232.3,236.67,230.9,231.45,361620,36.93
2025-04-30,229.01,231.55,223.15,225.12,517739,46.19
2025-05-02,224.9,231.4,223.72,224.87,922284,29.46
2025-05-05,225.3,228.74,224.42,227.79,362675,36.76
2025-05-06,228.1,229.95,220.4,221.4,530636,51.01
2025-05-07,218.0,224.07,216.45,222.72,602564,31.26
2025-05-08,223.0,229.0,217.69,219.47,703541,35.74
2025-05-09,212.0,217.51,212.0,216.31,588322,36.51
2025-05-12,221.0,233.3,219.0,230.0,1270014,28.11
2025-05-13,220.0,235.04,220.0,233.11,1097263,33.58
2025-05-14,233.11,248.46,233.11,245.73,4843513,19.03
2025-05-15,246.0,249.33,243.96,248.26,1572501,30.95
2025-05-16,249.4,292.0,247.3,286.99,25091451,12.31
2025-05-19,290.0,303.4,290.0,294.93,11254701,18.98
2025-05-20,296.19,296.2,271.81,275.45,4117782,32.43
2025-05-21,276.55,279.87,271.1,277.09,1560990,24.78
2025-05-22,276.0,277.8,271.24,273.52,754031,35.87
2025-05-23,274.9,276.37,271.0,273.59,654765,35.37
2025-05-26,274.7,283.35,271.22,276.96,1819675,30.76
2025-05-27,277.15,279.6,273.43,276.53,761896,36.18
2025-05-28,278.99,294.89,278.56,287.69,8498807,19.73
2025-05-29,290.7,292.0,282.0,284.93,1848870,27.59
2025-05-30,285.0,286.68,276.01,277.44,1786116,41.18
2025-06-02,277.0,282.55,275.4,279.3,913908,29.85
2025-06-03,281.0,285.4,277.5,280.05,1060972,32.82
2025-06-04,279.3,301.5,277.3,295.55,10667778,24.16
2025-06-05,299.4,316.0,298.0,309.2,13428157,22.09
2025-06-06,309.0,309.0,298.1,300.15,3166169,32.74
2025-06-09,305.0,308.9,301.5,302.25,3780462,33.31
2025-06-10,305.95,310.55,300.35,301.6,2910532,30.49
2025-06-11,302.75,308.9,298.75,304.25,3461892,31.44
2025-06-12,305.0,306.9,287.75,289.4,2562704,43.34
2025-06-13,286.0,294.0,280.7,289.8,2359508,30.52
2025-06-16,286.0,291.8,280.3,288.2,1253705,27.12
2025-06-17,288.2,292.3,280.0,281.45,875645,43.26
2025-06-18,280.95,290.5,279.2,280.95,1943458,24.52
2025-06-19,281.0,283.0,268.0,270.5,1449901,38.93
2025-06-20,269.1,275.9,269.0,272.7,1227636,35.27
