DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-06-22,317.8,372.0,316.0,359.3,416924,24.07
2026-06-23,359.65,366.8,336.85,347.1,67704,32.7
2026-06-24,349.1,355.0,338.15,342.85,24968,51.69
2026-06-25,345.0,346.1,323.6,327.0,19731,61.55
2026-06-26,345.0,346.1,323.6,327.0,19731,61.55
2026-06-29,328.05,328.05,309.45,312.05,25982,62.76
2026-06-30,314.25,329.7,308.0,310.35,40504,45.3
2026-07-01,319.9,322.0,303.2,305.55,24844,61.91
2026-07-02,304.6,311.45,302.0,306.3,22044,58.44
2026-07-03,310.0,313.45,303.1,304.95,13739,56.79
2026-07-06,305.0,309.45,298.1,302.15,17672,63.25
2026-07-07,301.05,305.0,293.4,297.6,23649,52.03
2026-07-08,297.6,307.45,289.0,294.0,40862,42.91
2026-07-09,296.1,324.0,296.1,305.75,67559,45.01
2026-07-10,306.4,310.9,296.6,301.5,16949,66.39
2026-07-13,301.95,301.95,293.15,294.5,36536,69.48
2026-07-14,294.55,297.1,288.7,291.4,21270,55.72
2026-07-15,291.95,307.85,290.0,297.15,48958,47.02
2026-07-16,297.2,302.8,284.1,292.3,43561,55.33
2026-07-17,291.0,296.55,290.0,291.65,8991,60.66
2026-07-20,295.55,295.55,276.2,279.35,32551,68.33
