DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,23.03,24.65,23.03,24.25,146600,60.5
2025-04-15,24.24,25.0,24.24,24.55,64631,66.45
2025-04-16,25.22,27.15,24.55,26.88,168607,60.1
2025-04-17,27.25,27.85,26.19,27.03,95973,57.04
2025-04-21,27.16,27.79,26.31,27.21,94574,45.43
2025-04-22,27.5,28.84,26.39,28.0,135872,54.59
2025-04-23,28.0,28.54,27.41,27.73,54189,58.54
2025-04-24,28.4,28.4,26.5,27.15,50154,55.81
2025-04-25,28.78,28.78,25.81,26.52,63368,53.18
2025-04-28,26.52,26.94,25.65,25.76,45592,67.22
2025-04-29,25.6,27.32,25.55,25.7,30011,48.33
2025-04-30,25.8,27.0,25.35,25.44,40861,82.08
2025-05-02,26.74,26.74,25.3,25.91,40994,73.76
2025-05-05,26.88,26.88,25.7,25.84,26179,74.69
2025-05-06,26.0,26.0,24.25,24.52,71879,75.78
2025-05-07,24.52,25.25,24.05,24.28,96601,76.45
2025-05-08,25.66,25.66,24.1,24.59,25334,68.73
2025-05-09,24.02,24.99,23.56,24.63,46096,65.63
2025-05-12,24.8,26.91,24.8,25.45,45359,56.47
2025-05-13,25.46,26.18,25.1,25.55,34479,64.78
2025-05-14,25.55,27.75,25.27,26.93,112122,67.57
2025-05-15,27.8,27.8,26.0,27.2,62741,68.49
2025-05-16,27.5,28.0,26.16,27.45,56464,59.64
2025-05-19,27.9,27.9,27.05,27.43,60531,60.09
2025-05-20,28.0,28.05,26.0,26.13,93689,57.35
2025-05-21,27.28,27.28,26.01,26.58,85927,56.4
2025-05-22,27.5,27.65,26.81,27.46,69892,64.45
2025-05-23,27.99,28.58,27.58,28.05,100816,66.99
2025-05-26,28.97,29.34,27.15,28.02,97493,59.97
2025-05-27,29.28,29.28,26.16,27.25,109792,67.63
2025-05-28,27.25,28.29,26.36,27.07,98444,60.71
2025-05-29,27.88,28.54,27.1,28.06,146051,64.88
2025-05-30,27.9,28.11,27.25,27.75,67974,62.97
2025-06-02,27.75,28.5,27.31,28.26,87240,56.62
2025-06-03,28.5,28.64,27.5,27.53,62246,53.65
2025-06-04,28.06,28.2,27.06,27.99,55591,65.51
2025-06-05,28.36,28.36,27.01,27.09,90367,44.64
2025-06-06,27.11,28.1,26.2,27.02,93820,51.49
2025-06-09,27.99,27.99,26.95,27.33,114100,54.51
2025-06-10,28.2,28.2,27.33,27.82,106951,74.47
2025-06-11,28.2,28.2,27.5,27.71,41300,63.55
2025-06-12,27.8,27.95,27.1,27.17,65927,63.08
2025-06-13,27.1,27.66,26.6,27.29,45385,49.35
2025-06-16,27.16,27.35,26.8,26.94,28841,69.48
2025-06-17,27.56,27.56,25.75,26.25,71691,60.98
2025-06-18,27.0,27.0,26.01,26.11,71742,74.3
2025-06-19,26.4,26.78,25.71,25.85,73269,46.5
2025-06-20,25.55,26.18,25.51,25.67,43504,54.85
2025-06-23,25.67,26.3,25.61,25.96,83647,58.97
2025-06-24,26.96,26.96,25.85,25.98,68319,41.43
2025-06-25,26.11,27.5,25.84,26.97,71790,62.9
2025-06-26,27.75,28.5,26.35,27.61,208093,56.8
2025-06-27,27.74,27.74,26.1,26.46,209298,54.4
2025-06-30,27.4,27.7,26.56,27.08,101248,55.74
2025-07-01,27.6,27.6,25.55,26.78,51993,52.78
2025-07-02,27.32,27.33,26.3,26.63,70802,75.62
2025-07-03,27.49,27.49,24.35,25.56,112672,72.03
2025-07-04,25.39,28.95,25.2,27.84,206782,57.78
2025-07-07,27.89,28.45,27.05,27.15,128509,59.94
2025-07-08,27.2,28.5,26.76,27.76,240257,45.31
2025-07-09,27.88,27.95,27.4,27.75,32459,60.52
2025-07-10,27.75,27.75,26.1,26.69,164388,56.55
2025-07-11,27.24,27.24,26.57,26.79,67874,78.62
2025-07-14,27.31,27.31,26.36,26.73,88860,54.27
2025-07-15,27.26,27.26,26.1,26.48,119866,49.49
2025-07-16,26.16,27.1,26.16,26.77,45973,74.42
2025-07-17,26.99,27.07,26.41,26.71,42362,74.05
2025-07-18,27.5,27.5,26.51,26.55,33559,70.79
2025-07-21,27.0,27.08,26.16,26.41,111559,52.02
2025-07-22,26.54,27.25,26.11,26.14,138061,41.81
2025-07-23,26.66,26.66,26.0,26.22,39466,58.38
2025-07-24,26.87,26.87,26.0,26.21,30740,74.85
2025-07-25,26.56,26.56,25.5,25.53,43260,63.13
2025-07-28,25.53,26.65,25.0,25.12,37547,44.25
2025-07-29,25.12,25.75,24.76,25.36,62779,38.53
2025-07-30,25.05,25.85,25.01,25.14,61676,61.02
2025-07-31,25.55,25.55,24.92,25.15,28375,51.0
2025-08-01,25.54,25.54,24.21,24.49,101769,48.64
2025-08-04,25.0,25.99,24.45,25.2,99062,51.21
2025-08-05,25.47,25.75,24.51,24.84,66286,44.99
2025-08-06,24.74,25.85,24.65,25.24,56731,48.68
2025-08-07,25.24,25.5,25.01,25.17,15871,50.99
2025-08-08,25.29,25.74,24.07,24.92,24358,47.11
2025-08-11,25.7,25.7,24.33,24.96,36404,49.44
2025-08-12,24.95,24.99,22.92,23.93,242295,53.68
2025-08-13,24.41,24.59,23.0,23.38,79216,41.43
2025-08-14,24.16,24.5,23.3,23.32,73025,70.72
2025-08-18,23.1,23.79,22.45,22.72,139710,72.8
2025-08-19,22.72,23.56,22.45,22.55,79636,61.56
2025-08-20,22.5,23.3,22.44,22.82,73139,63.96
2025-08-21,22.83,23.65,22.01,22.21,124461,55.02
2025-08-22,22.3,22.87,22.21,22.42,51379,77.36
2025-08-25,22.87,22.87,22.01,22.38,68653,46.56
2025-08-26,22.49,23.0,22.06,22.11,57986,62.99
2025-08-28,21.6,22.62,21.6,22.41,73652,44.34
2025-08-29,22.85,22.89,22.11,22.2,64904,35.5
2025-09-01,22.11,23.0,22.11,22.52,78501,49.22
2025-09-02,22.95,23.2,22.5,22.58,53400,62.12
2025-09-03,22.58,22.93,21.63,21.99,144306,69.87
2025-09-04,22.65,22.65,21.21,21.32,77642,78.91
2025-09-05,21.98,22.24,21.35,21.52,115730,34.3
2025-09-08,21.52,22.0,21.4,21.5,51345,37.85
2025-09-09,21.5,21.5,21.09,21.32,53008,53.52
2025-09-10,21.74,22.6,21.44,21.97,146039,61.5
2025-09-11,22.1,22.48,21.15,21.46,55812,73.75
2025-09-12,21.97,22.07,21.53,21.76,62563,67.15
2025-09-15,21.76,21.91,21.5,21.69,38997,77.13
2025-09-16,21.69,21.9,21.41,21.71,65342,74.77
2025-09-17,21.72,25.5,21.49,23.82,394785,39.79
2025-09-18,23.81,23.81,22.6,22.82,123289,60.73
2025-09-19,23.44,23.44,22.84,22.96,52419,49.84
2025-09-22,23.7,23.7,23.0,23.38,52962,77.29
2025-09-23,23.5,23.5,22.01,22.49,93946,62.28
2025-09-24,23.0,23.0,22.0,22.1,65968,81.71
2025-09-25,22.95,22.95,20.88,21.18,288514,62.62
2025-09-26,21.74,21.74,20.7,21.0,53489,73.15
2025-09-29,21.2,21.45,20.73,21.07,102864,47.99
2025-09-30,21.25,21.25,19.55,20.01,151488,72.6
2025-10-01,20.39,20.5,18.91,19.22,578451,55.25
2025-10-03,19.48,19.97,19.38,19.84,91219,75.11
2025-10-06,19.85,19.99,19.31,19.66,95985,43.21
2025-10-07,19.75,20.3,19.41,19.9,89322,35.13
2025-10-08,19.99,20.21,19.67,19.86,65810,38.21
2025-10-09,19.96,20.14,19.16,19.31,53768,45.32
2025-10-10,19.6,20.0,19.29,19.46,69104,51.06
2025-10-13,19.29,19.87,19.12,19.39,28384,37.08
2025-10-14,19.2,19.86,19.2,19.56,21104,70.94
2025-10-15,19.88,20.47,19.35,20.21,58002,61.63
2025-10-16,20.31,20.61,19.2,19.56,71831,73.64
2025-10-17,19.75,20.21,19.27,19.56,39173,33.3
2025-10-20,19.56,20.0,19.45,19.56,33454,62.49
2025-10-21,21.3,21.3,19.8,20.24,25742,64.18
2025-10-22,21.3,21.3,19.8,20.24,25742,64.18
2025-10-23,21.11,21.11,20.7,20.76,56276,85.29
2025-10-24,21.0,23.5,20.52,21.43,98804,69.37
2025-10-27,21.4,21.97,20.0,20.14,302883,48.91
