DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-09-26,465.0,465.0,427.3,440.7,6749933,67.65
2025-09-29,442.25,450.4,432.85,447.0,712721,55.17
2025-09-30,451.0,453.0,420.1,438.2,754865,49.93
2025-10-01,438.0,450.3,427.25,447.9,476088,56.51
2025-10-03,449.9,459.0,443.8,449.0,585027,42.16
2025-10-06,449.0,456.95,439.1,453.9,472664,53.27
2025-10-07,453.9,463.9,447.0,460.0,1050597,49.56
2025-10-08,469.5,506.0,465.0,501.55,7335948,37.94
2025-10-09,551.7,551.7,526.3,551.7,3842423,36.66
2025-10-10,557.0,567.0,526.0,534.25,3753468,24.27
2025-10-13,534.95,551.0,521.1,526.85,1151267,27.23
2025-10-14,526.8,542.85,507.9,532.35,1128830,38.15
2025-10-15,565.0,565.0,520.8,524.85,1711288,30.7
2025-10-16,526.4,534.95,514.5,529.65,666618,33.11
2025-10-17,529.85,530.9,506.7,511.15,525869,45.71
2025-10-20,515.1,524.0,510.0,520.25,305196,30.57
2025-10-21,524.0,526.8,519.5,521.85,108760,41.21
2025-10-22,524.0,526.8,519.5,521.85,108760,41.21
2025-10-23,528.9,550.05,520.05,528.9,1083387,38.23
2025-10-24,533.0,533.75,503.8,508.4,721954,56.37
2025-10-27,510.8,511.3,478.1,482.4,1070156,54.43
2025-10-28,483.95,512.75,483.0,507.15,838822,30.39
2025-10-29,509.0,519.05,498.3,515.2,379439,38.26
2025-10-30,513.5,518.8,500.35,502.1,173496,43.57
2025-10-31,502.1,535.45,502.1,524.45,1246352,32.53
2025-11-03,525.0,543.0,519.3,535.2,653653,48.71
2025-11-04,535.2,542.4,525.0,528.2,470033,47.11
2025-11-05,535.2,542.4,525.0,528.2,470033,47.11
2025-11-06,533.0,551.8,531.0,537.75,740473,35.92
2025-11-07,500.0,500.0,484.0,490.25,1538598,56.74
2025-11-10,493.35,496.45,462.0,477.25,788049,36.38
2025-11-11,476.95,478.7,468.0,470.3,220884,37.72
2025-11-12,472.2,473.15,454.8,467.6,462953,44.15
2025-11-13,467.6,476.15,461.0,463.25,230067,48.8
2025-11-14,463.0,463.0,450.05,452.2,188438,58.53
2025-11-17,453.55,470.8,449.7,465.75,287417,39.87
2025-11-18,467.1,467.1,451.5,462.4,199519,41.2
2025-11-19,461.9,461.9,440.6,442.15,229539,59.11
2025-11-20,444.8,457.65,444.75,448.0,216812,40.05
2025-11-21,447.0,447.0,428.35,434.4,303698,47.41
2025-11-24,434.9,434.9,415.45,418.15,327274,49.54
2025-11-25,416.15,424.85,413.25,416.1,200005,48.17
2025-11-26,418.15,424.0,412.0,413.8,144039,46.58
2025-11-27,416.3,420.0,406.2,408.35,139451,42.68
2025-11-28,410.0,413.5,400.95,411.1,235989,50.37
2025-12-01,414.0,414.05,399.1,406.55,290987,47.37
2025-12-02,405.1,406.75,394.55,401.3,501797,58.72
2025-12-03,401.3,403.95,386.75,391.95,158769,55.59
2025-12-04,391.95,393.75,385.5,387.3,171408,49.55
2025-12-05,387.3,389.75,375.8,379.9,188128,51.09
2025-12-08,378.95,378.95,353.35,363.2,652869,51.41
2025-12-09,366.9,380.0,350.6,371.0,329653,40.23
2025-12-10,370.0,380.45,362.2,378.5,288556,56.57
2025-12-11,379.0,379.85,368.6,374.15,92302,47.93
2025-12-12,375.0,378.9,373.6,375.55,56330,39.49
2025-12-15,374.0,374.05,366.3,368.0,83970,55.98
2025-12-16,368.0,389.9,363.8,385.0,202316,54.8
2025-12-17,390.0,399.25,379.0,397.2,327750,41.86
2025-12-18,397.2,397.2,382.6,393.35,289839,45.18
2025-12-19,390.0,397.0,390.0,395.1,100728,41.5
2025-12-22,401.95,401.95,390.55,396.95,196592,54.12
2025-12-23,409.0,417.3,378.1,381.0,1702332,36.19
2025-12-24,383.6,387.0,381.15,382.9,240594,49.17
2025-12-25,383.6,387.0,381.15,382.9,240594,49.17
2025-12-26,385.7,385.75,374.7,375.7,159391,50.04
2025-12-29,373.0,375.0,365.2,370.7,405303,66.12
2025-12-30,367.3,382.15,365.0,378.25,192543,35.87
2025-12-31,381.0,382.0,372.6,376.4,138480,55.93
2026-01-01,375.1,379.4,370.3,376.7,99367,42.39
2026-01-02,379.95,389.9,372.2,388.3,392799,72.92
2026-01-05,390.0,390.0,380.0,386.55,112926,47.54
2026-01-06,389.9,392.75,380.05,390.1,119544,56.45
2026-01-07,389.95,429.1,385.6,429.1,1247464,35.54
2026-01-08,429.1,433.0,411.5,417.25,610272,36.3
2026-01-09,416.0,417.6,400.15,404.95,258471,43.56
2026-01-12,401.95,407.4,393.0,401.7,217226,39.57
2026-01-13,400.0,403.2,390.0,399.7,104663,51.07
2026-01-14,398.95,407.1,391.6,393.3,171631,41.72
2026-01-15,398.95,407.1,391.6,393.3,171631,41.72
2026-01-16,400.0,413.0,392.15,396.7,206144,27.37
2026-01-19,396.5,396.5,382.0,385.5,83508,43.03
2026-01-20,385.0,385.45,362.0,365.65,130011,48.16
2026-01-21,365.5,365.5,350.0,351.6,117407,46.34
2026-01-22,358.7,369.9,355.45,364.1,151036,44.99
2026-01-23,364.9,364.9,345.0,363.15,156657,45.41
2026-01-26,364.9,364.9,345.0,363.15,156657,45.41
2026-01-27,360.05,366.05,353.0,363.55,95328,48.52
2026-01-28,363.55,386.85,362.25,384.15,131920,48.56
2026-01-29,388.95,388.95,374.05,385.6,75279,43.29
2026-01-30,376.6,397.0,376.6,393.15,90113,49.49
2026-02-02,382.0,393.95,373.0,390.45,92798,43.13
2026-02-03,408.0,424.9,396.75,415.8,270637,44.46
2026-02-04,415.8,440.0,414.45,437.1,201632,52.52
2026-02-05,439.75,440.0,407.1,430.75,723790,37.3
2026-02-06,446.9,446.9,422.35,429.25,258145,32.73
2026-02-09,429.45,438.15,418.6,423.65,142581,50.46
2026-02-10,423.8,431.15,416.85,426.55,122316,42.66
2026-02-11,423.0,430.95,408.3,411.95,118851,52.0
2026-02-12,411.0,418.0,403.05,413.45,152561,43.11
2026-02-13,411.95,422.35,401.0,419.3,124102,43.2
2026-02-16,415.05,420.5,407.5,416.4,106079,37.76
2026-02-17,424.95,430.0,406.85,412.9,160908,23.5
2026-02-18,424.05,429.75,405.0,408.7,264478,21.92
2026-02-19,409.35,416.2,404.0,407.85,93885,48.3
2026-02-20,402.05,405.7,401.0,403.1,67836,42.96
2026-02-23,406.0,420.25,399.55,403.0,134045,40.53
2026-02-24,401.7,401.7,391.0,393.5,80080,45.43
2026-02-25,395.0,399.95,377.2,380.95,164846,39.52
2026-02-26,386.8,389.85,367.0,371.65,150794,35.41
2026-02-27,370.4,375.65,360.55,366.95,214340,49.46
2026-03-02,357.0,361.7,351.3,354.75,90449,46.39
2026-03-03,357.0,361.7,351.3,354.75,90449,46.39
2026-03-04,352.5,353.0,341.3,343.1,80576,48.21
2026-03-05,345.05,350.75,340.5,347.55,72968,53.15
2026-03-06,345.0,352.95,342.0,343.85,45507,52.65
2026-03-09,339.75,339.85,328.0,333.65,74208,46.4
2026-03-10,337.9,348.95,336.85,345.95,82955,42.97
2026-03-11,349.0,357.0,346.25,347.05,62609,38.2
2026-03-12,344.5,380.0,335.5,361.4,493836,40.52
2026-03-13,364.1,364.1,342.15,352.2,160591,46.69
2026-03-16,344.1,350.7,337.0,346.9,145468,46.52
2026-03-17,346.0,355.95,342.2,345.9,82933,41.07
2026-03-18,346.85,362.0,346.85,358.15,91942,46.33
2026-03-19,358.15,380.35,353.75,366.0,430121,24.46
2026-03-20,366.0,380.95,365.8,371.9,138815,35.9
2026-03-23,372.0,373.0,355.4,359.2,129619,38.14
2026-03-24,366.0,370.0,355.55,368.05,98166,43.58
2026-03-25,369.9,381.25,364.55,379.2,146059,47.02
2026-03-26,369.9,381.25,364.55,379.2,146059,47.02
2026-03-27,370.0,393.5,370.0,383.6,366507,40.58
2026-03-30,371.0,384.75,371.0,377.1,146968,50.54
2026-03-31,371.0,384.75,371.0,377.1,146968,50.54
2026-04-01,388.45,402.0,381.0,399.55,124080,41.03
2026-04-02,395.05,406.7,386.95,403.8,151721,26.88
2026-04-03,395.05,406.7,386.95,403.8,151721,26.88
2026-04-06,402.0,427.5,398.35,422.9,125699,46.0
2026-04-07,420.0,429.75,405.0,409.9,114424,43.79
2026-04-08,419.85,425.0,414.0,417.55,123814,56.01
2026-04-09,413.3,425.85,406.4,420.45,82376,35.77
2026-04-10,439.0,462.45,435.15,461.6,2170750,27.84
2026-04-13,461.6,476.9,447.0,462.1,566841,26.3
2026-04-14,461.6,476.9,447.0,462.1,566841,26.3
2026-04-15,473.0,476.8,460.0,470.1,240922,39.74
2026-04-16,470.1,479.9,463.8,470.95,195414,37.81
