DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-17,170.0,170.0,170.0,170.0,134,100.0
2026-08-19,170.0,170.0,170.0,170.0,5,100.0
2026-08-20,170.0,170.0,170.0,170.0,40,100.0
2026-08-21,170.0,178.5,170.0,170.32,104,98.08
2026-08-24,178.5,178.5,178.5,178.5,89,100.0
2026-08-25,178.5,178.5,170.0,172.0,174,100.0
2026-08-26,175.0,175.0,173.0,173.0,33,100.0
2026-08-27,170.0,170.0,170.0,170.0,101,100.0
2026-08-31,165.0,170.0,165.0,170.0,47,100.0
2026-09-01,170.0,175.0,170.0,175.0,102,100.0
2026-09-04,183.0,183.75,183.0,183.5,365,94.52
