DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-12-02,6.69,6.9,6.4,6.48,529354,72.96
2025-12-03,6.5,6.79,6.29,6.59,1238031,55.34
2025-12-04,6.72,6.84,6.5,6.64,483711,66.95
2025-12-05,6.74,6.75,6.31,6.46,406177,80.15
2025-12-08,6.34,6.48,5.85,6.08,987283,66.23
2025-12-09,6.2,6.35,5.86,6.08,832029,67.17
2025-12-10,6.09,6.4,6.06,6.1,445039,68.0
2025-12-11,6.13,6.34,6.04,6.16,463992,66.74
2025-12-12,6.38,6.77,6.19,6.77,1747735,69.91
2025-12-15,6.83,7.19,6.6,7.1,1512538,55.02
2025-12-16,7.14,7.54,6.96,7.36,1607738,56.47
2025-12-17,7.42,7.64,7.01,7.04,1114300,67.28
2025-12-18,7.28,7.28,6.92,6.96,603538,74.18
2025-12-19,7.12,7.19,6.89,7.0,544569,56.33
2025-12-22,7.05,7.7,7.04,7.7,2861182,71.0
2025-12-23,8.35,8.47,7.95,8.04,6669602,52.16
2025-12-24,8.2,8.2,7.48,7.7,1450449,58.0
2025-12-25,8.2,8.2,7.48,7.7,1450449,58.0
2025-12-26,7.83,8.0,7.61,7.7,695943,58.33
2025-12-29,7.73,7.98,7.24,7.32,910307,67.15
2025-12-30,7.25,7.7,6.91,7.1,1364592,51.98
2025-12-31,7.19,7.38,7.0,7.28,650851,61.04
2026-01-01,7.45,7.45,7.15,7.22,234503,63.51
2026-01-02,7.29,7.4,7.14,7.29,373032,74.37
2026-01-05,7.29,7.44,7.12,7.21,414963,66.43
2026-01-06,7.21,7.23,7.03,7.14,449001,75.12
2026-01-07,7.13,7.14,6.86,6.99,513991,68.52
2026-01-08,6.98,7.12,6.6,6.74,831296,62.28
2026-01-09,6.81,6.94,6.5,6.53,584977,72.82
2026-01-12,7.14,7.14,6.4,6.73,439517,60.72
2026-01-13,6.86,6.96,6.6,6.71,496858,71.28
2026-01-14,6.72,6.72,6.57,6.64,240131,57.99
2026-01-15,6.72,6.72,6.57,6.64,240131,57.99
2026-01-16,6.67,6.86,6.6,6.64,365911,65.41
2026-01-19,6.71,6.72,6.12,6.24,965624,67.73
2026-01-20,6.37,6.56,6.12,6.17,918006,70.75
2026-01-21,6.29,6.32,5.85,5.95,1080578,70.98
2026-01-22,6.13,6.32,6.12,6.21,512451,79.47
2026-01-23,6.25,6.25,5.59,5.73,2678651,73.91
2026-01-26,6.25,6.25,5.59,5.73,2678651,73.91
2026-01-27,5.8,6.19,5.65,5.88,1083428,64.67
2026-01-28,6.02,6.19,6.0,6.11,540311,70.67
2026-01-29,6.24,6.24,5.92,6.0,353064,73.69
2026-01-30,6.01,6.12,5.92,6.06,320384,66.02
2026-02-02,6.2,6.34,5.91,6.0,555367,69.14
2026-02-03,6.29,6.29,6.05,6.12,345853,73.41
2026-02-04,6.27,6.27,5.97,6.02,743998,77.07
