DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,239.32,261.35,239.01,258.29,31379,53.55
2025-04-15,264.0,267.5,257.99,264.46,12301,49.16
2025-04-16,265.1,285.99,255.1,275.18,51357,27.03
2025-04-17,272.35,309.8,266.08,289.36,155855,33.2
2025-04-21,290.4,326.0,290.4,309.14,164174,33.66
2025-04-22,309.14,315.25,301.1,309.22,35985,42.97
2025-04-23,308.07,314.68,306.0,306.48,23080,53.11
2025-04-24,304.11,312.34,295.02,299.4,19863,44.88
2025-04-25,290.87,300.0,284.0,291.03,30853,68.54
2025-04-28,291.03,298.74,286.0,288.47,9833,63.86
2025-04-29,286.66,294.25,285.4,291.37,9982,63.5
2025-04-30,284.0,290.0,265.35,271.56,21386,53.05
2025-05-02,275.8,282.5,273.0,275.75,10199,52.72
2025-05-05,277.7,287.8,276.35,280.35,10430,51.3
2025-05-06,291.0,291.0,275.1,279.75,13660,54.36
2025-05-07,277.35,278.0,265.2,270.1,15364,66.17
2025-05-08,270.95,279.65,265.2,269.05,8021,58.05
2025-05-09,265.5,308.15,264.25,290.75,46741,58.11
2025-05-12,314.45,316.0,300.0,304.95,44750,58.44
2025-05-13,312.0,312.0,305.0,308.9,13179,70.18
2025-05-14,308.9,313.8,306.1,310.75,22052,72.48
2025-05-15,317.0,335.0,311.6,317.8,144745,38.98
2025-05-16,322.1,325.0,305.05,314.85,38731,54.82
2025-05-19,314.85,314.85,306.2,310.15,15782,65.59
2025-05-20,311.9,320.0,310.0,310.95,16929,46.22
2025-05-21,307.2,319.8,306.6,315.75,26064,67.21
2025-05-22,318.0,318.0,307.0,308.75,12637,59.44
2025-05-23,306.0,316.05,306.0,313.9,16614,67.73
2025-05-26,309.0,312.8,306.7,309.1,8652,50.61
2025-05-27,310.6,320.0,307.0,314.25,18537,52.22
2025-05-28,314.45,315.6,308.0,308.65,7798,59.35
2025-05-29,310.0,318.45,306.1,316.75,19824,71.39
2025-05-30,318.5,319.0,312.55,315.95,22516,74.22
