DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,108.9,108.96,105.84,107.8,4683792,37.56
2025-04-15,110.0,117.57,109.38,114.63,8909949,40.59
2025-04-16,115.09,119.79,114.69,115.58,9874822,48.73
2025-04-17,115.6,122.78,115.28,120.24,13295635,32.11
2025-04-21,120.9,125.59,119.2,124.99,13507399,44.37
2025-04-22,125.1,126.99,123.28,124.16,7345037,32.71
2025-04-23,125.0,125.87,122.2,124.97,6577453,37.78
2025-04-24,124.95,132.32,124.41,129.85,14630212,35.0
2025-04-25,129.85,131.2,122.93,123.82,9253075,33.43
2025-04-28,123.3,126.95,121.55,124.63,8018718,38.57
2025-04-29,125.55,128.55,123.0,123.22,6118058,49.31
2025-04-30,122.2,125.27,119.33,120.55,6762627,42.7
2025-05-02,121.0,122.95,118.53,119.2,4659629,36.79
2025-05-05,119.4,121.23,118.58,120.35,3083886,34.11
2025-05-06,120.45,121.74,113.46,113.86,4243248,46.65
2025-05-07,113.0,116.5,112.32,115.87,4155598,35.82
2025-05-08,116.4,119.65,112.69,113.19,6643081,48.0
2025-05-09,111.3,115.0,110.58,113.72,4001153,35.14
2025-05-12,118.0,121.32,118.0,120.01,5536279,45.66
2025-05-13,120.97,125.29,120.29,123.0,5141839,40.82
2025-05-14,123.5,124.99,122.31,124.52,3723766,37.71
2025-05-15,125.29,127.2,124.73,125.82,4121200,36.84
2025-05-16,127.09,127.6,123.95,125.2,5344856,46.83
2025-05-19,124.51,131.33,124.05,126.3,17622938,49.69
2025-05-20,127.99,128.28,121.76,122.18,10264557,59.37
2025-05-21,122.5,123.2,119.5,120.99,4190235,36.71
2025-05-22,120.99,126.59,120.82,126.07,9248754,43.16
2025-05-23,126.5,129.7,124.66,126.99,12542275,56.69
2025-05-26,127.2,128.68,121.97,123.22,6054145,59.62
2025-05-27,122.7,123.65,120.5,121.01,5718385,47.05
2025-05-28,121.2,123.55,121.2,122.38,2990255,36.65
2025-05-29,122.94,123.29,121.11,122.22,3169563,48.52
2025-05-30,122.05,125.25,120.85,124.12,7514951,51.44
2025-06-02,124.1,125.73,122.51,123.84,5927728,44.47
2025-06-03,124.26,127.09,123.0,123.7,6539860,35.48
2025-06-04,123.8,124.59,121.4,123.5,3749195,35.84
2025-06-05,124.0,125.4,121.84,122.5,2900293,37.25
2025-06-06,123.4,128.4,122.5,126.54,8840235,47.06
2025-06-09,127.15,129.99,126.59,126.98,8536835,44.84
2025-06-10,127.7,129.99,125.65,126.0,7961192,42.52
2025-06-11,126.7,135.39,125.65,130.14,24365569,36.4
2025-06-12,130.5,132.0,127.03,129.55,12497540,42.37
2025-06-13,125.1,128.9,124.65,127.91,7764924,34.31
2025-06-16,128.45,130.25,125.37,127.73,6186076,41.91
2025-06-17,128.23,130.96,125.0,125.77,4881905,31.22
2025-06-18,125.74,126.39,122.9,123.45,3981948,42.8
