DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,388.45,401.0,385.6,394.75,158604,45.94
2025-04-15,395.0,404.95,392.25,401.9,236679,45.6
2025-04-16,400.25,442.05,398.35,441.05,973737,36.88
2025-04-17,447.0,464.6,431.05,434.9,529618,32.7
2025-04-21,435.05,444.95,430.0,434.95,142368,49.24
2025-04-22,437.6,437.6,423.2,426.15,121625,53.22
2025-04-23,428.75,430.6,405.1,425.05,510129,48.78
2025-04-24,425.15,450.0,423.6,442.55,319493,47.64
2025-04-25,446.95,448.0,414.05,429.1,216319,41.46
2025-04-28,422.25,447.45,422.25,437.35,278870,31.14
2025-04-29,443.9,463.05,430.45,434.95,638521,25.3
2025-04-30,435.0,446.3,415.05,419.25,175991,43.12
2025-05-02,419.45,426.0,414.35,418.55,137283,47.72
2025-05-05,413.1,425.0,408.2,421.1,115394,57.56
2025-05-06,421.1,421.1,403.95,408.5,87720,48.98
2025-05-07,404.0,435.7,399.65,432.85,209474,29.99
2025-05-08,432.85,457.4,421.55,428.1,311364,41.4
2025-05-09,407.1,429.7,407.1,418.25,97838,45.83
2025-05-12,443.0,444.9,431.0,438.75,124574,45.59
2025-05-13,439.5,468.0,436.6,453.45,579016,34.98
2025-05-14,458.45,467.8,442.05,447.1,261878,33.83
2025-05-15,450.0,458.05,439.25,442.4,116235,42.65
2025-05-16,444.45,459.9,418.0,425.1,252769,32.6
2025-05-19,426.05,439.7,422.5,437.25,116051,43.68
2025-05-20,450.0,480.95,442.3,475.3,714157,39.79
2025-05-21,484.45,488.0,453.15,457.55,289082,41.39
2025-05-22,460.0,463.2,447.0,451.2,74755,48.47
2025-05-23,447.0,467.15,442.45,460.6,122920,50.09
2025-05-26,460.6,478.95,452.5,461.0,466519,56.27
2025-05-27,454.95,456.7,434.95,441.4,285348,44.93
2025-05-28,444.75,485.0,438.8,477.7,369019,54.68
2025-05-29,484.8,488.45,460.0,464.85,164716,45.41
2025-05-30,468.0,473.6,463.0,465.0,65472,40.24
2025-06-02,469.85,469.85,450.8,454.1,102005,57.78
2025-06-03,451.15,465.0,451.15,460.9,55237,39.88
2025-06-04,464.1,471.95,453.15,461.15,96126,48.05
2025-06-05,461.0,468.0,457.0,460.95,69632,51.49
2025-06-06,459.35,473.05,459.15,462.4,67406,41.98
2025-06-09,462.4,466.9,455.1,459.15,55482,54.45
2025-06-10,462.0,478.0,455.35,472.8,139911,59.94
2025-06-11,471.0,478.0,457.45,459.45,103839,58.84
2025-06-12,464.8,464.8,442.6,444.6,87116,60.92
2025-06-13,440.0,450.0,434.5,448.2,72664,40.85
2025-06-16,454.0,454.0,438.1,443.0,42192,50.71
2025-06-17,441.2,451.8,436.5,439.4,110539,61.64
2025-06-18,440.1,460.0,439.1,451.55,92392,36.02
2025-06-19,451.55,459.7,443.9,450.75,72291,54.19
2025-06-20,450.7,453.15,440.25,449.1,42174,48.65
2025-06-23,449.0,450.95,429.0,431.05,125142,59.17
2025-06-24,440.0,452.15,435.85,447.9,87302,52.37
2025-06-25,448.25,460.15,447.0,454.8,91979,56.38
2025-06-26,451.8,454.95,442.8,447.05,44468,45.87
2025-06-27,446.2,469.45,446.0,467.2,176271,54.63
2025-06-30,470.0,499.0,465.95,480.2,467402,51.32
2025-07-01,480.25,485.0,471.1,481.45,212569,81.27
2025-07-02,481.0,484.0,469.5,482.55,88423,49.8
2025-07-03,480.0,504.0,477.4,500.4,233408,46.67
2025-07-04,500.4,504.0,490.1,497.0,116634,51.52
2025-07-07,499.9,504.0,484.2,500.35,128062,52.83
2025-07-08,505.0,522.0,504.0,518.45,496393,45.59
2025-07-09,518.65,540.0,511.65,524.2,306805,53.29
2025-07-10,530.0,536.45,522.85,534.75,129893,53.6
2025-07-11,535.05,537.7,522.5,532.5,103382,50.44
2025-07-14,532.5,546.9,526.75,536.3,79637,51.5
2025-07-15,537.0,545.0,532.85,540.05,107436,65.13
2025-07-16,544.95,549.15,533.95,546.75,69978,56.47
2025-07-17,546.75,549.85,542.6,544.7,62908,62.78
2025-07-18,550.0,559.0,543.0,554.05,72681,50.55
2025-07-21,553.0,560.2,531.3,546.9,156095,42.91
2025-07-22,553.9,553.95,538.0,543.05,53468,51.27
2025-07-23,546.1,546.1,534.0,539.35,39337,57.78
2025-07-24,543.8,543.8,530.05,533.35,288356,86.49
2025-07-25,525.0,539.8,521.0,523.5,129934,67.1
2025-07-28,525.95,530.0,507.0,518.95,226497,59.23
2025-07-29,507.1,520.0,506.0,511.6,244512,91.1
2025-07-30,515.45,521.0,509.1,516.6,183604,80.12
2025-07-31,502.0,517.0,502.0,513.85,40773,58.45
2025-08-01,513.85,515.85,501.0,504.6,159813,84.76
2025-08-04,504.6,508.75,497.85,501.35,44414,53.32
2025-08-05,501.35,504.0,487.85,492.85,64886,48.56
2025-08-06,500.0,500.0,474.3,486.4,65531,45.93
2025-08-07,485.0,486.0,457.9,476.5,246449,59.16
2025-08-08,473.0,477.7,464.0,467.65,146882,73.21
2025-08-11,461.0,465.0,453.2,463.05,50303,57.61
2025-08-12,463.75,469.35,451.85,458.35,77923,55.76
2025-08-13,459.5,490.0,453.9,483.7,127396,67.43
2025-08-14,483.75,494.1,478.0,489.0,54823,52.77
2025-08-18,493.0,510.0,493.0,505.05,203005,77.32
2025-08-19,507.6,524.0,501.0,504.15,417560,85.56
2025-08-20,500.1,511.5,498.1,505.2,78942,50.49
2025-08-21,503.85,507.0,496.55,504.2,182375,84.12
2025-08-22,504.95,511.95,500.95,507.8,53577,54.89
2025-08-25,512.0,523.45,510.0,514.35,64749,56.8
2025-08-26,513.05,523.05,491.85,508.8,48948,49.35
2025-08-28,506.55,509.0,496.35,505.4,24498,44.37
2025-08-29,500.35,509.0,494.45,503.6,101392,85.02
2025-09-01,525.0,525.05,509.8,518.75,57467,54.88
2025-09-02,511.8,520.55,509.0,512.0,30080,50.14
2025-09-03,516.25,517.95,506.9,512.65,18112,62.75
2025-09-04,522.95,525.0,509.3,510.5,33474,70.53
2025-09-05,514.8,518.25,503.9,511.25,37452,59.54
2025-09-08,502.1,514.15,501.25,504.45,21868,39.74
2025-09-09,500.0,509.6,499.0,503.45,22033,54.93
2025-09-10,500.1,511.55,500.1,508.15,17413,64.95
2025-09-11,511.0,523.0,508.6,515.15,40620,50.81
2025-09-12,517.95,551.95,511.6,516.4,444365,18.54
2025-09-15,516.4,534.0,511.3,528.65,74000,58.31
2025-09-16,536.95,536.95,514.9,520.05,33742,66.36
2025-09-17,528.8,546.2,524.8,533.75,179060,33.01
2025-09-18,539.8,539.8,522.5,528.85,52478,62.56
2025-09-19,533.8,533.8,509.1,512.5,111691,82.47
2025-09-22,512.0,522.8,511.95,515.05,32725,54.08
2025-09-23,515.0,517.9,511.1,515.45,20602,63.44
2025-09-24,509.0,522.6,509.0,516.4,18962,47.33
2025-09-25,516.3,516.3,501.0,505.1,23412,72.51
2025-09-26,501.0,511.7,482.2,500.0,29892,45.57
2025-09-29,493.6,509.7,487.2,495.8,29538,47.44
2025-09-30,497.25,501.0,491.0,498.0,88242,91.07
2025-10-01,491.15,504.4,490.25,500.8,43569,69.07
2025-10-03,496.0,505.4,496.0,500.6,19063,61.94
2025-10-06,502.45,508.05,495.8,500.05,33286,68.14
2025-10-07,492.0,506.6,492.0,499.25,22896,76.01
2025-10-08,501.7,504.35,499.0,500.2,13125,75.54
2025-10-09,504.3,505.95,497.9,500.2,32187,84.17
2025-10-10,500.2,504.0,497.8,500.0,16356,90.93
2025-10-13,500.0,504.15,494.7,499.85,17114,76.71
2025-10-14,497.7,502.35,497.1,500.05,18934,78.09
2025-10-15,497.55,508.1,491.9,499.15,23097,70.27
2025-10-16,501.5,504.0,498.8,500.8,18214,75.23
2025-10-17,501.0,507.8,491.15,494.05,21193,68.32
2025-10-20,494.05,497.8,482.0,495.95,29641,58.6
2025-10-21,500.0,500.0,489.0,492.55,2817,50.83
2025-10-22,500.0,500.0,489.0,492.55,2817,50.83
2025-10-23,499.8,499.8,468.65,489.35,54386,50.95
2025-10-24,497.8,497.8,475.0,486.7,34310,58.85
2025-10-27,486.9,490.0,478.15,486.15,23108,48.9
2025-10-28,488.55,489.5,476.0,486.4,31160,60.66
2025-10-29,485.2,493.0,480.7,488.1,16596,49.64
2025-10-30,486.0,490.05,480.0,482.95,13932,62.92
2025-10-31,475.7,484.25,470.0,480.0,26688,56.92
2025-11-03,475.1,484.0,475.1,481.05,21198,65.63
2025-11-04,472.35,485.0,472.35,477.5,6574,57.99
2025-11-05,472.35,485.0,472.35,477.5,6574,57.99
2025-11-06,485.0,502.9,460.0,481.45,222743,28.58
2025-11-07,481.45,499.0,481.45,492.8,55567,49.93
2025-11-10,494.9,499.8,481.4,490.7,68257,78.53
2025-11-11,484.05,498.15,479.1,481.7,57988,71.53
2025-11-12,490.0,490.95,477.55,478.7,24820,68.84
2025-11-13,477.3,479.8,466.2,477.7,58627,64.16
2025-11-14,484.9,484.9,466.0,468.2,35840,55.61
2025-11-17,470.0,479.0,460.8,475.1,43730,57.68
2025-11-18,475.0,481.3,468.1,475.05,12532,62.39
2025-11-19,474.5,495.0,468.0,490.85,24557,68.68
2025-11-20,500.0,506.3,493.4,499.5,40694,42.75
2025-11-21,506.0,506.0,491.0,491.65,15429,49.81
2025-11-24,496.8,496.8,476.0,481.35,17971,61.34
2025-11-25,491.0,491.0,473.55,478.75,11955,54.9
2025-11-26,478.0,483.95,475.0,477.0,12086,51.71
2025-11-27,479.0,480.65,464.6,468.0,21326,67.83
2025-11-28,467.0,472.5,458.3,466.9,89143,81.3
2025-12-01,466.9,475.0,463.2,469.4,14282,56.96
2025-12-02,465.0,470.0,459.95,468.35,43437,60.53
2025-12-03,468.35,470.3,460.1,461.55,7756,50.76
2025-12-04,461.9,464.15,451.0,455.35,44341,73.79
2025-12-05,452.0,458.0,440.05,451.7,76943,70.89
2025-12-08,449.0,449.0,426.8,429.2,124756,71.0
2025-12-09,429.2,472.1,419.65,448.55,61973,29.05
2025-12-10,448.55,453.85,441.15,446.15,17175,38.15
2025-12-11,435.1,445.65,435.1,442.25,10840,47.68
2025-12-12,442.0,451.65,440.3,450.05,15844,57.95
2025-12-15,443.3,452.15,440.1,448.55,8085,58.6
2025-12-16,444.5,461.3,441.0,448.75,9224,49.01
2025-12-17,459.8,459.8,435.1,441.55,9005,53.71
2025-12-18,441.5,444.5,435.0,437.45,11273,47.8
2025-12-19,440.0,449.95,436.1,444.25,8181,54.92
2025-12-22,440.0,460.0,438.6,451.35,15360,53.31
2025-12-23,460.0,460.1,440.1,443.55,21194,63.88
2025-12-24,445.8,445.8,430.0,433.25,16309,56.03
2025-12-25,445.8,445.8,430.0,433.25,16309,56.03
2025-12-26,427.0,436.8,422.75,434.3,17773,49.01
2025-12-29,428.0,434.8,418.1,422.85,20290,62.23
2025-12-30,422.85,426.0,412.0,416.35,12632,64.2
2025-12-31,415.75,442.5,414.3,437.6,44343,50.1
2026-01-01,437.6,442.9,429.7,432.4,10733,59.54
2026-01-02,430.1,444.0,430.1,442.0,16427,65.93
2026-01-05,435.3,451.0,435.3,443.55,13455,61.43
2026-01-06,440.75,445.0,435.8,440.5,13618,73.84
2026-01-07,447.5,448.95,435.2,442.2,84969,54.17
2026-01-08,439.55,440.9,426.0,435.55,47965,60.67
2026-01-09,436.4,436.65,422.1,429.75,23286,70.45
2026-01-12,423.3,425.7,411.65,416.8,15386,60.96
2026-01-13,416.6,431.6,411.15,430.35,27539,62.99
2026-01-14,429.5,435.7,418.85,427.75,21359,47.38
2026-01-15,429.5,435.7,418.85,427.75,21359,47.38
2026-01-16,425.0,427.95,414.0,416.45,15408,60.99
2026-01-19,415.45,420.6,409.0,411.9,9105,62.41
2026-01-20,414.45,425.0,405.1,412.3,9677,63.25
2026-01-21,423.8,423.8,389.05,403.6,22258,46.75
2026-01-22,417.45,433.0,412.0,419.1,20681,52.99
2026-01-23,414.15,435.0,410.25,430.4,17853,55.95
2026-01-26,414.15,435.0,410.25,430.4,17853,55.95
2026-01-27,432.0,448.9,430.0,437.0,21049,55.0
2026-01-28,444.8,450.0,434.5,444.0,17169,66.6
2026-01-29,437.3,446.15,427.1,428.2,10859,49.33
2026-01-30,427.05,452.0,421.8,449.35,26526,67.51
2026-02-02,437.1,451.95,421.2,442.0,10979,44.99
2026-02-03,479.95,486.2,425.25,437.3,98429,55.23
2026-02-04,449.8,451.8,435.75,440.3,32395,61.58
2026-02-05,438.0,449.15,435.05,439.9,5384,62.82
2026-02-06,435.95,448.95,426.0,443.2,13405,54.07
2026-02-09,417.1,448.0,414.85,442.7,96684,56.02
2026-02-10,421.2,440.0,416.0,425.05,52203,55.07
2026-02-11,426.4,440.0,415.1,418.3,20962,51.56
2026-02-12,418.3,429.05,416.4,426.6,15247,59.08
