DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,433.05,484.0,425.55,467.65,17316130,6.23
2025-04-15,477.5,504.5,473.9,485.6,6847178,10.75
2025-04-16,486.9,491.3,478.15,486.1,1113872,14.9
2025-04-17,484.85,486.5,472.0,479.1,691021,25.62
2025-04-21,480.0,492.9,479.7,488.75,732775,29.74
2025-04-22,492.0,522.0,487.6,506.0,1941656,26.86
2025-04-23,510.0,524.25,496.45,499.85,1030381,24.91
2025-04-24,500.0,507.0,491.35,493.95,610402,28.25
2025-04-25,498.35,499.0,466.2,477.25,1050479,34.78
2025-04-28,471.0,496.6,471.0,473.8,854843,28.6
2025-04-29,477.65,485.55,459.9,462.8,716882,40.37
2025-04-30,465.85,469.75,450.1,452.0,824230,37.15
2025-05-02,449.0,459.35,437.55,442.2,676703,32.41
2025-05-05,433.6,447.85,421.15,445.35,1833928,38.29
2025-05-06,446.0,450.4,437.0,441.35,717303,42.23
2025-05-07,428.5,444.0,428.5,433.3,556677,30.81
2025-05-08,434.95,439.7,412.15,418.05,610389,41.11
2025-05-09,401.5,425.0,401.5,421.4,894069,29.81
2025-05-12,439.4,444.65,431.5,442.9,763234,36.46
2025-05-13,444.65,451.65,436.1,447.45,781338,39.36
2025-05-14,448.1,455.15,444.25,451.95,722650,15.97
2025-05-15,454.1,459.0,448.2,454.8,644424,27.14
2025-05-16,454.1,459.0,451.05,454.75,427823,35.44
2025-05-19,454.75,472.0,454.45,470.0,884682,41.83
2025-05-20,473.0,478.8,465.0,466.45,453565,38.94
2025-05-21,464.4,483.0,459.05,473.95,570964,37.61
2025-05-22,475.0,478.35,465.9,468.85,346844,31.28
2025-05-23,468.9,476.0,467.1,469.4,347353,45.14
2025-05-26,450.0,451.45,434.6,444.35,2197223,32.47
2025-05-27,443.0,448.55,428.1,430.1,1477870,34.4
2025-05-28,432.0,446.45,432.0,435.4,834680,40.32
2025-05-29,436.95,442.85,432.05,437.2,673962,50.35
2025-05-30,441.1,441.1,434.05,437.1,370759,54.61
2025-06-02,433.0,436.6,431.1,433.95,278139,56.51
2025-06-03,439.85,443.45,434.0,435.45,284561,39.08
2025-06-04,435.0,441.55,433.85,438.55,218142,38.36
2025-06-05,440.0,454.0,439.05,442.35,555850,48.26
2025-06-06,444.2,447.4,434.0,435.95,236114,53.16
2025-06-09,438.75,451.2,436.25,449.5,469178,52.66
2025-06-10,455.0,456.6,447.35,453.65,581404,49.09
2025-06-11,455.7,460.0,447.25,451.9,523324,41.76
2025-06-12,451.9,457.5,446.25,448.7,403097,51.45
2025-06-13,440.6,453.7,440.0,448.95,280580,39.87
2025-06-16,448.1,451.65,441.45,449.25,244653,47.72
2025-06-17,448.8,456.85,447.05,450.05,355335,59.35
2025-06-18,450.05,453.25,446.1,449.9,172066,45.63
2025-06-19,450.5,459.5,437.35,440.15,442954,27.06
