DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-04-06,19.89,21.0,19.81,20.29,38023,72.5
2026-04-07,20.39,20.85,19.91,20.15,47223,76.69
2026-04-08,20.7,21.95,20.69,21.14,36708,68.6
2026-04-09,21.14,21.14,20.75,20.97,7037,84.08
2026-04-10,21.87,21.87,21.15,21.36,30929,79.34
2026-04-13,21.42,21.42,20.88,21.21,34956,80.41
2026-04-14,21.42,21.42,20.88,21.21,34956,80.41
2026-04-15,21.54,21.95,21.54,21.7,148522,97.91
2026-04-16,21.93,23.25,21.36,21.62,45417,71.61
2026-04-17,21.62,22.24,21.62,22.05,23143,64.72
2026-04-20,22.29,22.58,21.9,22.12,67740,64.48
2026-04-21,22.13,22.41,22.09,22.2,17149,95.53
2026-04-22,22.44,22.57,22.07,22.24,36748,78.94
2026-04-23,22.2,22.56,22.1,22.17,21441,96.11
2026-04-24,22.45,22.45,21.76,21.9,49355,75.52
2026-04-27,22.05,22.5,22.05,22.24,568342,83.11
2026-04-28,22.2,22.5,22.14,22.22,54533,60.04
2026-04-29,22.3,22.45,22.15,22.25,27537,64.52
2026-04-30,22.67,22.67,21.85,22.09,48628,87.81
2026-05-01,22.67,22.67,21.85,22.09,48628,87.81
2026-05-04,22.59,22.59,22.0,22.19,45472,89.86
2026-05-05,22.2,22.23,21.95,22.14,29262,86.19
2026-05-06,22.4,22.61,22.3,22.55,177962,81.49
2026-05-07,22.66,22.84,22.6,22.76,12566,91.67
2026-05-08,22.5,22.98,22.5,22.86,31463,81.32
2026-05-11,22.97,23.16,22.5,22.54,66090,65.17
2026-05-12,22.78,22.78,21.93,22.01,153340,70.38
2026-05-13,22.28,22.45,21.84,22.11,12902,78.59
2026-05-14,22.38,22.61,22.03,22.33,10366,65.45
2026-05-15,22.33,22.5,22.22,22.29,11865,93.73
2026-05-18,22.48,22.48,21.82,22.16,9608,65.48
2026-05-19,22.16,22.5,22.16,22.36,17344,57.46
2026-05-20,22.54,22.54,22.19,22.47,4209,73.11
2026-05-21,22.58,22.99,22.42,22.5,172997,97.09
2026-05-22,22.61,22.61,22.23,22.55,22719,71.68
2026-05-25,23.68,23.68,22.37,22.73,9988,73.74
2026-05-26,22.84,22.84,22.73,22.77,9403,99.87
2026-05-27,22.77,23.15,22.66,22.88,48507,85.56
2026-05-28,22.77,23.15,22.66,22.88,48507,85.56
2026-05-29,22.99,23.81,22.52,23.0,29398,87.09
2026-06-01,22.95,23.51,22.3,22.54,46817,87.54
2026-06-02,22.6,22.6,22.1,22.38,18534,93.94
2026-06-03,22.05,22.6,22.0,22.23,21269,77.84
2026-06-04,22.28,22.49,22.2,22.38,3690,58.62
2026-06-05,22.49,22.69,22.25,22.35,10980,37.48
2026-06-08,22.13,22.34,21.92,21.99,11601,90.72
2026-06-09,22.05,22.49,22.0,22.29,8387,89.15
2026-06-10,22.4,22.54,21.83,21.98,34819,78.7
2026-06-11,21.89,22.28,21.7,21.86,18217,67.61
2026-06-12,22.07,22.49,21.97,22.33,64513,66.26
2026-06-15,22.55,23.21,21.9,22.47,105554,49.04
2026-06-16,22.61,22.88,22.56,22.76,34943,86.26
2026-06-17,23.15,23.15,22.66,22.84,12806,87.36
2026-06-18,23.41,23.41,22.78,22.86,20632,79.42
2026-06-19,22.98,23.19,22.73,22.94,34075,77.55
2026-06-22,22.5,23.3,22.5,23.11,174065,98.97
2026-06-23,23.22,23.33,22.89,22.92,11395,80.74
2026-06-24,22.5,23.97,22.5,22.9,38625,55.57
2026-06-25,23.01,23.04,22.71,22.81,9487,78.35
2026-06-26,23.01,23.04,22.71,22.81,9487,78.35
2026-06-29,22.81,23.14,22.42,22.73,38761,54.58
2026-06-30,22.95,22.95,22.57,22.77,17444,78.61
2026-07-01,23.19,23.19,22.75,22.75,29319,90.49
2026-07-02,22.3,23.05,22.3,22.99,7831,73.12
2026-07-03,22.99,23.3,22.9,22.98,51342,88.43
2026-07-06,22.9,23.4,22.64,22.94,55648,37.69
2026-07-07,23.02,23.23,22.9,22.99,2306,95.97
2026-07-08,22.99,23.2,22.39,22.62,37598,88.02
2026-07-09,22.25,22.98,22.25,22.92,5484,71.13
2026-07-10,23.14,23.25,23.03,23.22,21202,96.63
2026-07-13,23.38,23.38,23.01,23.26,7652,91.37
2026-07-14,23.37,23.37,22.98,23.13,12542,82.61
2026-07-15,23.39,23.54,23.12,23.23,8139,94.16
2026-07-16,23.34,23.94,23.03,23.14,33911,64.77
2026-07-17,23.14,23.79,22.87,23.07,46967,97.55
2026-07-20,23.05,23.24,23.0,23.19,9768,82.77
