DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,122.09,125.0,121.21,124.16,752795,46.54
2025-04-15,126.95,131.79,125.46,130.26,2853383,53.77
2025-04-16,130.5,130.99,127.5,128.32,1697896,43.33
2025-04-17,127.9,133.0,127.11,127.81,2936849,42.89
2025-04-21,128.68,131.8,126.51,128.38,2011019,50.03
2025-04-22,129.02,143.4,127.66,142.35,13367195,30.03
2025-04-23,144.0,144.29,138.0,139.55,3734464,37.05
2025-04-24,139.06,142.18,137.9,138.94,2212332,46.21
2025-04-25,140.0,140.4,131.31,134.1,3721170,40.77
2025-04-28,135.0,139.9,133.1,138.67,2370932,41.28
2025-04-29,139.0,142.0,136.0,136.21,2090021,42.82
2025-04-30,136.5,139.9,134.0,134.51,1625987,35.71
2025-05-02,135.8,136.58,133.39,134.28,1394514,27.31
2025-05-05,135.15,139.3,134.2,137.62,2672307,36.61
2025-05-06,138.74,140.6,131.0,132.58,2618756,38.43
2025-05-07,131.0,131.45,125.2,126.83,3045074,36.56
2025-05-08,128.26,130.0,120.0,120.97,1994422,44.4
2025-05-09,116.0,123.55,115.99,122.42,2403688,38.93
2025-05-12,127.9,136.9,127.85,135.19,3489497,47.85
2025-05-13,134.0,137.0,133.0,134.51,1396388,43.8
2025-05-14,135.67,136.9,133.5,135.76,1271624,46.08
2025-05-15,137.9,145.32,137.54,143.94,5556783,43.07
2025-05-16,145.77,148.0,143.78,145.36,2833020,50.06
2025-05-19,146.4,150.57,144.34,147.38,2891451,44.42
2025-05-20,148.2,148.78,141.21,142.44,3296925,43.51
2025-05-21,142.88,149.0,140.32,148.41,2860958,37.69
2025-05-22,149.0,149.79,144.4,146.67,2126995,42.57
2025-05-23,147.3,157.4,145.59,152.99,6869963,34.49
2025-05-26,154.68,163.0,152.66,153.8,7032013,40.6
2025-05-27,154.9,158.8,151.0,156.91,3338435,40.09
2025-05-28,157.63,161.8,155.85,158.34,3579765,38.98
2025-05-29,151.01,153.3,137.7,149.29,12973732,28.37
2025-05-30,150.63,151.43,142.83,143.77,3091259,42.17
2025-06-02,142.5,144.83,138.5,139.26,2112142,50.34
2025-06-03,140.39,143.5,139.96,142.07,1861415,36.74
2025-06-04,142.78,143.36,140.11,140.59,1105315,47.28
2025-06-05,141.37,154.5,140.5,152.63,6199729,38.85
2025-06-06,153.1,156.0,149.75,151.26,1853952,38.0
2025-06-09,151.26,154.33,150.0,152.21,1970633,44.94
2025-06-10,152.96,154.89,151.76,152.6,1297270,47.67
2025-06-11,153.0,161.44,151.69,156.53,5445798,31.18
2025-06-12,157.45,165.0,155.69,162.88,5514335,35.35
2025-06-13,156.6,165.0,155.55,161.81,3505332,30.32
2025-06-16,162.99,163.95,157.67,161.04,2129427,25.41
2025-06-17,163.0,167.99,160.0,160.6,4852792,26.0
2025-06-18,161.05,164.6,159.0,159.98,1758237,32.61
2025-06-19,159.6,163.89,153.0,156.99,2212588,40.53
2025-06-20,155.68,162.86,155.0,161.43,2028931,33.36
2025-06-23,158.26,164.39,158.26,162.73,2012794,35.81
2025-06-24,165.25,166.0,161.2,162.09,1891173,44.52
2025-06-25,163.18,172.0,162.75,170.15,5058486,38.86
2025-06-26,171.0,172.7,166.35,168.99,2623637,36.83
2025-06-27,170.02,173.03,167.0,167.68,1922491,43.84
2025-06-30,167.68,169.36,160.52,161.46,2535484,54.72
2025-07-01,162.45,166.2,159.11,161.14,2660592,32.24
2025-07-02,161.14,162.28,156.52,157.03,1482040,50.03
2025-07-03,157.8,159.9,155.45,157.07,1252973,37.23
2025-07-04,157.49,158.09,155.59,156.69,841412,43.08
2025-07-07,156.69,158.88,154.35,155.29,753055,42.76
2025-07-08,155.1,156.95,152.6,154.2,799278,42.0
2025-07-09,153.7,157.81,153.7,156.92,1124450,38.95
2025-07-10,157.8,157.8,151.6,152.16,1225720,50.43
2025-07-11,152.1,153.85,148.0,149.06,1283018,50.97
2025-07-14,149.0,153.3,147.6,152.92,1316953,36.47
2025-07-15,152.92,156.62,152.91,153.74,895302,45.15
2025-07-16,153.49,155.64,151.61,153.3,774029,40.92
2025-07-17,153.98,157.25,153.94,154.44,702128,38.06
2025-07-18,156.5,161.59,155.31,160.26,2642414,36.89
2025-07-21,160.5,164.24,159.45,162.95,1739188,40.04
2025-07-22,163.01,163.45,160.0,161.45,894727,40.37
2025-07-23,161.25,162.1,158.45,160.79,789620,47.45
2025-07-24,161.48,165.53,160.39,164.15,2170002,47.05
2025-07-25,166.0,166.7,156.25,157.45,1815384,43.42
2025-07-28,157.1,159.69,151.99,153.0,1450931,41.08
2025-07-29,153.0,155.0,150.4,154.01,975431,36.59
2025-07-30,154.95,156.98,152.76,153.76,480104,40.21
2025-07-31,152.41,156.8,150.01,152.06,904759,46.77
2025-08-01,153.0,153.03,144.69,146.96,1212530,50.96
2025-08-04,147.5,152.14,146.21,151.63,770407,42.22
2025-08-05,151.9,153.5,150.47,152.63,604573,43.75
2025-08-06,153.29,155.34,150.25,153.63,892918,47.93
2025-08-07,151.35,153.99,146.61,150.38,1249308,43.97
2025-08-08,150.3,152.44,146.99,147.55,595280,52.74
2025-08-11,148.5,151.9,145.93,151.25,647118,43.61
2025-08-12,154.9,155.74,138.25,139.85,3815705,46.02
2025-08-13,140.42,144.44,140.42,142.41,1188199,39.08
2025-08-14,142.46,144.66,140.6,141.2,563403,44.59
2025-08-18,141.86,142.99,136.78,137.94,1227593,46.53
2025-08-19,138.59,143.5,137.51,142.8,949801,35.33
2025-08-20,142.85,143.77,139.72,140.2,972069,47.43
2025-08-21,140.9,142.5,140.1,140.23,495029,48.34
2025-08-22,140.49,142.35,139.62,140.06,610011,57.03
2025-08-25,140.79,141.15,137.0,140.04,977318,46.2
2025-08-26,139.69,140.86,138.11,139.42,465964,64.06
2025-08-28,138.99,139.4,136.3,136.73,659333,60.58
2025-08-29,137.4,139.31,136.65,137.23,430279,40.56
2025-09-01,137.5,139.49,136.1,136.73,508025,45.86
2025-09-02,136.87,141.0,136.01,138.41,697992,47.97
2025-09-03,138.9,141.03,138.06,138.67,371039,45.86
2025-09-04,140.0,141.11,133.1,133.76,1413066,58.2
2025-09-05,134.5,137.77,132.34,136.18,842560,42.9
2025-09-08,136.7,137.3,134.38,134.58,492055,63.57
2025-09-09,135.35,137.0,133.25,135.03,732997,53.33
2025-09-10,135.03,137.0,134.0,134.59,552057,50.91
2025-09-11,135.1,136.61,134.5,134.69,430699,54.31
2025-09-12,134.2,135.99,131.0,131.35,1016999,58.61
2025-09-15,131.87,136.8,131.35,134.29,1044103,49.61
2025-09-16,134.94,135.58,133.61,134.14,457656,55.88
2025-09-17,134.95,135.81,133.55,133.83,386452,56.8
2025-09-18,134.3,134.86,133.0,133.33,331439,52.24
2025-09-19,133.3,135.7,133.0,135.09,516188,52.26
2025-09-22,135.0,141.0,133.3,139.89,1499504,55.91
2025-09-23,140.8,142.6,138.32,140.89,929389,47.15
2025-09-24,141.9,141.9,136.36,136.84,412199,54.52
2025-09-25,136.55,139.53,136.03,136.53,309409,51.02
2025-09-26,136.0,136.56,134.1,134.94,331745,55.23
2025-09-29,134.99,135.23,128.15,128.62,1211493,50.36
2025-09-30,129.5,133.35,123.51,124.26,1625242,62.94
2025-10-01,124.8,127.71,121.21,124.59,1635791,55.62
2025-10-03,125.61,127.0,124.32,126.28,805747,41.94
2025-10-06,126.0,126.4,122.89,123.23,775645,52.52
2025-10-07,123.48,125.9,123.3,124.36,658093,44.57
2025-10-08,124.0,126.85,123.5,124.15,569824,47.8
2025-10-09,124.15,127.69,123.06,126.6,1317525,62.0
2025-10-10,127.29,127.7,125.74,126.12,358459,53.07
2025-10-13,125.5,126.61,123.98,124.41,483291,58.24
2025-10-14,125.35,125.9,123.0,123.23,296453,51.24
2025-10-15,123.8,125.3,123.19,124.19,274127,56.55
2025-10-16,124.8,130.0,124.49,127.7,1068429,37.46
2025-10-17,127.96,136.0,127.65,133.16,2294382,30.23
2025-10-20,134.76,134.92,130.2,131.28,627597,47.8
2025-10-21,131.99,132.56,130.55,132.1,171470,59.34
2025-10-22,131.99,132.56,130.55,132.1,171470,59.34
2025-10-23,132.1,132.34,128.75,129.14,517520,57.14
2025-10-24,129.0,131.6,128.81,131.13,611816,52.64
2025-10-27,131.47,132.25,127.57,128.04,479018,55.2
2025-10-28,128.1,129.99,127.31,127.72,421863,52.4
2025-10-29,128.4,129.95,127.75,129.27,489691,56.74
2025-10-30,129.4,134.02,129.03,132.61,1103107,40.18
2025-10-31,133.0,133.83,129.3,129.63,643483,53.29
2025-11-03,129.69,132.7,129.24,131.84,555254,48.96
2025-11-04,131.91,131.91,129.56,130.1,284792,57.52
2025-11-05,131.91,131.91,129.56,130.1,284792,57.52
2025-11-06,130.79,130.79,125.42,126.47,631378,37.55
2025-11-07,126.4,128.59,124.65,127.24,378402,47.06
2025-11-10,125.9,127.32,124.51,125.09,380268,57.1
2025-11-11,125.09,125.8,122.86,123.36,467055,59.33
2025-11-12,123.36,129.8,123.36,129.07,684596,48.96
2025-11-13,129.5,131.0,125.85,126.37,711703,42.31
2025-11-14,121.4,123.37,118.1,121.47,1554546,50.44
2025-11-17,121.2,122.9,120.55,121.59,553355,56.63
2025-11-18,122.0,122.72,120.35,121.16,446817,59.57
2025-11-19,121.16,122.61,120.1,121.88,452474,60.21
2025-11-20,121.2,122.6,119.0,119.54,505508,57.26
2025-11-21,119.0,119.76,115.51,116.0,780062,66.6
2025-11-24,117.0,117.9,113.0,114.06,433054,58.11
2025-11-25,113.48,118.1,113.41,117.04,458710,37.7
2025-11-26,118.0,118.47,116.0,116.45,330539,54.17
2025-11-27,116.54,118.69,116.5,117.9,267080,55.81
2025-11-28,118.02,118.1,116.1,116.31,255398,57.39
2025-12-01,117.0,117.4,113.2,113.65,595196,59.34
2025-12-02,114.09,114.78,111.44,113.19,467239,53.93
2025-12-03,113.31,114.2,110.64,111.53,360312,54.92
2025-12-04,114.5,114.5,111.04,111.74,459796,38.95
2025-12-05,111.67,111.78,108.2,108.62,583361,57.5
2025-12-08,108.65,109.45,104.4,105.6,1161292,54.36
2025-12-09,105.18,108.9,102.69,107.31,1027080,60.77
2025-12-10,109.0,109.19,106.5,107.32,386406,52.54
2025-12-11,107.7,108.02,105.7,107.71,198942,50.28
2025-12-12,108.19,109.32,107.13,107.7,532554,52.13
2025-12-15,107.31,109.9,106.69,108.62,413130,54.32
2025-12-16,108.31,108.31,106.53,107.12,376138,53.36
2025-12-17,106.1,107.16,104.9,105.3,398025,52.67
2025-12-18,105.49,105.78,103.5,104.17,491893,55.35
2025-12-19,104.4,106.79,104.35,106.32,331521,44.8
2025-12-22,106.97,108.2,106.57,107.82,219757,58.93
2025-12-23,108.2,108.4,106.96,107.16,245224,60.17
2025-12-24,107.45,111.59,107.16,110.39,709773,44.39
2025-12-25,107.45,111.59,107.16,110.39,709773,44.39
2025-12-26,112.05,112.2,108.13,108.67,723144,41.52
2025-12-29,109.3,109.3,105.35,105.85,429334,53.53
2025-12-30,105.15,106.76,105.05,105.63,330529,44.14
2025-12-31,105.15,108.39,105.15,107.57,331704,44.71
2026-01-01,107.75,108.45,106.4,107.12,258028,50.52
2026-01-02,107.4,109.89,107.14,109.35,460578,48.63
2026-01-05,109.4,110.12,106.52,107.14,334076,62.02
2026-01-06,107.5,107.88,105.66,106.48,320687,51.11
2026-01-07,106.48,106.89,105.7,106.54,224372,53.74
