DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,126.5,126.5,123.11,123.67,294332,51.07
2025-04-15,125.3,134.98,125.3,131.12,1112620,37.06
2025-04-16,133.1,133.4,129.5,130.53,515309,45.72
2025-04-17,129.5,131.52,127.7,128.15,449337,49.78
2025-04-21,130.0,131.4,127.89,129.05,526566,47.22
2025-04-22,129.65,134.0,127.23,130.3,856366,40.06
2025-04-23,132.0,132.4,128.5,129.8,424955,48.97
2025-04-24,129.8,134.49,129.41,130.4,665757,43.7
2025-04-25,131.71,131.96,121.42,124.04,838640,43.69
2025-04-28,122.2,131.75,121.2,128.45,736043,63.46
2025-04-29,129.5,133.0,123.6,126.85,590643,38.24
2025-04-30,126.5,126.79,121.4,122.0,371254,56.29
2025-05-02,123.0,124.95,121.08,121.84,350436,45.47
2025-05-05,124.5,130.0,121.58,129.23,1041577,41.88
2025-05-06,130.5,131.89,122.31,123.36,891211,48.46
2025-05-07,118.0,121.29,114.63,117.74,1400560,42.67
2025-05-08,119.0,122.55,116.0,117.21,731189,39.87
2025-05-09,111.65,115.87,111.65,114.99,602260,43.71
2025-05-12,126.6,126.6,120.66,125.59,827919,48.27
2025-05-13,125.59,127.54,124.25,124.64,570166,49.28
2025-05-14,125.0,126.49,123.71,124.79,598255,54.43
2025-05-15,125.0,126.79,124.12,124.83,457946,51.08
2025-05-16,125.45,127.37,124.06,125.1,692157,54.13
2025-05-19,127.0,130.84,125.6,128.05,1227824,47.35
2025-05-20,130.45,132.3,126.37,126.74,1189313,44.11
2025-05-21,127.2,127.98,124.5,125.76,517962,46.3
2025-05-22,125.65,125.98,124.0,124.42,435084,54.63
2025-05-23,125.0,125.58,122.51,123.35,484913,51.29
2025-05-26,124.0,125.0,121.5,121.73,582271,65.21
2025-05-27,122.3,122.5,120.35,121.17,540908,61.4
2025-05-28,121.6,122.44,120.0,120.37,443877,60.99
2025-05-29,121.0,121.75,119.01,119.61,478232,56.34
2025-05-30,120.5,124.5,119.6,123.38,1002481,41.68
2025-06-02,124.9,125.0,122.04,123.34,579806,54.57
2025-06-03,124.0,148.0,123.42,147.26,10915243,28.6
2025-06-04,150.4,168.5,150.25,164.08,15692457,15.96
2025-06-05,165.0,165.54,151.9,152.63,4418081,38.36
2025-06-06,152.15,161.74,151.01,156.34,3201925,30.05
2025-06-09,158.0,158.9,153.15,155.65,1593434,45.33
2025-06-10,156.0,164.31,155.93,159.22,2683598,38.03
2025-06-11,160.01,164.0,158.0,159.53,1884285,48.62
2025-06-12,159.53,159.85,149.5,151.8,1451573,51.01
2025-06-13,143.75,149.5,143.75,148.49,1088008,40.92
2025-06-16,147.2,149.6,141.62,147.25,988657,35.01
2025-06-17,147.99,151.5,141.41,142.12,1255039,33.1
