DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,139.5,139.8,134.6,136.13,1058137,35.75
2025-04-15,138.05,142.16,138.05,140.88,1285572,56.65
2025-04-16,141.4,145.3,139.91,142.23,955048,40.12
2025-04-17,142.0,144.57,140.92,141.62,451290,43.67
2025-04-21,142.09,148.2,142.09,147.77,1095206,45.79
2025-04-22,145.0,149.8,145.0,147.72,725465,36.59
2025-04-23,148.48,150.0,145.0,148.4,674570,39.64
2025-04-24,148.99,151.0,146.5,147.82,548698,36.93
2025-04-25,148.9,148.9,140.48,142.45,853766,36.14
2025-04-28,142.9,143.7,140.0,142.72,353567,34.76
2025-04-29,142.2,144.74,142.0,142.61,434509,36.28
2025-04-30,142.61,143.77,136.6,138.48,525404,42.9
2025-05-02,139.8,139.8,136.01,136.85,312065,34.71
2025-05-05,136.99,139.38,135.65,138.17,278966,41.01
2025-05-06,138.07,139.18,130.3,133.73,578959,37.13
2025-05-07,131.0,134.29,130.3,132.69,345267,32.65
2025-05-08,132.99,136.07,131.0,133.17,399924,36.95
2025-05-09,128.0,132.94,128.0,131.25,307806,46.06
2025-05-12,135.9,149.5,135.89,148.63,1902508,32.68
2025-05-13,147.0,154.2,145.01,152.64,1226910,42.55
2025-05-14,155.0,162.66,154.94,159.96,1896982,38.66
2025-05-15,164.01,164.85,159.96,162.46,962516,43.44
2025-05-16,164.51,169.9,162.0,166.88,1230619,47.9
2025-05-19,168.44,180.9,168.44,176.88,2753706,35.98
2025-05-20,177.38,181.0,173.47,174.81,1937485,25.02
2025-05-21,172.0,175.96,170.01,170.76,593991,36.74
2025-05-22,170.89,174.11,168.08,171.06,479426,39.63
2025-05-23,172.22,174.01,167.0,169.16,576714,39.84
2025-05-26,162.0,183.69,162.0,179.01,3067905,37.21
2025-05-27,180.24,183.8,177.0,178.33,1200646,39.45
2025-05-28,179.97,183.95,176.51,177.65,902158,26.48
2025-05-29,179.0,193.0,177.97,191.04,5140994,22.98
