DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-01-28,112.6,119.67,109.0,109.98,28514464,44.81
2026-01-29,108.0,108.9,99.85,100.85,13323901,48.5
2026-01-30,99.95,109.3,98.55,106.62,7085928,40.79
2026-02-02,107.03,108.8,104.5,107.52,2562057,64.55
2026-02-03,109.04,112.25,104.9,111.08,3443049,46.09
2026-02-04,109.02,116.9,107.5,116.08,4118930,39.42
2026-02-05,117.0,119.5,113.4,114.16,2452084,31.44
2026-02-06,114.0,117.07,111.74,113.95,1379988,23.49
2026-02-09,115.29,116.29,112.51,114.62,2265476,58.72
2026-02-10,116.89,122.98,114.81,118.11,7330989,33.57
2026-02-11,118.69,120.0,117.15,118.99,2268134,49.75
2026-02-12,118.0,125.32,117.1,124.28,11127467,36.29
2026-02-13,124.0,127.75,121.86,124.73,8281576,43.85
2026-02-16,123.0,124.72,119.04,121.09,2213287,50.55
2026-02-17,121.0,121.19,116.26,119.36,3007472,51.27
2026-02-18,121.0,123.02,119.39,122.54,1214767,32.11
2026-02-19,122.54,122.75,119.94,120.77,2029273,69.31
2026-02-20,120.43,121.22,115.1,116.85,1601846,61.44
2026-02-23,115.09,118.16,113.16,117.13,1353269,48.92
2026-02-24,116.58,116.9,112.75,116.32,846924,52.7
2026-02-25,115.73,119.0,114.28,118.43,1406814,55.51
2026-02-26,118.7,124.0,117.18,121.2,1625655,66.7
2026-02-27,120.01,122.55,120.0,121.14,535621,61.34
2026-03-02,114.5,121.92,114.5,120.59,1350770,47.27
2026-03-03,114.5,121.92,114.5,120.59,1350770,47.27
2026-03-04,119.0,120.59,116.21,119.01,1343387,54.23
2026-03-05,119.89,124.9,119.89,124.11,1901133,52.82
2026-03-06,124.06,124.3,117.35,119.95,978339,47.67
2026-03-09,119.95,119.96,111.55,115.02,1630893,51.31
2026-03-10,116.74,117.43,113.75,114.67,703368,41.88
2026-03-11,114.89,117.51,111.47,112.3,851254,50.96
2026-03-12,112.0,113.33,108.07,111.97,759179,54.53
2026-03-13,112.0,112.0,106.0,107.47,944363,49.46
2026-03-16,107.0,109.79,104.03,108.78,708953,44.54
2026-03-17,108.45,112.3,107.37,111.74,468607,47.28
2026-03-18,111.74,113.3,110.9,112.39,383555,46.17
2026-03-19,108.13,111.0,106.97,109.52,1469513,83.77
2026-03-20,109.0,113.63,109.0,112.11,685224,54.33
2026-03-23,111.87,114.0,107.96,111.78,1032695,54.74
2026-03-24,111.78,114.2,110.29,113.58,509782,45.57
2026-03-25,113.0,118.0,113.0,116.99,2284365,58.11
2026-03-26,113.0,118.0,113.0,116.99,2284365,58.11
2026-03-27,114.53,117.0,112.6,116.03,1244363,62.73
2026-03-30,115.0,115.91,111.11,114.87,719520,44.12
2026-03-31,115.0,115.91,111.11,114.87,719520,44.12
2026-04-01,115.38,118.53,115.31,117.6,726992,51.74
2026-04-02,117.29,118.43,113.69,117.04,390394,42.6
2026-04-03,117.29,118.43,113.69,117.04,390394,42.6
2026-04-06,114.9,118.5,114.55,117.85,653038,45.23
2026-04-07,117.56,120.7,117.01,118.26,498036,36.89
2026-04-08,122.5,126.8,121.27,124.28,3403338,65.78
2026-04-09,123.66,128.0,123.0,124.09,1013287,49.48
2026-04-10,125.1,136.4,124.94,132.34,5965068,49.24
2026-04-13,128.0,140.0,127.3,138.35,2418825,47.75
2026-04-14,128.0,140.0,127.3,138.35,2418825,47.75
2026-04-15,136.97,145.0,136.97,143.06,3420168,59.31
2026-04-16,143.0,143.0,136.1,140.82,1576942,39.46
2026-04-17,141.04,145.32,139.0,140.44,1489427,58.1
2026-04-20,139.49,147.9,138.0,146.13,2005079,53.47
2026-04-21,145.2,156.1,144.68,154.47,3481865,52.24
2026-04-22,153.0,161.0,152.94,158.7,2087793,49.63
2026-04-23,156.1,160.0,148.81,155.01,3460154,43.82
2026-04-24,155.0,155.9,149.11,150.56,954866,42.03
2026-04-27,152.08,157.8,151.56,156.26,1039416,48.98
2026-04-28,155.81,161.0,153.75,155.87,1753873,33.77
2026-04-29,157.08,172.98,156.0,166.04,3289005,36.95
2026-04-30,164.99,171.09,161.0,165.78,2803041,46.44
2026-05-01,164.99,171.09,161.0,165.78,2803041,46.44
2026-05-04,166.0,173.7,166.0,172.08,2665785,50.55
2026-05-05,172.9,176.9,166.4,170.45,1790419,39.7
2026-05-06,171.8,173.6,163.61,167.29,1814046,50.87
2026-05-07,168.9,173.5,168.3,170.02,895336,34.16
2026-05-08,170.02,177.01,167.01,169.48,1289599,38.32
2026-05-11,167.48,174.21,162.02,164.72,2454229,60.67
2026-05-12,165.9,166.5,161.91,163.71,1397809,61.45
2026-05-13,165.0,169.5,161.21,168.42,1527659,50.63
2026-05-14,169.9,170.4,163.5,164.45,1933504,67.82
2026-05-15,182.4,192.81,174.22,188.57,25861859,25.65
2026-05-18,187.69,197.63,183.15,185.61,6824448,26.33
2026-05-19,186.9,194.34,186.53,189.45,4168807,53.4
2026-05-20,194.4,197.1,185.75,195.33,6203569,45.03
2026-05-21,195.33,211.77,194.99,205.42,9531358,38.44
2026-05-22,207.25,207.25,200.09,201.28,2786415,53.29
2026-05-25,202.4,209.43,195.22,199.86,6432853,62.18
2026-05-26,201.7,203.94,198.02,198.63,1230339,45.78
2026-05-27,200.85,203.2,193.11,194.94,1618339,43.2
2026-05-28,200.85,203.2,193.11,194.94,1618339,43.2
2026-05-29,196.09,198.8,188.96,192.99,1581826,42.88
2026-06-01,193.0,194.89,184.21,191.24,3822076,60.87
2026-06-02,191.0,198.5,185.55,191.03,1662810,37.12
2026-06-03,192.59,198.95,190.42,195.33,1469239,44.88
2026-06-04,194.4,205.97,193.29,203.62,2539323,45.23
2026-06-05,203.5,204.2,198.41,201.07,1941061,65.76
2026-06-08,195.15,205.0,195.15,203.1,2935749,61.0
2026-06-09,204.9,219.0,203.11,216.9,4259498,43.6
2026-06-10,218.4,223.0,210.05,212.22,3692555,47.84
2026-06-11,211.51,220.18,209.01,209.99,2197562,39.43
2026-06-12,213.9,222.9,213.05,217.65,2061055,36.55
2026-06-15,222.8,230.0,222.5,223.82,2703466,50.26
2026-06-16,225.56,227.6,211.55,215.49,2002375,35.21
2026-06-17,214.0,221.77,213.1,215.25,1165626,44.37
2026-06-18,218.0,227.32,218.0,219.81,1558935,37.77
2026-06-19,220.8,225.0,213.8,222.15,1667506,57.07
2026-06-22,224.19,227.59,219.12,220.16,1200427,44.73
2026-06-23,220.16,224.45,215.91,221.67,1282124,46.75
2026-06-24,222.7,232.0,221.67,228.71,2704342,47.55
2026-06-25,228.87,232.9,217.33,221.31,1823644,37.82
2026-06-26,228.87,232.9,217.33,221.31,1823644,37.82
2026-06-29,222.3,227.97,219.33,226.21,1119949,51.04
2026-06-30,226.21,231.77,220.46,226.19,2025259,61.12
2026-07-01,226.21,239.64,226.0,235.3,2280226,39.64
2026-07-02,236.95,237.03,228.0,230.48,1232377,46.07
2026-07-03,231.9,231.9,222.0,225.45,1439912,51.68
2026-07-06,226.4,236.55,224.04,232.44,2156330,58.57
2026-07-07,233.9,241.63,221.1,227.35,2390044,53.29
2026-07-08,223.8,228.88,212.55,218.86,1559961,45.72
2026-07-09,221.63,228.29,218.33,219.97,1239469,53.79
2026-07-10,222.0,233.89,221.65,228.13,2126650,57.29
2026-07-13,227.0,233.25,221.0,222.61,1161667,40.65
2026-07-14,222.1,224.0,204.5,208.7,3721885,43.15
2026-07-15,209.8,212.3,203.49,205.63,1642065,51.94
2026-07-16,205.0,212.8,195.31,203.97,4655253,54.61
2026-07-17,204.25,233.92,203.64,223.25,7760317,45.84
