DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,55.79,59.0,54.73,58.2,25009,66.48
2025-04-15,59.0,66.36,59.0,65.26,49391,54.91
2025-04-16,66.2,71.0,64.41,68.89,77529,52.16
2025-04-17,69.7,74.2,68.26,69.7,85025,49.02
2025-06-17,56.05,57.9,56.0,56.52,14062,78.27
2025-06-18,56.43,59.34,54.82,59.34,78974,87.19
2025-06-19,62.0,62.3,58.61,59.92,123406,68.58
2025-06-20,62.4,62.4,58.16,58.95,9958,47.95
2025-06-23,59.0,61.89,58.25,61.89,39460,84.01
2025-06-24,63.7,64.96,60.25,61.38,23826,43.99
2025-06-25,62.7,62.7,59.26,60.59,4283,73.45
2025-06-26,60.1,61.5,60.0,61.09,10280,95.07
2025-06-27,62.0,64.1,60.22,63.09,20540,56.9
2025-06-30,63.08,63.08,60.61,61.57,14037,53.44
2025-07-01,61.97,63.0,60.35,62.16,10920,59.26
2025-07-02,62.12,65.26,61.5,61.9,23917,59.0
2025-07-03,63.31,64.99,60.39,64.99,68051,89.48
2025-07-04,65.68,67.9,64.54,65.21,29154,30.22
2025-07-07,66.0,68.47,65.75,68.24,90224,81.7
2025-07-08,69.4,69.4,64.82,65.83,90207,81.9
2025-07-09,64.92,66.2,63.11,63.25,23703,50.89
2025-07-10,63.64,64.25,62.02,63.49,26415,28.01
2025-07-11,63.99,63.99,61.5,62.75,18062,43.51
2025-07-14,65.6,65.6,61.05,61.99,6022,87.16
2025-07-15,62.44,63.88,61.0,61.67,12216,51.09
2025-07-16,62.24,63.58,61.23,62.62,7797,27.09
2025-07-17,63.15,63.59,62.01,62.55,7127,83.54
2025-07-18,62.6,63.28,62.04,62.68,4417,78.22
2025-07-21,60.37,64.9,60.37,61.25,18180,41.52
2025-07-22,62.59,64.31,62.0,62.44,47954,71.64
2025-07-23,63.15,63.49,60.55,61.14,21827,51.81
2025-07-24,62.99,63.07,59.3,60.74,51936,83.68
2025-07-25,61.85,61.85,58.05,59.16,28470,65.97
2025-07-28,57.16,60.21,57.16,58.14,28016,86.89
2025-07-29,58.91,61.04,57.01,60.99,84130,92.41
2025-07-30,63.88,63.88,58.55,59.9,16211,43.12
2025-07-31,57.16,61.18,57.16,58.95,28119,47.53
2025-08-01,60.0,61.0,56.0,56.04,35476,44.51
2025-08-04,57.05,58.3,56.5,58.01,8831,46.47
2025-08-05,58.05,59.59,56.81,58.35,8014,23.85
2025-08-06,60.49,60.49,57.5,57.71,6242,50.91
2025-08-07,59.11,59.4,54.81,57.54,10709,29.95
2025-08-08,59.85,59.85,56.98,57.35,4163,23.95
2025-08-11,58.49,58.49,55.99,57.09,14558,73.46
2025-08-12,58.36,59.27,56.7,57.42,2720,63.49
2025-08-13,62.44,62.44,57.06,57.81,14423,29.88
2025-08-14,59.71,59.71,56.25,56.52,5405,84.51
2025-08-18,54.52,57.86,54.52,56.19,10869,77.72
2025-08-19,55.13,58.22,55.13,55.79,17903,66.53
2025-08-20,55.0,57.21,54.76,55.86,11829,66.45
2025-08-21,55.0,56.98,55.0,56.07,5834,60.87
2025-08-22,55.73,56.7,55.49,56.04,7799,84.77
2025-08-25,56.04,60.83,55.39,58.72,92529,74.3
2025-08-26,61.0,61.49,55.05,56.11,54563,38.85
2025-08-28,56.66,57.64,54.31,55.03,24829,57.33
2025-08-29,56.0,57.28,55.21,56.11,25830,33.52
2025-09-01,55.51,61.0,55.51,60.21,31375,73.56
2025-09-02,61.51,62.66,58.55,60.24,25171,39.32
2025-09-03,61.71,62.65,60.2,61.13,12347,27.05
2025-09-04,59.31,64.41,58.0,58.29,18212,37.16
2025-09-05,60.94,64.11,60.4,62.56,350185,48.34
2025-09-08,64.0,68.81,64.0,68.81,493677,60.6
2025-09-09,72.0,75.69,72.0,75.69,672876,65.76
2025-09-10,78.5,79.47,72.65,75.71,348618,54.35
2025-09-11,75.99,78.0,72.21,73.43,132789,78.73
2025-09-12,73.25,73.9,69.75,69.75,143757,89.99
2025-09-15,69.75,73.23,69.42,73.1,47085,74.68
2025-09-16,76.0,76.65,72.48,75.69,39341,71.28
2025-09-17,78.69,78.69,72.12,72.39,30087,60.52
2025-09-18,74.75,74.75,71.15,72.48,23243,77.74
2025-09-19,72.11,72.52,69.74,72.17,65638,67.35
2025-09-22,72.9,73.5,70.0,70.05,26946,71.81
2025-09-23,70.05,71.27,67.2,69.31,39055,57.98
2025-09-24,69.31,70.8,66.05,66.35,40444,54.9
2025-09-25,65.84,69.66,65.4,68.01,53778,49.98
2025-09-26,66.55,68.78,64.9,66.53,57728,49.4
2025-09-29,65.2,69.85,64.54,68.22,40327,55.59
2025-09-30,67.7,69.9,66.82,67.11,48351,38.05
2025-10-01,67.1,70.46,67.0,70.46,22348,59.11
2025-10-03,73.98,73.98,70.91,72.3,40999,68.05
2025-10-06,72.3,72.99,70.0,70.22,25777,49.6
2025-10-07,70.89,72.99,70.5,72.25,17206,56.99
2025-10-08,72.25,72.8,69.1,69.77,34400,68.31
2025-10-09,71.8,71.8,68.5,69.02,14766,46.53
2025-10-10,68.7,69.45,66.91,67.3,9272,75.38
2025-10-13,67.99,68.59,67.24,67.64,21263,63.22
2025-10-14,68.6,69.84,66.84,67.58,22326,69.74
2025-10-15,65.4,68.47,65.4,67.66,17825,58.08
2025-10-16,67.54,67.98,66.62,67.04,15491,68.83
2025-10-17,65.02,67.65,65.02,66.07,13643,62.43
2025-10-20,65.1,69.3,65.1,68.94,11529,63.05
2025-10-21,68.99,69.3,68.01,68.77,2306,76.24
2025-10-22,68.99,69.3,68.01,68.77,2306,76.24
2025-10-23,66.26,71.95,66.26,71.3,16356,76.01
2025-10-24,69.2,71.17,67.85,68.03,16291,58.6
2025-10-27,69.44,70.95,67.08,70.28,23469,50.21
2025-10-28,70.95,73.78,68.7,72.77,39624,66.23
2025-10-29,74.5,76.4,71.5,74.21,31134,56.3
2025-10-30,76.7,76.7,72.1,72.79,28315,43.86
2025-10-31,76.3,76.42,72.12,75.64,34697,52.0
2025-11-03,75.64,78.94,74.1,76.24,32494,48.93
2025-11-04,78.0,80.05,75.48,79.88,64420,63.25
2025-11-05,78.0,80.05,75.48,79.88,64420,63.25
2025-11-06,80.97,83.85,78.05,78.07,39061,58.61
2025-11-07,79.98,80.75,75.11,80.05,45706,52.42
2025-11-10,77.15,81.73,77.15,78.85,54297,54.03
2025-11-11,78.8,81.0,77.3,79.46,25280,62.01
2025-11-12,78.15,81.35,76.2,77.55,28448,57.78
2025-11-13,77.16,79.67,76.07,79.0,18524,47.76
2025-11-14,79.0,80.63,75.32,76.05,31640,59.48
2025-11-17,75.0,76.78,73.4,75.3,28530,59.09
2025-11-18,74.34,75.89,73.25,73.85,17063,51.02
2025-11-19,73.26,77.54,72.0,77.54,35845,77.01
2025-11-20,76.99,80.83,76.99,78.64,24855,35.61
2025-11-21,77.65,81.85,77.65,80.2,44873,55.17
2025-11-24,79.8,82.0,76.22,76.71,21151,40.38
2025-11-25,76.0,78.65,75.72,77.7,7614,42.74
2025-11-26,81.5,81.5,74.0,75.37,36249,46.97
2025-11-27,75.37,75.37,73.79,74.14,18516,75.41
2025-11-28,74.0,74.45,70.6,71.35,28273,64.11
2025-12-01,71.1,74.3,70.01,72.7,37702,51.08
2025-12-02,70.15,74.32,70.15,72.22,80395,84.4
2025-12-03,71.39,72.99,69.55,71.18,8022,48.13
2025-12-04,70.77,71.85,69.1,69.95,14219,89.83
