DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-17,17.94,17.94,16.01,17.21,29464,96.06
2026-08-18,17.15,17.15,16.55,16.8,34643,91.24
2026-08-19,17.05,17.05,16.66,16.97,13981,95.37
2026-08-20,16.71,17.0,16.55,16.68,73171,83.87
2026-08-21,16.75,16.98,16.5,16.67,73715,82.25
2026-08-24,16.7,17.05,16.51,16.98,65125,90.48
2026-08-25,17.14,17.14,16.6,16.66,37597,94.99
2026-08-26,16.46,16.94,15.55,16.58,73128,80.74
2026-08-27,16.87,16.87,16.31,16.55,21023,88.73
2026-08-28,16.55,16.93,16.25,16.61,47261,84.09
2026-08-31,16.79,16.79,16.0,16.12,84227,78.64
2026-09-01,16.12,16.44,16.0,16.04,42593,84.26
2026-09-02,16.39,16.39,15.62,15.99,41292,89.01
2026-09-03,15.99,16.4,15.7,15.7,55110,76.46
2026-09-04,16.09,16.89,15.4,15.97,55679,70.49
2026-09-07,16.47,16.5,15.56,16.07,58521,88.26
2026-09-08,16.07,16.2,15.9,16.12,57311,95.94
2026-09-09,16.12,16.12,15.8,15.89,45230,81.88
2026-09-10,15.52,16.3,15.52,16.04,46357,91.8
2026-09-11,16.04,16.5,15.0,15.95,117344,74.53
2026-09-14,16.04,16.5,15.0,15.95,117344,74.53
2026-09-15,16.29,16.29,15.6,15.89,43700,77.97
2026-09-16,15.61,16.02,15.3,15.5,89358,81.24
2026-09-17,15.67,15.79,15.01,15.3,41715,80.76
2026-09-18,15.49,15.69,15.3,15.45,35784,81.35
2026-09-21,15.45,15.89,15.02,15.67,40457,46.39
2026-09-22,15.88,15.88,15.31,15.5,33780,79.95
2026-09-23,15.79,15.82,15.5,15.6,20634,83.21
