DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,590.15,601.0,586.95,594.1,14517,45.82
2025-04-15,605.0,616.0,595.0,610.7,29319,45.22
2025-04-16,616.0,629.0,609.15,616.65,17056,47.32
2025-04-17,616.65,624.5,605.0,609.0,15555,43.48
2025-04-21,610.0,620.8,599.5,606.4,19631,55.37
2025-04-22,610.0,623.85,601.75,608.7,13669,47.79
2025-04-23,614.8,620.0,601.0,609.45,22157,54.1
2025-04-24,610.0,629.05,608.55,614.5,24166,47.84
2025-04-25,614.0,615.85,570.6,585.05,37504,44.42
2025-04-28,580.0,592.4,570.9,575.85,17111,50.68
2025-04-29,581.6,586.7,571.2,575.35,8632,55.34
2025-04-30,570.05,574.1,562.0,565.9,10489,56.77
2025-05-02,560.0,590.0,560.0,573.05,12036,54.46
2025-05-05,570.05,582.0,565.1,579.6,8907,58.89
2025-05-06,585.4,586.1,561.15,562.1,11382,66.68
2025-05-07,563.0,575.35,555.4,564.65,11638,47.65
2025-05-08,567.4,577.0,556.0,559.3,8990,51.07
2025-05-09,553.95,559.8,539.95,551.1,16576,50.3
2025-05-12,564.0,600.0,564.0,577.75,22666,40.23
2025-05-13,580.65,600.0,574.75,595.6,14508,52.52
2025-05-14,595.6,601.0,571.8,598.55,29279,44.01
2025-05-15,596.5,605.0,590.6,600.25,20270,65.27
2025-05-16,598.0,605.0,580.0,583.65,32016,64.23
2025-05-19,586.0,605.0,584.85,594.4,20998,63.61
2025-05-20,599.2,615.0,582.05,587.35,53578,39.26
2025-05-21,589.5,599.8,579.3,582.3,12899,51.07
2025-05-22,581.4,591.95,575.1,580.1,11347,56.9
2025-05-23,576.3,587.95,575.25,584.95,15413,56.51
2025-05-26,584.05,602.0,581.0,582.4,17605,64.93
2025-05-27,586.0,591.95,576.5,581.2,16259,58.36
2025-05-28,580.05,593.95,580.05,586.2,16189,58.71
2025-05-29,588.0,598.0,582.0,586.7,23334,65.68
2025-05-30,588.0,601.0,575.0,589.95,31057,55.45
2025-06-02,580.0,580.0,555.75,560.2,65720,63.69
2025-06-03,563.0,568.95,555.45,559.7,18174,72.1
2025-06-04,560.45,567.4,551.7,553.15,25761,60.56
2025-06-05,555.0,568.95,546.8,550.15,33390,57.83
2025-06-06,550.5,558.0,545.0,550.45,17771,57.3
2025-06-09,555.95,568.0,546.05,561.1,19486,60.04
2025-06-10,564.15,569.95,550.15,551.9,22507,56.73
2025-06-11,556.05,571.0,548.35,551.8,53322,57.2
2025-06-12,553.1,569.8,551.35,554.9,25974,57.63
2025-06-13,550.05,553.05,543.0,547.3,27677,51.34
2025-06-16,550.05,550.35,536.55,538.9,31238,52.1
2025-06-17,541.6,547.95,527.0,530.5,25729,53.67
2025-06-18,530.5,535.0,524.5,527.75,17158,51.89
2025-06-19,526.0,534.1,514.95,520.6,19542,55.34
2025-06-20,522.65,536.8,514.5,526.45,31759,53.74
2025-06-23,517.0,530.85,515.0,525.15,21197,47.5
2025-06-24,530.9,538.3,515.6,518.8,42322,55.39
2025-06-25,526.0,532.9,516.2,528.45,27986,56.54
2025-06-26,531.15,554.0,531.15,544.45,44553,59.08
2025-06-27,540.1,567.05,540.1,543.4,50212,54.63
2025-06-30,540.2,549.15,538.05,541.55,17913,59.55
2025-07-01,546.9,546.9,529.55,531.75,32255,61.13
2025-07-02,539.75,539.75,527.0,529.4,22058,57.92
2025-07-03,529.6,550.0,527.5,541.65,15544,61.26
2025-07-04,541.65,549.0,529.9,536.0,35543,46.8
2025-07-07,544.05,554.8,521.8,548.15,76246,46.65
2025-07-08,545.8,550.55,538.4,545.15,27157,54.94
2025-07-09,549.25,551.65,534.85,536.15,17546,56.36
2025-07-10,543.0,543.0,527.0,530.1,17417,57.19
2025-07-11,532.0,538.95,521.4,527.55,22496,55.83
2025-07-14,530.2,530.8,518.1,520.65,27138,66.51
