DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,627.0,648.65,627.0,638.8,7102851,64.33
2025-04-15,651.95,674.55,649.15,672.0,6085948,54.29
2025-04-16,672.65,678.0,662.45,676.05,6571065,63.92
2025-04-17,677.0,695.65,668.55,691.75,5771289,42.25
2025-04-21,698.75,717.5,690.5,703.0,6740583,45.43
2025-04-22,703.0,709.95,700.0,703.5,3672514,55.44
2025-04-23,709.5,713.8,685.9,703.9,5442424,53.76
2025-04-24,704.0,705.5,694.5,696.65,5010172,57.12
2025-04-25,698.9,705.6,635.0,655.2,9784886,49.1
2025-04-28,622.7,630.4,596.15,622.0,32221482,43.39
2025-04-29,625.0,630.8,610.2,614.7,10387632,50.44
2025-04-30,614.7,621.8,606.5,611.7,7374108,56.87
2025-05-02,611.7,616.3,599.5,604.2,9193181,59.0
2025-05-05,610.15,630.9,607.2,628.85,8616953,54.89
2025-05-06,628.8,631.85,617.05,623.45,5098276,61.97
2025-05-07,618.2,638.0,617.25,636.65,5983998,53.08
2025-05-08,635.0,640.8,607.0,615.8,10052396,59.71
2025-05-09,600.0,612.35,596.65,601.45,5637324,47.33
2025-05-12,611.05,648.0,611.0,645.95,9560644,43.97
2025-05-13,641.6,647.8,631.95,633.6,5748439,64.23
2025-05-14,639.5,655.3,637.6,651.95,9324793,53.78
2025-05-15,654.8,679.95,644.15,674.8,9817422,47.58
2025-05-16,674.0,674.8,660.05,665.5,5415727,61.07
2025-05-19,670.0,683.9,666.0,677.8,4356035,49.66
2025-05-20,682.05,682.05,656.2,658.35,7035801,61.31
2025-05-21,658.35,661.65,638.7,658.0,7986603,53.28
2025-05-22,652.0,654.7,640.3,649.75,6840583,56.21
2025-05-23,651.0,663.6,646.15,659.85,3128629,44.58
2025-05-26,664.85,667.8,652.1,664.5,2963171,36.09
2025-05-27,667.8,670.0,657.0,661.9,2493252,34.72
2025-05-28,661.9,663.9,654.0,655.7,3244100,57.7
2025-05-29,655.7,659.7,648.1,652.25,4173868,58.16
2025-05-30,643.1,654.95,637.25,639.35,6693573,60.24
2025-06-02,638.3,647.9,625.0,642.55,4344402,47.4
2025-06-03,648.0,658.75,642.1,648.25,5336167,48.52
2025-06-04,649.95,661.85,640.0,641.2,6290382,47.7
2025-06-05,647.0,654.8,638.1,651.45,4542850,47.94
2025-06-06,654.0,690.9,644.3,688.25,20115034,46.45
2025-06-09,700.0,715.9,692.25,698.0,11413586,49.06
2025-06-10,705.0,705.95,690.7,700.4,6453133,63.56
2025-06-11,702.1,702.1,684.35,686.05,4586055,53.22
2025-06-12,689.0,690.0,666.6,668.05,4970089,56.81
2025-06-13,651.85,670.35,643.5,667.15,4687026,44.53
2025-06-16,669.0,681.25,668.6,676.15,6882573,61.06
2025-06-17,679.8,679.8,662.0,665.0,2390137,49.33
2025-06-18,663.05,673.5,659.15,662.1,3352972,55.24
2025-06-19,660.75,669.0,648.0,652.2,3342726,53.2
2025-06-20,652.0,670.9,650.5,666.35,7441267,58.87
2025-06-23,661.8,666.2,648.3,661.65,4243520,39.29
2025-06-24,674.0,682.0,673.4,676.05,4823566,48.53
2025-06-25,676.05,678.0,671.0,675.1,3211981,54.13
2025-06-26,675.15,707.55,674.25,703.2,19068571,62.88
2025-06-27,703.05,706.9,696.6,699.95,7554681,62.9
2025-06-30,700.0,714.0,699.9,706.85,3721603,47.7
2025-07-01,708.0,710.55,694.0,696.45,3524637,61.69
2025-07-02,695.75,698.85,675.0,676.9,3288839,50.0
2025-07-03,681.6,684.25,672.95,675.4,6014549,60.97
2025-07-04,675.95,684.4,670.0,676.15,3843226,49.9
2025-07-07,676.15,680.0,669.0,671.3,1770086,52.18
2025-07-08,672.0,677.4,667.3,668.95,2820100,60.43
2025-07-09,671.25,683.0,671.0,681.05,3560120,49.72
2025-07-10,684.0,687.35,671.0,671.75,3035156,46.43
2025-07-11,676.0,676.7,662.4,668.25,4931083,61.58
2025-07-14,670.0,672.9,662.5,669.75,2832157,55.0
2025-07-15,674.9,688.0,670.7,684.45,3786182,59.8
2025-07-16,674.0,674.0,654.5,668.35,9358644,41.83
2025-07-17,670.0,672.0,664.85,665.45,2671888,58.6
2025-07-18,670.0,670.5,644.5,645.5,6570609,62.36
2025-07-21,645.5,658.0,637.5,655.65,4980207,48.72
2025-07-22,658.0,659.9,639.0,640.15,4671422,65.38
2025-07-23,642.0,654.75,638.05,654.05,5191770,61.0
