DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,69.1,70.8,68.9,70.01,715100,33.7
2025-04-15,71.15,77.35,71.0,75.45,1177450,56.91
2025-04-16,76.0,79.25,75.69,78.72,1208059,45.08
2025-04-17,78.3,81.83,77.67,79.2,1548124,48.99
2025-04-21,79.21,82.0,78.16,80.01,1154690,37.47
2025-04-22,80.12,81.03,79.14,80.34,678714,40.19
2025-04-23,81.15,86.19,79.0,84.85,3955672,27.65
2025-04-24,84.99,84.99,82.96,83.14,757635,42.52
2025-04-25,83.14,83.61,78.5,80.97,1365242,43.68
2025-04-28,80.9,81.76,79.22,79.92,768749,42.1
2025-04-29,79.8,81.45,79.33,80.04,930584,43.42
2025-04-30,79.0,79.11,75.5,75.99,1167114,44.68
2025-05-02,76.0,77.89,74.05,74.51,1146731,46.02
2025-05-05,75.93,77.9,74.88,77.66,742965,48.2
2025-05-06,77.5,77.78,70.05,73.3,1214075,45.72
2025-05-07,71.8,75.6,71.37,75.34,613976,38.01
2025-05-08,75.6,77.04,72.6,73.51,903780,47.33
2025-05-09,70.55,73.8,70.55,73.39,650486,34.26
2025-05-12,76.0,78.5,76.0,78.05,889271,43.2
2025-05-13,78.5,82.78,77.8,81.67,1591965,49.14
2025-05-14,81.95,83.0,81.03,82.66,761765,48.2
2025-05-15,82.95,84.14,82.05,82.48,524295,42.72
2025-05-16,82.43,84.6,81.92,84.16,825886,51.59
2025-05-19,84.25,85.22,82.75,84.42,864995,40.07
2025-05-20,85.1,85.53,81.4,81.86,870718,42.91
2025-05-21,81.8,82.82,81.15,82.04,503200,29.57
2025-05-22,82.0,84.2,81.86,82.99,824193,44.47
2025-05-23,83.27,84.48,81.86,83.66,653363,48.99
2025-05-26,84.1,85.9,83.99,84.59,849780,53.58
2025-05-27,85.2,99.73,84.86,97.39,31425566,13.7
2025-05-28,97.0,102.0,93.66,94.48,10952810,24.0
2025-05-29,94.69,97.95,93.13,93.57,3357203,25.16
2025-05-30,94.0,94.8,91.35,92.17,1338288,42.97
2025-06-02,91.6,94.46,91.21,92.95,1541578,36.2
2025-06-03,93.2,94.23,91.56,92.32,920586,42.13
2025-06-04,92.69,97.0,91.45,94.22,2689221,31.56
2025-06-05,95.45,98.75,94.27,97.95,4266060,36.48
2025-06-06,98.15,101.17,98.0,98.61,5039055,37.91
2025-06-09,99.15,99.79,97.55,97.75,1641969,38.38
2025-06-10,98.55,104.8,98.51,101.28,6430620,35.8
2025-06-11,102.05,103.4,97.48,99.18,2735282,37.27
2025-06-12,99.7,100.58,96.25,97.23,1426512,34.88
2025-06-13,94.93,99.7,94.01,98.14,2085414,32.56
2025-06-16,98.21,103.94,96.09,102.43,2770582,38.18
2025-06-17,102.7,103.25,98.42,99.22,1811290,35.03
2025-06-18,98.99,101.29,97.86,98.44,1804628,34.08
2025-06-19,97.9,102.89,95.71,97.39,3696703,21.76
2025-06-20,97.55,98.9,96.51,97.96,1416160,24.59
2025-06-23,97.9,101.3,97.0,99.23,2372708,28.72
2025-06-24,100.99,102.9,99.52,100.6,2598506,30.02
2025-06-25,101.9,105.58,101.1,103.6,5917402,30.54
2025-06-26,103.85,104.27,97.86,98.78,4481642,36.7
2025-06-27,99.3,100.2,98.4,98.98,1805937,30.19
2025-06-30,99.1,101.2,98.2,100.08,1769653,30.13
2025-07-01,100.5,103.0,99.8,100.21,1659774,30.84
2025-07-02,100.7,100.7,98.1,99.82,1557132,30.93
2025-07-03,99.97,99.97,97.7,98.01,1126158,42.63
2025-07-04,98.19,99.18,96.05,96.44,2131076,39.08
2025-07-07,96.99,97.8,95.63,96.19,1061768,35.36
2025-07-08,96.4,98.12,95.89,97.5,851660,42.15
2025-07-09,97.36,97.85,95.9,96.14,769483,52.57
2025-07-10,96.39,97.57,96.0,97.19,565529,41.13
2025-07-11,96.78,97.72,96.0,96.14,472273,40.02
2025-07-14,96.0,96.65,94.0,96.22,957406,32.88
2025-07-15,96.95,97.62,95.87,96.6,767439,31.85
2025-07-16,96.33,97.37,95.7,96.03,785098,52.78
2025-07-17,96.47,96.98,94.9,95.38,732241,49.02
2025-07-18,95.69,96.91,93.81,96.31,968189,40.41
2025-07-21,96.35,96.88,95.18,95.73,616670,41.92
2025-07-22,96.36,101.99,95.27,100.45,4722523,32.24
2025-07-23,100.9,101.45,98.71,100.19,2141466,37.22
2025-07-24,100.19,103.19,98.8,99.09,1984062,43.71
2025-07-25,98.52,99.28,95.1,95.65,1128372,49.27
2025-07-28,95.17,95.75,93.0,94.19,1022963,41.76
2025-07-29,94.0,95.95,92.91,95.4,741959,38.6
2025-07-30,95.74,95.75,92.28,93.05,851605,58.51
2025-07-31,91.8,91.8,89.03,90.47,1236655,40.4
2025-08-01,90.1,94.4,90.1,93.06,1357385,38.3
2025-08-04,94.25,94.25,91.3,92.47,603362,29.29
2025-08-05,92.47,93.72,91.5,91.91,378960,47.62
2025-08-06,92.4,92.56,89.51,90.13,701352,43.88
2025-08-07,89.8,90.79,88.08,89.91,682824,37.32
2025-08-08,90.8,90.89,87.25,88.38,369675,46.74
2025-08-11,88.38,90.5,87.15,89.81,617991,36.59
2025-08-12,90.27,94.9,89.74,92.52,1772626,27.14
2025-08-13,93.0,93.55,88.11,88.7,1026315,54.21
2025-08-14,89.2,90.63,87.61,88.01,584620,44.42
2025-08-18,88.89,90.44,88.5,89.92,521175,55.35
2025-08-19,90.39,91.55,89.3,90.88,463319,47.73
2025-08-20,90.92,91.85,90.1,90.46,410593,45.84
2025-08-21,90.01,92.0,90.01,91.05,447433,51.24
2025-08-22,90.61,91.43,88.15,89.65,660437,52.52
2025-08-25,90.09,90.49,88.6,89.02,317524,57.63
2025-08-26,88.64,88.76,86.25,86.34,518538,52.33
2025-08-28,85.6,87.23,85.42,86.52,250111,51.18
2025-08-29,86.8,87.2,85.56,85.7,303069,50.33
2025-09-01,85.7,86.7,84.9,85.32,541410,55.01
2025-09-02,85.66,89.2,85.36,87.14,619405,38.85
2025-09-03,86.45,93.3,86.34,91.11,1549539,32.07
2025-09-04,91.7,93.0,89.06,89.74,667314,36.75
2025-09-05,89.74,92.12,88.57,90.15,1630188,21.83
2025-09-08,90.77,91.89,89.8,90.32,418017,49.32
2025-09-09,90.33,90.99,87.58,88.85,553007,58.88
2025-09-10,88.85,90.78,88.85,89.41,365708,41.52
2025-09-11,89.4,90.87,89.21,89.54,325111,47.91
2025-09-12,89.89,93.84,89.5,92.89,1487562,39.65
2025-09-15,93.5,94.66,92.03,92.88,855777,42.41
2025-09-16,93.23,96.7,92.74,95.2,1958628,47.44
2025-09-17,95.7,96.26,94.0,94.2,638829,51.93
2025-09-18,94.6,95.28,93.35,93.97,571329,64.11
2025-09-19,95.0,98.7,94.46,97.63,3310285,45.0
2025-09-22,98.5,98.5,96.5,96.78,1182264,55.83
2025-09-23,97.0,98.5,94.85,95.44,773357,45.86
2025-09-24,95.4,96.9,94.0,95.33,944696,39.41
2025-09-25,95.19,95.93,92.0,92.22,724398,46.89
2025-09-26,91.9,92.56,87.61,88.14,894279,49.72
2025-09-29,88.25,89.9,87.0,88.27,771360,51.85
2025-09-30,88.2,89.21,87.1,87.56,342013,44.36
2025-10-01,87.67,91.29,87.48,90.5,642972,33.74
2025-10-03,90.7,92.2,89.15,90.31,680702,42.29
2025-10-06,90.26,92.79,90.0,92.22,667050,57.92
2025-10-07,92.0,94.0,90.1,93.46,902235,50.94
2025-10-08,93.46,94.2,91.6,91.99,463670,42.05
2025-10-09,91.99,91.99,90.1,90.42,319450,53.35
2025-10-10,90.36,91.89,90.0,90.66,567659,54.66
2025-10-13,90.37,90.7,88.92,90.01,407190,49.06
2025-10-14,90.01,90.45,87.0,88.79,618640,54.19
2025-10-15,89.17,90.2,87.81,88.3,534991,57.29
2025-10-16,88.52,90.67,88.52,89.07,400423,50.27
2025-10-17,89.3,89.47,87.04,87.52,448529,62.41
2025-10-20,88.2,89.8,87.55,89.24,819141,65.85
2025-10-21,89.48,90.5,89.48,90.06,202405,75.77
2025-10-22,89.48,90.5,89.48,90.06,202405,75.77
2025-10-23,90.5,90.54,88.46,88.88,355489,57.74
2025-10-24,89.1,89.32,87.5,88.05,424108,67.35
2025-10-27,88.4,93.25,87.9,89.84,2150525,25.87
2025-10-28,89.3,93.36,89.24,92.59,1239032,53.99
2025-10-29,93.0,93.7,91.51,93.34,582027,55.34
2025-10-30,93.55,95.25,92.09,94.5,1333406,41.62
2025-10-31,94.65,95.25,93.65,94.05,373699,49.01
2025-11-03,94.0,96.0,93.45,95.4,1127485,45.66
2025-11-04,96.4,99.44,94.15,95.03,2222467,43.43
2025-11-05,96.4,99.44,94.15,95.03,2222467,43.43
2025-11-06,95.09,95.56,91.5,92.72,493352,55.85
2025-11-07,92.72,92.98,91.0,91.79,433940,47.77
2025-11-10,92.4,95.5,91.08,94.79,855960,60.83
2025-11-11,94.8,95.0,92.52,93.52,352474,58.75
2025-11-12,93.52,97.09,88.5,90.58,2844891,32.24
2025-11-13,91.03,96.2,90.18,90.93,1624177,33.83
2025-11-14,90.1,90.9,88.8,89.79,604373,60.51
2025-11-17,90.0,91.6,89.99,91.22,483086,51.31
2025-11-18,91.25,91.26,88.72,89.02,529039,60.44
2025-11-19,89.35,90.45,88.56,89.97,338598,44.86
2025-11-20,89.97,91.96,88.85,91.15,388602,55.73
2025-11-21,91.2,91.9,88.3,88.59,395313,58.29
2025-11-24,88.6,89.04,86.0,86.83,337028,57.07
2025-11-25,87.69,88.3,87.0,87.8,148072,47.31
2025-11-26,88.17,90.4,87.81,88.74,206820,51.66
2025-11-27,89.0,89.53,86.51,88.31,380324,43.82
2025-11-28,88.39,90.0,88.0,88.22,264797,52.47
2025-12-01,88.78,90.12,87.82,88.71,456539,63.8
2025-12-02,88.6,89.35,88.0,88.43,187526,51.84
2025-12-03,88.41,89.69,88.0,88.2,189608,52.23
2025-12-04,88.4,88.89,86.4,86.66,218337,65.49
2025-12-05,86.66,87.75,86.01,86.2,206532,48.07
2025-12-08,86.2,86.8,83.0,83.37,627162,55.19
2025-12-09,82.35,85.56,82.35,84.59,375109,50.43
2025-12-10,84.99,86.99,83.31,84.03,376415,50.11
2025-12-11,84.4,85.5,82.82,83.59,306641,51.43
2025-12-12,83.99,85.3,83.98,84.34,248591,56.31
2025-12-15,84.0,84.98,83.36,84.44,212640,54.4
2025-12-16,84.65,84.95,83.25,83.81,162575,58.25
2025-12-17,84.46,84.46,82.4,83.23,228527,59.06
2025-12-18,82.51,83.77,82.5,83.14,159064,58.02
2025-12-19,83.48,84.0,82.85,83.36,219229,53.85
2025-12-22,83.87,87.0,83.87,86.3,516992,58.36
2025-12-23,86.1,87.34,85.79,86.98,237776,50.37
2025-12-24,86.81,87.5,85.66,86.05,160010,63.78
2025-12-25,86.81,87.5,85.66,86.05,160010,63.78
2025-12-26,85.95,85.95,83.2,84.39,271925,57.65
2025-12-29,84.56,84.98,83.41,84.5,246586,49.64
2025-12-30,84.43,85.78,84.0,85.06,295910,59.18
2025-12-31,85.05,85.9,84.51,85.02,387479,75.82
2026-01-01,85.39,85.4,83.35,83.88,424871,52.4
2026-01-02,84.16,84.9,84.0,84.19,222963,67.73
2026-01-05,84.49,85.2,83.4,83.69,363304,67.68
2026-01-06,83.9,84.53,83.0,84.22,260651,57.24
2026-01-07,84.1,84.53,83.02,84.0,238330,47.33
2026-01-08,83.5,86.0,82.76,84.63,354975,48.03
2026-01-09,84.95,84.95,81.36,81.82,383262,55.12
