DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-02-09,187.65,195.9,185.1,187.73,98496,65.09
2026-02-10,195.9,195.9,187.3,189.2,76022,56.34
2026-02-11,191.0,195.5,189.13,194.84,89633,77.67
2026-02-12,197.0,197.0,191.51,194.68,56370,64.61
2026-02-13,191.0,194.0,185.0,186.3,110469,73.23
2026-02-16,187.99,187.99,176.99,177.32,92432,76.86
2026-02-17,175.6,176.99,171.93,173.22,77161,68.04
2026-02-18,172.1,181.88,172.1,181.88,105946,65.69
2026-02-19,190.97,190.97,182.0,183.87,143567,67.38
2026-02-20,183.87,184.69,178.0,178.85,55347,72.29
2026-02-23,181.0,181.89,172.0,173.32,72883,71.22
2026-02-24,179.0,181.98,164.66,165.66,744730,43.04
2026-02-25,167.0,170.0,162.5,166.25,145305,57.35
2026-02-26,166.25,167.6,157.94,158.69,191649,68.76
2026-02-27,160.1,162.12,153.0,159.86,131254,61.61
2026-03-02,154.0,167.85,153.1,162.8,222545,65.52
2026-03-03,154.0,167.85,153.1,162.8,222545,65.52
2026-03-04,161.0,161.05,155.5,157.81,145682,61.34
2026-03-05,162.0,164.9,158.21,162.02,58064,67.92
2026-03-06,160.69,162.4,159.5,160.13,37125,70.35
2026-03-09,163.9,163.9,152.13,152.47,141869,75.22
2026-03-10,153.0,158.5,151.91,156.26,87680,66.73
2026-03-11,156.0,158.58,153.0,154.75,82497,67.3
2026-03-12,154.5,156.99,149.62,152.62,127654,57.64
2026-03-13,152.3,154.8,144.99,145.27,155403,72.68
2026-03-16,145.0,147.69,140.1,144.28,167567,68.42
2026-03-17,145.1,151.49,145.07,151.49,208929,69.95
2026-03-18,153.0,159.06,153.0,159.06,76789,53.28
2026-03-19,164.63,167.01,160.5,164.68,476276,54.72
2026-03-20,167.0,172.91,165.51,172.48,251180,60.49
2026-03-23,178.0,178.0,163.86,163.86,211909,67.5
2026-03-24,167.8,171.5,162.15,163.83,169043,67.99
2026-04-13,174.5,174.98,170.46,172.89,195429,69.82
2026-04-14,174.5,174.98,170.46,172.89,195429,69.82
2026-04-15,174.0,181.53,174.0,180.8,178324,54.18
2026-04-16,183.99,189.84,183.44,189.84,78569,59.67
2026-04-17,196.4,199.33,192.0,196.1,657429,60.13
2026-04-20,203.0,205.9,199.93,205.9,277593,70.96
2026-04-21,216.19,216.19,205.9,216.19,524491,76.24
2026-04-22,226.99,226.99,222.0,226.99,705607,70.5
2026-04-23,237.0,238.33,223.0,238.33,1175902,53.83
2026-04-24,239.7,239.7,226.42,236.66,800077,50.42
2026-04-27,248.49,248.49,248.49,248.49,85467,100.0
2026-05-25,367.0,367.0,353.05,367.0,750096,50.95
2026-05-26,385.35,385.35,385.35,385.35,96575,100.0
2026-05-27,401.0,404.6,387.55,404.6,679408,69.54
2026-05-28,401.0,404.6,387.55,404.6,679408,69.54
2026-05-29,424.8,424.8,392.0,424.8,1673045,52.28
2026-06-01,434.4,446.0,408.8,426.4,1579281,46.14
2026-06-02,438.95,438.95,408.6,416.1,575360,59.88
2026-06-03,414.4,436.9,406.1,436.9,840720,55.7
2026-07-06,545.0,569.0,531.0,539.35,340407,57.27
2026-07-07,545.9,566.3,532.4,541.35,595041,46.18
2026-07-08,549.95,565.9,516.0,531.5,609737,48.24
2026-07-09,537.0,558.05,537.0,558.05,231921,75.14
2026-07-10,585.95,585.95,557.8,582.65,1121568,50.73
2026-07-13,582.65,609.9,576.5,582.95,581001,57.48
2026-07-14,604.0,606.3,569.3,573.65,528379,55.67
2026-07-15,584.75,595.8,552.0,559.85,456026,56.74
