DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,72.1,74.41,72.1,73.94,9453,44.44
2025-04-15,73.25,77.95,73.25,76.96,49094,40.88
2025-04-16,76.96,78.09,76.22,77.16,18582,61.34
2025-04-17,76.1,77.95,76.1,76.78,20591,54.08
2025-04-21,78.0,79.9,76.99,79.05,41162,64.19
2025-04-22,79.49,86.0,79.49,82.38,116046,49.56
2025-04-23,82.99,84.51,79.51,82.87,50019,49.2
2025-04-24,82.99,84.5,81.45,82.57,23587,55.95
2025-04-25,82.57,82.57,78.3,80.12,68172,33.2
2025-04-28,80.12,83.0,78.77,80.98,22907,55.1
2025-04-29,80.99,82.14,80.0,80.8,26879,70.13
2025-04-30,82.49,82.49,78.75,79.86,33148,63.37
2025-05-02,78.4,80.45,77.0,77.56,23055,59.38
2025-05-05,77.6,79.66,77.6,78.3,18859,53.01
2025-05-06,78.3,79.4,76.3,77.71,34120,60.21
2025-05-07,75.0,82.0,75.0,79.4,25341,60.92
2025-05-08,80.75,80.75,77.2,78.13,15283,60.68
2025-05-09,75.0,79.9,75.0,79.08,43176,39.12
2025-05-12,79.99,81.0,78.6,79.5,18209,69.69
2025-05-13,79.5,83.49,79.22,81.86,70040,48.41
2025-05-14,81.1,84.0,79.71,81.15,41349,74.38
2025-05-15,81.0,83.0,81.0,82.27,58311,27.51
2025-05-16,82.98,82.98,79.57,80.68,24829,69.39
2025-05-19,80.21,81.49,79.51,79.66,22234,64.51
2025-05-20,79.66,81.0,79.0,79.13,18122,57.22
2025-05-21,79.6,80.08,76.91,78.04,25246,60.88
2025-05-22,78.04,81.5,77.06,78.42,39502,32.15
2025-05-23,79.99,79.99,76.99,78.33,28280,56.62
2025-05-26,75.34,78.19,75.34,76.96,45475,56.74
2025-05-27,75.91,78.19,75.91,76.57,30777,55.15
2025-05-28,76.61,78.32,76.5,76.88,22974,63.65
2025-05-29,78.4,78.96,76.1,76.87,27935,57.06
2025-05-30,77.86,77.86,76.0,76.69,17333,51.08
2025-06-02,76.22,77.29,75.41,76.75,40007,69.26
2025-06-03,76.75,78.73,76.51,77.49,21596,49.61
2025-06-04,77.99,78.1,77.0,77.18,19114,58.78
2025-06-05,77.9,77.9,75.01,75.9,27472,72.41
2025-06-06,75.99,76.88,75.22,76.29,10756,47.82
2025-06-09,76.88,76.88,75.11,75.72,129001,93.83
2025-06-10,76.99,76.99,75.65,75.88,136794,91.82
2025-06-11,75.4,78.01,75.01,76.31,188979,89.95
2025-06-12,77.98,77.98,74.05,74.9,145852,89.08
2025-06-13,75.07,76.48,74.94,75.19,122116,93.98
2025-06-16,73.55,75.3,73.55,74.35,131520,92.71
2025-06-17,74.35,88.4,74.34,81.71,1272711,22.3
2025-06-18,80.1,85.82,78.7,82.66,637503,27.81
2025-06-19,81.9,83.81,79.85,80.43,156045,25.39
2025-06-20,80.7,83.66,78.12,79.09,96749,51.71
2025-06-23,78.0,80.2,77.61,78.19,48028,50.56
2025-06-24,78.65,83.79,78.65,78.94,122371,35.18
2025-06-25,79.75,80.99,78.71,79.43,44019,42.84
2025-06-26,80.0,80.0,79.0,79.23,28602,54.09
2025-06-27,80.25,80.25,75.35,77.44,48970,72.62
2025-06-30,77.98,78.4,77.05,77.47,37059,68.12
2025-07-01,77.99,78.25,76.91,77.41,139164,92.4
2025-07-02,78.25,78.34,77.0,77.5,17871,53.34
2025-07-03,77.42,81.81,77.42,78.68,98379,35.61
2025-07-04,79.0,79.12,77.55,78.46,35057,52.89
2025-07-07,78.46,80.95,78.07,79.0,24917,46.41
2025-07-08,79.09,80.5,77.59,79.59,128024,31.57
2025-07-09,79.15,79.15,77.75,77.96,27716,63.96
2025-07-10,77.96,78.51,77.1,77.64,25712,69.97
2025-07-11,76.25,77.78,76.0,76.12,26235,66.45
2025-07-14,76.12,77.87,75.78,76.53,10591,58.29
2025-07-15,77.57,77.77,75.74,75.85,27738,79.05
2025-07-16,75.85,76.96,75.85,76.58,7305,68.94
2025-07-17,78.0,78.19,76.59,77.33,23972,49.84
2025-07-18,78.67,78.67,74.8,75.12,44941,73.82
2025-07-21,76.2,76.2,73.87,74.4,32272,82.33
2025-07-22,74.4,76.75,74.4,76.33,49844,84.02
2025-07-23,76.95,79.9,75.62,77.81,162233,20.54
2025-07-24,78.1,78.1,75.99,76.34,24056,54.46
2025-07-25,76.35,76.35,73.57,74.05,34610,78.77
2025-07-28,74.05,75.28,69.3,70.89,36444,65.48
2025-07-29,70.89,72.89,69.75,69.97,47924,69.69
2025-07-30,71.0,73.95,69.51,72.99,124345,24.99
2025-07-31,73.27,73.8,71.01,73.14,72776,33.08
2025-08-01,71.81,72.95,71.0,72.02,77223,31.24
2025-08-04,73.89,73.89,71.0,72.47,42825,73.34
2025-08-05,73.05,75.22,72.11,73.09,55063,35.7
2025-08-06,73.5,74.48,71.55,72.83,41938,57.98
2025-08-07,73.0,73.0,70.2,70.86,35992,66.06
2025-08-08,71.89,72.0,69.55,70.17,22014,51.14
2025-08-11,70.17,73.77,70.17,72.48,29369,47.34
2025-08-12,73.39,73.5,70.5,70.73,14027,66.73
2025-08-13,70.6,72.89,69.8,69.98,19456,60.17
2025-08-14,69.55,72.58,69.2,71.64,49261,62.46
2025-08-18,72.4,72.4,69.99,71.9,27785,65.16
2025-08-19,72.4,72.4,70.97,71.92,11686,65.84
2025-08-20,71.32,71.49,70.71,71.29,16186,75.85
2025-08-21,72.46,72.46,69.7,70.91,18803,70.48
2025-08-22,71.8,72.0,69.8,71.22,14189,65.78
2025-08-25,71.88,71.88,70.0,70.39,9316,64.33
2025-08-26,70.33,70.33,67.85,68.08,28152,56.41
2025-08-28,67.9,69.95,67.72,68.67,18501,50.92
2025-08-29,68.74,70.97,67.12,67.63,17868,51.42
2025-09-01,67.7,71.55,67.63,69.99,27820,72.21
