DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,300.0,315.15,298.05,314.85,245777,81.9
2025-04-15,321.7,323.6,314.1,316.8,73403,71.83
2025-04-16,316.8,322.0,312.2,314.05,106216,88.17
2025-04-17,311.0,329.75,311.0,328.05,272801,68.9
2025-04-21,328.05,342.45,320.0,322.25,134911,67.5
2025-04-22,321.15,329.0,315.1,317.75,120905,75.79
2025-04-23,319.6,321.45,305.0,311.25,86581,55.78
2025-04-24,311.2,314.55,308.1,310.55,26297,73.95
2025-04-25,310.65,310.65,295.05,296.0,71536,79.53
2025-04-28,297.0,300.1,287.65,290.65,82609,76.28
2025-04-29,294.3,294.95,288.0,288.25,11859,58.75
2025-04-30,281.6,293.25,280.9,290.1,75739,76.47
2025-05-02,284.0,290.55,279.1,283.5,42465,62.86
2025-05-05,286.0,290.1,283.5,285.1,45762,61.91
2025-05-06,289.0,289.0,282.0,283.1,72610,82.01
2025-05-07,282.2,292.75,282.2,289.55,104537,83.03
2025-05-08,290.45,290.5,275.5,281.25,15764,65.92
2025-05-09,271.0,279.6,270.4,277.45,31469,49.74
2025-05-12,279.0,291.3,279.0,289.85,42789,90.3
2025-05-13,289.75,290.9,278.0,279.85,67975,74.34
2025-05-14,281.1,287.0,277.95,281.65,52295,78.72
2025-05-15,283.6,285.8,281.2,282.05,25224,73.14
2025-05-16,280.0,284.0,278.55,280.6,20836,80.81
2025-05-19,279.7,283.6,279.7,280.65,26109,65.85
2025-05-20,278.5,284.0,273.05,277.9,45251,56.05
2025-05-21,283.95,284.0,272.0,280.6,79658,74.71
2025-05-22,277.0,282.4,275.95,279.65,21199,50.83
2025-05-23,277.0,285.0,276.0,280.4,71977,71.41
2025-05-26,282.95,285.75,279.55,283.2,97133,71.61
2025-05-27,283.3,286.0,280.45,284.25,46897,76.61
2025-05-28,284.0,287.1,276.25,279.2,70280,70.15
2025-05-29,281.45,293.15,278.5,293.15,277947,78.04
2025-05-30,301.0,303.9,289.55,291.95,152724,57.0
2025-06-02,291.65,295.5,282.5,286.95,72194,62.31
2025-06-03,287.85,294.45,284.8,287.0,51884,61.36
2025-06-04,285.0,289.8,278.35,280.15,67869,60.17
2025-06-05,280.85,294.15,280.8,293.05,177052,64.57
2025-06-06,297.3,304.0,287.0,289.8,105158,57.66
2025-06-09,290.0,292.2,286.95,290.15,53351,66.94
2025-06-10,290.85,303.0,289.85,298.25,101064,68.54
2025-06-11,297.55,298.75,289.0,293.05,31605,60.79
2025-06-12,291.15,293.5,284.35,285.9,38571,67.28
2025-06-13,285.9,285.95,274.95,281.55,43490,51.8
2025-06-16,277.2,287.05,277.2,286.15,24941,55.63
