DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-12-19,2485.0,2485.0,2311.2,2407.5,17685,75.02
2025-12-22,2399.0,2446.0,2344.0,2397.3,21619,60.2
2025-12-23,2409.3,2472.6,2395.8,2450.3,21508,75.22
2025-12-24,2484.0,2549.0,2450.1,2540.4,22116,75.49
2025-12-25,2484.0,2549.0,2450.1,2540.4,22116,75.49
2025-12-26,2549.0,2585.9,2500.0,2559.4,11213,57.39
2025-12-29,2592.0,2700.0,2534.0,2603.1,20361,44.6
2025-12-30,2636.0,2636.0,2581.0,2600.2,117571,96.86
2025-12-31,2616.0,2616.0,2594.0,2600.8,6900,71.93
2026-01-01,2600.8,2610.7,2579.9,2600.0,6934,77.34
2026-01-02,2561.0,2620.0,2561.0,2588.2,8979,73.88
2026-01-05,2600.0,2612.1,2548.9,2588.0,16547,68.74
2026-01-06,2610.0,2610.0,2472.2,2510.3,11688,58.12
2026-01-07,2480.0,2522.8,2480.0,2513.1,8329,65.41
2026-01-08,2500.5,2543.9,2500.5,2531.3,12420,75.99
2026-01-09,2500.0,2567.9,2500.0,2562.5,13887,62.71
2026-01-12,2524.1,2630.0,2524.1,2617.5,18235,63.62
2026-01-13,2575.2,2698.9,2575.2,2673.8,21781,60.47
2026-01-14,2673.8,2686.4,2629.6,2674.1,5668,72.25
2026-01-15,2673.8,2686.4,2629.6,2674.1,5668,72.25
2026-01-16,2634.0,2700.0,2630.1,2679.7,8111,70.41
2026-01-19,2639.7,2711.9,2632.1,2660.0,15823,83.68
2026-01-20,2651.0,2710.9,2623.1,2695.2,16138,59.8
2026-01-21,2695.4,2710.0,2652.1,2684.4,13023,53.35
2026-01-22,2653.6,2724.2,2582.1,2609.4,13759,58.59
2026-01-23,2591.0,2680.1,2591.0,2643.5,29880,67.94
2026-01-26,2591.0,2680.1,2591.0,2643.5,29880,67.94
2026-01-27,2602.3,2633.9,2500.0,2567.2,11464,45.58
2026-01-28,2599.0,2708.9,2523.7,2680.9,77751,90.12
2026-01-29,2728.0,2728.0,2636.0,2700.7,21477,60.25
2026-01-30,2709.1,2766.0,2654.0,2720.9,39127,70.38
2026-02-02,2578.0,2598.9,2490.9,2562.7,15694,56.46
2026-02-03,2674.0,2705.0,2488.9,2699.9,59380,80.35
2026-02-04,2715.0,2715.0,2551.9,2633.7,95658,85.49
2026-02-05,2609.9,2609.9,2432.0,2497.9,36864,61.09
2026-02-06,2472.0,2516.9,2454.1,2495.5,7937,48.33
2026-02-09,2495.5,2501.0,2465.0,2474.6,14711,65.56
2026-02-10,2492.0,2500.2,2470.0,2487.3,6818,51.72
2026-02-11,2499.7,2514.2,2465.0,2484.3,16418,61.62
2026-02-12,2523.0,2523.0,2406.0,2461.6,9429,57.64
