DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1112.45,1130.6,1102.6,1117.5,160,77.5
2025-04-15,1120.5,1182.8,1117.4,1133.7,850,66.82
2025-04-16,1170.8,1295.0,1144.1,1269.9,3342,32.41
2025-04-17,1270.0,1519.0,1270.0,1435.2,25458,17.97
2025-04-21,1480.0,1680.0,1450.0,1659.7,34656,27.29
2025-04-22,1670.0,1670.0,1563.1,1625.8,7809,52.61
2025-04-23,1630.0,1657.0,1463.3,1536.2,6120,36.39
2025-04-24,1525.2,1586.0,1500.0,1522.2,2653,47.34
2025-04-25,1513.3,1539.9,1380.0,1448.9,1955,56.73
2025-04-28,1429.1,1444.0,1357.7,1399.1,1290,62.79
2025-04-29,1407.8,1420.0,1313.7,1325.2,2226,73.67
2025-04-30,1340.6,1383.9,1296.1,1310.3,1821,74.79
2025-05-02,1319.0,1409.3,1303.2,1357.1,3237,41.55
2025-05-05,1386.9,1387.0,1256.1,1292.8,2951,58.05
2025-05-06,1344.0,1344.0,1175.0,1228.8,2774,72.64
2025-05-07,1249.8,1249.8,1190.0,1206.1,1044,56.13
2025-05-08,1224.2,1316.6,1210.4,1290.9,2232,53.72
2025-05-09,1255.0,1310.8,1212.2,1262.2,1779,38.06
2025-05-12,1330.0,1388.4,1265.1,1374.3,3808,59.56
2025-05-13,1449.9,1462.0,1354.9,1453.0,3302,54.88
2025-05-14,1460.0,1460.0,1388.4,1434.4,1826,34.17
2025-05-15,1385.0,1450.4,1385.0,1435.8,650,55.54
2025-05-16,1448.4,1448.4,1365.1,1383.0,1670,47.43
2025-05-19,1390.2,1399.6,1308.1,1330.7,1303,52.65
2025-05-20,1294.2,1347.9,1288.6,1308.3,2298,81.03
2025-05-21,1290.5,1315.0,1280.1,1294.9,893,61.03
2025-05-22,1280.5,1379.0,1279.1,1341.2,1327,68.65
2025-05-23,1379.9,1399.0,1350.2,1371.1,777,51.22
2025-05-26,1382.0,1383.7,1350.0,1360.1,717,69.74
2025-05-27,1395.0,1395.0,1349.5,1363.8,451,48.12
2025-05-28,1353.6,1371.8,1292.1,1338.1,1250,39.44
2025-05-29,1365.5,1394.8,1358.9,1373.4,1731,52.05
2025-05-30,1338.0,1338.0,1254.1,1308.2,6096,63.12
2025-06-02,1317.1,1329.0,1288.1,1292.9,1488,72.98
2025-06-03,1287.2,1319.7,1287.2,1315.0,1505,71.76
2025-06-04,1314.7,1352.9,1294.1,1309.8,1932,62.27
2025-06-05,1324.4,1330.0,1263.1,1286.8,2154,69.27
2025-06-06,1286.8,1313.1,1260.0,1280.6,1443,62.51
2025-06-09,1280.6,1290.7,1207.4,1260.8,2723,59.71
2025-06-10,1257.7,1275.0,1195.0,1212.4,5802,61.19
2025-06-11,1227.9,1236.8,1201.2,1213.4,1324,56.8
2025-06-12,1212.0,1242.0,1166.9,1183.5,2824,68.02
2025-06-13,1175.4,1199.0,1130.0,1159.6,1019,45.63
2025-06-16,1150.0,1194.8,1150.0,1177.8,2032,34.55
2025-06-17,1185.6,1187.0,1113.3,1148.9,786,42.62
2025-06-18,1112.5,1161.2,1111.1,1127.9,629,52.62
2025-06-19,1164.0,1164.0,1082.9,1107.2,790,50.0
2025-06-20,1120.3,1138.8,1110.7,1135.8,486,90.33
2025-06-23,1143.6,1207.4,1143.3,1183.6,722,58.31
2025-06-24,1186.9,1229.9,1166.2,1210.1,891,62.4
2025-06-25,1210.1,1210.1,1185.4,1202.7,1101,74.75
2025-06-26,1211.8,1211.8,1160.5,1177.8,296,60.81
2025-06-27,1206.7,1229.9,1151.0,1172.2,434,65.9
2025-06-30,1178.0,1229.5,1174.6,1215.8,1362,49.12
2025-07-01,1197.3,1216.9,1174.2,1209.0,625,88.32
2025-07-02,1159.9,1198.6,1154.2,1172.1,591,40.44
2025-07-03,1213.1,1213.1,1150.0,1175.4,294,65.65
2025-07-04,1222.0,1222.0,1180.2,1209.7,397,68.77
2025-07-07,1209.8,1214.0,1180.4,1207.4,127,63.78
2025-07-08,1141.6,1214.9,1141.6,1206.0,881,88.76
2025-07-09,1207.3,1228.0,1180.0,1211.2,496,70.56
2025-07-10,1209.4,1209.4,1161.6,1182.9,244,80.33
2025-07-11,1194.8,1194.8,1139.7,1157.1,367,71.93
2025-07-14,1150.1,1193.8,1145.0,1149.1,461,60.3
2025-07-15,1152.0,1179.9,1080.0,1147.2,2145,36.22
2025-07-16,1236.0,1376.6,1164.3,1299.8,108340,19.4
2025-07-17,1310.0,1374.8,1300.0,1311.4,14157,40.5
2025-07-18,1321.9,1321.9,1230.3,1244.8,6183,45.14
2025-07-21,1262.3,1262.3,1190.1,1196.7,2518,64.97
2025-07-22,1204.9,1249.4,1200.0,1228.1,1885,27.75
2025-07-23,1235.0,1256.9,1188.1,1199.2,3240,56.98
2025-07-24,1195.0,1200.0,1176.0,1198.8,1590,45.35
2025-07-25,1204.3,1245.0,1166.0,1187.5,2464,76.7
2025-07-28,1166.3,1199.0,1130.0,1136.4,2563,63.4
2025-07-29,1140.6,1157.9,1081.1,1124.0,4318,56.65
2025-07-30,1140.9,1168.0,1108.2,1131.6,4482,86.55
2025-07-31,1160.0,1160.0,1118.0,1132.7,795,79.25
2025-08-01,1138.6,1138.6,1088.1,1092.5,912,60.2
2025-08-04,1092.6,1115.0,1075.8,1097.3,1073,74.37
2025-08-05,1126.9,1305.4,1119.8,1211.4,36935,19.24
2025-08-06,1215.4,1220.9,1153.0,1161.7,3952,24.27
2025-08-07,1169.1,1169.4,1100.2,1136.1,1379,63.81
2025-08-08,1130.4,1159.4,1130.4,1137.3,657,61.64
2025-08-11,1120.2,1156.2,1115.0,1141.4,1880,55.05
2025-08-12,1125.0,1154.9,1099.0,1103.0,1621,67.3
2025-08-13,1108.5,1126.9,1067.0,1084.7,1276,60.58
2025-08-14,1084.0,1088.8,1075.0,1079.9,604,74.5
2025-08-18,1081.8,1099.9,1074.4,1078.8,588,73.3
2025-08-19,1086.9,1099.9,1070.0,1097.0,1920,84.11
2025-08-20,1111.1,1250.0,1102.0,1127.1,7890,22.41
2025-08-21,1165.3,1176.9,1129.9,1137.4,779,49.94
2025-08-22,1165.7,1166.3,1130.1,1150.3,747,66.4
2025-08-25,1135.0,1158.8,1110.0,1113.0,345,51.59
2025-08-26,1110.0,1110.0,1094.9,1096.4,1196,68.39
2025-08-28,1108.0,1108.0,1085.0,1095.2,1621,84.02
2025-08-29,1076.1,1187.9,1076.1,1131.3,1801,41.2
2025-09-01,1169.0,1169.0,1127.7,1148.7,929,77.5
2025-09-02,1137.8,1160.4,1115.0,1137.3,813,54.98
2025-09-03,1154.6,1154.6,1106.1,1114.9,720,57.64
2025-09-04,1127.7,1130.9,1116.1,1117.3,295,55.25
2025-09-05,1102.8,1128.3,1100.0,1111.4,346,65.03
2025-09-08,1100.0,1178.0,1100.0,1165.0,1416,68.43
2025-09-09,1162.0,1166.3,1134.2,1163.6,748,69.92
2025-09-10,1165.0,1177.9,1140.3,1161.5,977,75.03
2025-09-11,1140.1,1235.9,1139.3,1199.9,2734,64.23
2025-09-12,1217.0,1250.0,1180.0,1198.8,2393,52.65
2025-09-15,1209.0,1217.4,1176.2,1202.8,1142,66.29
2025-09-16,1209.1,1234.9,1209.1,1212.3,1184,84.63
2025-09-17,1223.8,1223.8,1198.0,1213.1,1276,76.88
2025-09-18,1222.1,1244.0,1210.8,1224.1,1120,61.88
2025-09-19,1216.8,1249.0,1175.0,1184.5,1208,59.27
2025-09-22,1196.5,1259.9,1171.0,1243.9,2018,69.57
2025-09-23,1236.8,1236.8,1184.8,1198.4,2975,50.52
2025-09-24,1198.7,1228.0,1190.0,1214.9,1091,63.61
2025-09-25,1213.5,1213.5,1195.0,1205.3,564,76.95
2025-09-26,1187.4,1187.4,1134.3,1149.2,2336,57.19
2025-09-29,1178.9,1178.9,1103.5,1127.8,1127,42.24
2025-09-30,1146.2,1150.5,1119.2,1127.7,650,65.85
2025-10-01,1123.2,1211.1,1119.1,1177.3,701,39.09
2025-10-03,1177.3,1210.9,1154.2,1173.1,542,71.77
2025-10-06,1194.1,1194.1,1150.0,1156.3,119,53.78
2025-10-07,1166.6,1166.6,1132.3,1141.8,751,76.7
2025-10-08,1147.9,1154.3,1114.7,1129.9,693,52.67
2025-10-09,1106.3,1164.5,1105.4,1140.6,609,40.89
2025-10-10,1154.5,1154.5,1110.0,1118.9,514,85.02
2025-10-13,1110.0,1149.9,1110.0,1125.4,451,67.85
2025-10-14,1143.0,1150.0,1125.0,1147.4,342,66.37
2025-10-15,1125.3,1156.7,1112.6,1132.5,180,86.11
2025-10-16,1135.0,1150.0,1115.0,1134.0,251,73.71
2025-10-17,1132.3,1148.8,1100.6,1127.0,858,69.35
