DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,428.7,431.25,416.0,430.1,2314455,44.0
2025-04-15,452.6,466.0,450.0,462.55,6752078,23.87
2025-04-16,465.0,465.0,445.4,446.8,1718495,38.09
2025-04-17,445.0,452.5,435.85,451.7,2582488,45.25
2025-04-21,451.7,458.95,449.3,455.6,1083089,47.29
2025-04-22,456.4,459.1,450.2,451.6,1199046,52.68
2025-04-23,453.0,479.85,453.0,478.45,5766536,36.13
2025-04-24,485.0,488.0,466.1,469.15,3981952,47.59
2025-04-25,469.15,471.0,451.0,453.65,2181275,58.65
2025-04-28,453.0,465.5,452.1,463.25,1037631,36.29
2025-04-29,475.0,499.3,467.4,491.85,9531228,29.43
2025-04-30,492.0,495.05,477.7,481.15,3063465,44.31
2025-05-02,470.0,499.0,468.45,496.95,4969979,33.87
2025-05-05,497.0,510.05,492.5,508.6,1741588,44.89
2025-05-06,509.35,513.75,499.5,502.45,3030894,56.8
2025-05-07,491.0,512.8,490.0,511.15,2188022,53.88
2025-05-08,513.0,515.8,504.0,508.1,2833517,58.63
2025-05-09,497.8,503.65,491.6,500.5,1291054,38.93
2025-05-12,512.95,522.85,508.6,519.8,932430,40.7
2025-05-13,519.8,521.85,506.5,508.15,1005905,51.8
2025-05-14,517.0,532.55,512.5,528.2,2757417,47.78
2025-05-15,528.0,535.5,520.8,533.75,850032,44.77
2025-05-16,533.75,545.35,528.5,542.85,801815,33.95
2025-05-19,544.8,548.55,534.05,536.1,854863,49.67
2025-05-20,538.0,540.85,521.65,524.45,780051,58.19
2025-05-21,524.25,536.5,521.65,525.05,1119968,54.37
2025-05-22,528.0,530.8,522.4,528.05,1043387,61.83
2025-05-23,529.95,539.4,525.8,537.3,702464,56.39
2025-05-26,537.3,559.5,537.3,545.0,3863285,36.51
2025-05-27,548.9,549.8,541.35,544.95,1379965,57.41
2025-05-28,532.0,549.9,532.0,539.2,2691428,61.72
2025-05-29,544.6,547.0,536.45,542.65,1497046,65.16
2025-05-30,543.0,549.75,536.0,543.95,4203570,73.89
2025-06-02,539.95,548.0,534.6,541.4,768745,47.15
2025-06-03,540.1,543.45,530.75,533.75,1313357,59.2
2025-06-04,532.05,540.8,529.1,538.05,1009153,67.54
2025-06-05,536.4,541.9,527.0,528.1,1110583,57.72
2025-06-06,524.6,527.0,508.25,510.15,4829182,51.08
2025-06-09,512.0,523.55,507.9,521.35,1589318,46.26
2025-06-10,518.0,519.35,506.4,516.6,1552476,40.85
2025-06-11,519.0,534.65,517.3,519.0,2003002,24.64
2025-06-12,520.0,526.0,507.4,510.85,1437544,51.58
2025-06-13,467.95,504.0,467.95,501.85,1922178,30.05
2025-06-16,499.35,504.5,495.05,500.2,1359974,56.0
2025-06-17,501.25,503.95,478.1,479.95,3954206,60.15
2025-06-18,480.0,483.9,473.9,478.6,2530901,51.23
2025-06-19,479.7,484.95,474.8,478.05,2082504,52.42
2025-06-20,478.1,491.85,474.8,486.95,5401406,68.33
2025-06-23,479.9,486.1,475.3,477.35,4620465,44.61
2025-06-24,483.5,488.9,480.0,481.75,2061260,43.59
2025-06-25,484.45,486.45,477.7,480.8,1027515,44.77
2025-06-26,482.8,483.9,475.05,480.8,3502901,53.54
2025-06-27,484.9,485.8,478.2,479.25,1200021,60.38
2025-06-30,481.5,482.7,476.55,481.35,1060345,42.47
2025-07-01,486.0,489.0,474.15,475.9,2676817,48.89
2025-07-02,477.95,481.35,471.15,475.3,1339966,47.38
2025-07-03,478.6,482.65,475.0,479.35,1330215,46.61
2025-07-04,480.0,480.6,474.0,478.4,666146,39.82
2025-07-07,478.4,480.5,466.1,468.3,1635790,50.97
2025-07-08,469.6,471.55,460.0,461.3,2014126,49.93
2025-07-09,463.1,463.1,447.3,455.6,6392096,64.54
2025-07-10,457.7,461.25,452.0,454.65,1817646,54.36
2025-07-11,455.0,455.8,446.15,447.15,3034052,62.5
2025-07-14,470.0,470.0,445.5,452.25,3282577,26.53
2025-07-15,454.5,459.9,450.5,455.35,4731952,70.67
2025-07-16,458.0,462.0,453.3,455.05,3173710,62.69
2025-07-17,455.3,494.0,455.3,486.0,34339361,18.98
2025-07-18,486.0,489.0,473.4,479.75,6706634,44.83
2025-07-21,485.1,496.45,484.05,487.9,8698089,27.81
2025-07-22,488.5,489.0,471.05,472.95,2402025,42.34
2025-07-23,474.4,492.0,468.1,489.0,4471528,26.93
2025-07-24,490.0,492.85,484.6,490.8,2158605,41.61
2025-07-25,489.0,489.95,467.0,469.45,4112162,44.08
2025-07-28,469.05,479.7,464.0,465.55,1532707,36.75
2025-07-29,465.0,471.95,463.2,470.5,1649095,47.12
2025-07-30,471.0,471.75,454.5,461.3,2852842,55.17
2025-07-31,448.0,456.8,445.0,449.55,8040816,56.85
2025-08-01,450.0,453.65,435.3,437.55,1490890,31.73
2025-08-04,439.0,446.2,432.4,443.0,1461100,23.56
2025-08-05,433.0,455.25,433.0,447.1,5080108,29.77
2025-08-06,447.0,449.9,436.85,446.0,1458579,39.1
2025-08-07,440.0,452.95,431.35,448.85,1665549,40.46
2025-08-08,443.1,449.3,440.7,445.0,2163302,54.04
2025-08-11,445.45,449.8,440.45,445.95,2797929,71.0
2025-08-12,446.45,450.55,439.25,440.25,921533,58.01
2025-08-13,442.55,450.55,442.05,448.75,1320587,64.37
2025-08-14,449.85,453.0,444.0,451.85,1321467,65.0
2025-08-18,454.95,458.0,443.25,444.95,2572430,60.14
2025-08-19,445.8,466.65,444.15,455.25,5221932,39.6
2025-08-20,456.5,457.75,443.9,450.35,5362350,53.77
2025-08-21,451.0,456.0,441.55,442.65,5051564,61.73
2025-08-22,444.5,451.95,443.4,449.65,894867,37.0
2025-08-25,449.65,455.0,446.7,451.15,1166650,56.5
2025-08-26,449.8,463.2,441.8,453.7,58650435,59.6
2025-08-28,453.0,459.1,446.65,450.35,3245285,45.53
2025-08-29,450.35,453.7,442.1,443.05,3898250,63.03
2025-09-01,443.95,452.3,441.3,450.8,3064165,70.24
2025-09-02,451.0,453.25,442.9,444.95,4087210,64.21
2025-09-03,444.95,452.0,442.05,450.0,3590314,64.5
2025-09-04,455.9,455.9,436.6,437.95,3549467,60.77
2025-09-05,441.55,448.95,438.3,441.1,4301884,62.88
2025-09-08,442.5,459.35,442.5,454.35,3317333,48.62
2025-09-09,454.9,456.0,443.6,445.5,1694278,52.14
2025-09-10,451.55,457.45,446.35,450.05,4099347,54.66
2025-09-11,450.15,451.4,437.8,439.95,4599233,61.68
2025-09-12,442.0,442.7,426.05,428.3,3256814,48.29
