DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,63.15,63.57,62.5,63.01,63552,44.68
2025-04-15,63.55,65.7,63.55,65.24,102906,60.65
2025-04-16,64.81,68.39,64.81,67.71,106585,36.3
2025-04-17,67.47,69.7,66.85,69.03,142107,54.86
2025-04-21,68.99,70.5,67.71,69.45,258827,47.77
2025-04-22,69.85,70.18,68.2,68.6,107220,48.06
2025-04-23,69.39,69.98,67.46,69.5,226541,72.93
2025-04-24,69.2,71.99,68.6,68.97,161450,37.7
2025-04-25,69.05,69.42,66.15,66.51,68736,54.97
2025-04-28,66.95,66.95,63.33,64.46,253454,51.34
2025-04-29,63.8,65.46,62.85,63.98,82385,50.23
2025-04-30,63.75,64.2,62.33,62.6,61277,47.95
2025-05-02,61.8,64.21,61.8,62.78,77042,49.45
2025-05-05,62.35,64.01,61.72,63.28,65037,39.49
2025-05-06,63.27,63.78,60.67,61.04,86149,51.39
2025-05-07,60.08,62.3,60.08,60.85,68695,36.76
2025-05-08,61.01,63.25,59.85,61.13,181803,46.4
2025-05-09,57.55,60.9,57.55,59.83,109392,49.57
2025-05-12,61.45,64.17,61.45,63.3,71992,45.58
2025-05-13,63.59,64.49,63.05,63.39,37073,58.45
2025-05-14,63.05,66.5,63.05,65.39,179893,51.84
2025-05-15,65.92,66.75,64.84,65.87,115910,59.38
2025-05-16,64.5,65.49,63.41,64.66,203193,58.03
2025-05-19,67.14,70.0,65.5,67.25,563755,50.99
2025-05-20,68.21,68.3,64.8,65.36,221204,40.55
2025-05-21,65.08,66.0,64.7,65.67,82725,48.79
2025-05-22,65.95,66.45,64.79,64.99,103424,66.97
2025-05-23,65.85,66.94,65.2,65.76,184117,57.48
2025-05-26,65.75,66.12,64.25,64.54,78067,66.63
2025-05-27,64.8,64.95,63.7,64.12,61068,58.95
2025-05-28,64.2,65.1,64.15,64.45,68097,61.65
2025-05-29,64.75,70.19,62.9,64.02,1347346,43.42
2025-05-30,64.3,64.65,63.45,64.28,134520,51.63
2025-06-02,64.25,64.49,63.06,63.56,128419,62.08
2025-06-03,64.0,64.0,62.62,63.19,128376,56.19
2025-06-04,63.19,66.95,57.71,60.31,1335968,40.78
2025-06-05,60.5,62.48,60.5,62.17,240604,44.45
2025-06-06,62.4,62.4,60.91,61.23,157137,61.62
2025-06-09,62.15,64.4,61.59,62.53,342324,48.47
2025-06-10,63.0,65.2,62.16,64.78,387586,60.01
2025-06-11,64.79,66.8,64.1,65.02,490159,59.54
2025-06-12,65.2,66.2,63.09,63.49,157407,49.79
2025-06-13,62.51,63.49,61.86,62.61,79236,44.64
2025-06-16,62.01,63.6,61.72,63.06,83045,43.49
2025-06-17,63.5,64.75,62.05,62.35,160208,43.01
2025-06-18,62.1,67.79,61.66,65.18,713691,28.69
2025-06-19,64.62,65.7,62.0,62.25,217319,42.4
2025-06-20,61.81,63.4,61.81,62.41,190024,59.71
2025-06-23,62.05,62.6,60.85,61.16,204568,51.84
2025-06-24,62.0,63.9,62.0,62.39,134471,39.08
2025-06-25,62.51,63.8,62.16,62.96,137275,51.7
2025-06-26,62.35,64.45,62.35,63.7,130028,43.76
2025-06-27,63.91,66.0,63.51,64.52,291862,46.32
2025-06-30,64.5,65.0,63.0,63.95,125703,55.75
2025-07-01,64.6,64.91,63.5,64.09,108141,53.08
2025-07-02,64.75,64.75,62.28,62.92,188224,60.27
2025-07-03,62.8,63.63,61.58,61.87,268265,62.81
2025-07-04,62.5,62.91,61.62,62.26,118356,49.14
2025-07-07,62.3,62.76,60.86,61.21,124925,57.53
2025-07-08,61.02,61.91,61.02,61.32,77204,59.9
2025-07-09,61.33,61.84,60.6,60.83,120691,59.27
2025-07-10,61.47,61.48,60.8,60.95,61822,58.12
2025-07-11,61.5,62.71,60.4,61.65,325162,57.85
2025-07-14,61.7,61.9,60.7,61.54,104533,55.39
2025-07-15,61.2,62.1,60.8,60.98,127927,50.5
2025-07-16,61.44,61.75,59.71,60.34,234215,57.55
2025-07-17,60.8,63.42,60.55,61.88,204362,54.17
2025-07-18,61.89,62.09,60.82,61.79,149178,42.04
2025-07-21,61.8,62.0,60.65,60.98,67934,55.87
2025-07-22,61.0,61.7,60.88,61.39,66991,60.4
2025-07-23,61.51,62.2,60.79,61.54,62341,37.9
2025-07-24,61.64,61.7,60.52,60.6,66023,46.94
2025-07-25,61.49,62.27,60.02,60.91,233533,39.89
2025-07-28,61.03,61.04,59.21,60.41,151021,49.45
2025-07-29,60.15,60.81,59.9,60.2,32562,67.43
2025-07-30,60.66,61.48,59.3,59.8,139490,31.14
2025-07-31,58.55,59.47,58.0,58.31,91904,53.8
2025-08-01,59.19,59.19,57.25,57.5,67618,74.58
2025-08-04,57.11,59.1,57.05,57.78,83228,34.21
2025-08-05,57.5,58.14,57.1,57.2,45208,65.41
2025-08-06,57.01,57.26,55.3,55.54,89051,68.87
2025-08-07,55.25,56.45,55.0,55.24,78342,54.48
2025-08-08,55.52,55.75,53.76,54.15,77986,63.07
2025-08-11,54.17,56.4,53.85,55.78,80752,38.77
2025-08-12,54.62,56.59,54.54,56.13,55895,36.77
2025-08-13,56.9,57.45,56.32,56.86,38109,52.91
2025-08-14,55.55,57.5,55.55,55.75,61031,20.9
2025-08-18,56.9,57.79,56.0,56.29,77825,43.52
2025-08-19,57.09,57.38,55.82,56.31,90529,41.98
2025-08-20,56.99,62.0,56.06,60.53,358360,47.66
2025-08-21,61.38,61.49,59.7,60.25,99565,43.47
2025-08-22,59.35,60.78,57.7,58.26,95476,46.32
2025-08-25,58.89,60.48,58.14,59.69,98378,34.53
2025-08-26,58.9,59.8,57.11,57.89,58053,40.82
2025-08-28,57.58,58.4,56.25,56.46,68419,38.73
2025-08-29,56.01,57.58,56.0,56.55,56426,32.15
2025-09-01,56.16,58.84,55.06,57.36,119021,41.11
2025-09-02,57.75,58.4,57.64,58.12,43048,57.04
2025-09-03,58.01,59.33,57.41,58.07,103289,51.95
2025-09-04,58.4,64.0,56.7,60.04,524092,34.07
2025-09-05,60.1,60.67,58.2,58.5,154095,37.34
2025-09-08,58.5,59.68,58.0,58.95,114687,37.84
2025-09-09,59.25,60.0,58.86,59.21,48436,50.07
2025-09-10,59.45,59.81,57.95,58.4,78190,47.85
2025-09-11,58.5,59.3,57.8,57.98,48647,55.09
2025-09-12,57.51,58.51,56.9,57.19,91680,66.68
2025-09-15,57.19,58.53,57.19,57.97,78630,49.68
2025-09-16,57.97,59.16,57.64,58.41,83499,59.69
2025-09-17,58.72,59.75,57.99,58.11,129685,38.74
2025-09-18,58.44,58.75,57.06,57.19,121839,63.31
2025-09-19,57.45,57.78,56.71,56.88,115241,67.09
2025-09-22,56.88,57.4,56.52,56.69,83686,62.34
2025-09-23,57.0,57.15,55.8,56.2,59016,69.43
2025-09-24,56.24,56.39,55.5,55.64,45170,55.69
2025-09-25,55.77,56.3,54.45,54.82,107850,84.3
2025-09-26,55.3,55.3,53.4,53.96,55368,70.17
2025-09-29,54.7,55.47,53.77,55.08,72093,57.42
2025-09-30,55.31,56.28,54.1,55.72,84189,58.84
2025-10-01,55.12,56.2,55.12,56.0,20544,31.96
2025-10-03,55.11,59.0,55.1,57.19,171200,61.88
2025-10-06,57.2,61.4,56.99,59.09,406732,50.39
2025-10-07,59.09,59.1,57.74,58.57,106374,40.46
2025-10-08,58.54,59.08,56.52,56.84,117535,34.93
2025-10-09,57.45,58.04,55.75,56.03,80843,81.55
2025-10-10,56.03,56.54,54.99,55.86,112179,59.61
2025-10-13,55.74,56.25,53.9,54.68,89298,43.11
2025-10-14,55.45,55.45,53.5,53.65,64603,73.21
2025-10-15,54.13,54.16,53.4,53.6,63706,80.97
2025-10-16,53.6,54.79,52.95,53.48,141161,53.41
2025-10-17,53.48,54.0,52.4,52.94,153307,53.37
2025-10-20,53.0,53.0,51.5,51.64,205382,60.11
2025-10-21,52.0,53.48,51.71,52.74,13605,76.98
2025-10-22,52.0,53.48,51.71,52.74,13605,76.98
2025-10-23,53.48,53.48,50.51,50.74,356146,68.21
2025-10-24,50.99,51.67,50.74,50.98,103282,72.77
2025-10-27,50.53,52.5,50.4,51.58,268528,60.97
