DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,598.6,625.0,591.6,617.7,300715,83.6
2025-04-15,623.25,642.35,623.25,626.55,39806,40.34
2025-04-16,629.7,638.3,623.7,631.9,19725,47.12
2025-04-17,632.0,650.0,627.05,636.15,28620,51.66
2025-04-21,630.5,642.0,625.0,626.85,43923,62.79
2025-04-22,627.0,627.0,605.35,606.55,84826,70.44
2025-04-23,607.0,652.15,596.65,633.45,587606,70.66
2025-04-24,632.0,663.7,616.65,647.05,193530,30.93
2025-04-25,646.95,663.0,624.65,653.05,172460,39.94
2025-04-28,649.95,653.85,636.0,643.9,50542,55.25
2025-04-29,647.3,648.0,634.05,640.3,27388,56.47
2025-04-30,643.7,653.1,625.55,650.05,131306,74.18
2025-05-02,664.0,664.0,631.9,648.2,66169,51.86
2025-05-05,638.85,661.7,638.85,652.45,56118,75.21
2025-05-06,647.0,656.7,645.6,653.05,120687,74.01
2025-05-07,638.0,657.5,632.2,655.0,90182,67.69
2025-05-08,655.0,663.0,647.05,654.75,87439,61.75
2025-05-09,648.8,714.2,645.95,702.6,338686,33.55
2025-05-12,724.9,724.9,681.15,690.85,156865,41.1
2025-05-13,690.85,697.85,685.0,686.15,28761,34.27
2025-05-14,691.3,711.7,685.2,708.95,59376,56.67
2025-05-15,708.9,710.2,696.5,698.4,21942,55.2
2025-05-16,702.1,706.65,688.0,695.75,61032,51.77
2025-05-19,695.0,705.35,694.55,700.4,65992,73.33
2025-05-20,696.3,744.5,696.3,711.4,163535,30.63
2025-05-21,714.15,723.95,708.0,717.45,51056,56.98
2025-05-22,710.9,720.0,703.45,710.5,25182,65.85
2025-05-23,714.2,714.2,698.45,705.1,27332,51.3
2025-05-26,711.15,728.75,705.0,710.85,35974,42.81
2025-05-27,714.6,722.0,707.25,716.7,26379,42.92
2025-05-28,722.7,725.45,706.0,710.2,18664,36.67
2025-05-29,711.0,714.05,702.9,704.4,28393,48.98
2025-05-30,708.8,718.0,699.5,714.55,72508,65.7
2025-06-02,714.55,734.0,708.0,729.25,37839,65.1
2025-06-03,737.95,737.95,707.4,712.3,25939,54.62
2025-06-04,716.0,725.85,707.7,715.9,24527,50.08
2025-06-05,711.0,729.7,711.0,720.5,13726,48.16
2025-06-06,720.9,739.4,716.9,734.95,39598,56.77
2025-06-09,738.0,738.8,725.0,726.3,19536,48.9
2025-06-10,727.05,745.8,724.6,742.75,42899,57.21
2025-06-11,739.0,764.9,738.0,760.55,83345,65.51
2025-06-12,768.15,780.0,749.5,756.15,39554,47.63
2025-06-13,752.0,774.9,732.05,761.6,54812,41.37
2025-06-16,761.55,776.6,749.0,760.05,30557,44.34
2025-06-17,760.05,810.0,755.75,799.05,182791,69.7
2025-06-18,810.05,820.9,787.2,804.15,145274,33.08
2025-06-19,798.0,805.55,775.15,784.05,46980,42.45
2025-06-20,776.2,798.0,772.2,794.85,39530,47.98
2025-06-23,788.0,908.0,775.2,887.45,535402,54.16
2025-06-24,877.45,890.0,851.25,874.9,257306,40.23
2025-06-25,865.0,885.0,854.1,880.75,109576,53.7
2025-06-26,889.0,889.9,863.4,872.7,28064,42.03
2025-06-27,870.0,887.45,867.15,878.15,47329,52.24
2025-06-30,882.8,899.05,861.0,865.45,118581,35.95
2025-07-01,874.95,875.95,838.0,842.1,61901,50.25
2025-07-02,842.0,856.5,831.75,837.75,21562,45.08
2025-07-03,831.75,853.4,831.75,837.25,29905,53.2
2025-07-04,828.9,837.85,810.0,817.4,35850,53.39
2025-07-07,817.4,826.9,811.0,817.9,22063,36.41
2025-07-08,820.0,820.0,805.0,806.2,16281,55.38
2025-07-09,810.4,810.45,800.0,804.75,16367,47.03
2025-07-10,804.0,831.0,804.0,827.6,35249,54.79
2025-07-11,827.6,835.0,810.0,812.45,19913,46.81
2025-07-14,816.9,819.15,801.0,807.3,13058,38.46
2025-07-15,812.1,821.8,806.0,818.2,12935,45.62
2025-07-16,824.5,827.05,813.0,818.7,12840,46.37
2025-07-17,817.0,829.95,813.35,827.85,19068,58.87
2025-07-18,834.1,834.2,811.8,817.75,12167,50.12
2025-07-21,822.1,822.1,801.0,807.3,15082,51.22
2025-07-22,799.25,813.0,799.25,809.7,8280,52.21
2025-07-23,814.0,826.3,801.05,817.8,33571,44.98
2025-07-24,796.65,814.5,785.8,809.6,146034,41.75
2025-07-25,809.0,809.0,792.55,800.05,52279,58.7
2025-07-28,792.8,806.0,787.1,802.95,39011,61.53
2025-07-29,795.7,807.0,792.0,794.5,27787,54.18
2025-07-30,798.7,806.2,789.65,798.6,11215,57.52
2025-07-31,798.0,813.95,781.0,786.2,100422,23.87
2025-08-01,784.05,835.4,784.05,830.0,215049,54.74
2025-08-04,845.0,857.95,803.0,815.45,135118,39.27
2025-08-05,808.05,828.0,808.05,819.2,24641,41.65
2025-08-06,823.25,823.25,793.95,799.7,26667,52.48
2025-08-07,799.7,799.7,756.1,764.7,46182,44.74
2025-08-08,765.0,765.95,742.3,747.5,42588,54.5
2025-08-11,748.0,757.0,727.0,733.0,31138,52.4
2025-08-12,735.0,744.4,726.15,728.75,7385,43.16
2025-08-13,732.6,759.95,721.3,753.35,26509,50.93
2025-08-14,753.0,766.8,726.2,731.6,19088,65.19
2025-08-18,732.0,848.0,732.0,805.15,1917843,8.29
2025-08-19,810.0,841.65,802.85,829.4,467147,13.15
2025-08-20,833.5,842.0,821.9,826.85,68433,33.61
2025-08-21,834.5,838.0,821.0,824.6,30337,44.11
2025-08-22,827.0,827.1,786.95,795.05,41600,56.82
2025-08-25,797.9,797.9,781.1,785.0,20759,49.24
2025-08-26,781.05,785.85,763.0,768.1,44307,63.24
2025-08-28,760.05,775.3,748.0,751.3,26766,55.44
2025-08-29,746.55,770.0,742.65,764.15,18350,47.11
2025-09-01,764.15,780.4,763.95,778.7,21175,66.12
2025-09-02,771.6,788.5,771.6,774.95,13545,56.74
2025-09-03,779.0,780.4,769.85,775.8,6330,62.53
2025-09-04,777.05,790.0,771.0,775.4,19759,43.34
2025-09-05,779.5,784.95,768.45,780.15,13474,53.54
2025-09-08,784.3,801.0,773.15,788.55,271677,94.53
2025-09-09,798.0,798.0,768.15,774.2,31153,53.48
2025-09-10,772.85,787.2,772.85,780.65,49300,80.49
2025-09-11,781.1,797.0,776.0,792.4,19357,54.37
2025-09-12,785.2,801.0,784.55,788.4,22029,50.74
2025-09-15,788.3,798.0,784.5,793.25,13715,63.73
2025-09-16,788.1,807.0,788.1,804.4,16494,62.93
2025-09-17,797.1,813.0,797.1,805.45,13922,53.78
2025-09-18,806.1,825.0,797.15,822.8,43379,66.51
2025-09-19,818.0,844.2,814.4,841.25,70754,69.4
2025-09-22,835.0,851.0,830.5,848.85,65414,65.73
2025-09-23,853.3,862.0,842.0,860.2,51146,56.33
2025-09-24,864.7,868.0,849.8,860.15,52805,74.48
2025-09-25,857.2,865.7,842.4,850.9,18936,54.83
2025-09-26,858.0,880.7,857.0,870.1,207303,34.59
2025-09-29,870.0,979.0,816.3,843.25,10541845,9.41
2025-09-30,862.4,872.0,805.3,832.15,1322333,12.37
2025-10-01,848.7,848.7,805.35,821.05,294089,20.86
2025-10-03,821.0,857.2,821.0,847.2,272501,25.77
2025-10-06,847.15,848.0,821.0,824.2,89428,32.87
2025-10-07,822.05,829.35,804.05,807.6,80950,34.03
2025-10-08,808.3,808.3,785.0,797.0,106060,27.92
2025-10-09,791.0,803.7,785.95,798.25,57296,27.19
2025-10-10,803.9,810.05,790.9,801.15,53292,53.44
2025-10-13,795.0,803.95,780.0,782.75,36019,44.77
2025-10-14,782.95,786.9,760.1,764.95,78461,23.0
2025-10-15,760.0,785.0,760.0,779.0,47787,57.01
2025-10-16,783.1,788.0,770.25,775.75,30866,51.48
2025-10-17,775.0,787.0,763.0,776.7,41009,46.8
2025-10-20,776.7,780.6,762.85,770.65,33925,50.76
2025-10-21,776.25,815.0,771.9,802.95,35789,39.96
2025-10-22,776.25,815.0,771.9,802.95,35789,39.96
2025-10-23,805.0,808.0,785.75,802.6,71380,51.31
2025-10-24,802.6,812.0,788.05,808.1,60945,52.36
2025-10-27,808.1,809.95,763.0,798.05,621866,61.33
2025-10-28,798.0,805.0,786.3,794.5,62385,33.6
2025-10-29,794.0,794.0,762.0,767.5,99304,49.46
2025-10-30,769.45,777.95,750.95,753.4,54340,44.0
2025-10-31,751.8,758.6,747.8,750.35,31409,45.49
2025-11-03,744.5,744.5,710.15,720.05,235512,51.71
2025-11-04,706.3,719.0,686.2,692.1,92915,51.01
2025-11-05,706.3,719.0,686.2,692.1,92915,51.01
2025-11-06,692.0,692.0,662.8,667.2,112537,62.84
2025-11-07,657.25,666.8,655.2,659.25,66573,67.54
2025-11-10,664.3,669.75,646.85,662.05,56442,31.9
2025-11-11,655.0,665.0,651.65,663.15,28447,40.98
2025-11-12,665.0,673.2,656.0,659.5,32216,52.67
2025-11-13,656.0,662.6,651.0,655.2,23038,60.33
2025-11-14,658.0,660.1,641.25,645.1,29921,53.78
2025-11-17,676.05,676.05,645.0,655.45,78876,20.64
2025-11-18,658.4,658.4,636.0,641.05,65452,42.7
2025-11-19,641.05,643.85,621.45,626.35,130529,71.99
2025-11-20,629.55,639.0,619.15,636.0,36320,55.23
2025-11-21,638.0,665.65,624.2,656.9,309710,74.55
2025-11-24,660.9,672.0,646.8,670.6,77493,49.34
2025-11-25,680.2,680.2,660.6,666.15,40723,57.84
2025-11-26,668.85,670.6,652.5,660.4,101097,37.08
2025-11-27,652.4,678.0,652.4,663.0,41021,66.72
2025-11-28,663.0,663.0,639.5,641.85,31738,54.97
2025-12-01,651.1,651.1,621.0,622.85,40589,40.8
2025-12-02,625.9,643.3,615.6,638.65,54676,34.67
2025-12-03,641.95,641.95,631.0,632.6,12330,50.75
2025-12-04,632.6,642.8,627.4,635.0,15298,50.99
2025-12-05,635.0,637.5,620.05,628.4,25987,53.44
2025-12-08,628.0,628.0,611.0,623.25,45760,57.33
2025-12-09,619.3,687.7,619.25,674.15,125945,46.52
2025-12-10,671.0,685.4,655.1,658.45,66654,34.66
2025-12-11,655.0,669.0,651.05,663.9,19057,55.57
2025-12-12,660.0,663.95,649.9,654.25,19959,62.36
2025-12-15,654.25,657.7,647.5,649.45,10238,57.86
2025-12-16,648.0,649.2,635.5,643.7,31359,55.76
2025-12-17,637.8,644.0,636.3,639.6,16358,59.48
2025-12-18,639.45,641.25,628.0,636.75,16314,43.72
2025-12-19,636.75,638.45,620.05,626.75,40205,45.59
2025-12-22,628.0,658.15,628.0,645.9,46726,35.48
2025-12-23,628.0,653.9,628.0,641.8,41415,35.4
2025-12-24,644.8,662.1,642.3,648.25,24946,41.43
2025-12-25,644.8,662.1,642.3,648.25,24946,41.43
2025-12-26,648.0,648.0,637.35,641.25,17026,52.64
2025-12-29,644.6,649.45,638.0,638.55,15642,57.04
2025-12-30,638.55,653.8,633.1,641.9,14732,53.76
2025-12-31,636.5,652.85,636.5,646.0,10052,43.61
2026-01-01,649.4,649.4,642.45,643.0,5837,61.13
2026-01-02,640.2,649.5,640.2,646.9,7674,73.66
2026-01-05,646.9,650.0,640.0,642.6,12480,76.66
2026-01-06,640.0,643.25,591.6,604.05,548532,75.41
2026-01-07,594.0,616.8,583.3,598.1,92866,38.01
2026-01-08,598.1,601.65,588.0,591.75,24694,57.44
2026-01-09,591.7,595.9,568.0,571.35,48095,56.94
2026-01-12,570.0,571.35,539.5,559.65,121817,45.97
2026-01-13,561.9,567.85,554.85,563.3,16174,59.81
2026-01-14,558.2,560.25,539.25,543.85,41487,55.78
2026-01-15,558.2,560.25,539.25,543.85,41487,55.78
2026-01-16,540.0,548.95,537.05,539.55,24407,45.93
2026-01-19,539.5,541.5,529.0,532.55,24001,51.55
2026-01-20,535.4,563.95,494.25,507.85,262410,24.68
2026-01-21,462.3,547.0,462.3,528.3,2015551,7.43
2026-01-22,522.0,524.45,509.55,521.6,104016,22.66
2026-01-23,518.0,521.5,499.5,501.45,55991,49.26
2026-01-26,518.0,521.5,499.5,501.45,55991,49.26
2026-01-27,500.05,512.9,495.1,506.15,39777,67.09
2026-01-28,512.3,536.9,507.55,526.95,35070,39.02
2026-01-29,526.95,537.95,510.35,526.8,61882,43.73
2026-01-30,522.0,580.0,515.0,570.0,143632,39.92
2026-02-02,588.0,590.0,568.0,583.6,35384,37.3
2026-02-03,590.0,636.8,588.0,628.25,123857,49.47
2026-02-04,622.55,633.35,616.6,630.4,39565,53.08
2026-02-05,630.0,630.0,601.45,603.75,25624,55.08
