DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,294.0,298.4,291.25,294.4,47794,42.98
2025-04-15,301.15,314.1,295.9,312.8,79901,40.17
2025-04-16,312.8,319.95,302.15,316.75,60391,45.01
2025-04-17,317.0,326.65,313.95,321.9,81391,43.56
2025-04-21,321.9,334.2,318.85,331.6,103222,45.52
2025-04-22,332.0,337.75,326.3,332.05,79514,47.15
2025-04-23,333.1,342.1,329.0,332.35,93114,43.17
2025-04-24,333.7,348.4,323.35,326.9,295158,35.62
2025-04-25,328.05,335.15,317.15,323.45,138182,38.34
2025-04-28,323.9,324.85,315.0,319.4,72656,33.01
2025-04-29,320.95,327.8,314.1,316.45,55852,34.75
2025-04-30,316.0,319.2,307.2,310.0,71206,32.84
2025-05-02,312.35,316.0,306.35,308.55,87700,38.49
2025-05-05,310.2,318.15,305.6,311.75,75090,41.88
2025-05-06,314.2,315.15,296.1,299.15,71713,55.97
2025-05-07,294.1,311.1,291.5,306.6,78662,34.21
2025-05-08,307.35,315.0,297.75,298.7,73194,43.05
2025-05-09,290.0,301.3,289.5,299.25,50806,47.84
2025-05-12,309.0,316.95,303.5,304.95,160276,60.94
2025-05-13,305.0,340.45,293.2,296.85,917436,41.96
2025-05-14,301.3,323.75,301.3,309.25,923331,28.34
2025-05-15,311.7,339.0,311.5,336.95,1086254,29.71
2025-05-16,339.5,347.0,335.05,336.75,351783,40.35
2025-05-19,328.0,336.7,326.1,328.0,204187,50.6
2025-05-20,331.9,332.4,314.15,316.5,164780,49.55
2025-05-21,318.0,323.3,313.3,318.55,123522,46.87
2025-05-22,318.9,323.2,317.05,319.85,64136,53.27
2025-05-23,321.85,324.95,316.05,321.9,95607,39.52
2025-05-26,321.95,326.8,320.0,320.4,66182,50.75
2025-05-27,320.4,325.0,317.6,318.4,78339,46.1
2025-05-28,318.0,320.0,314.05,315.2,99031,64.3
2025-05-29,316.9,324.9,313.65,320.95,110254,53.66
2025-05-30,318.55,325.65,317.6,322.95,96716,54.77
2025-06-02,322.0,332.0,318.35,327.85,137783,47.17
2025-06-03,329.95,354.35,325.5,351.15,1108301,35.59
2025-06-04,355.0,362.75,345.35,347.35,457937,42.68
2025-06-05,348.0,352.55,341.05,341.95,152298,48.95
2025-06-06,347.1,376.9,343.85,372.6,1160816,30.94
2025-06-09,380.0,390.15,373.0,374.8,582739,45.26
2025-06-10,374.5,378.85,368.35,371.6,186644,43.69
2025-06-11,372.0,393.45,372.0,380.05,480342,31.14
2025-06-12,381.95,388.85,367.0,374.5,289984,28.64
2025-06-13,365.5,374.0,363.0,363.9,156643,41.91
2025-06-16,366.0,368.8,350.05,354.5,208188,54.85
2025-06-17,356.5,376.75,353.1,356.4,304899,29.54
2025-06-18,355.0,367.0,350.9,358.6,168846,37.65
2025-06-19,356.2,366.3,342.85,347.0,181535,34.91
2025-06-20,345.1,353.5,341.25,343.5,489582,29.11
2025-06-23,340.0,348.75,335.05,341.85,162818,32.29
2025-06-24,347.2,360.3,344.15,356.9,337848,32.46
2025-06-25,359.7,369.95,356.9,368.3,155158,43.07
2025-06-26,369.95,377.0,365.0,367.75,149375,34.23
2025-06-27,370.0,371.25,353.95,355.1,210226,53.35
2025-06-30,360.0,365.0,357.85,361.85,101471,43.09
2025-07-01,363.7,373.4,358.45,369.55,246037,41.99
2025-07-02,371.15,375.2,357.35,358.75,188389,50.58
2025-07-03,359.5,362.75,355.8,358.85,115878,46.0
2025-07-04,359.95,363.9,352.35,355.5,77103,44.5
2025-07-07,355.5,360.75,348.0,349.15,79215,50.39
2025-07-08,349.15,352.15,344.45,346.55,60377,40.09
2025-07-09,346.0,369.0,346.0,361.65,268270,25.36
2025-07-10,358.9,375.0,358.25,361.45,266392,28.78
2025-07-11,359.75,363.8,354.35,356.0,85051,41.39
2025-07-14,358.6,361.0,355.4,358.25,74676,35.54
2025-07-15,356.0,365.15,353.05,354.6,202844,63.1
2025-07-16,354.95,359.6,353.5,354.8,72443,49.32
2025-07-17,356.3,357.5,352.05,352.55,49893,51.39
2025-07-18,354.7,381.8,354.45,377.75,1020812,27.63
2025-07-21,375.95,384.0,369.35,376.3,346028,38.78
2025-07-22,377.7,380.6,360.35,363.15,199537,49.8
2025-07-23,364.4,378.0,358.45,374.65,184849,34.41
2025-07-24,374.65,381.0,365.0,371.0,128083,36.02
2025-07-25,372.1,372.1,355.3,357.75,109351,49.0
2025-07-28,355.0,357.95,347.2,351.15,130489,50.45
2025-07-29,351.15,355.75,343.55,345.1,138581,56.27
2025-07-30,345.0,357.9,345.0,349.55,111658,43.08
2025-07-31,346.0,346.7,336.6,342.7,81237,44.8
2025-08-01,348.0,351.2,338.0,340.2,64837,37.06
2025-08-04,341.95,344.0,329.8,331.1,109785,51.53
2025-08-05,329.7,337.7,325.0,326.35,94854,43.07
2025-08-06,327.0,334.85,314.65,317.3,103668,37.4
2025-08-07,317.35,326.85,305.3,313.05,141150,41.15
2025-08-08,309.6,313.9,300.15,301.55,124209,51.26
2025-08-11,301.5,306.5,299.0,302.3,58865,48.0
2025-08-12,302.3,313.2,302.3,307.5,100624,33.85
2025-08-13,310.55,312.0,307.95,310.1,39039,39.88
2025-08-14,313.0,314.4,302.4,304.15,27181,56.35
