DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,77.24,82.2,76.34,81.67,2437314,35.47
2025-04-15,83.5,84.74,82.1,83.96,1377654,50.88
2025-04-16,83.96,85.89,81.97,82.53,2327086,44.35
2025-04-17,82.94,84.95,82.21,84.01,1664648,43.05
2025-04-21,84.9,88.46,84.21,87.26,2019698,44.44
2025-04-22,88.0,88.16,85.91,86.32,1826553,51.7
2025-04-23,88.0,88.0,84.24,86.97,2636184,53.55
2025-05-09,59.26,62.47,59.26,61.39,477741,57.03
2025-05-12,63.5,66.9,63.46,66.38,1140904,60.53
2025-05-13,66.9,72.38,66.38,69.96,1517663,52.87
2025-05-14,70.45,70.64,67.52,67.91,1018131,61.8
2025-05-15,68.45,69.79,67.29,69.08,781891,49.77
2025-05-16,69.39,78.9,69.04,75.62,2753093,35.2
2025-05-19,75.62,75.75,71.7,72.43,1584891,51.32
2025-05-20,72.0,72.39,68.79,69.19,1027312,55.17
2025-05-21,69.39,69.9,67.55,68.36,972388,50.39
2025-05-22,68.06,69.0,67.83,68.44,572694,51.09
2025-05-23,68.67,72.33,67.7,72.01,1971018,41.92
2025-05-26,72.39,73.28,71.07,71.78,663005,48.11
2025-05-27,71.78,72.28,70.67,71.3,432630,55.37
2025-05-28,71.5,72.35,71.1,71.63,474797,49.49
2025-05-29,71.98,72.25,70.9,71.3,402340,50.9
2025-05-30,71.3,72.76,69.76,71.94,688804,52.39
2025-06-02,71.94,74.0,70.11,73.27,902905,47.28
2025-06-03,73.56,73.75,72.1,73.22,620149,59.38
2025-06-04,73.22,75.32,73.01,73.66,1013836,49.3
2025-06-05,73.15,77.0,73.15,75.18,1524716,46.43
2025-06-06,75.3,77.74,75.16,75.8,1236565,41.73
2025-06-09,76.17,76.9,74.66,75.42,708595,52.94
2025-06-10,75.5,76.5,75.0,75.53,492365,51.0
