DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,10.73,10.73,10.3,10.47,14724,68.94
2025-04-15,10.62,11.15,10.1,10.54,89467,69.89
2025-04-16,10.54,10.54,10.15,10.25,72393,64.41
2025-04-17,10.5,11.1,10.28,10.81,101068,60.22
2025-04-21,10.81,11.18,10.51,10.94,67420,73.75
2025-04-22,10.72,11.39,10.72,11.08,33838,86.89
2025-04-23,11.0,12.18,10.98,11.28,86658,40.37
2025-04-24,11.9,11.9,11.03,11.27,151756,66.38
2025-04-25,11.14,11.7,10.7,11.19,47636,63.19
2025-04-28,11.0,11.7,10.5,10.53,30495,67.28
2025-04-29,10.54,11.15,10.52,10.61,30384,37.24
2025-04-30,10.66,10.75,10.52,10.6,24540,68.69
2025-05-02,10.22,10.74,10.22,10.33,37664,70.7
2025-05-05,10.84,11.35,10.2,10.34,130832,37.5
2025-05-06,10.53,10.53,9.55,9.91,60419,85.08
2025-05-07,10.15,10.2,9.67,10.08,69660,56.38
2025-05-08,9.88,10.34,9.76,9.89,66163,78.02
2025-05-09,9.45,10.02,9.4,9.57,49529,65.96
2025-05-12,9.35,10.45,9.35,10.01,24471,69.89
2025-05-13,10.15,10.15,9.56,9.67,52020,67.35
2025-05-14,9.71,10.04,9.71,9.9,77791,72.18
2025-05-15,9.9,10.4,9.75,9.79,100070,79.19
2025-05-16,9.79,9.95,9.75,9.81,20620,65.17
2025-05-19,9.9,10.59,9.77,10.4,95243,52.92
2025-05-20,10.9,11.1,10.1,10.43,139345,61.17
2025-05-21,11.0,11.0,10.05,10.24,54459,72.49
2025-05-22,10.36,11.26,10.06,10.43,136987,39.0
2025-05-23,10.42,11.0,10.31,10.49,64210,75.37
2025-05-26,10.35,10.78,9.98,10.11,158089,68.57
2025-05-27,9.65,10.11,9.65,9.88,80320,81.22
2025-05-28,9.9,10.1,9.87,9.96,21575,71.81
2025-05-29,10.13,10.29,9.91,9.99,43729,72.16
2025-05-30,10.04,10.05,9.88,9.93,47819,94.44
2025-06-02,10.05,10.1,9.87,10.07,50571,88.0
2025-06-03,10.12,10.12,9.75,9.91,30436,86.55
2025-06-04,9.92,10.89,9.81,10.23,213408,84.26
2025-06-05,10.05,10.45,10.0,10.07,81772,80.49
2025-06-06,10.16,10.48,9.75,9.98,201658,40.98
2025-06-09,9.76,10.09,9.76,9.93,44469,60.41
2025-06-10,10.04,10.04,9.7,9.82,93100,82.68
2025-06-11,9.83,11.25,9.83,10.62,833014,46.73
2025-06-12,10.95,10.95,10.12,10.31,96415,61.25
2025-06-13,10.29,10.29,10.0,10.13,38383,51.99
2025-06-16,10.3,10.3,10.0,10.1,43380,76.37
2025-06-17,10.15,10.5,10.03,10.07,36922,59.91
2025-06-18,9.98,10.2,9.81,9.94,68398,85.2
2025-06-19,10.08,10.15,9.75,9.81,81294,75.95
2025-06-20,9.82,10.24,9.82,10.05,76662,77.94
2025-06-23,9.95,9.99,9.55,9.84,90241,84.19
2025-06-24,9.86,11.59,9.86,10.11,537983,36.99
2025-06-25,10.2,10.41,10.0,10.03,86541,72.48
2025-06-26,10.24,11.4,9.94,10.87,1239233,24.14
2025-06-27,11.03,11.7,10.6,10.83,1150145,27.66
2025-06-30,10.82,11.49,10.5,10.61,662434,35.82
2025-07-01,10.47,11.13,10.47,10.98,159002,54.24
2025-07-02,10.98,11.75,10.7,10.99,264586,55.49
2025-07-03,10.99,11.27,10.6,10.78,62117,29.2
2025-07-04,10.8,11.2,10.8,11.03,56667,62.02
2025-07-07,11.06,11.06,10.61,10.83,30874,61.03
2025-07-08,11.2,11.2,10.32,10.52,447972,48.26
2025-07-09,10.28,10.7,10.28,10.34,35823,50.44
2025-07-10,10.73,10.91,10.3,10.34,163395,42.99
2025-07-11,10.6,10.91,10.01,10.4,97725,65.61
2025-07-14,10.47,10.87,10.15,10.19,406725,29.31
2025-07-15,10.13,11.15,10.13,10.4,546754,26.17
2025-07-16,10.3,10.62,10.23,10.3,44797,53.39
2025-07-17,10.4,10.48,10.0,10.13,64743,71.93
2025-07-18,10.25,10.3,10.05,10.11,50851,62.36
2025-07-21,10.06,10.35,10.06,10.15,41381,80.04
2025-07-22,10.16,11.4,10.05,10.9,692027,29.54
2025-07-23,10.8,11.16,10.03,10.17,699241,51.09
2025-07-24,10.25,10.47,10.02,10.06,160755,29.98
2025-07-25,10.2,10.2,9.9,9.95,38972,70.16
2025-07-28,10.24,10.24,9.45,9.73,25509,67.63
2025-07-29,9.85,10.49,9.64,9.74,319013,17.24
2025-07-30,9.76,10.02,9.72,9.76,35839,55.42
2025-07-31,9.56,9.86,9.56,9.73,13497,71.76
2025-08-01,9.58,10.16,9.58,9.7,18482,83.92
2025-08-04,10.15,10.15,9.51,9.7,35299,57.7
2025-08-05,9.81,9.91,9.55,9.69,20096,55.05
2025-08-06,9.69,10.19,9.25,9.41,57432,70.4
2025-08-07,9.63,9.85,9.0,9.24,49994,64.57
2025-08-08,9.03,9.33,8.6,9.0,36159,78.35
2025-08-11,9.38,9.99,9.03,9.25,213457,53.73
2025-08-12,9.15,9.62,9.11,9.16,16141,64.12
2025-08-13,9.21,9.44,9.16,9.18,5504,65.04
2025-08-14,9.01,9.58,9.0,9.13,19544,53.86
2025-08-18,9.41,9.49,9.05,9.38,49901,85.78
2025-08-19,9.64,10.78,9.51,9.92,84681,57.14
2025-08-20,10.32,10.32,9.85,9.97,28328,80.03
2025-08-21,10.13,10.18,9.61,9.68,30461,64.5
2025-08-22,9.68,10.12,9.68,9.88,79283,62.38
2025-08-25,10.05,10.05,9.66,9.73,12703,77.98
2025-08-26,9.89,9.89,9.5,9.56,16723,70.23
2025-08-28,9.6,9.83,9.35,9.47,20177,66.92
2025-08-29,9.69,10.2,9.33,9.63,19950,56.65
2025-09-01,9.85,9.85,9.5,9.61,22118,90.12
2025-09-02,9.8,9.8,9.51,9.58,11931,57.48
2025-09-03,9.6,9.97,9.42,9.72,29003,50.55
2025-09-04,9.89,9.89,9.5,9.54,10946,81.78
2025-09-05,9.55,9.68,9.4,9.42,28882,83.95
2025-09-08,9.99,9.99,9.0,9.06,102560,79.19
2025-09-09,9.45,9.45,9.11,9.15,9898,76.79
2025-09-10,9.19,9.48,9.08,9.26,26051,61.46
2025-09-11,9.26,9.45,8.9,9.18,42867,71.75
2025-09-12,9.4,9.73,8.99,9.3,225625,85.85
2025-09-15,9.44,9.44,9.12,9.32,38211,84.09
2025-09-16,9.4,9.48,9.18,9.23,74769,86.87
2025-09-17,9.34,9.34,9.0,9.06,88894,96.37
2025-09-18,9.08,9.8,9.05,9.38,111096,83.38
2025-09-19,9.45,9.49,9.11,9.31,86299,83.03
2025-09-22,9.45,9.45,8.5,9.03,124524,84.98
2025-09-23,9.22,9.42,9.09,9.31,77871,76.96
2025-09-24,9.38,9.38,9.03,9.31,12570,78.02
2025-09-25,9.26,9.49,9.11,9.23,26458,81.91
2025-09-26,9.38,9.38,8.91,9.11,15197,83.14
2025-09-29,9.11,9.34,9.03,9.16,44548,72.91
2025-09-30,9.35,9.35,9.07,9.15,5560,73.18
2025-10-01,9.25,9.42,9.08,9.31,15853,78.32
2025-10-03,9.5,9.5,9.06,9.33,9750,79.02
2025-10-06,9.36,9.4,9.01,9.18,53195,52.85
2025-10-07,9.2,9.3,9.12,9.22,27211,88.85
2025-10-08,9.23,9.31,9.05,9.08,41153,95.62
2025-10-09,9.24,9.43,9.13,9.21,27123,90.1
2025-10-10,9.26,9.26,9.16,9.22,38828,89.57
2025-10-13,9.22,9.22,8.36,9.15,36236,70.37
2025-10-14,9.3,9.3,8.99,9.07,6859,83.82
2025-10-15,9.07,9.25,8.9,9.14,186851,92.04
2025-10-16,9.29,9.29,9.07,9.16,9393,79.39
2025-10-17,9.16,9.29,9.05,9.12,8933,85.31
2025-10-20,8.6,9.48,8.6,9.35,20310,78.07
2025-10-21,8.8,9.98,8.8,9.45,7236,68.08
2025-10-22,8.8,9.98,8.8,9.45,7236,68.08
2025-10-23,9.45,9.98,9.4,9.67,33042,74.34
2025-10-24,9.55,9.55,9.27,9.31,6822,83.51
2025-10-27,9.94,9.94,9.21,9.3,30585,82.48
2025-10-28,9.11,9.9,9.11,9.6,24894,64.53
2025-10-29,9.95,9.95,9.26,9.36,82561,86.65
2025-10-30,9.37,9.8,9.37,9.39,17015,74.38
2025-10-31,9.4,9.67,9.25,9.27,28181,80.03
2025-11-03,9.27,9.39,9.22,9.28,23316,94.84
2025-11-04,9.28,9.64,9.19,9.43,24634,76.05
2025-11-05,9.28,9.64,9.19,9.43,24634,76.05
2025-11-06,9.54,9.54,9.07,9.29,24400,72.7
2025-11-07,9.25,9.39,9.15,9.31,14194,86.49
2025-11-10,9.62,9.68,9.11,9.21,97407,64.26
2025-11-11,9.14,9.39,9.14,9.25,23133,93.46
2025-11-12,9.45,9.45,9.2,9.27,10767,83.1
2025-11-13,9.5,9.5,9.23,9.37,13763,92.61
2025-11-14,9.16,9.37,9.16,9.34,5830,89.01
2025-11-17,9.34,9.34,9.16,9.22,21724,68.34
2025-11-18,9.22,9.7,9.19,9.2,84779,94.95
2025-11-19,9.21,9.42,9.21,9.28,18755,68.49
2025-11-20,9.28,9.43,9.24,9.31,18609,93.29
2025-11-21,9.31,9.39,9.16,9.24,10037,99.96
2025-11-24,9.43,9.43,8.97,9.0,13908,65.87
2025-11-25,8.96,9.28,8.96,9.13,4423,83.97
2025-11-26,9.38,9.38,9.04,9.21,15933,95.43
2025-11-27,9.39,9.41,8.6,9.03,24780,87.17
2025-11-28,9.21,9.39,9.04,9.16,22223,54.14
2025-12-01,9.27,9.45,8.8,8.93,28866,79.58
2025-12-02,9.2,9.2,8.9,8.99,9017,91.24
2025-12-03,9.14,9.14,8.8,8.97,10729,92.73
2025-12-04,8.96,9.24,8.56,8.8,54999,75.23
2025-12-05,8.81,9.0,8.69,8.88,16210,58.64
2025-12-08,9.15,9.15,8.4,8.68,5592,74.68
2025-12-09,8.71,8.93,8.01,8.34,50722,64.13
2025-12-10,8.84,8.84,8.21,8.3,17531,74.68
2025-12-11,8.3,8.59,8.26,8.31,4708,89.85
2025-12-12,8.3,8.66,8.2,8.27,16418,80.11
2025-12-15,8.0,8.42,8.0,8.21,59111,93.82
2025-12-16,8.15,8.7,7.8,8.02,126320,87.8
2025-12-17,8.19,8.19,7.72,7.77,36673,93.89
2025-12-18,7.81,8.0,7.4,7.78,36727,68.94
2025-12-19,7.9,8.66,7.79,7.88,32474,40.55
2025-12-22,8.03,8.99,7.91,8.31,238639,55.1
2025-12-23,8.94,8.94,8.05,8.17,32552,75.63
2025-12-24,8.34,8.53,8.24,8.26,16508,73.07
2025-12-25,8.34,8.53,8.24,8.26,16508,73.07
2025-12-26,8.06,8.36,7.96,8.11,23260,82.72
2025-12-29,7.95,8.27,7.95,8.12,17304,89.3
2025-12-30,7.95,8.29,7.95,8.05,64218,94.7
2025-12-31,8.89,8.89,7.99,8.04,34094,59.42
2026-01-01,8.15,8.18,8.05,8.09,5960,96.24
2026-01-02,8.09,8.46,7.96,8.08,36554,68.26
2026-01-05,8.18,8.18,8.01,8.01,17702,77.39
2026-01-06,8.01,8.14,7.92,7.99,31273,90.9
2026-01-07,8.05,8.98,7.95,8.54,123847,80.73
2026-01-08,8.49,8.49,8.12,8.17,17223,88.84
2026-01-09,8.17,8.67,7.9,8.07,67514,54.21
2026-01-12,8.21,8.21,7.99,8.13,14558,51.02
2026-01-13,8.13,8.14,7.9,8.0,53120,96.13
2026-01-14,7.91,8.44,7.83,8.18,43140,68.79
2026-01-15,7.91,8.44,7.83,8.18,43140,68.79
2026-01-16,8.55,8.55,7.9,8.06,26427,84.24
2026-01-19,8.01,8.15,8.0,8.03,10291,75.23
2026-01-20,8.0,8.35,7.9,8.03,20069,94.89
2026-01-21,7.43,8.53,7.43,7.82,36546,60.79
2026-01-22,8.39,8.39,7.56,8.07,3515,71.83
2026-01-23,8.07,8.07,7.83,8.0,15308,99.31
2026-01-26,8.07,8.07,7.83,8.0,15308,99.31
2026-01-27,8.46,8.46,7.86,8.06,2906,62.63
2026-01-28,8.01,8.13,7.87,7.92,2229,58.59
2026-01-29,7.92,8.09,7.3,7.58,60795,88.44
2026-01-30,7.9,7.95,7.6,7.9,32416,81.68
