DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,247.0,249.9,243.03,247.48,366952,47.39
2025-04-15,250.0,262.0,250.0,257.76,542157,43.49
2025-04-16,257.76,262.34,256.05,256.84,383025,46.11
2025-04-17,257.0,261.82,256.04,259.81,398754,53.03
2025-04-21,261.5,264.0,257.0,258.19,427731,53.72
2025-04-22,262.0,271.0,259.83,268.91,595482,57.34
2025-04-23,271.05,275.0,264.1,269.95,585083,53.45
2025-04-24,269.0,279.47,266.54,275.33,718381,42.03
2025-04-25,279.44,283.0,261.99,265.74,880486,36.68
2025-04-28,267.0,267.7,260.66,265.85,323557,42.78
2025-04-29,264.01,268.79,258.41,264.99,347626,39.12
2025-04-30,264.5,265.5,255.02,256.29,555982,58.75
2025-05-02,252.0,265.3,250.45,262.8,417005,30.68
2025-05-05,264.7,264.7,257.0,258.4,275936,45.34
2025-05-06,259.0,262.5,249.95,251.15,390408,48.52
2025-05-07,248.25,261.75,247.0,257.75,375794,36.7
2025-05-08,258.4,278.0,257.15,260.95,1520565,41.08
2025-05-09,254.3,264.0,253.5,262.8,361119,42.25
2025-05-12,270.6,281.5,270.6,280.25,526979,54.37
2025-05-13,282.45,289.9,279.5,283.5,478544,54.63
2025-05-14,286.6,303.0,284.6,291.3,3207757,36.3
2025-05-15,296.0,297.85,272.9,283.65,1969304,48.92
2025-05-16,283.65,293.8,283.0,292.45,819381,49.51
2025-05-19,292.45,299.0,289.15,293.8,812919,49.49
2025-05-20,293.8,299.5,292.0,296.9,735943,56.84
2025-05-21,294.45,301.9,294.0,297.6,502356,52.79
2025-05-22,294.6,317.25,294.6,311.2,1799406,37.53
2025-05-23,318.0,329.0,314.35,326.85,1629542,48.13
2025-05-26,329.0,330.2,317.7,320.05,518507,47.38
2025-05-27,320.05,325.85,317.45,324.4,395565,52.01
2025-05-28,324.4,333.3,324.1,330.95,409213,55.03
2025-05-29,331.5,340.0,330.65,333.25,454491,50.52
2025-05-30,333.0,335.9,325.4,330.25,292898,45.41
2025-06-02,330.25,335.0,327.5,332.0,239739,48.91
2025-06-03,332.3,341.5,331.0,335.65,443923,53.33
2025-06-04,335.8,339.95,331.55,333.05,266565,53.13
2025-06-05,333.4,344.1,333.4,340.15,608971,66.91
2025-06-06,340.15,344.9,334.35,335.7,352740,58.03
2025-06-09,337.9,342.0,334.45,341.2,202200,57.04
2025-06-10,341.3,348.45,340.55,344.7,490555,39.58
2025-06-11,345.7,349.5,339.15,343.3,300076,53.06
2025-06-12,343.0,347.1,338.2,343.8,640090,61.68
2025-06-13,335.1,341.2,334.65,336.95,300211,55.75
2025-06-16,336.0,345.0,335.55,344.35,492486,57.47
2025-06-17,344.0,347.6,336.55,337.95,358456,56.99
2025-06-18,337.75,342.65,335.15,340.35,227007,51.58
2025-06-19,341.0,343.4,328.0,329.45,228198,50.33
2025-06-20,331.0,349.8,330.95,346.2,874696,36.81
2025-06-23,343.85,344.95,329.35,331.3,444778,43.71
2025-06-24,336.0,341.85,330.1,334.3,358919,44.46
2025-06-25,336.95,359.0,336.95,343.5,1296944,35.76
2025-06-26,345.25,348.65,333.95,338.15,507208,54.07
2025-06-27,346.0,347.55,339.5,344.8,605395,49.14
2025-06-30,344.5,350.8,344.5,347.2,282514,53.14
2025-07-01,347.5,348.25,341.0,343.85,268788,53.81
2025-07-02,344.8,344.8,335.55,342.05,319112,50.26
2025-07-03,343.6,345.85,337.65,338.65,210156,51.89
2025-07-04,337.75,341.5,333.65,335.7,254073,57.22
2025-07-07,335.0,341.55,333.4,340.2,226039,49.5
2025-07-08,338.25,343.6,332.95,335.4,196478,50.02
2025-07-09,335.15,337.65,326.7,329.45,351710,52.37
2025-07-10,328.4,333.7,327.35,332.65,143951,48.89
2025-07-11,331.8,334.2,326.0,327.1,124388,47.09
2025-07-14,326.0,326.95,315.35,316.35,431850,55.59
2025-07-15,317.25,321.95,312.85,318.5,378308,49.53
2025-07-16,319.45,333.3,316.45,332.15,390877,51.15
