DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-07-14,46.5,51.7,46.26,48.5,565013,39.7
2025-07-15,49.0,49.85,48.0,48.41,114645,56.27
2025-07-16,48.45,48.69,46.6,47.94,127204,50.64
2025-07-17,47.11,49.5,45.4,46.5,161003,56.52
2025-07-18,46.29,46.66,45.06,46.46,76779,46.81
2025-07-21,46.98,46.98,43.25,44.47,273419,65.11
2025-07-22,44.6,45.24,43.5,44.1,105625,66.32
2025-07-23,43.5,44.47,42.12,43.29,96343,57.03
2025-07-24,43.29,43.79,42.42,42.79,31066,66.18
2025-07-25,43.68,47.0,43.09,44.31,416124,26.13
2025-07-28,44.65,45.27,42.05,42.36,57099,47.2
2025-07-29,42.36,44.13,42.36,43.28,26213,46.39
2025-07-30,44.36,44.36,42.25,43.31,42192,70.85
2025-07-31,43.0,43.0,42.03,42.09,42940,50.23
2025-08-01,42.0,43.39,41.11,41.81,28458,54.67
2025-08-04,42.76,42.8,41.3,41.79,32609,57.74
2025-08-05,42.7,42.7,41.4,41.67,25469,82.68
2025-08-06,40.5,42.29,39.6,39.84,39103,80.23
2025-08-07,39.3,40.01,36.15,37.78,137037,37.95
2025-08-08,37.0,37.99,36.87,37.07,50929,58.14
2025-08-11,36.15,36.99,36.15,36.66,35003,67.06
2025-08-12,36.67,37.29,35.07,35.81,49114,47.34
2025-08-13,35.82,36.58,35.71,35.87,24000,65.2
2025-08-14,36.85,39.53,35.9,38.02,150504,40.61
2025-08-18,39.4,40.0,37.2,38.0,39350,51.64
2025-08-19,38.3,39.97,38.03,39.33,53938,60.35
2025-08-20,41.49,41.49,38.62,39.1,30839,57.99
2025-08-21,38.31,39.82,38.22,38.68,23018,75.14
2025-08-22,38.25,39.0,37.99,38.23,24329,67.32
2025-08-25,37.7,38.44,37.27,37.69,25950,71.14
2025-08-26,37.01,39.2,36.32,37.17,59033,50.39
2025-08-28,37.17,38.29,36.86,37.7,24381,53.3
2025-08-29,38.3,38.3,37.71,37.85,10530,78.19
2025-09-01,38.18,39.53,37.26,37.58,23607,65.0
2025-09-02,37.95,39.78,37.95,38.65,44422,54.34
2025-09-03,39.99,39.99,37.46,37.79,34930,68.77
2025-09-04,38.0,38.95,38.0,38.02,34197,74.45
