DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,633.95,634.0,618.6,632.05,1237867,39.77
2025-04-15,637.85,655.5,637.0,650.45,1136518,38.14
2025-04-16,654.0,656.8,647.5,653.8,842461,43.03
2025-04-17,650.95,656.7,648.35,651.5,931823,43.76
2025-04-21,655.0,686.75,655.0,683.95,2379038,28.66
2025-04-22,690.05,711.8,679.0,705.75,3221069,30.07
2025-04-23,715.5,726.85,711.8,720.5,2737947,29.28
2025-04-24,725.0,731.75,715.0,717.2,1858600,28.37
2025-04-25,722.65,724.0,688.75,693.2,1658895,30.71
2025-04-28,693.35,712.35,686.6,705.6,1714693,27.18
2025-04-29,685.0,692.4,662.15,663.7,45313207,38.68
2025-04-30,663.0,667.8,655.35,657.85,3045604,28.16
2025-05-02,657.85,665.9,645.55,647.1,2404246,47.2
2025-05-05,649.0,668.9,645.8,666.05,2548152,45.05
2025-05-06,667.7,669.15,647.15,648.6,1469433,33.02
2025-05-07,639.9,659.95,639.1,657.7,1117034,33.81
2025-05-08,660.05,672.8,651.1,654.7,2172018,38.55
2025-05-09,640.1,667.75,640.0,665.95,1787647,34.71
2025-05-12,675.95,705.0,671.35,701.05,5059163,49.87
2025-05-13,703.95,712.6,700.05,704.5,2264880,41.64
2025-05-14,711.0,711.0,701.05,706.45,1659444,46.81
2025-05-15,710.9,722.95,709.1,720.0,2615228,40.29
2025-05-16,724.0,754.2,721.5,750.9,3928300,39.56
2025-05-19,758.45,777.4,749.05,759.8,3591839,36.28
2025-05-20,769.7,769.7,741.05,743.75,2296851,42.7
2025-05-21,742.0,759.3,737.5,757.2,1721453,34.49
2025-05-22,756.95,768.9,748.45,763.65,1518934,41.05
2025-05-23,767.0,772.95,761.4,764.75,1188286,41.4
2025-05-26,766.0,769.9,758.25,763.4,1125598,41.74
2025-05-27,764.15,781.45,761.3,773.05,2539579,36.04
2025-05-28,773.05,783.15,754.0,757.6,2616719,46.58
2025-05-29,760.0,774.3,755.55,771.2,1582508,38.95
2025-05-30,775.5,790.6,767.25,773.6,7983586,57.7
2025-06-02,773.0,779.3,765.25,774.3,1147257,39.17
2025-06-03,777.95,778.05,764.6,767.5,956266,44.83
2025-06-04,759.0,769.0,752.5,759.55,7455667,40.33
2025-06-05,761.5,776.0,760.6,764.6,2797200,49.57
2025-06-06,766.65,767.7,751.4,758.45,2210099,59.29
2025-06-09,760.9,779.0,759.8,775.8,2209131,54.11
2025-06-10,780.0,796.95,776.15,787.6,3060339,38.02
2025-06-11,791.05,797.0,778.95,784.95,1595579,36.66
2025-06-12,789.7,789.7,761.25,763.4,1405334,49.86
2025-06-13,740.1,758.95,740.1,753.5,1841819,44.0
2025-06-16,745.0,754.55,723.0,749.95,2798294,28.91
2025-06-17,750.0,755.0,738.0,739.3,1355077,45.8
2025-06-18,737.75,743.75,728.75,732.0,1206479,46.81
2025-06-19,741.0,746.8,711.55,717.2,2472153,34.8
2025-06-20,718.7,718.7,696.3,706.65,4370195,41.07
2025-06-23,701.0,711.0,697.25,699.5,1791540,36.75
2025-06-24,705.5,709.7,696.0,698.1,2228486,36.53
2025-06-25,703.0,707.5,698.3,699.9,1474970,48.81
2025-06-26,701.95,705.6,699.6,703.55,1635468,43.72
2025-06-27,707.0,727.1,706.9,715.2,2934803,30.52
2025-06-30,718.8,720.0,705.0,711.0,1686790,41.58
2025-07-01,712.05,715.55,708.45,710.45,905454,49.84
2025-07-02,712.3,715.5,701.6,705.7,1266703,50.41
2025-07-03,708.0,711.45,704.85,706.15,799130,36.98
2025-07-04,707.9,712.35,704.1,708.15,951660,36.69
2025-07-07,708.15,710.5,702.5,704.3,560072,45.26
2025-07-08,705.9,707.4,698.4,700.0,931344,57.62
2025-07-09,703.0,708.5,700.45,703.95,778360,35.26
2025-07-10,705.85,713.5,705.0,708.55,926420,32.6
2025-07-11,704.95,717.5,700.25,708.8,1814961,30.89
2025-07-14,708.4,722.7,702.0,716.8,1716880,30.01
2025-07-15,716.1,742.0,715.2,731.95,7263964,25.39
2025-07-16,732.55,745.4,730.55,734.6,1973236,36.39
2025-07-17,734.85,735.75,722.7,724.8,714821,45.04
2025-07-18,728.0,728.0,710.3,712.5,836689,42.18
2025-07-21,712.5,717.55,705.45,716.35,743600,43.1
2025-07-22,716.35,719.45,711.55,715.6,768428,58.4
2025-07-23,718.0,718.95,710.15,716.15,585011,49.27
2025-07-24,714.85,722.2,712.5,718.15,885286,52.88
2025-07-25,715.0,718.85,706.5,708.35,1118644,54.18
2025-07-28,705.0,714.9,697.5,699.3,739800,46.62
2025-07-29,699.3,709.5,696.2,707.4,618012,42.48
2025-07-30,707.5,714.0,703.55,709.35,625725,46.67
2025-07-31,702.2,710.55,700.0,702.25,703237,42.98
2025-08-01,703.0,706.25,692.0,693.9,1312820,55.63
2025-08-04,693.6,696.0,685.1,694.0,694623,35.53
2025-08-05,694.0,697.85,686.0,688.1,485545,39.14
2025-08-06,688.3,691.45,667.05,668.5,1330543,41.14
2025-08-07,665.1,671.4,652.5,668.2,1124636,39.09
2025-08-08,668.5,671.0,656.0,659.2,591462,43.48
2025-08-11,659.2,662.2,653.3,660.1,489217,37.14
2025-08-12,664.0,669.8,657.2,659.2,671972,39.38
2025-08-13,662.0,669.7,659.8,666.75,555429,42.57
2025-08-14,668.4,672.65,662.0,663.35,467036,38.9
2025-08-18,671.0,675.7,666.35,671.75,507010,42.2
2025-08-19,671.95,684.0,670.05,682.75,618239,44.28
2025-08-20,682.7,694.0,680.25,689.0,655106,31.66
2025-08-21,692.2,694.55,685.2,686.55,465186,46.0
2025-08-22,686.95,689.1,682.3,683.6,291916,41.96
2025-08-25,690.0,693.85,684.0,685.15,583277,36.8
2025-08-26,683.75,687.5,676.35,679.15,664263,43.09
2025-08-28,677.0,679.15,659.2,662.15,715484,41.31
2025-08-29,664.95,668.0,655.0,657.25,432250,48.42
2025-09-01,657.25,679.0,652.0,677.15,810099,49.77
2025-09-02,677.15,690.0,674.0,681.1,625279,38.75
2025-09-03,684.6,686.8,677.95,684.8,408618,43.81
2025-09-04,689.5,690.95,674.3,676.05,376569,44.37
2025-09-05,676.2,680.6,666.4,672.1,582676,34.11
2025-09-08,674.05,684.0,672.8,678.2,527291,42.55
2025-09-09,680.1,689.1,678.25,679.55,598002,36.47
2025-09-10,683.8,711.9,682.05,704.85,2612862,32.49
2025-09-11,709.0,709.0,698.0,702.1,902219,41.92
2025-09-12,703.0,707.3,700.0,702.1,705641,52.62
2025-09-15,710.15,720.75,707.75,711.45,2115248,29.79
2025-09-16,711.95,715.0,706.0,711.2,866794,47.35
2025-09-17,714.5,719.75,711.0,714.0,956224,44.22
2025-09-18,719.0,724.2,713.3,717.4,1249512,35.99
2025-09-19,717.4,725.75,713.45,724.4,2262078,72.51
2025-09-22,710.0,713.9,700.0,702.25,1560556,41.49
2025-09-23,702.25,706.7,695.8,697.8,743334,44.88
2025-09-24,700.0,700.95,682.35,684.55,808907,51.04
2025-09-25,684.0,688.65,678.0,680.15,632219,44.75
2025-09-26,680.1,681.0,665.1,667.3,704757,44.77
2025-09-29,670.0,679.75,666.8,676.2,749442,37.17
2025-09-30,676.9,680.7,665.0,669.5,660364,38.22
2025-10-01,670.0,692.35,667.5,690.4,980727,44.16
2025-10-03,693.0,709.0,686.15,707.05,1311909,43.21
2025-10-06,708.0,714.9,703.6,710.85,999799,45.94
2025-10-07,711.0,718.5,709.05,712.95,1047843,55.43
2025-10-08,710.8,718.95,706.15,708.55,665696,42.33
2025-10-09,708.0,718.95,708.0,717.6,838331,57.8
2025-10-10,719.0,722.65,713.0,714.35,562514,43.32
2025-10-13,709.2,712.5,699.35,700.7,590082,40.74
2025-10-14,701.5,703.8,687.1,688.0,734055,47.72
2025-10-15,687.5,698.35,686.2,695.3,573650,51.79
2025-10-16,697.4,698.5,688.8,692.1,415722,45.16
2025-10-17,695.0,695.9,682.75,685.2,573478,35.33
2025-10-20,686.8,687.6,672.5,680.85,859888,32.95
2025-10-21,684.95,687.45,680.85,685.0,251178,62.8
2025-10-22,684.95,687.45,680.85,685.0,251178,62.8
2025-10-23,689.15,699.55,689.0,691.4,802480,40.61
2025-10-24,692.95,697.55,688.0,689.65,361319,42.69
2025-10-27,691.0,699.1,691.0,695.8,527137,55.08
2025-10-28,697.0,703.45,692.1,695.5,858527,43.53
2025-10-29,700.65,702.9,694.85,701.15,456431,52.37
2025-10-30,701.15,707.75,698.0,699.9,504066,34.04
