DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1081.35,1099.0,1068.15,1090.6,22407,45.08
2025-04-15,1090.6,1107.9,1086.7,1101.3,14553,50.29
2025-04-16,1101.3,1122.7,1092.2,1097.7,11908,41.46
2025-04-17,1099.0,1103.5,1076.2,1082.2,14222,43.73
2025-04-21,1091.5,1116.8,1061.0,1098.9,23111,42.7
2025-04-22,1111.0,1121.9,1092.1,1099.8,17044,34.97
2025-04-23,1116.3,1116.7,1083.2,1090.5,14673,36.43
2025-04-24,1096.2,1172.0,1090.6,1165.5,72199,35.17
2025-04-25,1165.0,1165.0,1118.1,1142.5,38509,40.47
2025-04-28,1140.0,1148.5,1105.0,1107.5,27233,48.2
2025-04-29,1116.4,1124.1,1063.0,1067.4,56141,54.39
2025-04-30,1075.9,1075.9,1040.0,1042.7,21565,57.0
2025-05-02,1052.0,1111.0,1027.0,1038.2,21675,47.24
2025-05-05,1038.9,1093.2,1019.2,1025.3,22230,38.48
2025-05-06,1025.3,1044.3,1010.1,1029.8,24275,52.94
2025-05-07,1010.0,1073.7,1009.0,1069.4,29980,45.95
2025-05-08,1069.4,1078.1,1055.0,1071.1,16893,63.67
2025-05-09,1033.0,1094.0,1026.6,1082.9,22456,37.96
2025-05-12,1090.0,1121.0,1090.0,1112.2,27358,48.97
2025-05-13,1122.0,1139.0,1108.8,1117.6,19540,51.61
2025-05-14,1130.0,1155.0,1129.6,1148.0,24103,49.13
2025-05-15,1158.0,1172.0,1115.0,1127.6,31097,44.26
2025-05-16,1141.5,1141.5,1117.2,1135.2,40255,58.25
2025-05-19,1145.0,1168.6,1135.2,1153.0,26223,45.67
2025-05-20,1153.0,1163.0,1130.0,1138.0,17388,50.4
2025-05-21,1144.0,1148.0,1129.1,1140.4,17003,53.44
2025-05-22,1150.5,1161.5,1142.2,1154.1,26736,44.65
2025-05-23,1160.2,1197.2,1145.0,1149.6,36869,41.46
2025-05-26,1149.0,1160.4,1141.9,1146.6,12747,57.08
2025-05-27,1152.5,1152.5,1120.0,1144.5,19017,58.25
2025-05-28,1150.0,1160.0,1123.8,1127.9,16578,47.22
2025-05-29,1122.0,1144.9,1122.0,1132.9,13181,47.36
2025-05-30,1143.0,1144.0,1110.3,1123.7,23264,55.62
2025-06-02,1125.0,1136.5,1114.4,1128.5,22051,61.85
2025-06-03,1122.0,1154.7,1116.8,1130.8,36825,47.57
2025-06-04,1136.8,1153.5,1126.9,1134.7,14507,45.46
2025-06-05,1150.0,1150.0,1130.5,1145.8,23329,53.53
2025-06-06,1145.8,1175.0,1131.2,1136.5,35461,35.97
2025-06-09,1147.0,1160.0,1127.1,1140.1,19280,45.7
2025-06-10,1146.1,1162.8,1138.0,1153.6,15399,52.52
2025-06-11,1153.7,1159.7,1119.6,1131.6,19918,50.55
2025-06-12,1131.6,1144.0,1123.0,1131.0,18272,51.53
2025-06-13,1118.1,1126.6,1101.0,1117.9,18272,67.54
2025-06-16,1117.9,1123.8,1095.2,1118.5,15718,50.73
2025-06-17,1123.1,1129.8,1113.3,1124.0,13624,67.87
2025-06-18,1129.0,1132.0,1112.0,1119.8,7301,57.29
2025-06-19,1119.8,1125.8,1102.0,1105.5,11412,64.39
2025-06-20,1115.0,1125.0,1101.2,1112.5,9967,37.85
2025-06-23,1112.5,1155.0,1106.1,1118.8,60096,32.28
2025-06-24,1130.0,1145.0,1119.9,1139.7,46629,75.89
2025-06-25,1145.0,1145.7,1129.3,1136.3,15170,54.24
2025-06-26,1142.0,1146.8,1125.1,1127.5,10401,59.22
2025-06-27,1117.4,1140.0,1117.4,1129.6,26848,58.1
2025-06-30,1135.3,1153.7,1123.0,1130.2,23393,61.03
2025-07-01,1140.0,1146.0,1130.0,1138.4,11667,52.94
2025-07-02,1144.0,1153.5,1122.1,1125.7,28373,67.86
2025-07-03,1122.0,1141.6,1118.0,1124.5,15843,50.05
2025-07-04,1134.5,1148.9,1120.2,1138.0,21483,41.75
2025-07-07,1130.0,1147.9,1118.4,1131.3,16728,51.61
2025-07-08,1141.0,1152.3,1133.6,1145.3,18410,44.66
2025-07-09,1154.0,1187.0,1146.0,1170.2,52417,54.82
2025-07-10,1180.5,1266.0,1176.0,1257.2,357965,19.7
2025-07-11,1264.8,1264.8,1228.0,1240.6,52992,44.88
2025-07-14,1246.6,1253.7,1214.7,1231.3,25039,42.79
2025-07-15,1237.8,1246.8,1205.1,1220.6,32691,44.73
2025-07-16,1235.0,1246.2,1195.8,1225.6,49007,48.4
2025-07-17,1237.9,1247.0,1221.3,1228.3,29624,61.22
2025-07-18,1228.3,1289.0,1214.6,1249.1,91498,40.77
2025-07-21,1255.0,1256.1,1227.7,1235.9,14296,44.45
2025-07-22,1226.0,1251.0,1223.3,1233.5,26078,41.63
2025-07-23,1240.0,1245.6,1214.8,1235.8,17235,54.95
2025-07-24,1242.3,1242.3,1218.1,1222.5,13279,53.57
2025-07-25,1225.0,1225.0,1202.0,1204.0,12893,61.13
2025-07-28,1193.1,1238.0,1160.2,1195.8,178096,18.61
2025-07-29,1195.9,1214.0,1176.0,1199.7,29360,46.29
2025-07-30,1199.0,1202.9,1177.0,1194.7,15060,49.54
2025-07-31,1180.0,1211.3,1170.3,1173.0,21621,45.86
2025-08-01,1179.0,1183.0,1150.2,1164.1,24215,52.36
2025-08-04,1170.2,1179.0,1149.4,1166.6,20725,44.49
2025-08-05,1172.7,1184.4,1156.0,1172.6,12050,47.74
2025-08-06,1183.0,1189.8,1144.8,1156.7,18300,52.46
2025-08-07,1139.3,1156.6,1125.6,1144.8,19512,57.34
2025-08-08,1150.8,1150.8,1130.2,1139.7,9357,52.53
2025-08-11,1139.8,1157.0,1129.3,1145.7,11707,63.01
2025-08-12,1151.7,1151.7,1127.5,1132.4,7616,57.63
2025-08-13,1138.4,1140.9,1122.1,1132.8,13351,59.43
2025-08-14,1132.7,1142.5,1125.0,1131.6,13749,69.5
2025-08-18,1141.5,1158.8,1124.7,1145.5,17311,64.83
2025-08-19,1155.5,1175.0,1144.6,1171.1,12121,69.58
2025-08-20,1175.9,1185.0,1160.1,1164.5,15349,65.23
2025-08-21,1174.4,1182.9,1155.5,1168.3,19597,60.24
2025-08-22,1184.0,1184.4,1151.0,1156.0,33603,89.26
2025-08-25,1156.0,1166.0,1143.0,1150.4,29445,80.71
2025-08-26,1150.4,1154.3,1100.2,1121.9,22820,66.73
2025-08-28,1127.8,1138.9,1100.0,1135.4,18626,53.12
2025-08-29,1141.4,1143.0,1118.2,1139.3,15819,72.41
2025-09-01,1149.5,1149.5,1119.0,1140.5,11562,63.42
2025-09-02,1140.4,1155.1,1130.2,1151.6,19455,65.74
2025-09-03,1151.6,1184.9,1141.1,1178.6,25327,64.94
2025-09-04,1178.6,1183.9,1151.4,1167.2,29838,69.94
2025-09-05,1167.2,1167.2,1136.5,1150.0,9637,52.16
2025-09-08,1150.0,1173.9,1140.4,1168.3,19881,62.6
2025-09-09,1173.6,1193.9,1153.0,1174.6,21068,46.3
2025-09-10,1176.9,1194.0,1168.0,1173.8,21570,55.5
2025-09-11,1173.8,1184.0,1142.9,1152.8,10896,51.53
2025-09-12,1152.8,1165.0,1140.9,1156.5,14941,43.08
2025-09-15,1150.0,1178.9,1141.0,1171.0,17610,67.06
2025-09-16,1181.0,1197.9,1172.1,1181.1,23614,53.4
2025-09-17,1187.3,1194.0,1166.5,1179.9,11660,49.07
2025-09-18,1188.9,1205.0,1170.5,1185.4,21794,68.54
2025-09-19,1191.0,1191.6,1162.2,1167.8,8293,56.19
2025-09-22,1188.0,1188.0,1146.6,1164.8,29512,54.21
2025-09-23,1151.9,1217.7,1137.0,1201.0,97178,49.22
2025-09-24,1207.3,1217.7,1190.9,1202.7,41479,60.3
2025-09-25,1207.5,1210.0,1190.4,1200.4,25542,63.91
2025-09-26,1200.4,1205.2,1174.7,1196.6,26348,49.17
2025-09-29,1207.0,1207.0,1176.1,1196.7,18788,58.57
2025-09-30,1185.9,1196.7,1170.0,1181.3,21633,54.87
2025-10-01,1180.0,1204.0,1176.3,1197.0,9419,52.42
2025-10-03,1207.5,1223.5,1190.0,1216.5,27630,56.18
2025-10-06,1230.0,1231.0,1192.0,1209.4,22983,52.26
2025-10-07,1220.0,1232.0,1193.4,1223.8,29761,60.15
2025-10-08,1229.8,1234.5,1196.2,1202.2,14956,58.74
2025-10-09,1194.8,1207.0,1178.3,1190.1,49525,88.09
2025-10-10,1200.5,1206.5,1179.3,1199.0,7517,48.08
2025-10-13,1188.3,1204.0,1180.0,1199.6,13739,44.24
2025-10-14,1210.0,1210.0,1173.0,1199.9,18884,45.11
2025-10-15,1210.5,1210.5,1175.0,1181.4,12332,50.96
2025-10-16,1186.1,1198.0,1151.4,1192.0,18273,53.93
2025-10-17,1181.5,1198.4,1181.5,1189.1,7150,64.13
2025-10-20,1178.0,1204.9,1178.0,1199.8,12483,62.87
2025-10-21,1204.0,1216.8,1195.2,1203.2,2419,44.98
2025-10-22,1204.0,1216.8,1195.2,1203.2,2419,44.98
2025-10-23,1192.0,1217.3,1192.0,1194.4,11060,48.78
2025-10-24,1218.0,1219.9,1180.0,1187.0,17849,47.0
2025-10-27,1187.0,1198.0,1176.3,1182.7,10045,70.82
2025-10-28,1182.6,1193.0,1175.0,1185.9,13476,54.14
2025-10-29,1185.9,1242.0,1185.9,1227.6,70588,50.01
2025-10-30,1229.0,1237.0,1185.0,1204.7,52350,38.99
2025-10-31,1217.0,1217.0,1180.0,1200.7,32844,60.68
2025-11-03,1200.0,1225.8,1195.6,1200.8,12850,50.93
2025-11-04,1219.0,1224.0,1174.0,1181.8,21681,45.02
2025-11-05,1219.0,1224.0,1174.0,1181.8,21681,45.02
2025-11-06,1181.9,1185.9,1153.1,1157.6,21707,67.64
2025-11-07,1157.6,1157.6,1132.7,1137.0,14997,64.17
2025-11-10,1137.0,1138.9,1115.2,1118.3,15885,61.91
2025-11-11,1110.2,1143.7,1110.0,1121.1,10023,63.42
2025-11-12,1131.0,1131.0,1106.5,1115.3,14093,54.1
2025-11-13,1108.4,1139.9,1108.4,1134.3,19756,65.37
2025-11-14,1144.0,1144.0,1108.0,1119.9,21924,73.19
2025-11-17,1115.0,1136.2,1102.5,1130.1,28949,75.52
2025-11-18,1130.1,1132.7,1113.6,1118.6,19324,73.32
2025-11-19,1128.5,1139.0,1111.3,1128.8,11961,60.25
2025-11-20,1128.8,1139.9,1115.5,1135.3,35656,76.25
2025-11-21,1136.0,1136.3,1118.5,1127.9,5543,62.04
2025-11-24,1111.0,1138.0,1105.0,1106.6,14377,68.83
2025-11-25,1111.9,1112.4,1084.6,1095.3,18069,73.54
2025-11-26,1095.2,1103.2,1086.1,1099.9,14868,78.23
2025-11-27,1099.9,1105.5,1089.4,1094.0,11586,66.65
2025-11-28,1094.0,1104.0,1085.0,1092.8,9920,68.09
2025-12-01,1087.1,1099.4,1071.0,1079.2,34555,83.45
2025-12-02,1079.2,1094.0,1073.0,1089.7,19220,58.61
2025-12-03,1085.8,1091.0,1070.1,1081.1,14167,50.45
2025-12-04,1090.4,1090.4,1065.0,1070.5,7609,50.85
2025-12-05,1064.0,1073.5,1023.6,1042.2,31416,64.24
