DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,50.35,51.9,50.35,51.8,31109,57.97
2025-04-15,52.25,53.89,51.86,52.64,33977,50.58
2025-04-16,53.0,55.85,53.0,54.63,50515,64.46
2025-04-17,55.69,58.0,53.9,57.03,224701,44.57
2025-04-21,59.83,68.43,59.83,68.43,1826841,28.36
2025-04-22,68.5,68.5,65.0,65.64,595695,57.91
2025-04-23,66.2,66.22,62.75,63.43,194344,50.1
2025-04-24,63.5,64.5,62.25,62.62,90503,58.83
2025-04-25,62.7,63.83,58.01,59.97,147752,54.77
2025-04-28,60.6,62.6,60.0,60.32,80850,57.35
2025-04-29,60.8,62.24,58.0,58.53,73435,67.61
2025-04-30,57.91,59.85,56.96,57.5,72058,51.4
2025-05-02,57.05,59.0,56.82,57.15,40478,48.4
2025-05-05,58.29,59.5,57.2,58.91,43855,50.82
2025-05-06,58.99,59.31,56.81,57.15,33558,54.34
2025-05-07,56.01,57.89,55.96,57.13,57646,61.06
2025-05-08,58.45,58.45,54.0,55.2,58085,49.31
2025-05-09,55.44,55.44,53.31,54.26,28641,53.22
2025-05-12,55.55,58.29,55.55,57.9,64527,60.05
2025-05-13,58.9,59.6,58.3,59.16,69969,63.75
2025-05-14,59.99,60.78,59.01,59.64,60954,58.32
2025-05-15,60.6,61.9,59.71,61.49,84888,57.75
2025-05-16,61.49,64.24,61.0,63.5,139024,61.64
2025-05-19,62.95,63.89,62.46,62.69,62524,59.59
2025-05-20,64.4,64.4,60.51,61.18,38151,57.48
2025-05-21,61.09,64.0,61.01,62.96,104864,48.86
2025-05-22,62.96,63.84,61.7,62.52,49887,61.53
2025-05-23,62.52,62.94,61.78,62.42,34223,55.11
2025-05-26,62.42,63.9,62.42,63.18,80914,63.82
2025-05-27,64.16,64.16,63.0,63.31,63954,70.46
2025-05-28,63.9,64.1,62.85,63.37,58768,70.51
2025-05-29,64.1,64.39,63.18,63.94,92627,59.9
2025-05-30,63.66,63.9,61.51,61.82,120719,78.68
2025-06-02,62.88,66.49,62.2,64.81,185094,54.52
2025-06-03,65.75,65.75,61.53,62.65,74455,67.08
2025-06-04,62.96,67.7,61.28,66.27,324059,46.31
2025-06-05,66.84,67.19,63.99,65.18,119614,63.05
2025-06-06,65.8,66.63,64.61,64.84,70989,47.8
2025-06-09,65.4,65.58,65.0,65.13,49138,67.17
2025-06-10,65.58,66.58,65.0,65.24,48904,52.45
2025-06-11,65.9,68.5,65.02,65.38,191183,46.97
2025-06-12,65.85,67.8,64.52,64.84,139645,46.84
2025-06-13,64.5,65.79,63.31,64.5,61649,50.07
2025-06-16,65.15,67.49,64.5,64.88,194715,40.03
2025-06-17,64.75,67.48,64.11,64.51,128485,45.19
2025-06-18,65.94,65.94,64.01,64.15,46016,52.23
2025-06-19,64.15,65.01,61.56,61.9,74049,52.04
2025-06-20,61.6,63.23,61.6,62.57,24690,59.29
2025-06-23,62.0,62.04,61.08,61.74,38950,56.24
2025-06-24,62.98,65.23,62.06,63.39,75330,43.59
2025-06-25,64.5,64.51,63.45,63.89,34245,59.14
2025-06-26,64.25,66.59,63.91,64.77,77640,46.27
2025-06-27,64.99,65.35,64.0,64.23,36386,44.28
2025-06-30,64.23,64.85,63.51,64.08,53076,53.11
2025-07-01,64.9,66.7,64.01,64.33,102663,31.98
2025-07-02,64.1,65.0,62.82,64.0,57149,46.36
2025-07-03,63.5,64.35,62.72,62.95,36913,52.75
2025-07-04,64.0,64.95,62.1,63.75,65824,48.96
2025-07-07,64.0,64.65,62.73,62.93,40805,61.95
2025-07-08,62.73,64.64,62.16,63.21,50886,60.69
2025-07-09,63.19,64.45,61.34,62.7,47397,59.83
2025-07-10,62.8,68.99,62.51,65.89,571172,27.4
2025-07-11,64.85,65.89,64.0,65.01,68608,44.21
2025-07-14,65.0,65.21,63.91,64.08,31378,65.04
2025-07-15,63.9,66.3,63.9,65.5,104540,53.22
2025-07-16,65.06,66.9,64.99,65.08,44183,47.92
2025-07-17,65.05,65.9,64.35,64.83,42811,57.0
2025-07-18,64.83,65.4,63.1,63.91,28988,61.05
2025-07-21,63.36,64.18,62.5,62.77,76284,61.15
2025-07-22,63.36,63.79,62.61,62.67,19525,64.55
2025-07-23,63.46,63.49,62.0,62.43,30295,55.66
2025-07-24,63.36,63.36,62.0,62.25,34153,67.17
2025-07-25,62.0,63.6,61.6,61.68,25269,59.48
2025-07-28,61.65,62.99,61.0,61.21,52540,52.25
2025-07-29,61.02,62.17,60.4,60.76,46316,68.3
2025-07-30,61.5,61.85,60.47,61.13,27553,61.95
2025-07-31,60.3,61.49,60.3,60.87,24512,61.64
2025-08-01,60.51,61.45,58.5,58.7,31222,64.12
2025-08-04,58.84,60.09,58.84,59.41,29346,66.16
2025-08-05,59.66,60.02,57.67,58.78,30208,66.81
2025-08-06,58.78,59.04,57.8,58.22,14113,66.79
2025-08-07,59.4,59.89,56.2,58.13,24606,54.65
2025-08-08,58.6,58.84,57.0,57.41,12448,60.07
2025-08-11,57.74,59.38,57.0,57.33,22407,59.63
2025-08-12,57.33,60.0,56.4,58.68,58418,53.95
2025-08-13,59.5,59.75,57.8,57.96,28171,67.74
2025-08-14,57.96,58.8,55.95,57.11,29149,63.17
2025-08-18,57.0,59.18,56.5,56.86,39880,61.79
2025-08-19,56.9,58.38,56.1,57.25,39698,68.55
2025-08-20,57.2,58.48,57.2,58.22,21770,54.82
2025-08-21,58.69,59.78,57.6,58.07,30852,65.51
2025-08-22,58.3,59.8,57.7,59.12,26017,67.85
2025-08-25,59.99,59.99,57.75,58.01,17924,59.64
2025-08-26,57.65,58.55,57.0,57.46,13864,72.02
2025-08-28,57.98,57.98,55.51,56.08,42607,75.05
2025-08-29,57.2,57.2,55.75,56.19,27510,63.8
2025-09-01,56.3,57.38,56.25,56.34,19931,63.68
2025-09-02,56.5,58.38,56.5,57.81,23070,54.2
2025-09-03,57.81,58.38,57.18,57.79,13709,67.14
2025-09-04,57.06,58.6,56.72,57.01,30990,68.92
2025-09-05,57.04,57.93,56.53,56.9,21903,79.84
2025-09-08,56.56,57.95,56.54,56.93,17292,63.86
2025-09-09,57.99,57.99,56.43,56.69,13645,73.3
2025-09-10,56.37,57.47,56.37,57.05,23338,77.72
2025-09-11,57.0,62.0,57.0,58.5,199821,40.11
2025-09-12,58.5,60.28,58.5,59.44,56087,65.69
2025-09-15,58.4,59.1,58.2,58.75,31083,62.0
2025-09-16,59.58,59.58,58.7,59.03,16155,63.27
2025-09-17,59.5,59.5,58.2,58.38,30552,75.59
2025-09-18,58.59,59.44,58.12,58.22,20544,58.9
2025-09-19,58.5,59.25,58.2,59.13,14960,53.89
2025-09-22,59.5,59.5,57.97,58.62,15831,66.53
2025-09-23,58.02,58.9,57.08,57.74,21115,60.78
2025-09-24,57.97,57.98,57.5,57.57,13249,81.2
2025-09-25,57.57,58.23,57.3,58.0,21503,85.31
2025-09-26,56.5,57.89,56.0,56.19,20739,76.36
2025-09-29,55.13,57.18,55.05,55.14,24467,75.72
2025-09-30,55.1,55.67,54.1,54.47,26441,76.47
2025-10-01,54.47,55.75,54.44,55.49,16803,69.37
2025-10-03,55.49,56.45,54.62,55.99,28242,63.14
2025-10-06,55.0,56.87,55.0,55.33,28570,69.13
2025-10-07,55.33,56.24,54.6,55.43,21822,71.69
2025-10-08,55.97,55.97,53.99,54.16,23458,68.79
2025-10-09,55.1,55.1,53.85,54.0,14486,57.57
2025-10-10,54.29,54.88,53.52,54.39,19806,60.93
2025-10-13,54.39,55.79,53.9,54.21,24930,71.19
2025-10-14,53.9,55.5,53.11,53.58,24969,66.16
2025-10-15,53.12,54.25,52.9,53.03,24721,61.29
2025-10-16,52.9,59.94,52.9,55.04,362547,22.86
2025-10-17,55.95,56.1,53.9,54.11,40290,61.85
2025-10-20,55.19,55.94,54.0,55.34,29547,71.91
2025-10-21,56.0,56.0,54.17,55.28,11957,71.64
2025-10-22,56.0,56.0,54.17,55.28,11957,71.64
2025-10-23,55.28,55.88,54.5,54.59,19364,70.53
2025-10-24,55.69,55.69,54.01,54.68,22319,72.47
2025-10-27,54.68,54.95,53.1,53.4,32455,61.46
2025-10-28,54.5,54.5,53.4,53.97,16324,66.47
2025-10-29,53.22,54.65,53.22,53.86,21970,65.2
2025-10-30,53.3,54.9,53.3,53.62,18240,60.46
