DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1980.0,2087.45,1959.05,2048.95,187229,18.83
2025-04-15,2074.9,2095.3,2012.9,2044.4,56404,28.39
2025-04-16,2044.3,2125.0,2025.1,2047.4,88575,26.16
2025-04-17,2092.0,2147.7,2030.0,2044.9,138943,19.08
2025-04-21,2135.0,2147.4,2066.3,2134.9,133143,27.81
2025-04-22,2164.2,2230.0,2110.9,2164.6,192893,25.36
2025-04-23,2189.0,2189.0,2081.0,2091.8,84403,43.62
2025-04-24,2115.9,2251.9,2113.4,2229.6,253319,27.54
2025-04-25,2239.7,2251.3,2105.4,2139.2,110943,27.15
2025-04-28,2154.9,2168.3,2085.5,2097.1,53466,33.71
2025-04-29,2112.0,2150.0,2081.5,2096.7,61504,27.26
2025-04-30,2110.8,2210.4,2082.0,2096.5,160182,20.87
2025-05-02,2109.6,2127.9,1986.0,2002.4,107214,33.07
2025-05-05,2001.9,2047.7,1947.6,2037.9,75144,29.04
2025-05-06,2022.0,2047.2,1940.1,1953.6,68361,40.61
2025-05-07,1905.0,1979.5,1905.0,1966.4,47266,30.74
2025-05-08,1990.9,1999.8,1915.0,1923.0,43618,35.56
2025-05-09,1800.1,1950.0,1800.1,1912.0,80204,35.42
2025-05-12,1952.2,1997.9,1925.3,1939.6,69872,55.96
2025-05-13,1950.0,1996.9,1938.0,1985.6,40980,47.13
2025-05-14,2000.0,2055.8,1990.4,2010.3,60544,40.23
2025-05-15,2025.0,2040.0,1882.6,1911.9,165192,44.0
2025-05-16,1921.4,1950.0,1885.9,1930.7,70235,34.43
2025-05-19,1947.9,1968.5,1913.1,1934.5,82621,48.5
2025-05-20,1950.0,1950.0,1901.6,1909.5,30534,55.78
2025-05-21,1920.0,1923.8,1890.0,1905.7,29274,36.86
2025-05-22,1905.7,1916.4,1875.0,1882.8,30790,48.25
2025-05-23,1885.7,1920.0,1861.0,1896.2,22426,43.17
2025-05-26,1904.1,1930.4,1902.0,1916.1,22343,39.69
2025-05-27,1930.0,1949.7,1910.1,1919.9,14558,37.92
2025-05-28,1930.0,1940.0,1897.0,1901.5,18532,52.7
2025-05-29,1900.0,1935.0,1895.0,1919.5,18058,46.6
2025-05-30,1921.6,1935.1,1902.0,1927.9,25488,55.24
2025-06-02,1934.7,1945.4,1914.0,1919.3,24640,43.32
2025-06-03,1919.9,1944.9,1908.5,1915.6,26640,47.06
2025-06-04,1914.1,1928.4,1907.3,1916.6,15720,43.34
2025-06-05,1907.3,1927.1,1905.0,1908.3,16023,50.58
2025-06-06,1920.0,1929.7,1904.0,1914.0,20155,45.72
2025-06-09,1930.0,1961.3,1912.1,1921.8,62544,60.94
2025-06-10,1933.7,1939.9,1902.0,1912.3,20905,55.1
2025-06-11,1912.0,1922.8,1895.0,1907.0,20844,51.49
2025-06-12,1901.4,1919.6,1870.0,1880.8,24743,51.37
2025-06-13,1840.0,1885.0,1823.7,1852.2,35829,51.61
2025-06-16,1852.2,1909.0,1851.0,1895.5,24894,36.23
2025-06-17,1880.8,1910.0,1878.0,1883.6,20565,54.66
2025-06-18,1883.0,1950.0,1864.8,1912.5,40897,44.43
2025-06-19,1915.0,1915.0,1870.0,1882.5,18621,54.65
2025-06-20,1885.0,1900.0,1858.0,1881.2,18534,46.2
2025-06-23,1871.5,1883.0,1858.0,1871.1,30300,61.16
2025-06-24,1875.0,1897.9,1863.0,1867.3,17769,49.05
2025-06-25,1890.0,1914.9,1860.0,1887.0,51569,57.44
2025-06-26,1895.0,1909.7,1876.1,1883.9,20031,46.47
2025-06-27,1880.0,1892.0,1854.0,1861.6,44402,56.07
2025-06-30,1881.9,1881.9,1851.0,1862.2,36361,61.7
2025-07-01,1879.9,1906.7,1867.2,1882.6,56393,52.25
2025-07-02,1882.0,1904.9,1867.3,1880.5,48320,69.62
2025-07-03,1881.9,1900.8,1858.2,1861.3,30948,55.62
2025-07-04,1874.0,1906.0,1860.0,1899.3,38880,63.1
2025-07-07,1906.0,1981.9,1902.8,1960.7,95774,33.63
2025-07-08,1977.9,1980.0,1897.0,1901.8,59726,52.58
2025-07-09,1920.0,1936.0,1890.1,1925.4,25978,44.63
2025-07-10,1936.0,1938.9,1917.2,1927.7,14530,50.78
2025-07-11,1940.0,1953.0,1911.1,1923.6,21488,46.44
2025-07-14,1929.0,1930.7,1886.7,1914.5,56360,80.05
2025-07-15,1916.8,1947.1,1902.1,1912.8,22712,46.24
2025-07-16,1925.0,1929.9,1905.4,1913.1,26736,50.39
2025-07-17,1910.0,1945.7,1900.0,1909.5,54308,51.61
2025-07-18,1927.0,1927.0,1883.0,1890.7,33849,65.74
2025-07-21,1879.9,1907.0,1862.0,1900.4,35284,48.97
2025-07-22,1900.4,1916.9,1871.7,1879.2,15716,52.92
2025-07-23,1895.0,1895.0,1863.8,1881.0,27653,50.96
2025-07-24,1900.0,1905.0,1861.6,1874.1,15073,54.38
2025-07-25,1874.1,1890.0,1830.0,1833.6,34162,55.65
2025-07-28,1839.5,1869.0,1750.1,1800.6,84873,38.72
2025-07-29,1780.0,1863.6,1767.1,1850.0,49021,48.78
2025-07-30,1850.5,1943.5,1840.1,1917.5,68471,42.67
2025-07-31,1890.0,1923.6,1866.0,1890.6,29702,44.28
2025-08-01,1897.0,1925.0,1877.9,1913.5,42894,51.99
2025-08-04,1910.4,1925.0,1890.0,1904.4,19699,42.43
2025-08-05,1905.0,1925.0,1898.8,1912.9,26031,63.21
2025-08-06,1922.0,1942.7,1906.0,1930.0,37672,47.45
2025-08-07,1927.0,1968.5,1900.0,1961.6,61843,52.62
2025-08-08,1960.0,1995.0,1950.0,1974.4,62172,53.77
2025-08-11,1975.0,1984.0,1945.0,1962.7,26532,40.05
2025-08-12,1963.0,1988.0,1952.1,1977.4,23845,54.16
2025-08-13,1977.2,2027.5,1972.1,1992.3,38622,50.49
2025-08-14,1994.6,2013.6,1985.1,2003.8,18092,54.1
2025-08-18,2005.0,2050.0,1997.0,2015.7,47826,44.95
2025-08-19,2030.0,2089.9,2002.2,2014.4,59486,39.52
2025-08-20,2016.7,2080.0,1990.2,2071.8,50606,54.03
2025-08-21,2071.8,2149.7,2058.9,2127.7,83090,41.12
2025-08-22,2113.0,2174.0,2101.2,2115.6,42262,42.0
2025-08-25,2115.6,2190.0,2101.5,2181.4,44631,53.18
2025-08-26,2167.0,2270.0,2167.0,2224.0,107972,38.71
2025-08-28,2226.4,2273.0,2225.0,2241.1,51250,41.66
2025-08-29,2241.1,2283.6,2155.1,2255.4,112086,44.29
2025-09-01,2255.0,2289.0,2235.0,2242.2,41845,38.54
2025-09-02,2240.0,2283.9,2229.8,2258.5,33857,48.03
2025-09-03,2278.0,2287.0,2185.0,2229.7,56813,45.81
2025-09-04,2230.0,2230.0,2181.5,2192.1,24338,52.79
2025-09-05,2190.1,2218.9,2171.9,2195.9,17714,54.56
2025-09-08,2206.0,2226.3,2164.1,2181.6,27021,45.74
2025-09-09,2182.0,2238.4,2176.0,2225.2,41680,44.88
2025-09-10,2230.0,2230.0,2181.0,2191.7,24133,56.93
2025-09-11,2192.0,2206.0,2144.3,2151.9,19974,51.86
2025-09-12,2151.9,2195.1,2134.6,2186.9,26908,44.36
2025-09-15,2195.0,2202.8,2163.4,2170.3,16527,48.16
2025-09-16,2179.0,2188.0,2125.9,2147.2,22592,55.75
2025-09-17,2168.7,2190.0,2140.5,2186.4,28261,38.07
2025-09-18,2186.5,2210.0,2158.7,2169.6,18468,47.56
2025-09-19,2160.0,2182.9,2140.0,2154.5,17682,44.54
2025-09-22,2160.0,2169.7,2082.6,2106.1,35340,34.0
2025-09-23,2106.1,2106.1,2058.3,2065.5,18043,51.71
2025-09-24,2054.7,2074.9,2042.1,2053.6,56455,88.06
2025-09-25,2053.6,2070.0,2040.5,2064.1,76529,90.17
2025-09-26,2060.1,2064.0,2006.0,2016.3,16026,59.53
2025-09-29,2002.0,2064.0,1948.0,1996.7,30984,50.06
2025-09-30,2004.7,2030.0,1992.2,2013.5,10909,56.54
2025-10-01,2014.9,2054.2,1985.0,2028.4,24624,43.93
2025-10-03,2050.0,2100.0,2027.3,2087.3,24350,63.32
2025-10-06,2081.7,2108.8,2065.2,2078.3,15555,58.56
2025-10-07,2065.0,2074.5,2001.2,2016.3,28037,53.42
2025-10-08,2010.0,2099.9,2003.1,2085.2,31360,37.76
2025-10-09,2080.0,2132.9,2021.2,2031.3,32990,35.81
2025-10-10,2046.0,2058.8,2016.0,2021.8,14944,50.82
2025-10-13,2021.8,2050.0,2008.5,2041.4,19763,51.13
2025-10-14,2021.5,2049.8,1971.3,1981.8,26541,59.43
2025-10-15,1985.0,1991.1,1962.2,1973.4,19623,52.35
2025-10-16,1973.4,1989.9,1960.0,1967.3,11579,59.35
2025-10-17,1975.1,1999.9,1953.0,1962.9,15276,63.49
2025-10-20,1990.0,1995.4,1946.2,1965.2,21449,63.2
2025-10-21,1967.0,1993.5,1967.0,1973.8,7251,74.09
2025-10-22,1967.0,1993.5,1967.0,1973.8,7251,74.09
2025-10-23,1987.0,2000.0,1939.5,1950.7,25370,61.12
2025-10-24,1947.1,2059.0,1944.8,2039.5,67275,41.45
2025-10-27,2039.0,2044.3,2011.0,2028.6,13053,53.41
2025-10-28,2036.3,2111.0,2036.3,2084.4,46321,43.21
2025-10-29,2099.0,2099.0,2040.1,2049.5,13561,44.91
2025-10-30,2049.5,2090.3,2018.1,2081.0,45296,60.98
2025-10-31,2080.0,2249.0,2064.5,2169.6,159392,32.74
2025-11-03,2180.0,2603.5,2140.1,2603.5,1070871,17.55
2025-11-04,2709.1,3088.7,2709.1,3041.2,2600121,12.05
2025-11-05,2709.1,3088.7,2709.1,3041.2,2600121,12.05
2025-11-06,2979.1,3144.1,2837.7,3081.2,621520,14.14
2025-11-07,3019.1,3389.3,2981.1,3389.3,692829,19.02
2025-11-10,3400.0,3424.7,3120.0,3153.7,382135,18.14
2025-11-11,3140.0,3298.0,3131.5,3243.5,320332,16.12
2025-11-12,3243.0,3395.0,3231.1,3366.1,176143,19.9
2025-11-13,3360.0,3470.0,3271.8,3312.0,210463,18.03
2025-11-14,3310.1,3327.9,3270.8,3296.0,76870,33.3
2025-11-17,3285.0,3299.0,3202.7,3262.7,64315,27.88
