DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,33.9,35.4,33.11,34.49,61088,68.08
2025-04-15,34.85,36.5,34.3,35.55,41458,57.37
2025-04-16,35.9,38.61,35.51,38.27,92740,66.56
2025-04-17,38.3,39.44,35.49,37.56,55410,66.98
2025-04-21,37.56,39.4,36.72,37.58,45852,73.82
2025-04-22,36.68,38.55,35.5,36.93,172810,80.74
2025-04-23,37.1,38.0,36.11,37.58,52540,53.01
2025-04-24,37.57,41.33,37.0,39.36,52676,52.25
2025-04-25,39.9,40.23,36.01,37.64,109398,42.46
2025-04-28,36.52,38.73,36.15,37.51,67917,66.65
2025-04-29,36.19,38.5,36.01,37.76,92064,42.3
2025-04-30,37.69,37.69,35.21,36.61,44172,64.88
2025-05-02,35.26,37.0,35.0,36.25,21977,55.69
2025-05-05,36.63,36.93,35.71,36.48,23313,70.0
2025-05-06,36.17,38.8,33.11,35.53,69019,62.85
2025-09-15,25.49,26.01,24.71,25.08,552566,82.92
2025-09-16,25.88,25.88,23.25,24.27,245090,61.46
2025-09-17,24.6,24.77,23.76,24.12,58976,64.48
2025-09-18,24.12,24.6,23.85,24.31,782838,89.58
2025-09-19,24.6,24.6,22.15,22.74,1186772,77.56
2025-09-22,22.95,23.0,21.54,22.0,391120,62.79
2025-09-23,22.0,22.65,21.85,22.22,95155,76.82
2025-09-24,22.6,22.6,20.56,21.17,138479,82.03
2025-09-25,21.2,22.52,19.35,22.3,996822,59.99
2025-09-26,22.4,24.31,21.96,23.29,1311994,75.89
2025-09-29,23.5,24.49,22.25,23.63,790134,62.41
2025-09-30,23.9,25.9,22.94,25.28,1248988,68.32
2025-10-01,25.0,26.83,24.5,26.1,1141430,61.69
2025-10-03,25.88,27.45,24.85,26.46,1214756,59.23
2025-10-06,25.75,26.4,24.94,26.0,1421004,54.06
2025-10-07,25.78,28.6,25.12,27.74,1688309,61.64
2025-10-08,27.0,30.51,26.78,29.72,1991463,48.1
2025-10-09,29.49,29.84,27.7,27.92,608121,50.04
2025-10-10,27.92,30.69,27.5,29.93,1588886,51.86
2025-10-13,29.65,32.25,29.05,31.51,1944124,54.47
2025-10-14,31.48,31.97,30.05,30.46,421250,55.26
2025-10-15,31.4,32.96,30.45,31.05,1145562,64.37
2025-10-16,31.2,33.39,30.86,32.81,1966580,52.01
2025-10-17,33.0,33.06,32.18,32.47,292624,64.64
2025-10-20,32.5,32.75,30.84,30.99,393198,46.18
2025-10-21,31.5,31.95,30.85,31.42,103118,68.4
2025-10-22,31.5,31.95,30.85,31.42,103118,68.4
2025-10-23,31.85,31.85,29.84,29.84,300537,54.39
2025-10-24,30.24,30.28,28.68,29.91,1476352,48.9
2025-10-27,30.2,30.54,29.5,30.07,1613618,55.55
2025-10-28,30.11,30.39,29.5,30.05,894628,8.05
2025-10-29,30.05,30.45,29.72,30.05,1548961,38.22
2025-10-30,29.8,30.3,29.25,29.5,705912,9.34
2025-10-31,29.98,29.98,28.76,29.26,504422,30.45
2025-11-03,29.15,30.49,28.76,30.31,1634880,39.71
2025-11-04,30.44,30.94,29.55,29.76,198562,56.29
2025-11-05,30.44,30.94,29.55,29.76,198562,56.29
2025-11-06,29.4,30.78,29.25,30.18,2470348,37.05
2025-11-07,30.5,31.47,29.62,31.25,1516876,54.28
2025-11-10,31.85,32.78,30.1,32.5,1475192,38.2
2025-11-11,33.25,33.99,32.19,33.43,1641026,38.73
2025-11-12,32.94,33.8,32.07,33.13,1184804,61.01
2025-11-13,33.13,33.7,32.73,33.06,2116431,27.89
2026-02-16,22.64,22.89,20.74,22.42,1022996,45.19
2026-02-17,22.89,23.52,22.16,23.46,1025637,41.55
2026-02-18,24.24,24.6,23.21,24.44,1037649,16.87
2026-02-19,24.99,25.21,24.2,24.88,420015,15.33
2026-02-20,24.51,25.06,24.06,24.37,619174,57.53
2026-02-23,24.02,24.63,23.16,23.29,413144,24.26
2026-02-24,22.76,24.41,22.57,24.37,1470408,50.92
2026-02-25,25.38,25.38,24.08,25.04,270433,23.41
2026-02-26,25.04,26.1,24.7,25.9,1572682,60.86
2026-02-27,26.14,27.14,25.2,26.97,819180,39.47
2026-03-02,26.1,27.05,26.1,26.47,712533,47.65
2026-03-03,26.1,27.05,26.1,26.47,712533,47.65
2026-03-04,26.79,26.79,25.15,25.2,280354,61.59
2026-03-05,25.45,25.45,24.03,24.15,146723,30.78
2026-03-06,24.35,25.31,23.71,24.61,1037815,43.25
2026-03-09,25.5,25.5,24.0,24.27,531096,68.85
2026-03-10,24.85,25.3,24.1,25.14,1562676,42.13
2026-03-11,25.14,26.1,24.71,25.99,1377675,42.46
2026-03-12,26.5,26.54,25.82,26.27,407752,26.87
2026-03-13,26.07,26.39,25.27,26.28,465665,34.89
2026-03-16,26.94,26.94,24.97,25.13,1269414,50.72
2026-03-17,24.97,26.38,24.4,26.16,1790346,48.43
2026-03-18,26.16,26.9,25.63,26.35,1622277,48.92
2026-03-19,25.55,25.6,25.04,25.04,642323,75.6
2026-03-20,25.05,25.99,24.25,25.61,571325,39.95
2026-03-23,25.05,25.16,24.33,24.33,89531,41.11
2026-03-24,24.33,24.33,23.12,23.12,259188,64.94
2026-03-25,22.35,23.5,21.97,22.15,811628,50.52
2026-03-26,22.35,23.5,21.97,22.15,811628,50.52
2026-03-27,21.7,23.1,21.05,22.56,2916648,48.0
2026-03-30,21.75,22.5,21.45,21.5,144544,57.36
2026-03-31,21.75,22.5,21.45,21.5,144544,57.36
2026-04-01,22.2,22.57,22.01,22.42,1408381,46.28
2026-04-02,22.16,23.52,21.93,23.26,2002099,46.79
2026-04-03,22.16,23.52,21.93,23.26,2002099,46.79
2026-04-06,23.88,23.88,23.33,23.63,67209,74.37
2026-04-07,23.98,24.44,23.54,24.3,349166,33.14
2026-04-08,24.05,24.99,23.95,24.41,385711,23.61
2026-04-09,24.88,25.78,23.41,24.36,1859038,50.97
2026-04-10,24.37,25.0,23.4,23.63,826487,20.72
2026-04-13,23.62,24.97,21.27,23.69,3152227,40.57
2026-04-14,23.62,24.97,21.27,23.69,3152227,40.57
2026-04-15,23.18,24.2,21.33,22.14,3509623,40.95
2026-04-16,20.75,21.59,20.51,20.86,2184234,67.2
2026-04-17,21.29,22.35,21.16,21.75,579383,38.85
2026-04-20,21.8,21.99,20.88,21.01,407182,45.1
2026-04-21,21.7,21.7,20.71,20.83,215203,21.53
2026-04-22,20.57,21.95,20.57,21.45,2556069,52.92
2026-04-23,21.3,22.13,21.02,21.67,552235,41.48
2026-04-24,21.86,23.75,21.51,23.44,2444106,43.33
2026-04-27,24.0,25.15,23.1,24.88,814131,61.87
2026-04-28,24.88,25.7,23.12,23.83,466065,23.6
2026-04-29,23.9,24.12,22.51,23.03,232747,37.4
2026-04-30,23.68,24.59,22.69,23.86,2540465,45.16
2026-05-01,23.68,24.59,22.69,23.86,2540465,45.16
2026-05-04,24.4,24.4,23.14,23.36,127235,57.48
2026-05-05,23.05,23.72,22.75,22.95,376798,27.82
2026-05-06,23.0,23.98,23.0,23.7,1700969,45.37
2026-05-07,23.71,24.29,22.71,23.29,2410933,53.53
2026-05-08,23.6,23.6,22.97,23.23,42705,47.42
2026-05-11,23.0,23.49,21.85,22.18,1680812,39.66
2026-05-12,22.64,23.95,21.66,23.33,1746049,47.09
2026-05-13,22.55,23.5,22.55,22.89,304292,14.46
2026-05-14,23.0,24.38,22.21,24.16,2855237,29.09
2026-05-15,24.15,24.99,23.57,24.04,2259143,37.09
2026-05-18,24.05,24.19,22.69,23.04,1743483,41.24
2026-05-19,23.06,23.34,22.52,22.76,404561,10.74
2026-05-20,22.79,23.22,22.52,22.76,2402989,28.45
2026-05-21,22.85,23.5,22.34,23.02,835965,57.21
2026-05-22,23.45,23.9,22.4,22.78,2198595,41.59
2026-05-25,23.34,23.7,21.1,23.18,3021257,47.18
2026-05-26,23.1,23.75,22.2,22.73,1911954,42.57
2026-05-27,22.55,23.13,22.43,22.75,643873,35.14
2026-05-28,22.55,23.13,22.43,22.75,643873,35.14
2026-05-29,23.14,23.27,21.26,22.89,1956069,45.12
2026-06-01,22.98,23.61,22.2,23.23,3059173,34.37
2026-06-02,23.22,23.55,22.45,22.69,438720,18.1
2026-06-03,22.88,22.89,21.72,22.44,3265963,45.24
