DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,419.9,422.05,416.35,418.7,39619,48.65
2025-04-15,421.05,428.7,416.2,425.05,151279,24.12
2025-04-16,425.95,429.85,421.7,422.75,117022,72.21
2025-04-17,420.9,449.0,420.9,435.55,123871,48.06
2025-04-21,435.55,444.5,433.85,441.45,114406,60.31
2025-04-22,444.0,450.0,440.05,448.35,86124,64.36
2025-04-23,457.95,457.95,438.15,440.9,130782,61.72
2025-04-24,446.0,482.0,445.0,456.55,1382203,32.5
2025-04-25,454.65,463.95,441.5,445.75,223138,39.92
2025-04-28,446.0,451.35,442.2,445.15,96101,53.71
2025-04-29,451.85,455.75,445.3,446.35,135474,61.36
2025-04-30,446.35,448.5,437.0,437.75,114804,57.04
2025-05-02,438.0,457.7,438.0,456.1,313886,37.59
2025-05-05,457.5,460.85,450.1,453.5,130755,56.03
2025-05-06,453.7,458.4,440.6,442.7,70923,54.25
2025-05-07,436.0,449.15,436.0,447.0,51279,55.5
2025-05-08,447.5,452.45,440.2,442.55,55701,54.67
2025-05-09,436.0,453.0,436.0,448.15,218899,65.06
2025-05-12,450.5,464.65,447.65,450.7,320562,37.53
2025-05-13,452.0,455.0,447.1,448.75,75614,62.7
2025-05-14,450.95,452.8,445.05,447.35,94706,65.09
2025-05-15,449.7,451.0,445.0,445.5,82389,70.91
2025-05-16,449.0,451.5,446.6,448.1,63807,51.74
2025-05-19,449.9,453.85,446.0,447.45,138579,57.84
2025-05-20,449.8,454.7,449.1,451.8,155604,66.84
2025-05-21,451.95,452.95,449.55,450.35,38746,60.93
2025-05-22,452.0,452.05,448.05,449.3,61562,76.8
2025-05-23,447.0,452.0,447.0,450.55,40651,58.31
2025-05-26,450.55,454.35,449.1,450.8,45096,65.25
2025-05-27,453.0,454.7,448.05,449.45,32215,63.77
2025-05-28,451.8,452.4,445.8,447.6,64264,58.26
2025-05-29,449.0,453.75,447.1,448.2,51074,69.04
2025-05-30,448.8,451.95,447.15,448.4,80473,66.58
2025-06-02,450.8,460.0,446.5,454.25,97481,67.79
2025-06-03,457.0,458.8,452.95,453.5,88705,65.81
2025-06-04,453.8,455.9,452.0,452.25,38751,76.05
2025-06-05,454.0,455.8,448.5,451.5,74362,64.02
2025-06-06,453.0,466.75,452.0,456.0,120790,53.12
2025-06-09,458.4,462.55,454.65,457.4,98382,53.03
2025-06-10,457.95,461.6,455.85,458.5,56138,66.95
2025-06-11,459.0,460.55,455.05,458.05,57669,59.99
2025-06-12,458.05,465.0,454.2,455.95,107611,42.12
2025-06-13,451.4,454.2,450.0,452.6,49164,53.63
2025-06-16,452.0,452.5,447.0,449.15,84194,70.39
2025-06-17,449.05,451.5,447.0,448.3,46222,71.96
2025-06-18,446.0,451.1,444.4,447.2,37174,60.99
2025-06-19,447.2,449.0,443.1,444.0,46890,79.09
2025-06-20,442.0,447.25,439.75,441.2,95436,82.8
2025-06-23,439.0,440.0,436.0,437.3,97507,70.14
2025-06-24,439.95,445.7,439.95,441.7,98514,48.82
2025-06-25,442.0,447.5,439.65,442.1,89417,67.01
2025-06-26,442.1,446.35,440.6,441.15,77665,45.34
2025-06-27,441.3,444.55,441.3,442.7,37365,56.26
2025-06-30,443.0,448.2,443.0,445.8,66066,57.49
2025-07-01,446.7,454.0,445.0,450.6,78657,45.6
2025-07-02,453.4,454.15,445.5,447.35,65647,53.65
2025-07-03,448.95,448.95,443.85,445.6,55137,68.8
2025-07-04,445.0,447.7,444.05,445.65,63304,65.44
2025-07-07,444.1,450.8,440.0,440.45,106265,70.76
2025-07-08,441.2,450.0,441.2,447.95,92722,57.37
2025-07-09,452.45,454.0,442.8,444.65,97787,58.51
2025-07-10,448.75,448.75,444.05,446.95,52008,63.7
2025-07-11,449.0,449.0,443.2,444.6,49834,56.82
2025-07-14,448.0,448.0,443.15,444.3,35038,68.45
2025-07-15,444.0,450.65,444.0,448.55,83522,64.86
2025-07-16,449.0,453.0,448.85,451.9,57374,74.88
2025-07-17,458.25,458.25,452.55,456.4,96597,65.25
2025-07-18,456.0,459.3,455.0,455.55,91711,58.57
2025-07-21,463.8,463.8,455.0,456.15,75664,60.72
2025-07-22,455.7,460.0,455.0,456.75,57111,66.89
2025-07-23,460.0,462.0,456.95,458.5,68188,66.55
2025-07-24,460.8,463.45,459.0,460.35,94416,58.7
2025-07-25,458.1,462.0,454.0,455.2,76548,67.48
2025-07-28,458.0,461.35,446.5,447.6,125661,66.42
2025-07-29,448.45,451.95,446.0,448.55,75901,64.09
2025-07-30,448.95,463.9,448.95,460.05,183799,65.16
2025-07-31,456.15,459.95,453.25,455.6,152114,70.16
2025-08-01,445.0,449.6,442.5,444.0,64857,62.51
2025-08-04,441.3,443.55,436.25,438.0,104389,50.6
2025-08-05,438.0,439.0,428.5,430.75,83268,62.31
2025-08-06,430.65,436.35,425.0,431.65,77453,65.16
2025-08-07,431.65,433.9,428.0,431.2,26891,58.4
2025-08-08,431.2,433.0,428.0,429.5,30490,65.72
2025-08-11,430.15,431.8,426.25,428.75,49245,68.02
2025-08-12,428.75,431.15,427.2,429.15,33321,62.57
2025-08-13,427.6,431.3,427.6,430.05,51445,71.55
2025-08-14,431.25,431.25,427.55,428.7,19080,61.66
2025-08-18,430.0,436.05,423.7,425.95,82331,65.08
2025-08-19,429.5,429.5,425.0,428.9,54747,58.83
2025-08-20,428.9,433.6,426.5,428.9,50914,61.04
2025-08-21,429.0,430.8,423.0,425.35,103992,60.21
2025-08-22,426.0,431.0,422.15,427.15,92899,58.4
2025-08-25,427.4,428.85,424.3,425.5,47077,64.15
2025-08-26,425.5,428.8,422.05,424.55,65420,66.13
2025-08-28,425.0,426.45,421.9,423.55,35231,66.56
2025-08-29,423.65,425.7,422.05,423.4,24924,79.64
2025-09-01,425.0,425.5,416.8,422.6,51266,54.22
2025-09-02,424.5,425.75,421.8,422.35,84042,77.5
2025-09-03,422.35,426.95,422.35,426.55,24444,73.25
2025-09-04,429.0,429.0,424.85,425.5,30845,66.49
2025-09-05,425.5,428.0,411.8,423.85,85942,54.34
2025-09-08,422.05,425.85,421.85,423.55,50289,64.99
2025-09-09,424.95,427.0,420.85,426.65,68280,67.75
2025-09-10,427.0,434.5,427.0,433.1,62877,62.9
2025-09-11,434.45,437.2,429.6,431.8,56628,64.32
2025-09-12,434.0,434.0,429.0,432.0,30084,67.78
2025-09-15,434.25,434.25,429.0,430.75,32681,61.02
2025-09-16,432.05,433.45,428.0,430.05,59981,70.21
2025-09-17,432.0,433.4,428.0,431.2,42326,67.98
2025-09-18,431.2,440.0,430.0,435.95,129782,30.53
2025-09-19,435.0,437.45,432.0,435.65,43374,50.99
2025-09-22,435.0,436.55,430.0,430.35,43259,66.69
2025-09-23,430.0,432.9,426.95,430.3,33806,70.7
2025-09-24,431.15,431.5,425.8,428.4,32524,61.55
2025-09-25,428.0,429.8,425.0,426.45,29474,69.92
2025-09-26,428.55,431.15,423.35,423.95,55690,65.55
2025-09-29,423.85,427.7,421.85,423.0,55113,65.18
2025-09-30,425.0,425.0,420.0,421.95,61513,63.27
2025-10-01,422.4,425.0,421.85,424.8,26542,50.07
2025-10-03,427.0,428.25,423.6,424.95,54471,49.2
2025-10-06,425.0,430.0,424.5,429.1,57206,63.7
2025-10-07,429.9,436.0,429.3,434.65,104641,52.46
2025-10-08,434.65,435.85,430.0,430.85,37319,61.88
2025-10-09,431.45,433.0,430.05,431.45,38290,77.13
2025-10-10,433.0,436.7,430.1,434.8,69873,67.36
2025-10-13,434.0,436.25,430.8,434.75,31601,58.44
2025-10-14,433.0,435.95,427.0,427.85,59924,62.75
2025-10-15,427.85,432.0,420.0,423.1,125481,63.66
2025-10-16,428.0,429.6,424.0,428.65,44828,55.79
2025-10-17,431.0,442.9,427.5,438.85,122484,71.27
2025-10-20,441.2,449.0,438.75,447.0,246690,54.2
2025-10-21,445.0,462.25,445.0,455.5,143401,68.8
2025-10-22,445.0,462.25,445.0,455.5,143401,68.8
2025-10-23,455.5,460.65,448.7,449.7,227465,65.64
2025-10-24,450.0,453.5,444.05,450.15,84159,56.45
2025-10-27,452.45,459.0,447.0,457.3,145450,68.24
2025-10-28,460.05,482.0,460.05,466.25,915102,38.31
2025-10-29,474.0,500.0,471.0,494.25,672093,53.02
2025-10-30,494.25,501.9,482.0,483.2,283727,49.99
2025-10-31,483.5,503.0,483.5,499.3,339850,60.35
2025-11-03,498.5,507.5,491.55,497.75,229723,47.05
2025-11-04,497.75,498.95,490.7,495.3,151722,66.73
2025-11-05,497.75,498.95,490.7,495.3,151722,66.73
2025-11-06,495.0,499.8,492.0,495.25,125393,66.44
2025-11-07,497.7,517.0,468.0,510.2,420555,57.46
2025-11-10,513.8,527.0,507.5,510.9,253055,58.08
2025-11-11,513.6,514.95,502.4,504.0,104023,51.56
2025-11-12,500.35,508.8,500.3,506.2,79880,46.56
2025-11-13,508.9,508.9,500.1,500.95,56868,61.65
2025-11-14,505.0,505.05,493.85,501.85,83635,54.86
2025-11-17,500.0,514.0,499.0,509.3,210463,63.97
2025-11-18,509.3,510.3,500.0,508.15,133264,67.6
2025-11-19,508.15,508.15,499.15,502.85,101444,63.27
2025-11-20,503.5,504.85,492.2,493.8,141822,68.73
2025-11-21,493.0,500.0,491.8,496.05,93906,54.65
2025-11-24,496.05,504.95,494.3,497.85,127138,67.67
2025-11-25,497.8,509.05,495.0,505.45,126774,47.65
2025-11-26,507.95,515.9,503.65,511.1,137465,62.9
2025-11-27,515.0,515.0,503.0,506.35,56231,58.51
2025-11-28,507.25,510.65,502.7,507.35,82518,64.35
2025-12-01,520.3,557.0,517.0,535.2,2937422,13.19
2025-12-02,536.05,550.75,530.3,536.15,376748,37.78
2025-12-03,536.0,546.75,531.05,535.8,166507,43.86
2025-12-04,536.95,537.05,531.7,534.25,92311,62.36
2025-12-05,536.0,538.5,533.75,534.25,142924,62.84
2025-12-08,537.1,538.9,509.85,513.0,207236,62.18
2025-12-09,513.0,515.95,503.15,509.35,117875,50.03
2025-12-10,509.35,511.8,495.05,496.35,161461,61.04
2025-12-11,499.35,515.75,496.5,511.6,149194,55.39
2025-12-12,511.95,514.05,491.5,507.1,179520,55.76
2025-12-15,512.15,522.65,509.7,513.65,117717,45.79
2025-12-16,513.6,522.0,506.0,507.85,73302,68.81
2025-12-17,507.85,514.75,503.0,505.45,72358,47.62
