DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,72.0,72.58,68.21,71.04,11589,61.8
2025-04-15,71.04,73.98,69.7,72.56,14230,38.99
2025-04-16,73.35,76.5,72.99,75.43,14001,70.75
2025-04-17,76.25,77.0,74.56,75.32,8249,73.34
2025-04-21,76.9,76.9,73.2,75.62,9355,48.21
2025-04-22,75.32,76.58,75.31,76.09,7143,74.46
2025-04-23,77.32,77.32,73.42,74.55,7326,47.97
2025-04-24,74.55,77.0,74.55,76.32,9828,65.07
2025-04-25,76.33,76.33,73.01,73.69,3983,68.44
2025-04-28,72.0,75.0,72.0,73.55,6204,92.2
2025-04-29,74.01,74.98,72.63,72.95,1908,53.72
2025-04-30,71.97,75.0,70.0,70.87,13760,64.66
2025-05-02,70.9,76.99,70.9,71.84,7549,13.75
2025-05-05,75.84,75.84,72.01,73.03,6514,50.15
2025-05-06,73.91,73.91,72.25,72.63,7432,80.71
2025-05-07,71.18,72.22,69.03,71.96,7745,68.33
2025-05-08,72.67,73.08,71.55,71.55,3552,85.16
2025-05-09,67.01,70.96,67.01,69.08,1406,67.71
2025-05-12,75.2,75.2,71.74,72.61,2238,74.75
2025-05-13,71.13,73.74,71.0,73.56,2017,70.5
2025-05-14,72.72,75.0,72.5,74.43,8417,64.42
2025-05-15,74.94,75.54,72.41,74.05,6883,71.99
2025-05-16,74.07,74.76,72.41,73.98,5042,68.35
2025-05-19,73.0,75.28,72.9,73.37,8018,50.05
2025-05-20,73.0,73.96,72.49,72.6,4087,70.98
2025-05-21,75.0,75.5,71.81,74.76,38711,74.77
2025-05-22,76.9,78.25,74.18,77.96,74835,68.63
2025-05-23,79.33,87.0,78.05,84.38,156040,47.92
2025-05-26,85.7,93.5,83.04,86.67,218208,45.58
2025-05-27,87.8,87.8,84.11,84.74,34578,62.94
2025-05-28,83.89,86.19,83.08,83.62,15171,60.76
2025-05-29,80.88,85.59,80.88,83.88,9097,50.27
2025-05-30,86.68,86.68,82.01,83.74,25309,82.71
2025-06-02,81.2,84.2,81.2,82.31,7307,28.15
2025-06-03,80.7,82.19,79.0,80.65,7594,74.31
2025-06-04,80.65,83.38,80.5,81.41,9891,26.39
2025-06-05,81.41,84.99,77.3,79.55,19225,58.79
2025-06-06,80.46,80.84,78.51,78.8,7889,75.51
2025-06-09,82.0,82.0,79.29,79.93,4220,67.2
2025-06-10,79.92,81.02,77.01,78.56,8101,64.3
2025-06-11,82.5,83.99,80.01,82.46,18176,69.14
2025-06-12,82.89,84.99,80.28,83.08,15997,60.64
2025-06-13,83.49,83.69,82.0,82.64,6034,64.62
2025-06-16,84.0,84.07,81.0,82.17,6956,50.33
2025-06-17,82.6,84.01,81.51,82.47,7981,63.3
2025-06-18,81.5,89.98,81.5,85.47,52160,28.16
2025-06-19,85.47,86.16,82.6,82.73,9223,60.05
2025-06-20,82.7,84.0,81.55,81.79,6356,67.89
2025-06-23,83.55,83.55,81.63,82.02,6900,38.8
2025-06-24,83.66,83.66,82.15,82.67,3623,85.95
2025-06-25,82.55,84.27,82.55,83.53,3897,80.04
2025-06-26,84.5,86.0,83.7,85.33,7834,70.33
2025-06-27,85.67,87.15,83.25,84.06,14073,55.2
2025-06-30,84.51,84.89,83.0,84.09,6938,79.89
2025-07-01,84.09,85.95,82.52,82.88,15419,56.51
2025-07-02,84.5,84.72,82.93,83.49,3143,45.72
2025-07-03,83.49,83.97,81.0,81.61,7794,73.72
2025-07-04,82.0,83.45,80.01,81.23,9906,83.18
2025-07-07,82.0,82.89,76.15,79.44,7790,53.03
2025-07-08,79.83,82.65,79.83,80.81,3511,63.17
2025-07-09,80.82,82.5,80.12,80.53,1635,60.37
2025-07-10,80.53,81.77,80.53,81.06,1372,72.23
2025-07-11,83.0,83.0,80.0,80.56,13944,94.92
2025-07-14,80.49,81.6,79.52,80.03,3258,68.6
2025-07-15,80.5,82.79,80.1,80.63,3308,77.48
2025-07-16,80.84,81.06,79.31,79.73,8544,82.19
2025-07-17,79.31,80.99,79.31,80.6,7078,81.0
2025-07-18,80.2,82.25,79.81,81.1,6716,74.26
2025-07-21,81.67,81.67,78.76,80.35,5398,63.56
2025-07-22,80.57,81.8,78.91,81.11,7668,72.01
2025-07-23,81.03,82.17,76.42,78.27,11138,73.56
2025-07-24,78.15,80.6,78.15,78.71,4371,68.18
2025-07-25,78.31,79.79,78.01,78.73,3676,72.36
2025-07-28,78.74,78.8,74.35,74.84,12958,76.51
2025-07-29,77.32,77.9,74.2,74.62,5963,53.35
2025-07-30,78.98,78.99,74.51,75.14,10701,43.42
2025-07-31,75.8,75.99,72.91,74.42,2234,51.21
2025-08-01,74.94,75.49,74.1,74.1,1512,79.83
2025-08-04,75.59,77.39,74.1,75.61,2711,81.19
2025-08-05,75.99,80.0,75.21,77.23,7925,79.1
2025-08-06,77.28,82.85,77.01,82.36,43467,57.34
