DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-05-26,85.25,96.0,84.0,85.58,63767,36.99
2025-05-27,87.0,90.0,84.7,88.97,9221,75.63
2025-05-28,87.0,89.8,87.0,87.58,4260,80.0
2025-05-29,85.59,88.49,84.55,87.01,5748,65.92
2025-05-30,88.4,97.0,85.51,90.74,39338,56.6
2025-06-02,90.74,92.4,88.56,91.75,4964,89.56
2025-06-03,91.5,93.0,88.24,89.82,10415,85.18
2025-06-04,86.2,93.99,86.2,89.84,24560,96.82
2025-06-05,90.11,93.19,89.83,91.46,2300,68.3
2025-06-06,90.99,91.0,88.6,90.8,2939,74.75
2025-06-09,88.25,92.79,88.25,91.43,2729,60.79
2025-06-10,92.12,92.89,90.16,91.91,5346,53.25
2025-06-11,92.89,92.89,89.0,89.57,9366,63.35
2025-06-12,93.5,93.5,89.4,89.91,4989,88.82
2025-06-13,89.5,104.4,89.5,96.49,88926,39.8
2025-06-16,96.44,115.78,91.8,115.78,226900,34.01
2025-06-17,120.0,136.59,113.53,121.32,560749,19.99
2025-06-18,119.99,127.4,118.51,119.68,50226,25.56
2025-06-19,119.3,119.46,106.06,108.38,30011,46.73
2025-06-20,111.36,126.9,111.36,122.13,387136,13.84
2025-06-23,119.6,119.6,113.15,115.05,22412,35.27
2025-06-24,122.89,128.23,113.0,114.96,110676,28.22
2025-06-25,116.01,121.19,111.11,113.51,31417,33.55
2025-06-26,114.8,120.99,113.12,117.16,48641,38.18
2025-06-27,118.7,130.0,116.4,121.36,193804,14.03
2025-06-30,127.0,127.0,120.11,121.14,23194,41.24
2025-07-01,120.04,120.99,115.26,116.36,9511,64.35
2025-07-02,120.02,123.5,116.01,116.48,37636,41.86
2025-07-03,116.95,120.65,113.1,113.43,14707,42.86
2025-07-04,113.65,119.0,111.21,111.57,13945,54.76
2025-07-07,111.0,114.57,111.0,111.47,9066,63.37
2025-07-08,116.18,116.18,109.0,109.31,6492,62.23
2025-07-09,110.0,110.92,106.01,108.67,6434,73.03
2025-07-10,109.78,110.56,103.6,106.08,9795,68.93
2025-07-11,105.93,106.0,100.06,101.85,17087,52.92
2025-07-14,103.19,105.0,100.12,101.07,8380,55.63
2025-07-15,101.0,107.66,100.04,103.4,17255,28.51
2025-07-16,104.5,104.75,100.9,101.72,12031,65.81
2025-07-17,104.0,104.0,101.7,102.22,3772,40.56
2025-07-18,103.15,105.8,99.02,101.09,13038,59.24
2025-07-21,101.09,103.65,101.09,102.47,2246,68.88
2025-07-22,101.5,105.29,101.0,103.93,9551,86.59
2025-07-23,103.93,107.5,102.0,102.37,3525,51.09
