DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,52.0,52.27,51.12,51.76,200902,51.89
2025-04-15,52.4,52.43,51.22,51.86,252905,59.56
2025-04-16,51.95,53.08,50.55,52.01,738092,66.9
2025-04-17,52.8,52.8,51.2,51.96,478529,70.4
2025-04-21,52.75,54.45,51.04,54.03,504168,55.97
2025-04-22,54.27,55.24,53.55,54.82,383984,54.66
2025-04-23,54.8,55.08,53.69,54.33,268869,52.37
2025-04-24,53.88,59.05,53.45,56.71,790384,66.6
2025-04-25,57.06,57.71,54.16,54.73,293740,38.91
2025-04-28,55.15,56.0,53.45,55.63,172706,33.45
2025-04-29,55.5,56.5,55.36,55.65,114869,61.85
2025-04-30,55.9,55.9,53.26,54.34,174250,55.12
2025-05-02,53.75,54.62,52.38,52.93,256217,45.56
2025-05-05,52.25,53.0,51.12,52.3,170925,46.12
2025-05-06,52.34,54.2,51.1,52.75,210286,61.62
2025-05-07,50.76,52.9,50.75,51.98,309908,45.05
2025-05-08,51.21,54.09,51.21,53.51,262967,43.01
2025-05-09,51.98,54.5,50.78,53.05,407718,59.76
2025-05-12,55.0,55.85,54.07,55.33,128953,51.25
2025-05-13,55.69,58.0,55.08,57.24,205129,41.04
2025-05-14,57.2,58.6,57.0,58.27,181344,43.07
2025-05-15,58.7,60.8,58.21,59.35,229592,59.91
2025-05-16,60.0,61.8,58.99,60.1,283280,48.98
2025-05-19,60.1,61.3,58.51,59.53,293947,62.82
2025-05-20,60.09,61.5,59.03,60.06,256345,62.68
2025-05-21,59.53,61.99,59.37,59.91,297237,55.73
2025-05-22,63.0,65.8,62.05,63.03,1091463,40.39
2025-05-23,63.53,64.29,62.15,63.17,450372,43.79
2025-05-26,63.49,64.16,62.5,62.92,322906,49.58
2025-05-27,59.95,60.3,56.3,56.95,1281410,40.81
2025-05-28,57.23,59.5,57.19,58.9,439471,44.06
2025-05-29,58.5,58.5,57.01,57.65,343371,37.47
2025-05-30,57.65,58.5,56.99,57.45,198731,55.96
2025-06-02,57.45,60.05,57.06,59.11,292490,56.21
2025-06-03,59.11,59.48,57.56,57.84,95329,56.43
2025-06-04,57.52,58.27,57.1,57.27,144888,54.72
2025-06-05,57.05,57.95,56.91,57.38,131457,51.05
2025-06-06,57.2,58.25,56.52,56.81,206707,57.87
2025-06-09,56.81,59.11,56.67,57.73,258514,48.39
2025-06-10,58.39,58.45,57.38,57.69,168567,40.95
2025-06-11,57.7,59.25,57.21,57.98,279773,50.27
2025-06-12,58.0,58.63,57.1,57.23,192291,56.16
2025-06-13,56.86,56.97,55.63,56.54,192648,57.15
2025-06-16,56.12,57.42,55.57,56.44,188519,53.36
2025-06-17,56.12,56.89,55.92,56.67,112926,59.56
2025-06-18,56.5,57.84,56.0,57.24,171527,59.0
2025-06-19,57.26,59.39,56.4,56.57,397425,41.71
2025-06-20,57.15,57.23,55.66,56.65,137414,37.01
2025-06-23,55.9,56.6,55.4,55.82,140645,58.41
2025-06-24,56.04,61.6,55.99,58.65,1781561,32.58
2025-06-25,58.65,59.46,57.91,58.31,220392,55.46
2025-06-26,58.32,59.65,57.51,58.76,294683,41.02
2025-06-27,59.0,59.35,58.5,58.69,213256,43.89
2025-06-30,58.72,59.8,58.61,59.05,191718,38.23
2025-07-01,59.33,59.33,58.03,58.58,109286,50.81
2025-07-02,58.4,58.77,57.46,58.07,139696,50.24
2025-07-03,58.4,58.85,57.52,58.1,186261,60.34
2025-07-04,58.0,58.64,57.7,58.02,116361,49.43
2025-07-07,58.02,58.64,57.32,57.49,116189,56.1
2025-07-08,57.99,58.1,56.7,56.99,189454,42.07
2025-07-09,57.25,58.55,57.0,58.08,173768,60.34
2025-07-10,58.73,63.89,58.57,62.12,3200004,23.25
2025-07-11,62.5,63.45,60.51,60.85,791791,41.18
2025-07-14,60.85,61.49,59.6,59.94,453227,56.5
2025-07-15,60.42,61.48,60.02,60.5,232576,39.46
2025-07-16,60.6,61.69,60.15,60.55,243545,57.97
2025-07-17,60.79,61.0,59.01,59.69,360413,53.38
2025-07-18,59.91,62.79,59.1,59.58,839121,33.05
2025-07-21,59.98,61.4,58.21,60.25,460506,44.42
2025-07-22,60.5,60.99,59.05,59.3,120797,54.1
2025-07-23,59.54,60.26,59.2,59.32,223821,55.16
2025-07-24,59.55,59.55,57.8,58.0,166194,54.12
2025-07-25,58.0,58.22,55.95,56.2,162506,55.97
2025-07-28,56.25,57.47,55.68,56.35,135777,49.61
2025-07-29,56.25,56.26,52.9,55.21,820802,49.18
2025-07-30,55.2,59.4,54.82,57.58,329247,38.16
2025-07-31,56.3,57.19,55.8,56.08,206273,48.15
2025-08-01,56.07,56.63,54.55,54.95,116249,52.1
2025-08-04,55.5,57.0,54.56,56.34,197483,47.24
2025-08-05,56.0,57.11,55.01,55.5,241140,48.62
2025-08-06,56.31,57.7,55.2,57.04,347102,35.95
2025-08-07,57.1,57.44,54.86,56.39,194267,55.94
2025-08-08,56.25,56.25,54.45,54.84,217257,53.67
2025-08-11,55.38,55.38,52.61,52.92,191086,56.56
2025-08-12,53.21,53.29,52.44,52.56,139391,64.55
2025-08-13,52.56,52.56,51.75,51.93,258396,68.23
2025-08-14,51.83,52.01,50.81,51.0,297313,66.86
2025-08-18,51.0,52.86,51.0,52.37,165934,39.66
2025-08-19,52.5,53.35,52.0,52.89,114384,54.57
2025-08-20,53.4,53.41,52.35,52.62,110241,54.91
