DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-07-14,1125.0,1130.0,1066.0,1074.8,4942773,57.52
2025-07-15,1073.9,1089.9,1048.0,1053.7,1103033,68.7
2025-07-16,1053.7,1106.9,1038.1,1087.4,1943902,42.4
2025-07-17,1095.0,1114.4,1088.0,1101.8,1243555,60.19
2025-07-18,1099.7,1164.8,1065.2,1141.0,2927112,49.42
2025-07-21,1151.0,1160.0,1111.6,1146.8,1059143,37.42
2025-07-22,1152.4,1187.8,1140.8,1173.6,1721445,53.2
2025-07-23,1170.1,1174.9,1132.9,1170.5,587267,43.7
2025-07-24,1172.0,1172.0,1143.8,1162.7,499521,52.64
2025-07-25,1154.9,1170.0,1148.5,1153.8,368749,55.94
2025-07-28,1144.2,1155.8,1096.7,1118.5,524712,45.19
2025-07-29,1118.5,1123.7,1090.2,1099.1,163504,36.15
2025-07-30,1091.0,1109.0,1073.2,1085.4,175727,56.85
2025-07-31,1070.0,1080.0,1038.0,1045.8,299125,51.81
2025-08-01,1045.1,1065.0,1011.1,1026.3,206667,26.8
2025-08-04,1026.1,1036.0,1008.5,1017.3,84755,42.4
2025-08-05,1018.6,1060.0,1014.7,1047.5,206709,48.56
2025-08-06,1064.9,1064.9,1015.1,1050.8,215589,52.17
2025-08-07,1056.0,1105.9,1040.6,1094.9,396975,44.87
2025-08-08,1100.3,1128.9,1094.9,1119.8,411023,57.37
2025-08-11,1100.1,1109.1,1066.5,1081.0,268873,49.73
2025-08-12,1114.0,1177.0,1067.0,1156.4,1187157,38.17
2025-08-13,1138.0,1173.8,1132.1,1147.8,287798,47.22
2025-08-14,1142.0,1164.9,1100.0,1117.1,284785,44.1
2025-08-18,1155.0,1155.0,1095.0,1102.1,327112,59.11
2025-08-19,1106.0,1118.0,1092.3,1108.3,168968,56.7
2025-08-20,1111.5,1219.1,1111.5,1219.1,1252247,45.38
2025-08-21,1220.0,1264.0,1187.1,1231.8,926893,40.98
2025-08-22,1225.0,1239.9,1206.6,1220.6,134116,45.59
2025-08-25,1221.9,1254.9,1216.0,1230.6,184278,47.88
2025-08-26,1220.0,1229.8,1200.0,1206.0,122721,57.6
2025-08-28,1200.0,1217.9,1191.0,1203.7,294207,75.41
2025-08-29,1209.7,1280.0,1200.0,1252.5,403872,47.29
2025-09-01,1252.0,1285.0,1242.6,1254.0,176758,41.63
2025-09-02,1255.1,1269.7,1236.9,1251.2,115663,51.69
2025-09-03,1251.2,1305.0,1240.8,1283.8,417447,58.78
2025-09-04,1294.7,1340.1,1263.5,1315.3,745516,76.95
2025-09-05,1319.9,1324.0,1282.0,1309.1,166673,56.22
2025-09-08,1308.1,1314.3,1282.6,1286.7,80864,57.69
2025-09-09,1288.0,1310.0,1265.7,1300.8,65714,35.75
2025-09-10,1299.8,1340.0,1270.0,1280.3,173440,41.63
2025-09-11,1280.3,1299.0,1245.0,1263.1,96020,46.82
2025-09-12,1299.0,1309.7,1275.0,1279.8,157221,37.49
2025-09-15,1287.9,1287.9,1242.2,1255.4,310617,77.85
2025-09-16,1261.9,1264.0,1222.4,1245.0,201674,72.15
2025-09-17,1245.0,1265.2,1237.0,1245.6,136235,73.37
2025-09-18,1245.6,1298.0,1240.4,1277.2,143486,48.0
2025-09-19,1289.9,1298.7,1265.5,1290.9,86179,66.05
2025-09-22,1288.9,1394.8,1278.9,1359.3,564671,45.66
2025-09-23,1359.3,1379.9,1310.5,1332.8,170841,38.54
2025-09-24,1332.9,1352.0,1313.1,1345.4,104590,48.84
2025-09-25,1347.3,1354.5,1310.5,1347.0,91919,47.31
2025-09-26,1348.0,1348.0,1318.3,1335.7,84808,59.72
2025-09-29,1353.0,1353.0,1295.0,1327.0,100189,40.92
2025-09-30,1327.0,1384.7,1316.0,1323.6,176428,38.42
2025-10-01,1320.0,1355.9,1319.9,1347.0,99482,42.41
2025-10-03,1350.0,1401.0,1336.6,1388.8,109142,56.25
2025-10-06,1388.6,1392.0,1361.1,1374.9,100122,52.34
2025-10-07,1372.0,1400.0,1365.0,1376.2,102731,55.02
2025-10-08,1353.6,1388.7,1332.6,1380.0,179158,65.83
2025-10-09,1380.0,1435.0,1345.0,1349.7,198445,30.92
2025-10-10,1359.0,1363.7,1312.0,1344.4,113192,51.84
2025-10-13,1350.0,1372.9,1341.0,1359.3,88117,39.85
2025-10-14,1352.6,1400.6,1340.5,1354.5,112090,46.51
2025-10-15,1353.9,1399.0,1346.4,1380.5,63027,56.29
2025-10-16,1373.7,1395.9,1373.6,1387.0,44500,55.86
2025-10-17,1383.3,1389.6,1355.0,1362.9,55230,53.95
2025-10-20,1362.8,1377.6,1321.1,1328.8,67300,46.44
2025-10-21,1339.0,1354.0,1311.3,1335.5,19467,45.24
2025-10-22,1339.0,1354.0,1311.3,1335.5,19467,45.24
2025-10-23,1332.5,1349.9,1300.1,1342.4,132460,61.54
2025-10-24,1342.0,1345.9,1310.2,1327.0,40031,49.05
2025-10-27,1321.3,1340.9,1316.7,1323.3,62853,66.37
2025-10-28,1319.0,1333.4,1316.2,1327.7,25211,47.87
2025-10-29,1324.9,1325.5,1262.7,1300.7,152893,47.78
2025-10-30,1309.9,1318.0,1297.6,1308.8,53434,63.61
2025-10-31,1308.8,1334.0,1289.3,1318.5,353031,87.18
2025-11-03,1307.9,1328.0,1306.2,1314.8,44036,58.53
2025-11-04,1310.0,1321.0,1293.1,1316.3,118504,77.14
2025-11-05,1310.0,1321.0,1293.1,1316.3,118504,77.14
2025-11-06,1305.0,1314.4,1271.2,1295.5,144678,76.26
2025-11-07,1278.0,1295.5,1250.5,1290.0,113389,59.0
2025-11-10,1290.0,1300.0,1266.5,1271.0,43753,55.26
2025-11-11,1254.6,1312.2,1254.6,1279.3,110328,63.47
2025-11-12,1279.3,1289.1,1267.0,1275.3,55898,69.25
2025-11-13,1254.0,1280.0,1228.1,1274.7,145664,54.33
2025-11-14,1265.5,1284.5,1252.9,1278.0,265499,85.1
2025-11-17,1272.3,1291.9,1262.5,1284.8,93297,67.61
2025-11-18,1284.0,1313.0,1270.5,1300.5,54440,50.54
2025-11-19,1299.9,1329.9,1281.2,1322.3,74554,66.64
2025-11-20,1322.4,1337.6,1303.4,1321.7,34957,48.24
2025-11-21,1313.5,1357.0,1308.3,1349.7,73148,66.75
2025-11-24,1349.7,1363.1,1322.6,1355.0,79636,56.76
2025-11-25,1346.0,1363.1,1329.4,1358.0,44071,59.35
2025-11-26,1358.0,1384.0,1346.4,1364.1,45318,58.55
2025-11-27,1378.9,1445.0,1341.1,1350.5,384454,55.67
2025-11-28,1351.1,1366.9,1332.5,1345.9,106815,68.82
2025-12-01,1350.0,1384.0,1345.9,1379.2,119886,68.36
2025-12-02,1372.3,1376.5,1322.1,1332.0,56269,43.48
2025-12-03,1335.0,1346.1,1302.5,1313.7,43584,43.45
2025-12-04,1308.0,1337.0,1297.1,1329.1,67935,65.19
2025-12-05,1322.6,1340.7,1302.5,1306.0,26762,42.88
2025-12-08,1287.5,1287.5,1212.5,1275.5,194189,62.96
2025-12-09,1268.0,1294.7,1224.7,1276.1,174524,79.37
2025-12-10,1295.0,1302.8,1271.0,1281.2,77183,71.49
2025-12-11,1270.0,1280.0,1258.5,1269.4,52758,69.99
2025-12-12,1269.0,1294.5,1265.0,1286.4,22440,57.15
2025-12-15,1272.6,1282.0,1259.8,1262.3,17213,49.45
2025-12-16,1253.1,1264.0,1243.0,1255.0,14554,63.78
2025-12-17,1255.1,1272.0,1231.0,1257.6,37606,69.18
2025-12-18,1256.9,1262.0,1227.2,1258.5,19037,48.01
2025-12-19,1258.4,1258.4,1230.0,1233.9,54237,82.35
2025-12-22,1233.0,1247.0,1212.3,1215.5,87069,80.88
2025-12-23,1218.0,1225.0,1201.6,1220.2,47817,56.39
2025-12-24,1212.5,1229.9,1198.0,1209.8,101596,81.66
2025-12-25,1212.5,1229.9,1198.0,1209.8,101596,81.66
2025-12-26,1206.0,1212.9,1166.0,1170.7,48820,57.62
2025-12-29,1167.8,1173.6,1140.0,1161.5,180816,77.35
2025-12-30,1159.2,1170.4,1134.5,1152.6,33288,50.71
2025-12-31,1150.6,1176.0,1150.6,1172.5,23115,55.48
2026-01-01,1172.0,1172.4,1155.0,1158.8,8017,59.09
2026-01-02,1166.9,1186.9,1141.1,1179.6,270168,83.17
2026-01-05,1181.9,1215.0,1181.7,1207.8,37786,61.9
2026-01-06,1206.9,1206.9,1172.6,1186.0,38266,64.64
2026-01-07,1180.0,1180.7,1147.0,1152.9,30515,46.17
2026-01-08,1145.5,1148.8,1115.0,1139.0,36191,45.61
2026-01-09,1139.0,1158.9,1122.7,1149.8,234424,94.53
2026-01-12,1142.0,1165.0,1120.0,1147.4,65747,56.15
2026-01-13,1145.5,1179.0,1145.5,1151.6,39290,64.36
2026-01-14,1149.0,1150.7,1134.0,1141.8,29526,61.63
2026-01-15,1149.0,1150.7,1134.0,1141.8,29526,61.63
2026-01-16,1138.3,1148.0,1119.3,1141.2,47280,56.71
2026-01-19,1132.6,1139.7,1095.0,1108.1,83433,57.78
2026-01-20,1098.1,1105.2,1088.0,1100.0,328566,95.96
2026-01-21,1092.6,1095.5,1068.5,1083.0,112584,62.35
2026-01-22,1085.0,1110.0,1083.0,1102.3,15772,43.58
2026-01-23,1100.0,1104.1,1052.6,1065.1,18773,41.35
2026-01-26,1100.0,1104.1,1052.6,1065.1,18773,41.35
2026-01-27,1065.5,1071.8,1035.3,1043.7,36832,44.23
2026-01-28,1086.0,1087.4,1046.6,1076.1,20151,49.1
2026-01-29,1063.0,1074.5,1046.6,1052.0,20897,54.93
2026-01-30,1050.1,1078.9,1042.5,1067.0,8723,50.28
2026-02-02,1067.7,1081.0,1038.5,1073.8,23921,34.32
2026-02-03,1075.0,1105.3,1070.0,1099.6,22356,50.57
2026-02-04,1099.6,1124.8,1088.3,1119.7,12657,53.37
2026-02-05,1125.1,1125.9,1099.3,1112.0,15735,57.46
2026-02-06,1110.0,1117.5,1097.2,1111.3,8086,58.14
2026-02-09,1110.1,1164.0,1107.2,1154.3,50152,65.91
2026-02-10,1174.0,1193.3,1160.0,1185.1,78658,82.41
2026-02-11,1172.6,1207.6,1163.0,1201.9,47502,63.07
2026-02-12,1218.9,1231.9,1195.0,1214.7,25648,53.27
2026-02-13,1244.8,1249.0,1152.6,1170.7,144562,51.33
2026-02-16,1156.1,1220.0,1153.5,1209.1,43526,54.6
2026-02-17,1186.5,1221.0,1186.5,1212.6,39943,65.73
2026-02-18,1210.0,1228.0,1207.0,1217.4,34262,64.55
2026-02-19,1212.0,1222.2,1197.1,1214.2,18536,67.34
2026-02-20,1214.0,1234.0,1195.6,1221.2,88671,86.98
2026-02-23,1221.2,1291.9,1198.8,1225.8,121688,29.26
2026-02-24,1218.0,1235.0,1206.0,1229.9,28708,58.04
2026-02-25,1212.6,1239.0,1212.6,1231.1,21322,58.85
2026-02-26,1248.9,1250.0,1215.0,1240.3,34126,57.14
2026-02-27,1234.0,1240.0,1218.0,1234.2,14107,47.17
2026-03-02,1177.4,1204.1,1150.0,1176.5,106404,60.37
2026-03-03,1177.4,1204.1,1150.0,1176.5,106404,60.37
2026-03-04,1150.0,1166.1,1137.5,1157.4,77584,67.29
2026-03-05,1150.0,1187.0,1150.0,1182.0,24698,69.33
2026-03-06,1179.9,1190.0,1172.8,1180.2,10374,62.11
2026-03-09,1152.6,1180.0,1125.0,1165.4,26868,47.92
2026-03-10,1165.4,1200.0,1159.3,1185.4,26473,66.68
2026-03-11,1184.9,1203.2,1176.0,1189.0,95437,82.52
2026-03-12,1177.1,1207.5,1152.6,1192.5,30576,50.2
2026-03-13,1190.0,1190.0,1145.0,1177.4,45975,49.32
