DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,1193.7,1244.0,1191.15,1231.1,3795,42.35
2025-04-15,1242.2,1265.0,1230.0,1239.1,5481,64.66
2025-04-16,1226.9,1245.3,1225.0,1239.3,1604,43.89
2025-04-17,1247.4,1250.0,1226.5,1245.1,1858,58.02
2025-04-21,1264.0,1264.0,1222.9,1248.1,4842,69.39
2025-04-22,1221.3,1264.3,1221.3,1248.7,2573,49.36
2025-04-23,1248.8,1295.6,1235.1,1239.9,6049,62.16
2025-04-24,1224.0,1250.0,1224.0,1239.2,10719,74.39
2025-04-25,1250.0,1250.0,1201.0,1204.8,2014,57.45
2025-04-28,1209.2,1210.2,1188.0,1201.7,3892,61.0
2025-04-29,1216.9,1295.0,1200.0,1212.1,10774,38.42
2025-04-30,1216.5,1227.0,1187.2,1191.4,4077,67.53
2025-05-02,1165.0,1239.0,1165.0,1210.8,3364,44.59
2025-05-05,1219.1,1219.1,1186.1,1191.8,2809,58.38
2025-05-06,1204.7,1218.0,1170.0,1172.6,4147,63.88
2025-05-07,1131.6,1224.9,1125.0,1194.5,3941,50.8
2025-05-08,1178.1,1213.9,1163.3,1171.0,1305,59.39
2025-05-09,1186.5,1194.9,1162.0,1173.1,2460,69.19
2025-05-12,1191.0,1241.3,1177.4,1221.0,2216,54.83
2025-05-13,1236.9,1237.0,1171.0,1174.6,5314,65.77
2025-05-14,1171.0,1220.0,1171.0,1205.2,3987,40.43
2025-05-15,1218.0,1234.9,1196.3,1199.4,5113,69.84
2025-05-16,1198.0,1218.6,1198.0,1205.6,4178,59.33
2025-05-19,1223.4,1237.4,1211.6,1222.7,3704,50.59
2025-05-20,1220.0,1272.0,1215.0,1249.6,5550,62.67
2025-05-21,1265.0,1275.0,1223.7,1257.8,8125,59.99
2025-05-22,1272.8,1272.8,1248.2,1259.3,1414,75.32
2025-05-23,1261.3,1324.7,1240.0,1286.1,34080,21.89
2025-05-26,1290.1,1295.0,1253.0,1277.1,9234,52.22
2025-05-27,1261.9,1276.5,1246.1,1256.9,3834,60.93
2025-05-28,1256.9,1269.5,1241.0,1247.5,2617,53.15
2025-05-29,1253.4,1255.1,1206.5,1212.9,7226,72.29
2025-05-30,1206.0,1232.0,1206.0,1215.0,5127,69.98
2025-06-02,1202.5,1230.0,1196.1,1219.2,5153,72.21
2025-06-03,1237.2,1238.0,1216.0,1223.9,7360,69.78
2025-06-04,1242.3,1242.3,1218.0,1219.6,3746,24.21
2025-06-05,1237.8,1238.0,1218.0,1224.9,3539,50.35
2025-06-06,1242.2,1242.2,1218.0,1220.6,2027,54.81
2025-06-09,1220.5,1245.0,1217.0,1219.8,9243,71.65
2025-06-10,1220.2,1338.7,1220.0,1307.9,36324,34.89
2025-06-11,1320.0,1364.9,1264.9,1276.1,22143,48.97
2025-06-12,1277.0,1325.0,1248.7,1279.2,9216,45.69
2025-06-13,1278.0,1280.9,1250.0,1273.8,4379,52.04
2025-06-16,1260.0,1317.7,1258.1,1275.2,6205,56.55
2025-06-17,1260.2,1274.4,1257.1,1263.2,2679,61.44
2025-06-18,1275.8,1277.9,1248.0,1253.6,3121,61.36
2025-06-19,1241.5,1298.0,1236.2,1290.8,5073,61.5
2025-06-20,1290.8,1320.0,1259.9,1277.1,12232,24.76
2025-06-23,1296.0,1296.0,1260.4,1269.2,2241,69.79
2025-06-24,1276.1,1306.4,1262.2,1287.3,3264,50.64
2025-06-25,1273.3,1292.9,1273.3,1283.7,975,53.33
2025-06-26,1282.0,1297.1,1262.0,1272.1,4814,55.94
