DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-08-17,140.3,151.0,140.3,145.36,33315,61.52
2026-08-18,145.65,149.0,144.8,144.97,11329,80.14
2026-08-19,144.5,147.0,140.5,143.8,40375,42.51
2026-08-20,144.22,149.5,115.04,138.9,5762,51.16
2026-08-21,140.36,144.98,138.5,141.4,4266,91.33
2026-08-24,142.98,143.0,138.6,140.81,2962,96.83
2026-08-25,142.0,142.0,135.8,139.43,487,89.94
2026-08-26,139.43,142.5,135.98,141.8,2715,89.69
2026-08-27,130.0,147.2,129.1,143.28,705,95.18
2026-08-28,142.85,144.75,130.2,137.96,1601,98.38
2026-08-31,148.0,148.0,137.1,137.2,1149,84.42
2026-09-01,144.8,144.8,137.2,137.78,1859,87.95
2026-09-02,135.4,138.9,132.1,133.31,7761,88.36
