DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,484.65,507.5,484.65,505.05,73973,47.72
2025-04-15,510.35,529.2,510.35,524.5,94761,44.36
2025-04-16,525.9,535.25,524.45,533.95,79173,50.39
2025-04-17,536.85,554.85,533.95,550.05,144489,52.06
2025-04-21,550.05,562.65,550.05,554.3,82870,56.32
2025-04-22,558.1,561.6,551.95,556.35,43063,52.64
2025-04-23,556.4,565.05,549.85,559.2,57912,52.67
2025-04-24,558.0,576.65,558.0,568.75,95531,55.32
2025-04-25,575.25,579.0,550.0,553.25,73262,47.68
2025-04-28,550.0,568.2,544.0,562.6,99132,53.55
2025-04-29,562.5,571.8,559.7,563.05,53055,42.84
2025-04-30,575.0,575.0,550.65,552.45,54605,55.31
2025-05-02,552.45,558.45,545.4,551.6,23815,56.64
2025-05-05,568.25,568.25,550.4,557.2,29319,45.77
2025-05-06,558.3,564.7,545.0,548.05,47972,55.37
2025-05-07,538.0,555.0,534.0,548.1,36770,50.47
2025-05-08,556.3,558.0,536.0,537.15,48261,57.46
2025-05-09,531.95,535.0,520.7,528.55,65320,56.53
2025-05-12,541.75,556.8,541.75,552.6,46291,54.14
2025-05-13,560.0,573.0,550.1,567.5,99970,60.9
2025-05-14,571.9,588.9,568.95,584.85,129319,46.97
2025-05-15,589.2,594.25,584.0,587.5,85191,52.12
2025-05-16,593.95,638.75,590.55,619.95,534128,31.89
2025-05-19,615.0,615.95,599.95,610.25,274894,50.22
2025-05-20,619.4,623.0,602.0,603.95,86444,43.66
2025-05-21,607.0,610.4,595.0,596.05,85595,55.46
2025-05-22,596.05,621.0,592.3,616.55,259031,45.37
2025-05-23,685.6,685.6,615.15,617.7,353772,35.47
2025-05-26,620.0,638.45,617.5,630.75,242019,43.88
2025-05-27,631.0,640.0,625.0,633.1,114138,48.49
2025-05-28,630.1,639.3,624.0,625.55,58929,57.27
2025-05-29,628.65,634.0,617.0,619.1,71766,50.87
2025-05-30,619.0,622.5,610.0,614.15,55716,51.57
2025-06-02,614.0,634.3,606.1,624.6,103223,40.84
2025-06-03,627.75,638.8,626.15,629.3,68185,49.11
2025-06-04,632.9,634.0,624.0,627.65,40939,48.03
2025-06-05,632.0,632.65,620.0,621.35,42916,54.4
2025-06-06,623.0,624.4,610.0,618.9,74783,53.32
2025-06-09,622.0,628.7,619.0,620.7,50601,54.12
2025-06-10,623.45,626.45,620.0,621.2,30610,52.08
2025-06-11,625.5,648.0,621.95,632.15,308716,29.82
2025-06-12,634.1,639.7,617.5,621.5,54213,53.72
2025-06-13,614.0,622.0,603.05,613.35,64040,53.69
2025-06-16,610.65,620.0,600.4,612.35,37113,45.92
2025-06-17,612.35,619.65,601.0,602.25,35041,58.42
2025-06-18,608.25,608.3,592.7,595.15,54948,59.97
2025-06-19,596.05,603.0,582.55,585.75,36870,66.55
2025-06-20,584.0,593.95,581.85,588.65,30494,48.85
2025-06-23,588.45,593.05,583.3,589.45,25372,42.79
2025-06-24,613.0,613.0,597.75,600.85,41902,46.91
2025-06-25,600.0,612.5,600.0,609.5,25147,64.78
2025-06-26,613.9,620.45,607.7,611.15,35440,53.72
2025-06-27,613.5,617.55,606.85,607.85,26309,63.46
2025-06-30,610.45,615.95,607.3,608.95,20755,60.33
2025-07-01,614.95,620.0,608.0,609.95,19522,43.16
2025-07-02,611.1,613.95,605.7,611.8,23106,52.73
2025-07-03,614.0,617.45,609.05,610.75,16228,39.65
2025-07-04,611.1,614.2,604.05,611.8,34465,46.13
2025-07-07,615.0,617.25,603.3,604.4,18822,50.43
2025-07-08,609.4,613.0,600.0,602.9,32555,39.74
2025-07-09,602.9,608.25,600.15,603.15,16486,58.58
2025-07-10,603.55,607.25,596.75,599.95,21845,57.88
2025-07-11,596.0,601.25,592.5,595.45,25262,69.55
2025-07-14,598.45,601.25,585.1,591.25,22601,59.45
2025-07-15,597.3,598.0,591.0,595.05,12096,65.63
2025-07-16,599.35,608.9,596.4,604.8,23068,55.61
2025-07-17,610.0,610.0,600.85,602.65,15917,56.56
2025-07-18,604.05,607.8,597.0,603.95,34415,74.56
2025-07-21,609.85,609.85,603.0,605.1,11097,53.27
2025-07-22,605.7,609.0,598.0,599.55,12729,63.56
2025-07-23,604.0,604.0,595.0,598.75,13627,76.01
2025-07-24,598.75,609.9,596.6,597.25,23702,58.15
2025-07-25,597.25,601.7,588.85,590.9,21519,58.62
2025-07-28,590.9,595.0,582.15,584.45,19919,58.21
2025-07-29,593.0,595.65,585.6,591.0,9885,57.64
2025-07-30,596.65,599.85,590.05,596.2,14526,42.76
2025-07-31,604.0,604.0,587.15,591.55,17985,52.2
2025-08-01,595.95,595.95,581.0,582.7,17419,82.25
2025-08-04,579.8,583.45,576.0,577.7,41145,71.18
2025-08-05,582.95,585.15,576.9,579.9,13706,49.26
2025-08-06,580.0,586.45,578.15,582.95,15883,64.75
2025-08-07,578.0,586.0,575.05,582.15,10363,53.37
2025-08-08,585.9,599.0,581.1,588.3,32405,53.49
2025-08-11,588.3,589.95,583.8,588.5,18701,61.73
2025-08-12,587.8,596.2,587.8,589.3,10999,66.86
2025-08-13,594.85,595.3,575.85,586.0,35310,59.72
2025-08-14,589.9,602.8,577.6,580.05,48771,42.06
2025-08-18,583.0,595.4,575.0,584.35,38006,53.94
2025-08-19,592.0,592.0,575.0,579.6,28207,56.68
2025-08-20,576.0,580.0,536.4,544.0,248239,56.35
2025-08-21,545.4,566.95,545.4,557.05,96184,43.18
2025-08-22,557.0,557.0,543.0,545.2,39278,58.23
2025-08-25,546.2,552.0,539.05,540.55,35697,62.18
2025-08-26,540.0,543.1,520.3,526.25,60582,66.15
2025-08-28,526.25,528.85,513.0,514.5,53029,71.56
2025-08-29,514.6,533.9,510.1,516.65,60986,44.58
2025-09-01,519.9,532.7,519.9,529.15,27351,42.75
2025-09-02,577.7,577.7,537.1,541.55,211021,14.28
2025-09-03,546.95,556.35,545.05,546.7,33992,34.1
2025-09-04,554.8,563.5,547.15,551.6,77511,61.09
2025-09-05,553.45,556.4,547.5,550.95,17268,66.28
2025-09-08,552.5,561.0,550.0,558.0,27585,60.4
2025-09-09,554.0,559.3,552.2,554.35,16611,50.87
2025-09-10,558.45,559.75,554.3,555.25,12868,59.33
2025-09-11,555.3,561.0,550.0,552.85,15121,54.2
2025-09-12,552.85,558.75,552.85,555.4,10252,56.15
2025-09-15,553.0,563.2,553.0,555.8,13175,55.13
2025-09-16,560.0,561.9,550.0,552.9,24280,65.32
2025-09-17,554.7,558.45,551.9,552.85,20503,64.57
2025-09-18,554.9,557.65,548.15,552.75,17184,61.19
2025-09-19,553.7,556.1,551.55,553.55,12289,63.5
2025-09-22,553.0,556.4,549.0,550.0,16810,73.56
2025-09-23,551.0,555.4,548.0,549.6,5671,61.03
2025-09-24,549.3,554.45,542.0,546.7,19763,47.29
2025-09-25,547.0,552.25,545.0,546.9,8607,66.11
2025-09-26,547.1,547.95,540.0,541.45,11127,60.66
2025-09-29,549.0,549.0,540.0,540.3,6219,64.09
2025-09-30,544.7,546.25,540.4,542.2,5574,66.99
2025-10-01,546.5,553.95,541.6,550.6,16387,44.44
2025-10-03,554.9,558.8,551.5,553.55,17583,61.86
2025-10-06,559.0,575.0,556.2,563.0,222949,26.2
2025-10-07,580.0,588.0,564.4,565.9,92185,26.51
2025-10-08,566.9,568.95,551.0,552.35,45868,56.85
2025-10-09,557.0,560.0,550.0,550.65,56868,21.48
2025-10-10,551.55,566.15,543.0,557.95,59222,53.6
2025-10-13,552.9,557.35,548.0,551.3,17094,58.59
2025-10-14,552.3,556.75,542.3,543.85,14255,65.84
2025-10-15,542.3,549.3,542.0,544.35,16061,64.16
2025-10-16,545.5,556.3,545.5,548.0,11719,55.77
2025-10-17,552.9,552.9,545.75,546.75,11725,71.16
2025-10-20,547.05,557.65,546.3,550.7,15563,48.23
2025-10-21,551.05,557.25,551.05,553.05,11634,66.43
2025-10-22,551.05,557.25,551.05,553.05,11634,66.43
2025-10-23,565.0,565.0,547.05,547.35,29168,64.95
2025-10-24,547.35,553.0,545.3,549.3,11535,56.19
2025-10-27,548.0,554.8,545.2,548.25,18396,44.9
2025-10-28,549.95,556.75,548.0,549.35,14650,48.27
2025-10-29,549.0,551.95,544.75,546.25,20298,68.54
