DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-04-20,420.05,428.85,413.0,419.25,1367,79.81
2026-04-21,417.15,420.0,408.5,411.85,10639,70.85
2026-04-22,414.75,414.8,402.1,410.55,6390,61.41
2026-04-23,414.75,414.75,405.0,407.1,5472,66.67
2026-04-24,409.05,412.4,399.9,406.55,5930,79.66
2026-04-27,402.35,414.95,402.35,409.2,5980,51.05
2026-04-28,410.0,411.65,396.35,399.9,14378,80.04
2026-04-29,400.5,419.5,400.1,409.1,32279,61.45
2026-04-30,413.8,415.0,409.15,410.2,6514,59.61
2026-05-01,413.8,415.0,409.15,410.2,6514,59.61
2026-05-04,410.2,412.0,399.4,403.25,21942,67.04
2026-05-05,404.2,410.0,402.1,403.7,11577,64.0
2026-05-06,400.0,411.95,400.0,407.45,7826,47.35
2026-05-07,409.9,418.9,406.15,414.75,17636,63.33
2026-05-08,410.0,436.75,410.0,433.8,22723,84.28
2026-05-11,443.0,443.0,410.2,414.35,10751,56.14
2026-05-12,410.1,416.55,403.0,413.2,16772,65.73
2026-05-13,411.2,413.9,402.3,412.75,16560,72.55
2026-05-14,414.35,418.0,405.05,410.8,6732,60.0
2026-05-15,415.1,418.0,405.55,414.75,22760,69.97
2026-05-18,414.9,432.0,414.8,425.05,30084,56.16
2026-05-19,427.45,432.95,416.5,418.9,8924,53.37
2026-05-20,419.25,424.0,414.5,416.35,6285,60.46
2026-05-21,410.0,416.35,398.45,404.55,35306,66.31
2026-05-22,405.5,413.85,400.0,406.75,11381,55.29
2026-05-25,400.0,409.5,394.75,405.65,18924,58.81
2026-05-26,405.65,412.8,403.6,408.0,21744,80.81
2026-05-27,406.95,410.0,404.0,406.1,3979,65.92
2026-05-28,406.95,410.0,404.0,406.1,3979,65.92
2026-05-29,406.1,407.95,399.2,406.0,32366,71.96
2026-06-01,409.85,415.0,401.4,402.75,8343,56.33
2026-06-02,402.2,403.9,396.05,397.0,10036,68.92
2026-06-03,407.8,408.9,395.0,396.0,4295,51.04
2026-06-04,395.1,403.0,395.1,398.95,7489,56.52
2026-06-05,395.4,398.8,383.6,388.1,8936,63.46
2026-06-08,385.0,395.0,380.0,380.4,6868,63.92
2026-06-09,381.95,400.35,381.95,394.8,25113,50.72
2026-06-10,389.0,395.0,381.0,383.65,6783,74.51
2026-06-11,383.9,389.7,374.1,375.9,3297,68.27
2026-06-12,377.55,382.8,370.05,374.45,17308,68.8
2026-06-15,387.6,387.6,379.55,382.3,11698,75.06
2026-06-16,384.8,384.8,371.05,377.0,18948,74.87
2026-06-17,380.8,382.75,368.0,370.05,56783,82.38
2026-06-18,370.2,376.95,364.1,365.8,34672,75.11
2026-06-19,365.8,376.4,364.9,371.4,14983,69.83
2026-06-22,376.8,378.0,369.0,371.5,30390,72.41
2026-06-23,373.35,375.9,366.15,367.85,22727,73.84
2026-06-24,370.05,373.8,366.0,366.65,13660,78.2
2026-06-25,369.8,385.0,366.25,375.5,47426,69.19
2026-06-26,369.8,385.0,366.25,375.5,47426,69.19
2026-06-29,379.8,394.0,365.0,390.4,60774,56.09
2026-06-30,395.0,395.0,381.0,382.65,8182,56.64
2026-07-01,387.0,387.0,376.4,378.65,19672,80.31
2026-07-02,378.65,383.5,370.0,371.25,107037,94.99
2026-07-03,374.4,390.0,373.05,386.85,37341,65.95
2026-07-06,389.8,392.9,384.0,384.95,17714,87.93
2026-07-07,389.9,391.9,376.3,379.35,25481,68.98
2026-07-08,380.0,385.0,375.3,381.0,32298,72.99
2026-07-09,381.55,389.7,380.0,388.8,14318,72.95
2026-07-10,389.75,399.7,384.0,394.35,37749,64.62
2026-07-13,398.0,398.45,384.4,395.45,25892,56.31
2026-07-14,387.25,393.9,373.55,387.15,28788,36.3
2026-07-15,390.4,390.95,384.0,386.9,8136,62.5
2026-07-16,385.5,388.5,380.1,384.75,7460,66.78
