DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,81.75,96.8,81.75,91.07,1749165,13.7
2025-04-15,91.0,92.9,84.2,85.53,445203,27.39
2025-04-16,85.25,88.8,78.52,80.08,1086974,31.83
2025-04-17,81.0,84.26,76.5,77.88,1234931,18.96
2025-04-21,78.8,83.5,74.24,81.8,811318,18.24
2025-04-22,82.0,86.0,77.84,84.51,1093204,11.45
2025-04-23,85.8,90.9,77.15,78.27,1447375,29.46
2025-04-24,78.5,81.54,77.51,78.31,515361,26.4
2025-04-25,78.98,79.4,74.3,75.49,393274,24.76
2025-04-28,75.3,78.3,73.12,73.98,342067,23.85
2025-04-29,74.71,75.53,70.2,71.1,529904,28.43
2025-04-30,71.99,71.99,70.12,70.57,68952,46.2
2025-05-02,71.6,73.0,70.12,71.09,110394,24.47
2025-05-05,71.88,72.7,70.0,70.33,72044,34.16
2025-05-06,70.75,71.18,65.83,66.55,153787,40.79
2025-05-07,66.02,66.77,64.31,65.46,98786,31.62
2025-05-08,65.96,70.24,65.8,66.97,135720,30.49
2025-05-09,65.95,66.9,64.06,65.46,49312,35.76
2025-05-12,66.45,75.5,66.45,73.99,813329,14.91
2025-05-13,74.0,74.09,71.36,72.38,82561,36.04
2025-05-14,72.3,73.49,71.74,73.01,105740,70.14
2025-05-15,73.01,74.99,72.5,73.17,63673,37.2
2025-05-16,73.91,77.03,72.79,74.39,238376,17.47
2025-05-19,74.01,76.0,74.01,75.35,63875,46.55
2025-05-20,76.4,76.4,72.25,73.25,74912,25.21
2025-05-21,73.2,74.91,71.57,73.61,34202,34.37
2025-05-22,73.0,73.18,72.0,72.37,26568,49.72
2025-05-23,72.9,73.46,71.72,72.32,23539,58.46
2025-05-26,72.41,74.13,72.33,73.54,51534,53.79
2025-05-27,73.54,76.09,72.53,73.2,139191,75.99
2025-05-28,75.0,82.0,68.2,68.83,1311722,21.82
2025-05-29,69.45,70.81,67.2,67.72,291899,37.7
2025-05-30,67.3,68.5,65.47,67.15,144258,39.7
2025-06-02,67.16,67.9,66.02,67.31,66951,39.97
2025-06-03,68.0,69.99,65.0,65.61,641502,19.07
2025-06-04,65.9,66.82,64.7,65.32,86382,49.64
2025-06-05,65.32,74.77,59.5,59.94,1559296,25.3
2025-06-06,60.96,62.01,59.6,59.92,366915,46.24
2025-06-09,60.4,61.66,57.96,60.15,174478,49.12
2025-06-10,60.45,61.0,59.5,59.86,100635,52.8
2025-06-11,59.55,60.45,59.04,59.61,127077,46.87
2025-06-12,59.75,61.99,59.1,59.74,255442,36.8
2025-06-13,59.25,61.18,59.13,59.84,124460,36.81
2025-06-16,59.4,59.99,58.31,59.7,72354,42.18
2025-06-17,60.49,62.28,59.16,60.8,136079,45.49
2025-06-18,61.5,61.5,59.48,60.35,60511,50.73
2025-06-19,60.0,60.9,58.0,58.28,73352,56.08
2025-06-20,58.6,60.8,58.44,59.57,67935,33.69
2025-06-23,59.28,59.36,58.5,58.9,25240,54.76
2025-06-24,58.5,59.73,57.92,58.2,46755,69.07
2025-06-25,59.0,59.5,57.9,58.09,66061,59.65
2025-06-26,58.39,58.73,56.1,56.52,131305,60.44
2025-06-27,57.9,57.9,54.97,55.26,152295,54.8
2025-06-30,55.89,56.19,53.0,53.41,213503,65.68
2025-07-01,53.05,56.0,52.52,53.5,207423,45.62
2025-07-02,53.5,54.21,52.9,53.05,44571,72.6
2025-10-13,53.0,55.9,48.06,50.16,889263,22.33
2025-10-14,50.25,50.78,46.5,47.31,168378,28.56
2025-10-15,47.4,51.49,46.1,50.04,141144,57.66
2025-10-16,51.23,51.9,50.18,50.96,75729,34.14
2025-10-17,50.96,52.9,49.1,49.56,65604,33.91
2025-10-20,50.44,51.2,48.16,48.46,113108,42.66
2025-10-21,49.99,51.0,48.6,50.02,39483,30.61
2025-10-22,49.99,51.0,48.6,50.02,39483,30.61
2025-10-23,50.7,51.65,48.5,48.72,96464,37.14
2025-10-24,48.5,51.69,48.14,48.56,144339,31.83
2025-10-27,48.56,49.59,48.11,48.22,43984,38.09
2025-10-28,47.95,48.91,47.33,48.1,36819,35.31
2025-10-29,48.35,48.7,48.02,48.3,23543,24.15
2025-10-30,48.3,49.49,47.0,47.36,55235,38.76
2025-10-31,47.6,49.29,47.55,47.94,43353,53.27
2025-11-03,47.4,48.23,47.11,47.17,16941,63.61
2025-11-04,46.55,47.79,46.55,46.83,13168,70.09
2025-11-05,46.55,47.79,46.55,46.83,13168,70.09
2025-11-06,46.6,46.7,44.0,44.29,51478,70.58
2025-11-07,44.73,44.73,43.5,43.73,27275,77.81
2025-11-10,43.73,44.37,43.43,43.52,12975,79.01
2025-11-11,44.39,44.74,43.05,43.45,9679,70.32
2025-11-12,45.1,45.1,42.9,43.7,20857,64.39
2025-11-13,43.9,44.89,43.25,43.91,8660,51.18
2025-11-14,44.0,45.47,42.95,44.25,17537,54.2
2025-11-17,44.25,48.0,42.6,43.2,37545,75.96
2025-11-18,43.2,44.0,42.1,43.11,27259,45.67
2025-11-19,42.5,43.49,41.7,41.92,84866,84.1
2025-11-20,43.0,43.0,41.0,41.29,28641,71.99
2025-11-21,41.98,41.98,40.0,40.29,102981,80.71
2025-11-24,40.0,41.18,39.0,39.81,22396,76.07
2025-11-25,40.2,41.2,39.81,40.04,10839,80.92
2025-11-26,40.04,41.14,40.0,40.14,20139,81.13
2025-11-27,41.0,41.0,40.12,40.34,7500,67.84
2025-11-28,40.4,40.84,39.75,40.35,12000,81.13
2025-12-01,40.61,40.99,39.5,40.11,9668,89.36
2025-12-02,40.11,40.9,39.1,39.68,73103,38.16
2025-12-03,40.67,40.69,38.7,39.04,36137,56.33
2025-12-04,40.0,40.61,38.1,39.45,33937,52.67
2025-12-05,38.6,39.99,38.5,39.08,8687,57.07
2025-12-08,39.7,41.31,38.1,39.19,28586,73.42
2025-12-09,39.65,40.5,37.91,38.76,38183,65.09
2025-12-10,38.6,39.51,38.6,38.82,7201,82.75
2025-12-11,39.4,39.4,38.5,38.66,8103,73.91
2025-12-12,39.16,40.5,38.55,39.01,12561,56.64
2025-12-15,39.2,40.0,38.05,38.87,42292,89.29
2025-12-16,39.0,39.0,38.22,38.78,6607,64.13
2025-12-17,38.4,38.87,38.1,38.14,5636,71.45
2025-12-18,37.5,38.76,37.5,38.1,9482,67.51
2025-12-19,38.1,42.49,38.08,39.61,300701,30.81
2025-12-22,40.0,40.5,39.29,39.97,35355,76.39
2025-12-23,40.25,45.3,40.24,40.64,762268,16.41
2025-12-24,40.99,40.99,39.71,39.84,31468,58.74
2025-12-25,40.99,40.99,39.71,39.84,31468,58.74
2025-12-26,40.0,43.9,38.77,39.83,498294,15.47
2025-12-29,39.67,40.2,39.11,39.28,40260,71.95
2025-12-30,39.39,40.18,39.05,39.14,23669,42.96
2025-12-31,39.14,41.95,38.13,38.75,283482,17.83
2026-01-01,39.0,39.6,39.0,39.11,12006,46.76
2026-01-02,39.31,40.89,39.06,39.62,212654,12.87
2026-01-05,39.99,39.99,37.76,38.09,183434,33.02
2026-01-06,38.0,38.65,37.7,37.87,31566,33.07
2026-01-07,38.09,38.9,37.87,37.99,34639,51.08
2026-01-08,38.4,38.49,37.03,37.34,35296,55.05
2026-01-09,37.6,37.6,36.05,36.3,31526,57.13
2026-01-12,36.1,37.99,34.11,34.69,53084,51.54
2026-01-13,35.5,35.85,34.8,35.07,21176,66.8
2026-01-14,35.22,35.38,33.6,33.97,58966,65.64
2026-01-15,35.22,35.38,33.6,33.97,58966,65.64
2026-01-16,33.9,36.48,33.9,34.05,164171,34.82
2026-01-19,34.05,34.29,33.1,33.75,17347,74.27
2026-01-20,33.06,33.5,32.55,33.05,31262,59.13
2026-01-21,33.7,36.36,32.12,32.65,335767,13.9
2026-01-22,33.0,34.88,32.5,33.32,396374,3.83
2026-01-23,33.36,33.99,32.51,33.06,27885,78.9
2026-01-26,33.36,33.99,32.51,33.06,27885,78.9
2026-01-27,33.49,33.49,32.5,32.83,34007,68.45
2026-01-28,33.01,33.28,32.55,32.83,17569,62.84
2026-01-29,32.8,33.94,32.8,33.17,79366,10.06
2026-01-30,33.11,33.44,32.54,32.79,18112,27.57
2026-02-02,31.32,31.45,30.32,30.84,24213,50.8
2026-02-03,31.92,31.96,31.03,31.36,142589,25.05
2026-02-04,31.69,33.89,31.31,33.2,277307,14.05
2026-02-05,33.2,33.92,33.1,33.48,30238,48.16
2026-02-06,33.48,35.5,33.47,34.15,49616,16.93
2026-02-09,34.65,35.5,32.55,33.32,147386,32.06
2026-02-10,33.76,34.92,32.13,32.56,132624,26.88
2026-02-11,32.56,32.64,32.0,32.15,23706,58.43
2026-02-12,32.25,32.95,32.07,32.86,27354,74.67
2026-02-13,32.87,32.87,32.11,32.65,17667,84.73
2026-02-16,32.65,32.7,30.7,31.55,57840,46.63
2026-02-17,32.4,32.4,30.75,30.91,77450,74.46
2026-02-18,31.53,31.53,30.11,30.71,66723,54.19
2026-02-19,30.95,30.95,30.0,30.18,36259,37.86
2026-02-20,30.19,30.21,29.0,29.19,60110,67.06
2026-02-23,32.0,32.0,29.1,29.27,24915,36.44
2026-02-24,29.42,29.52,28.9,28.99,20098,71.39
2026-02-25,29.49,30.17,27.51,27.88,53457,54.51
2026-02-26,27.88,29.0,27.05,27.62,69992,44.1
2026-02-27,27.87,28.13,26.82,27.36,51788,45.73
2026-03-02,26.29,26.77,25.0,25.83,36866,57.99
2026-03-03,26.29,26.77,25.0,25.83,36866,57.99
2026-03-04,25.3,25.83,24.7,24.78,32333,79.51
2026-03-05,27.5,27.5,24.4,24.6,46393,56.56
2026-03-06,24.6,25.94,22.15,22.8,89864,73.26
2026-03-09,23.0,23.6,22.15,23.18,34121,66.3
2026-03-10,23.59,23.6,22.21,22.64,36930,63.49
2026-03-11,23.99,27.16,22.52,25.64,211154,39.33
2026-03-12,25.9,26.49,25.03,25.55,24125,55.94
2026-03-13,25.04,26.19,24.1,24.28,20123,64.69
2026-03-16,28.79,28.79,21.71,22.42,299674,37.34
2026-03-17,23.45,23.45,20.72,21.39,202393,35.7
2026-03-18,21.64,23.84,21.53,22.21,152041,33.82
2026-03-19,22.99,22.99,20.48,20.94,142796,34.62
2026-03-20,22.0,22.14,20.7,20.99,56200,70.25
2026-03-23,21.09,21.69,19.48,19.63,92198,83.32
2026-03-24,20.31,22.76,19.1,21.04,184906,76.37
2026-03-25,21.9,22.75,21.89,22.28,92484,62.69
2026-03-26,21.9,22.75,21.89,22.28,92484,62.69
2026-03-27,21.35,21.99,19.21,19.49,265593,80.45
2026-03-30,19.77,19.77,18.12,18.53,198652,89.72
2026-03-31,19.77,19.77,18.12,18.53,198652,89.72
2026-04-01,19.9,20.89,19.4,20.35,39991,67.32
2026-04-02,19.95,21.75,19.76,20.84,122711,57.77
2026-04-03,19.95,21.75,19.76,20.84,122711,57.77
2026-04-06,20.8,22.25,20.66,21.57,132881,79.76
2026-04-07,21.5,25.88,21.48,25.88,172166,59.88
2026-04-08,28.99,31.05,28.15,29.13,974321,37.28
