DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,75.07,75.99,72.92,75.12,5233,50.58
2025-04-15,75.72,77.9,75.51,76.22,8382,60.4
2025-04-16,75.69,78.59,75.69,77.32,5426,67.07
2025-04-17,77.32,77.72,75.62,76.77,5489,57.59
2025-04-21,76.77,80.0,76.77,78.94,12453,84.37
2025-04-22,79.37,82.0,78.15,80.12,11515,45.31
2025-04-23,81.94,81.94,78.3,80.05,10415,73.81
2025-04-24,78.55,80.99,78.55,79.99,8241,67.94
2025-04-25,80.4,82.0,76.05,77.96,10031,56.88
2025-04-28,77.0,85.0,74.82,79.67,11636,67.65
2025-04-29,78.55,80.1,76.33,77.12,8693,46.49
2025-04-30,78.28,78.79,75.51,75.85,4340,70.21
2025-05-02,76.0,77.98,75.99,76.65,3031,66.25
2025-05-05,78.0,81.0,77.01,78.76,36726,49.96
2025-05-06,79.9,81.0,76.58,77.37,26485,62.43
2025-05-07,76.75,79.5,75.01,75.86,16852,38.08
2025-05-08,76.99,78.39,75.86,76.42,5735,54.54
2025-05-09,74.0,75.0,72.41,73.79,8433,63.42
2025-05-12,79.89,79.89,75.22,76.0,10955,53.16
2025-05-13,75.14,77.79,75.14,76.95,7075,69.99
2025-05-14,78.5,78.98,76.1,76.94,10922,60.48
2025-05-15,78.0,79.48,77.79,78.5,15705,59.15
2025-05-16,77.15,80.0,77.15,79.43,26502,63.53
2025-05-19,80.2,81.0,79.51,80.33,14221,53.46
2025-05-20,80.61,82.76,79.2,81.09,46363,52.54
2025-05-21,81.0,85.71,79.41,84.36,48078,54.0
2025-05-22,81.5,84.1,81.5,82.79,6853,64.77
2025-05-23,82.78,83.78,81.03,82.07,14194,47.44
2025-05-26,82.07,84.05,82.07,83.24,15317,64.04
2025-05-27,82.07,84.3,79.95,80.42,49725,43.19
2025-05-28,81.6,81.99,80.01,80.53,15784,63.2
2025-05-29,81.7,84.06,78.5,80.11,38879,57.29
2025-05-30,79.5,81.09,79.05,79.31,17360,54.48
2025-06-02,79.3,80.09,77.82,78.54,14271,60.77
2025-06-03,78.82,80.0,78.26,78.71,19942,51.99
2025-06-04,77.26,80.57,77.26,80.01,13788,70.84
2025-06-05,80.48,82.45,80.0,81.36,28074,53.72
2025-06-06,82.85,93.5,82.6,88.24,320035,26.98
2025-06-09,89.8,91.9,88.31,89.51,49533,58.7
2025-06-10,89.51,89.63,87.6,87.89,16756,62.78
2025-06-11,89.24,90.47,87.81,88.1,9827,61.34
2025-06-12,89.88,91.95,86.0,86.98,54201,32.21
2025-06-13,86.5,93.59,82.96,89.43,99453,30.75
2025-06-16,91.2,91.2,85.8,87.53,24092,55.66
2025-06-17,87.53,95.67,87.53,93.81,221769,32.77
2025-06-18,94.0,96.8,91.93,94.25,103287,60.04
2025-06-19,92.4,96.1,87.1,88.53,86521,36.42
2025-06-20,88.9,90.1,87.25,87.94,15126,55.02
2025-06-23,89.7,89.88,87.01,87.54,26099,64.9
2025-06-24,90.5,90.5,88.16,89.48,13817,50.97
2025-06-25,89.04,92.5,89.0,90.65,40815,45.18
2025-06-26,90.3,92.45,83.36,85.73,62942,61.53
