DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,570.0,580.1,562.95,570.85,53647,58.55
2025-04-15,574.05,615.9,574.05,610.1,68293,50.99
2025-04-16,610.5,631.0,600.0,623.25,35430,48.21
2025-04-17,625.2,625.2,612.25,613.95,15212,49.01
2025-04-21,613.95,642.8,606.75,633.9,75814,39.42
2025-04-22,632.0,656.5,618.05,635.2,332874,41.23
2025-04-23,635.0,655.8,632.2,646.2,169445,31.65
2025-04-24,646.2,655.75,639.0,640.35,43661,36.3
2025-04-25,647.9,648.05,614.0,617.15,53969,46.07
2025-04-28,620.95,626.8,610.4,619.1,16247,49.28
2025-04-29,628.4,628.4,609.25,612.1,15999,48.05
2025-04-30,616.3,616.3,600.85,602.4,14889,46.65
2025-05-02,598.0,604.8,586.0,588.7,26772,47.12
2025-05-05,588.9,589.2,581.0,584.4,13102,52.79
2025-05-06,592.6,592.6,557.2,561.5,36643,51.69
2025-05-07,550.0,593.8,550.0,569.0,58028,36.22
2025-05-08,573.55,573.55,542.2,552.2,19778,31.93
2025-05-09,543.0,570.0,533.3,556.1,31585,36.32
2025-05-12,567.2,600.8,554.0,559.5,68052,46.46
2025-05-13,559.5,585.0,559.5,572.55,36642,36.74
2025-05-14,567.2,590.4,565.15,573.05,71845,34.55
2025-05-15,575.5,595.5,568.2,588.55,150226,79.5
2025-05-16,588.75,598.0,582.0,593.15,29722,51.2
2025-05-19,593.15,606.85,589.55,603.05,38677,38.55
2025-05-20,599.8,629.5,598.2,616.55,64651,54.47
2025-05-21,618.0,619.3,604.0,608.3,32633,44.76
2025-05-22,614.4,668.0,605.5,625.45,656496,16.83
2025-05-23,629.0,662.45,626.95,642.0,287871,25.45
2025-05-26,647.15,652.55,607.5,609.7,112882,59.27
2025-05-27,610.0,610.05,584.7,596.5,124402,58.37
2025-05-28,599.0,619.65,591.85,607.65,45686,35.88
2025-05-29,612.65,616.3,601.0,603.6,22312,39.88
2025-05-30,603.7,609.4,596.1,598.2,19256,43.75
2025-06-02,590.05,613.0,590.05,594.9,38898,54.08
2025-06-03,592.0,607.45,592.0,602.55,21811,37.67
2025-06-04,602.55,605.8,590.4,592.7,32489,56.23
2025-06-05,590.0,605.0,590.0,595.95,13771,43.82
2025-06-06,595.95,605.05,591.2,592.9,18979,52.88
2025-06-09,590.25,598.95,588.05,590.8,26613,53.74
2025-06-10,590.8,622.8,590.8,613.65,58630,43.76
2025-06-11,616.0,658.8,615.0,647.55,336829,50.41
2025-06-12,648.0,666.6,625.0,630.5,125279,43.74
2025-06-13,625.0,626.1,603.6,606.1,100232,46.85
2025-06-16,606.95,610.9,597.05,601.65,40011,47.91
2025-06-17,606.0,607.55,587.0,589.8,54433,52.61
2025-06-18,594.8,598.0,569.1,574.1,46917,56.46
2025-06-19,578.0,578.0,550.1,570.15,88275,46.03
2025-06-20,570.15,588.05,564.3,586.35,33119,47.2
2025-06-23,577.55,592.0,576.3,589.15,31355,44.15
2025-06-24,589.85,596.8,588.2,590.95,16395,43.71
2025-06-25,590.95,602.2,590.95,600.2,27734,67.71
2025-06-26,602.7,605.05,595.1,599.9,25155,73.35
2025-06-27,600.0,603.25,589.25,591.9,32424,73.14
2025-06-30,591.9,597.15,586.85,589.3,13365,49.49
2025-07-01,594.6,599.9,585.8,594.2,25950,54.56
2025-07-02,594.2,595.1,585.0,587.1,14659,49.42
2025-07-03,587.1,592.8,582.35,584.2,23214,54.85
2025-07-04,586.2,615.0,584.0,595.9,151303,48.14
2025-07-07,597.0,616.6,594.5,601.4,119742,70.62
2025-07-08,601.4,613.4,594.25,599.05,62452,63.27
2025-07-09,600.05,609.9,592.05,605.05,25781,49.75
2025-07-10,605.05,605.4,595.25,597.4,11384,58.63
2025-07-11,597.4,601.45,588.0,590.85,17355,62.76
2025-07-14,590.85,611.1,585.1,608.85,41257,51.39
2025-07-15,613.7,621.4,585.0,598.0,135253,32.58
2025-07-16,597.0,657.0,597.0,645.5,361817,34.88
2025-07-17,645.0,652.5,628.1,630.9,50886,51.27
2025-07-18,631.2,636.95,621.5,627.7,20947,44.77
2025-07-21,634.0,634.0,616.8,624.4,24517,56.35
2025-07-22,625.0,649.35,621.0,640.95,48650,57.19
2025-07-23,644.0,657.95,635.55,638.3,65248,57.0
2025-07-24,642.05,649.0,628.5,633.75,18010,54.21
2025-07-25,633.75,644.45,624.5,634.1,35232,45.17
2025-07-28,632.0,636.35,615.25,622.6,14281,63.42
2025-07-29,620.0,632.0,610.25,626.5,34550,60.18
2025-07-30,631.8,647.0,617.1,619.85,39875,42.24
2025-07-31,596.05,635.0,596.0,623.45,55478,23.07
2025-08-01,629.7,629.7,602.75,607.4,22252,67.62
2025-08-04,608.05,620.0,552.8,562.15,299139,28.36
2025-08-05,559.0,569.6,534.0,539.55,121383,39.5
2025-08-06,538.8,560.05,514.2,535.65,84742,38.6
2025-08-07,534.0,534.0,514.2,519.15,71129,71.83
2025-08-08,520.0,525.0,495.0,497.95,30886,52.99
