DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,194.0,195.0,189.0,191.61,567,69.14
2025-04-15,197.99,197.99,188.56,192.23,1394,74.89
2025-04-16,196.5,196.5,188.25,192.32,1508,62.07
2025-04-17,196.39,196.39,191.1,195.59,1296,65.35
2025-04-21,198.7,199.3,191.4,196.59,1568,69.71
2025-04-22,195.0,208.0,195.0,199.6,2538,54.57
2025-04-23,200.06,204.9,197.55,203.64,2563,84.55
2025-04-24,198.01,203.0,198.01,200.01,467,67.45
2025-04-25,198.0,208.99,195.3,201.08,1580,67.41
2025-04-28,201.0,205.0,195.0,200.0,1004,63.65
2025-04-29,199.0,202.79,196.5,200.18,693,53.82
2025-04-30,200.0,200.0,191.0,193.98,1395,78.28
2025-05-02,195.0,197.99,190.0,192.96,3635,34.75
2025-05-05,192.0,203.79,189.01,198.36,3299,41.19
2025-05-06,196.0,210.0,194.43,199.17,4231,40.96
2025-05-07,188.0,204.85,188.0,201.0,1892,57.35
2025-05-08,200.9,209.4,195.41,203.06,2998,66.31
2025-05-09,201.99,202.99,192.99,196.71,5191,32.63
2025-05-12,199.01,214.0,197.52,210.05,5969,67.23
2025-05-13,207.5,226.79,205.2,222.4,11697,57.42
2025-05-14,225.7,230.0,215.5,229.77,5107,67.97
2025-05-15,229.89,236.99,221.0,234.49,9584,51.4
2025-05-16,234.95,235.01,228.0,231.92,2974,44.65
2025-05-19,231.92,242.0,225.0,235.12,6496,38.5
2025-05-20,235.0,239.96,228.65,236.67,5719,30.46
2025-05-21,237.0,239.9,230.2,238.0,3428,48.86
2025-05-22,235.0,240.0,234.99,239.17,2188,80.48
2025-05-23,242.0,274.85,241.01,251.93,29329,34.1
2025-05-26,244.15,258.29,244.0,247.97,4606,31.72
2025-05-27,244.59,254.6,241.02,251.48,4822,54.0
2025-05-28,254.0,257.99,247.0,255.29,3378,84.04
2025-05-29,252.0,254.01,235.94,237.94,6415,76.07
2025-05-30,237.94,237.94,233.11,234.56,1105,59.82
2025-06-02,225.93,233.0,224.47,230.05,1821,73.92
2025-06-03,240.01,276.06,240.01,251.44,153587,21.41
2025-06-04,250.05,257.59,241.01,243.49,14144,52.7
2025-06-05,241.08,262.78,241.08,256.78,17198,43.36
2025-06-06,257.0,262.89,251.0,253.28,9402,43.08
2025-06-09,250.0,261.98,239.89,243.77,14982,55.71
2025-06-10,241.0,249.9,241.0,245.39,11295,29.85
2025-06-11,247.85,259.01,242.85,255.12,15822,36.58
2025-06-12,251.0,261.0,246.0,255.53,13981,42.48
2025-06-13,255.0,258.0,246.7,248.41,8332,20.49
2025-06-16,248.5,254.85,242.01,247.4,14751,15.53
2025-06-17,250.02,253.25,244.0,245.1,1244,36.82
2025-06-18,251.01,251.96,242.9,244.73,7750,20.8
2025-06-19,243.01,250.0,236.0,238.55,5987,57.41
2025-06-20,235.0,247.0,230.13,239.98,10640,30.87
2025-06-23,233.37,243.31,233.0,236.94,4827,26.54
2025-06-24,239.97,249.77,234.06,235.93,15616,21.14
2025-06-25,236.01,242.99,236.0,239.18,1944,51.03
2025-06-26,243.0,246.8,240.0,240.04,8212,87.21
2025-06-27,239.79,242.5,239.79,241.24,356,33.99
2025-06-30,240.35,246.5,237.54,241.82,5893,32.53
2025-07-01,243.98,246.0,241.6,242.98,1208,50.41
2025-07-02,249.45,291.57,248.99,291.57,256706,28.51
2025-07-03,307.0,333.4,305.05,326.99,445340,19.98
2025-07-04,320.0,323.64,311.0,320.38,53133,38.74
2025-07-07,322.99,322.99,300.0,302.51,17521,38.72
2025-10-13,268.55,307.65,268.55,297.25,113403,29.33
2025-10-14,297.0,297.05,269.0,277.2,12075,45.35
2025-10-15,275.85,277.95,268.0,270.05,2696,54.78
2025-10-16,270.05,299.0,268.05,272.4,27998,27.92
2025-10-17,273.95,283.0,273.95,276.95,4417,63.32
2025-10-20,277.05,286.0,261.25,278.7,5484,59.17
2025-10-21,275.0,286.0,272.0,285.05,2769,85.45
2025-10-22,275.0,286.0,272.0,285.05,2769,85.45
2025-10-23,282.3,295.0,271.05,275.65,7942,53.01
2025-10-24,275.0,279.9,263.15,265.35,3746,73.89
2025-10-27,265.3,276.7,265.0,272.1,4802,61.58
2025-10-28,271.95,271.95,264.05,265.9,4883,72.84
2025-10-29,265.0,292.0,265.0,274.6,25401,24.32
2025-10-30,276.0,287.55,276.0,281.55,11323,46.03
2025-10-31,281.55,284.95,271.05,274.55,5631,45.94
2025-11-03,277.0,285.0,270.4,282.25,4957,53.94
2025-11-04,279.7,281.85,275.1,278.8,1198,43.41
2025-11-05,279.7,281.85,275.1,278.8,1198,43.41
2025-11-06,275.05,277.95,267.0,272.55,2140,45.98
2025-11-07,275.95,275.95,265.0,268.65,2328,51.93
2025-11-10,274.95,275.0,262.1,265.8,12575,42.97
2025-11-11,270.3,270.85,264.1,266.5,1299,58.51
2025-11-12,274.95,274.95,252.05,260.25,4225,60.26
2025-11-13,260.3,264.0,232.35,239.9,18356,54.9
2025-11-14,239.9,245.75,235.05,242.85,2050,69.37
2025-11-17,245.1,245.7,239.45,239.8,1457,58.68
2025-11-18,236.0,239.25,236.0,237.5,1050,64.29
2025-11-19,239.55,240.55,234.3,238.95,1958,55.77
2025-11-20,236.3,242.05,234.5,235.1,803,52.8
2025-11-21,236.35,248.25,235.35,245.1,2431,69.93
2025-11-24,245.1,254.0,233.85,251.75,7529,72.88
2025-11-25,259.2,266.8,240.0,262.95,10066,68.39
2025-11-26,275.0,295.0,275.0,278.95,82095,32.96
2025-11-27,281.85,282.15,263.1,265.55,8025,55.89
2025-11-28,278.5,278.5,262.55,262.95,5507,46.0
2025-12-01,262.6,270.2,252.4,255.75,3624,69.45
2025-12-02,259.5,259.5,245.25,248.55,4337,70.39
2025-12-03,248.5,248.5,231.25,240.45,3353,75.87
2025-12-04,238.0,245.75,235.5,239.0,1177,66.44
2025-12-05,244.95,283.6,231.5,262.5,31096,26.62
2025-12-08,262.0,265.7,237.0,243.9,8587,38.6
2025-12-09,254.95,254.95,234.9,243.55,3917,64.51
2025-12-10,243.55,246.7,232.0,234.3,5392,80.86
2025-12-11,239.85,248.95,233.55,242.95,1425,59.58
2025-12-12,241.0,245.95,234.0,240.25,1774,68.38
2025-12-15,240.0,244.2,235.85,241.1,4022,40.6
2025-12-16,241.0,247.7,237.55,240.75,4262,75.41
2025-12-17,245.0,245.8,232.0,233.6,12129,50.14
2025-12-18,235.95,235.95,224.55,228.25,2567,74.56
2025-12-19,222.5,234.95,222.5,226.2,2429,62.25
2025-12-22,233.0,235.8,226.15,231.35,3620,45.47
2025-12-23,239.8,239.8,228.1,231.45,6491,37.61
2025-12-24,230.0,235.7,230.0,234.45,1442,53.74
2025-12-25,230.0,235.7,230.0,234.45,1442,53.74
2025-12-26,236.95,238.35,231.0,232.1,2996,52.57
2025-12-29,233.1,237.05,224.1,225.45,3823,33.14
2025-12-30,221.05,233.45,217.5,221.65,5949,49.13
2025-12-31,225.0,225.0,218.0,223.9,1436,65.46
2026-01-01,223.9,225.2,220.2,221.77,2813,86.88
2026-01-02,227.0,227.0,211.5,223.97,3458,67.87
2026-01-05,222.5,233.0,220.06,224.14,3975,63.09
2026-01-06,224.65,230.2,219.6,220.38,2172,85.77
2026-01-07,220.38,230.0,217.86,221.39,2293,65.68
2026-01-08,229.95,229.95,216.02,218.69,1075,56.19
2026-01-09,225.0,228.57,207.1,208.21,2621,74.09
2026-01-12,215.0,215.0,200.1,204.73,2706,50.52
2026-01-13,200.51,209.37,200.51,201.6,1165,62.66
2026-01-14,202.67,207.9,200.1,200.57,1680,77.74
2026-01-15,202.67,207.9,200.1,200.57,1680,77.74
2026-01-16,201.8,208.93,195.0,200.69,1050,58.1
2026-01-19,209.85,209.85,193.0,199.38,2694,70.6
2026-01-20,195.11,195.99,185.1,188.53,1934,93.28
2026-01-21,185.01,193.49,180.6,190.55,1787,63.96
2026-01-22,188.0,198.51,188.0,197.69,303,74.92
2026-01-23,185.01,198.88,185.01,196.44,363,69.97
2026-01-26,185.01,198.88,185.01,196.44,363,69.97
2026-01-27,196.44,198.0,182.0,191.09,2963,56.09
2026-01-28,190.0,198.0,183.4,194.01,1289,73.16
2026-01-29,195.0,195.0,189.0,191.5,1611,58.16
2026-01-30,192.0,199.4,185.3,191.3,594,77.95
2026-02-02,190.0,198.98,186.08,190.12,414,69.81
2026-02-03,190.6,195.58,186.0,192.22,2088,67.96
2026-02-04,192.22,194.4,188.51,191.79,322,82.92
2026-02-05,191.79,195.4,189.0,193.62,474,59.49
2026-02-06,193.5,205.4,193.06,201.66,13257,90.67
