DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,824.57,827.26,815.82,821.32,2625,79.35
2025-04-15,827.01,838.28,827.0,834.05,1798,75.97
2025-04-16,841.9,841.9,832.98,838.45,2917,94.17
2025-04-17,838.45,857.52,835.23,856.37,1826,84.88
2025-04-21,864.47,867.72,855.01,864.57,2605,61.27
2025-04-22,860.35,872.89,859.61,868.14,927,69.47
2025-04-23,868.64,874.9,863.91,870.74,1111,69.22
2025-04-24,870.76,872.48,866.57,868.33,633,78.67
2025-04-25,868.0,872.15,855.0,861.66,853,83.0
2025-04-28,861.66,875.0,861.66,872.98,2303,83.93
2025-04-29,872.98,879.81,871.4,875.7,1474,52.65
2025-04-30,875.4,877.4,871.24,874.44,2520,78.81
2025-05-02,866.1,885.01,866.1,875.99,2478,83.29
2025-05-05,882.98,885.9,874.72,880.72,1465,84.37
2025-05-06,879.5,880.41,874.82,879.83,1963,73.82
2025-05-07,880.0,881.6,873.16,878.08,893,75.59
2025-05-08,879.39,881.9,873.02,874.73,873,78.12
2025-05-09,870.1,871.0,862.0,866.8,1448,81.63
2025-05-12,886.98,899.51,877.65,895.48,5140,82.74
2025-05-13,885.02,895.0,881.45,884.93,3802,60.78
2025-05-14,889.35,891.05,880.21,883.73,1978,75.13
2025-05-15,883.6,900.26,881.75,899.92,3644,86.72
2025-05-16,904.41,907.0,894.99,897.78,7164,96.86
2025-05-19,897.78,904.2,888.1,894.16,6006,92.42
2025-05-20,901.7,901.7,884.0,886.34,894,95.41
2025-05-21,893.1,893.1,879.69,890.47,1093,62.03
2025-05-22,885.85,885.92,878.95,883.55,1409,92.55
2025-05-23,889.8,893.0,877.7,892.05,940,53.94
2025-05-26,899.98,900.0,886.87,894.59,1396,72.71
2025-05-27,899.98,899.98,884.09,891.24,2215,65.87
2025-05-28,898.44,898.44,885.0,889.34,702,92.17
2025-05-29,898.23,898.23,885.0,889.47,635,92.6
2025-05-30,886.44,895.47,885.21,888.67,423,78.49
2025-06-02,895.0,895.24,882.0,889.63,1072,85.63
2025-06-03,896.3,896.3,881.51,883.2,1348,66.91
2025-06-04,889.82,891.0,882.34,884.96,1386,73.81
2025-06-05,884.96,895.0,884.96,889.58,357,56.02
2025-06-06,892.63,898.0,887.03,897.13,585,85.64
2025-06-09,901.61,903.8,895.06,899.69,1468,91.49
2025-06-10,908.47,908.47,896.51,901.55,831,59.09
2025-06-11,894.7,907.3,894.7,899.62,380,63.95
2025-06-12,905.3,906.98,889.86,894.54,1070,85.33
2025-06-13,891.9,891.9,882.04,887.42,2713,93.0
2025-06-16,894.98,895.33,884.5,893.24,1170,61.45
2025-06-17,893.07,897.85,888.58,893.34,737,57.8
2025-06-18,895.6,899.9,886.18,887.8,3927,90.3
2025-06-19,880.25,893.98,880.25,888.42,530,76.98
2025-06-20,894.25,900.0,894.25,899.88,1202,77.12
2025-06-23,900.0,900.0,890.5,896.46,4606,93.96
2025-06-24,905.42,907.0,895.5,898.59,25904,87.16
2025-06-25,900.36,904.8,899.63,902.23,999,83.98
2025-06-26,905.0,915.0,905.0,913.93,2108,57.16
2025-06-27,913.34,939.7,908.45,922.35,1646,80.74
2025-06-30,923.8,923.82,915.0,918.47,4364,98.35
2025-07-01,915.0,926.48,911.5,917.56,1713,75.66
2025-07-02,917.9,918.29,909.24,915.45,796,91.08
