DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,80.13,82.37,79.73,81.09,1773,70.45
2025-04-15,82.66,83.55,81.14,83.06,7043,82.11
2025-04-16,82.99,83.89,82.99,83.54,3766,67.74
2025-04-17,83.4,84.52,81.89,84.06,6567,94.85
2025-04-21,84.0,86.19,82.48,85.85,11069,73.85
2025-04-22,86.27,86.68,86.12,86.55,3606,75.29
2025-04-23,86.55,88.37,85.83,86.72,8629,63.78
2025-04-24,87.19,87.19,86.53,86.96,2093,75.68
2025-04-25,87.4,87.4,84.01,84.75,5975,85.57
2025-04-28,85.17,85.49,84.55,85.45,3549,65.65
2025-04-29,85.02,86.1,85.02,85.3,4925,60.08
2025-04-30,85.3,85.61,84.63,84.97,1315,71.18
2025-05-02,84.96,85.98,84.12,84.79,1419,79.56
2025-05-05,85.69,86.29,85.28,85.8,2039,64.84
2025-05-06,86.23,86.23,83.78,83.89,3839,54.73
2025-05-07,83.05,84.9,82.35,84.74,2721,54.72
2025-05-08,85.79,85.8,82.39,83.08,3588,64.77
2025-05-09,83.3,83.61,81.1,82.92,3472,72.84
2025-05-12,84.96,86.39,84.53,86.08,16322,89.85
2025-05-13,86.12,86.6,85.71,86.19,3462,86.6
2025-05-14,85.98,89.07,85.98,87.58,5667,53.19
2025-05-15,86.22,87.97,85.41,87.46,3712,73.68
2025-05-16,87.9,88.17,87.71,88.08,1476,91.67
2025-05-19,88.52,89.09,86.32,88.52,6159,65.63
2025-05-20,87.19,89.29,86.99,87.2,4182,79.2
2025-05-21,87.2,88.69,86.36,87.73,1783,48.01
2025-05-22,87.73,88.52,86.55,87.28,1495,61.34
2025-05-23,87.28,88.42,85.1,87.53,2784,60.06
2025-05-26,87.54,88.9,87.53,88.36,5705,46.36
2025-05-27,91.45,91.45,87.95,88.47,2965,82.39
2025-05-28,88.47,88.91,87.87,88.29,2164,80.78
2025-05-29,87.27,89.48,87.14,88.17,4765,66.11
2025-05-30,88.12,88.49,87.68,88.22,3664,77.89
2025-06-02,88.22,89.08,87.87,88.67,4802,87.23
2025-06-03,89.9,89.9,87.91,88.11,8438,92.11
2025-06-04,88.55,90.5,87.55,88.75,2231,66.47
2025-06-05,86.97,89.34,86.97,88.62,3933,66.49
2025-06-06,90.83,90.83,88.17,89.67,5605,86.39
2025-06-09,88.07,91.18,88.07,91.13,17347,62.24
2025-06-10,92.04,92.19,89.79,90.84,16778,56.97
2025-06-11,91.77,91.77,90.61,90.91,12303,85.3
2025-06-12,90.9,90.91,89.48,89.66,6382,86.43
2025-06-13,89.59,89.59,88.25,88.93,5906,74.55
2025-06-16,87.08,89.51,87.08,89.4,5100,80.37
2025-06-17,88.54,89.8,88.11,89.08,3960,60.43
2025-06-18,91.3,91.3,88.25,89.12,2165,97.92
2025-06-19,89.11,89.35,87.4,87.47,4771,93.54
2025-06-20,88.89,88.89,86.99,88.55,2907,55.35
2025-06-23,89.07,89.07,87.71,88.65,1678,58.76
2025-06-24,86.43,89.77,86.43,89.19,5037,65.67
2025-06-25,89.64,90.0,89.21,89.65,2734,90.71
2025-06-26,90.09,90.66,89.02,90.35,5491,81.61
2025-06-27,90.15,91.25,89.06,91.11,6208,84.66
2025-06-30,91.89,91.9,90.89,91.36,4089,69.26
2025-07-01,90.96,91.84,90.91,91.2,1230,70.81
2025-07-02,91.25,91.4,90.57,90.97,2143,81.8
2025-07-03,90.97,91.79,90.69,90.99,1678,82.9
2025-07-04,91.79,91.79,90.69,90.88,4344,84.99
2025-07-07,91.89,91.89,90.77,91.11,7452,89.22
2025-07-08,90.31,91.9,89.78,91.01,3184,75.63
2025-07-09,91.0,91.86,90.69,91.05,5286,88.93
2025-07-10,91.5,91.61,90.31,90.69,1295,90.73
2025-07-11,89.06,91.29,89.06,89.75,4619,88.37
2025-07-14,91.57,91.57,89.55,90.2,3126,70.28
2025-07-15,90.2,90.95,90.08,90.92,1907,92.34
2025-07-16,90.56,91.15,90.55,91.09,3499,80.85
2025-07-17,91.54,91.54,90.63,90.9,2029,84.82
2025-07-18,90.91,91.32,90.17,90.31,2521,85.68
2025-07-21,90.5,91.97,89.75,90.31,4836,72.95
2025-07-22,88.96,91.34,88.96,90.12,2178,75.34
2025-07-23,90.01,91.27,90.0,90.38,1455,72.37
2025-07-24,90.07,90.44,89.75,90.15,721,64.91
2025-07-25,90.14,90.86,88.77,88.9,3783,89.32
2025-07-28,88.91,89.73,88.25,88.34,2772,69.55
2025-07-29,89.7,92.0,87.92,89.03,4784,46.97
2025-07-30,89.47,89.47,88.58,88.96,533,96.06
2025-07-31,91.18,91.18,88.0,88.77,2050,57.66
2025-08-01,88.33,89.04,87.67,87.85,2999,91.13
2025-08-04,89.67,89.67,85.75,88.55,4216,76.83
2025-08-05,88.7,88.7,87.9,88.57,1330,78.5
2025-08-06,86.79,88.58,86.79,87.72,5361,97.24
2025-08-07,87.72,87.89,86.99,87.81,4736,60.81
2025-08-08,86.05,88.13,86.05,87.14,1909,82.92
2025-08-11,84.96,88.51,84.96,87.93,3118,54.49
2025-08-12,88.36,88.53,86.17,87.53,2114,55.53
2025-08-13,87.97,88.51,87.86,88.48,1143,82.85
2025-08-14,86.26,89.47,86.26,88.26,1090,68.53
2025-08-18,88.26,89.91,88.26,89.28,4178,43.66
2025-08-19,89.29,90.1,88.93,89.9,1707,76.63
2025-08-20,88.81,90.73,88.81,90.36,2843,98.42
2025-08-21,92.61,92.61,89.38,90.37,2431,45.82
2025-08-22,90.0,90.28,89.38,89.96,3989,79.94
2025-08-25,92.66,92.66,87.71,89.7,1966,68.31
2025-08-26,89.6,90.14,88.48,89.15,3844,59.03
2025-08-28,89.59,89.59,87.83,87.84,4932,94.22
2025-08-29,87.83,88.48,86.23,87.62,4317,53.63
2025-09-01,88.05,88.93,87.56,88.93,3486,75.65
2025-09-02,89.37,89.51,88.48,88.84,3120,42.66
2025-09-03,89.82,90.36,88.7,89.27,1338,94.54
2025-09-04,89.91,90.28,88.93,89.24,1347,60.43
2025-09-05,89.68,89.68,88.5,88.86,2174,84.31
2025-09-08,91.53,91.53,86.63,89.19,1467,87.53
2025-09-09,88.78,89.6,88.78,89.33,2745,82.51
2025-09-10,88.8,90.45,88.8,90.31,2146,66.73
2025-09-11,90.01,90.73,90.01,90.39,684,83.48
2025-09-12,90.24,90.73,90.16,90.51,4942,69.95
2025-09-15,91.0,91.97,90.36,90.75,3260,64.88
2025-09-16,93.01,93.01,88.03,91.05,11561,80.28
2025-09-17,90.91,102.25,90.59,93.42,13614,79.26
2025-09-18,92.96,92.96,91.01,91.87,35437,61.13
2025-09-19,92.32,92.32,91.68,92.1,7130,73.23
2025-09-22,91.11,92.57,91.11,92.23,6257,89.02
2025-09-23,89.92,93.47,89.92,91.84,4159,73.91
2025-09-24,92.49,92.49,90.65,90.69,5111,85.6
2025-09-25,91.14,91.14,89.83,90.06,2580,93.1
2025-09-26,90.0,90.0,88.3,88.49,10758,89.39
2025-09-29,86.27,89.97,86.27,88.91,6571,46.87
2025-09-30,88.91,89.38,88.41,88.71,1747,77.62
2025-10-01,86.49,89.78,86.49,89.36,1065,63.0
2025-10-03,89.35,90.8,88.93,89.47,1551,78.34
2025-10-06,89.96,90.28,88.13,90.23,4491,68.89
2025-10-07,87.97,90.98,87.97,90.23,1669,58.66
2025-10-08,90.23,91.17,87.97,90.04,5375,71.22
2025-10-09,92.74,92.74,89.38,90.0,1467,64.55
2025-10-10,90.45,91.18,90.27,91.04,10569,58.31
2025-10-13,91.04,94.08,90.51,90.62,24577,85.41
2025-10-14,91.9,91.9,90.3,91.12,2255,65.19
2025-10-15,91.15,91.75,90.74,91.51,3763,75.29
2025-10-16,92.39,92.4,90.27,91.98,15092,42.67
2025-10-17,90.28,92.08,90.28,91.59,3056,73.66
