DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,209.9,211.95,204.5,211.18,510191,39.99
2025-04-15,215.05,223.1,214.3,221.74,335111,42.09
2025-04-16,221.07,225.0,219.0,221.64,241709,41.99
2025-04-17,223.3,227.73,218.52,225.93,300749,34.4
2025-04-21,226.5,230.0,224.41,226.89,246632,43.16
2025-04-22,227.3,232.28,227.2,228.58,246919,42.91
2025-04-23,230.0,232.64,225.09,230.34,219173,34.55
2025-04-24,230.3,250.0,228.81,245.41,1218580,28.93
2025-04-25,245.0,245.05,230.41,234.28,553941,36.06
2025-04-28,234.9,236.9,224.98,226.05,446068,34.96
2025-04-29,228.8,229.8,224.1,225.6,226089,34.91
2025-04-30,225.0,226.59,218.03,219.13,323205,43.32
2025-05-02,219.55,224.8,217.68,222.07,291981,34.18
2025-05-05,224.0,226.02,219.47,224.24,204387,33.69
2025-05-06,223.29,225.4,211.5,212.54,400399,54.59
2025-05-07,212.54,219.44,211.51,218.2,478688,27.86
2025-05-08,218.2,226.48,217.01,219.47,323635,40.79
2025-05-09,212.5,221.95,212.5,221.4,317956,48.07
2025-05-12,229.04,234.9,226.01,233.55,398414,48.21
2025-05-13,235.0,240.99,231.85,240.45,583430,63.87
2025-05-14,241.4,245.0,237.75,243.32,303557,45.27
2025-05-15,242.0,248.9,240.05,246.46,280110,44.5
2025-05-16,248.8,254.01,243.31,250.85,518266,57.81
2025-05-19,252.0,261.0,251.06,253.79,524372,46.51
2025-05-20,255.74,256.49,245.14,246.63,254010,48.91
2025-05-21,247.4,252.5,243.76,249.86,229774,42.21
2025-05-22,248.8,253.0,246.5,248.59,496327,41.82
2025-05-23,249.7,249.7,241.3,241.83,318905,54.14
2025-05-26,242.05,263.5,242.0,260.25,1495772,27.17
2025-05-27,260.3,261.53,252.25,253.59,467583,37.48
2025-05-28,253.6,260.19,252.86,253.47,307537,40.49
2025-05-29,254.8,255.99,250.51,251.75,208371,41.07
2025-05-30,253.0,257.59,247.31,254.12,324806,29.11
2025-06-02,255.05,256.95,252.0,253.25,170019,47.8
2025-06-03,253.35,255.45,248.4,249.6,174512,40.2
2025-06-04,250.0,256.0,246.5,252.8,361486,37.06
2025-06-05,252.8,257.0,251.6,252.8,191896,48.07
2025-06-06,259.0,261.6,251.5,253.75,347930,43.65
2025-06-09,256.0,257.3,251.15,252.9,260232,51.07
2025-06-10,253.9,261.7,253.65,256.75,278086,41.56
2025-06-11,258.1,268.0,254.85,259.0,960627,42.88
2025-06-12,262.5,265.0,254.0,255.5,490400,29.89
2025-06-13,250.0,253.15,245.05,251.45,388058,36.86
2025-06-16,252.8,253.25,240.6,246.0,556848,36.99
2025-06-17,246.0,252.8,239.9,240.4,336519,46.35
2025-06-18,241.0,242.3,236.0,237.8,286429,50.2
2025-06-19,239.0,239.7,231.7,233.9,342109,43.2
2025-06-20,230.0,236.0,229.7,233.3,253754,42.54
2025-06-23,231.2,234.35,228.95,231.0,475201,39.35
2025-06-24,233.9,239.35,232.85,233.8,212407,43.78
2025-06-25,235.9,241.6,235.0,240.3,329837,45.74
2025-06-26,241.4,242.6,237.45,238.5,222742,47.91
2025-06-27,239.7,241.15,236.6,237.15,454125,71.81
2025-06-30,238.2,240.2,237.15,238.6,163443,48.66
2025-07-01,238.7,239.75,235.2,236.37,195900,50.5
2025-07-02,237.01,238.5,232.65,235.94,184077,48.25
2025-07-03,236.8,238.75,234.11,237.34,128080,43.13
2025-07-04,237.34,239.48,235.36,238.13,141405,44.59
2025-07-07,238.19,242.35,232.2,235.75,254348,38.48
2025-07-08,238.0,241.75,232.66,238.27,373672,36.09
2025-07-09,235.5,241.0,235.5,239.44,248122,49.89
2025-07-10,239.0,244.58,238.25,241.37,270650,45.8
2025-07-11,240.0,244.0,235.1,236.74,254073,43.49
2025-07-14,235.0,239.75,234.15,235.96,164877,39.06
2025-07-15,235.96,241.27,235.96,239.97,202760,46.1
2025-07-16,239.8,244.43,239.06,241.65,177569,51.1
2025-07-17,241.75,244.9,240.48,243.48,257026,53.76
2025-07-18,243.65,248.0,242.5,246.38,347939,47.38
2025-07-21,246.38,247.06,238.5,239.66,224451,46.16
2025-07-22,239.81,242.85,235.32,235.85,167667,48.06
2025-07-23,236.44,241.95,235.0,241.13,232452,41.82
2025-07-24,242.0,242.99,238.9,241.01,145343,44.28
2025-07-25,242.0,242.3,230.78,232.88,204538,46.65
2025-07-28,231.7,239.0,230.31,233.81,199645,46.35
2025-07-29,234.0,235.33,229.54,234.46,120462,44.06
2025-07-30,234.0,237.25,232.0,235.15,115481,50.83
2025-07-31,228.0,231.5,224.87,227.72,284889,48.63
2025-08-01,226.0,231.5,223.0,224.32,226181,53.86
2025-08-04,224.32,229.28,223.19,228.39,154818,47.08
2025-08-05,228.75,229.89,220.0,220.31,275094,53.96
2025-08-06,225.31,229.24,219.5,220.64,443678,31.32
2025-08-07,219.99,221.8,213.87,218.18,247084,42.89
2025-08-08,218.25,222.99,217.9,220.64,162738,40.13
2025-08-11,220.0,222.2,216.5,221.18,197686,48.33
2025-08-12,222.0,223.5,215.0,216.63,162727,47.08
2025-08-13,219.1,221.62,216.0,216.95,131349,47.57
2025-08-14,217.97,218.49,212.4,213.33,197374,49.58
2025-08-18,220.0,224.28,216.51,221.16,237426,51.68
2025-08-19,222.2,224.0,220.2,222.27,89814,51.0
2025-08-20,222.5,225.75,220.48,224.5,131429,47.58
2025-08-21,224.49,225.59,217.39,219.62,181101,53.66
2025-08-22,219.62,219.8,216.77,217.43,105367,58.0
2025-08-25,217.11,218.94,215.5,215.66,99547,59.51
2025-08-26,215.16,217.15,204.1,207.71,316376,63.7
2025-08-28,206.1,215.75,203.0,211.24,1128213,12.98
2025-08-29,212.1,212.7,202.1,204.26,219628,47.35
2025-09-01,205.3,227.0,204.6,218.09,1943434,8.87
2025-09-02,216.0,221.09,213.63,219.59,224596,29.82
2025-09-03,218.92,221.5,217.51,220.72,130641,51.37
2025-09-04,220.72,223.0,218.1,220.18,132495,52.81
2025-09-05,219.9,219.9,214.59,216.51,145165,47.36
2025-09-08,217.58,233.06,216.77,228.32,295777,55.2
2025-09-09,230.01,247.48,230.01,238.19,1628824,24.3
2025-09-10,245.75,245.75,233.13,238.6,340217,29.97
2025-09-11,238.8,239.4,231.6,233.12,277879,48.44
2025-09-12,232.71,234.68,230.61,233.03,144514,43.94
2025-09-15,234.28,242.19,232.61,237.99,294985,44.28
2025-09-16,239.39,258.79,238.28,249.55,2718613,22.21
2025-09-17,251.55,254.5,248.89,253.18,405906,41.36
2025-09-18,253.0,259.27,250.97,254.71,424452,45.93
2025-09-19,254.01,254.01,246.0,247.34,549070,60.28
2025-09-22,248.12,254.8,245.61,250.7,339787,36.04
2025-09-23,249.75,251.55,245.6,247.16,171792,41.6
2025-09-24,246.05,247.99,243.9,245.31,128610,36.99
2025-09-25,244.0,246.5,239.9,241.02,167325,46.85
2025-09-26,240.0,241.99,229.42,232.48,241900,51.53
2025-09-29,232.69,233.78,226.11,226.87,189576,45.23
2025-09-30,226.97,230.0,224.0,225.29,173063,46.95
2025-10-01,225.0,228.7,224.91,227.05,148260,49.92
2025-10-03,227.05,229.2,223.1,225.63,272044,48.9
2025-10-06,226.05,226.69,221.1,222.59,312917,52.77
2025-10-07,222.3,225.0,218.73,219.95,213816,53.79
2025-10-08,219.71,222.3,217.8,218.77,149715,46.48
2025-10-09,218.7,220.95,216.9,218.98,239585,49.29
2025-10-10,218.99,226.0,218.12,224.97,498133,47.37
2025-10-13,225.7,225.7,219.56,220.42,159781,53.27
2025-10-14,220.38,221.79,215.0,218.24,207615,58.07
2025-10-15,217.35,229.0,217.35,224.33,445863,60.86
2025-10-16,225.5,225.59,222.0,222.77,167762,59.64
2025-10-17,222.1,223.0,219.25,221.16,135050,52.42
2025-10-20,221.17,225.0,218.51,223.82,155812,46.21
2025-10-21,225.0,226.0,222.98,224.96,35447,64.72
2025-10-22,225.0,226.0,222.98,224.96,35447,64.72
2025-10-23,228.5,241.98,226.01,234.22,1421590,35.06
2025-10-24,234.12,241.4,232.0,238.73,496448,40.96
