DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-07-03,33.32,33.38,32.92,33.2,160945,79.43
2026-07-06,33.21,33.44,32.78,33.13,83003,84.12
2026-07-07,32.97,33.13,32.8,32.96,53832,77.14
2026-07-08,32.96,32.96,32.3,32.35,107467,45.56
2026-07-09,32.35,32.7,32.35,32.48,66220,72.91
2026-07-10,32.86,32.95,32.42,32.82,102029,70.32
2026-07-13,32.52,33.07,32.32,32.86,85694,69.8
2026-07-14,33.68,33.68,32.62,32.66,38101,56.76
2026-07-15,32.97,32.97,32.52,32.64,37476,50.38
2026-07-16,32.53,32.96,32.48,32.68,55743,48.88
2026-07-17,32.6,32.96,32.38,32.62,116329,64.12
2026-07-20,33.27,33.47,32.71,32.92,68001,54.41
2026-07-21,32.4,33.19,32.4,33.09,43237,60.43
2026-07-22,33.09,33.1,32.75,32.79,82514,62.31
2026-07-23,32.81,32.98,32.4,32.52,78608,53.55
2026-07-24,32.53,32.78,32.18,32.55,66296,52.62
2026-07-27,32.55,32.87,32.5,32.77,89466,44.49
2026-07-28,32.86,32.86,32.4,32.46,87110,56.05
2026-07-29,32.62,32.87,32.55,32.81,76060,51.02
2026-07-30,32.87,32.87,32.44,32.78,104341,54.9
2026-07-31,32.68,33.25,32.58,33.06,48726,60.9
2026-08-03,33.06,33.37,32.76,33.18,59247,65.44
2026-08-04,33.06,33.5,32.52,33.3,151592,71.78
2026-08-05,33.54,33.57,33.3,33.4,112721,74.88
2026-08-07,33.59,33.67,33.36,33.59,151885,91.03
2026-08-10,33.67,33.67,33.32,33.36,38666,67.74
2026-08-11,33.45,33.48,33.12,33.2,63470,65.73
2026-08-12,33.34,33.57,33.19,33.3,31134,51.03
2026-08-13,33.36,33.36,33.18,33.28,39105,87.19
2026-08-14,33.44,33.44,32.83,32.96,106516,73.05
2026-08-17,33.38,33.38,32.84,32.99,65120,64.74
2026-08-18,33.15,33.24,32.9,33.1,26765,51.87
2026-08-19,33.15,33.26,32.55,32.6,144398,59.9
2026-08-20,33.41,33.41,32.5,32.57,56022,71.63
2026-08-21,32.86,32.89,32.7,32.75,99963,59.53
2026-08-24,33.56,33.56,32.72,32.8,173666,51.49
2026-08-25,32.94,32.94,32.7,32.83,68537,73.88
2026-08-26,32.83,33.53,32.75,33.22,77078,56.65
2026-08-27,34.05,34.05,32.7,32.77,69748,65.5
2026-08-28,32.89,32.97,32.8,32.82,37478,58.79
2026-08-31,32.73,32.97,32.5,32.68,104604,34.91
2026-09-01,33.49,33.49,32.51,32.58,37622,63.19
2026-09-02,32.78,32.78,32.27,32.57,193282,60.59
2026-09-03,33.18,33.18,32.62,32.71,52202,54.52
2026-09-04,32.6,32.9,32.55,32.88,20010,71.51
2026-09-07,33.7,33.7,32.56,32.8,91408,55.41
2026-09-08,32.2,33.03,32.2,32.62,19912,61.51
2026-09-09,32.85,32.97,32.6,32.73,46207,61.93
2026-09-10,32.73,32.86,32.16,32.54,122454,54.02
2026-09-11,33.03,33.03,32.26,32.47,66956,93.49
2026-09-14,33.03,33.03,32.26,32.47,66956,93.49
2026-09-15,32.88,32.88,31.8,31.9,98731,52.54
2026-09-16,31.93,32.28,31.62,31.96,107751,53.28
2026-09-17,32.11,32.2,31.94,32.03,40405,80.59
2026-09-18,32.1,32.25,32.0,32.13,39037,55.5
2026-09-21,32.13,32.47,32.01,32.16,38978,53.84
2026-09-22,32.43,32.43,32.0,32.04,116290,85.99
2026-09-23,32.36,32.64,32.2,32.48,34078,77.68
2026-09-24,32.48,32.64,32.04,32.18,42653,55.16
2026-09-25,32.58,32.58,32.0,32.13,45619,68.87
