DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2025-04-11,41.91,41.91,40.79,41.24,32894,72.24
2025-04-15,41.68,42.7,41.2,41.81,36739,63.84
2025-04-16,42.7,43.45,42.0,42.97,35883,61.34
2025-04-17,42.55,44.49,42.55,43.59,41091,58.6
2025-04-21,43.7,44.88,43.25,44.18,52082,71.24
2025-04-22,44.85,44.85,44.18,44.46,22861,60.5
2025-04-23,44.46,45.04,43.46,44.21,32294,53.32
2025-04-24,44.3,44.87,44.27,44.38,12650,77.42
2025-04-25,44.38,44.63,42.39,43.13,34217,66.25
2025-04-28,43.14,43.73,42.27,42.88,30393,72.41
2025-04-29,42.54,43.74,41.99,42.27,42795,61.13
2025-04-30,42.27,43.09,41.8,42.12,36847,31.31
2025-05-02,42.9,42.9,42.0,42.22,16981,71.01
2025-05-05,42.0,42.26,41.6,41.86,20793,71.12
2025-05-06,41.86,42.03,40.05,40.18,33510,66.43
2025-05-07,39.48,40.94,39.48,40.41,24335,64.46
2025-05-08,40.8,42.8,40.66,41.65,88914,49.29
2025-05-09,41.0,41.44,39.96,40.14,44574,53.27
2025-05-12,40.95,42.55,40.95,41.88,30656,61.05
2025-05-13,42.16,42.16,41.49,41.73,24285,78.83
2025-05-14,42.18,42.89,42.0,42.7,34192,69.43
2025-05-15,43.0,43.8,42.84,43.18,47652,84.59
2025-05-16,44.0,44.0,43.01,43.44,33011,63.25
2025-05-19,43.49,44.89,43.45,43.8,50084,55.57
2025-05-20,44.85,44.85,43.51,43.54,51393,66.9
2025-05-21,44.05,44.24,43.1,43.36,27121,57.08
2025-05-22,43.61,44.03,43.3,43.38,23153,53.21
2025-05-23,44.1,44.1,43.01,43.16,19974,57.89
2025-05-26,43.89,43.89,43.2,43.26,19249,67.45
2025-05-27,43.5,44.0,43.3,43.49,30687,59.29
2025-05-28,43.98,44.86,43.51,43.99,30348,75.72
2025-05-29,44.15,45.0,43.76,44.53,43319,67.85
2025-05-30,44.53,45.99,44.53,45.06,74255,55.36
2025-06-02,45.06,45.41,44.32,44.53,30404,67.57
2025-06-03,45.18,45.18,44.06,44.19,15834,61.72
2025-06-04,43.9,44.75,43.11,44.24,22866,64.24
2025-06-05,45.9,45.9,43.68,44.09,30654,69.07
2025-06-06,44.07,44.94,44.07,44.36,17387,62.59
2025-06-09,44.36,45.14,44.21,44.57,27041,69.69
2025-06-10,44.57,45.2,44.46,44.52,29266,63.11
2025-06-11,44.96,48.0,44.06,47.07,157363,53.48
2025-06-12,47.15,48.87,45.28,46.21,73830,61.51
2025-06-13,45.26,45.64,44.72,45.03,63407,59.99
2025-06-16,45.05,45.56,44.6,44.81,19056,70.36
2025-06-17,45.45,45.76,44.71,44.95,26777,54.61
2025-06-18,45.15,45.5,43.8,43.98,39421,71.92
2025-06-19,43.9,44.49,42.11,42.55,37004,71.05
2025-06-20,43.0,43.9,42.25,43.33,26767,42.84
2025-06-23,43.3,43.94,42.31,42.43,50262,65.33
2025-06-24,43.49,44.56,43.08,43.72,43023,75.66
2025-06-25,44.5,47.49,43.86,46.7,139187,50.97
2025-06-26,47.4,52.9,46.01,50.37,197702,61.8
2025-06-27,50.37,50.37,48.0,48.5,77762,65.03
2025-06-30,49.36,49.36,48.06,48.71,18717,62.5
2025-07-01,49.69,51.34,48.41,50.18,65421,72.35
2025-07-02,50.97,50.97,48.6,49.14,61595,50.51
2025-07-03,49.89,49.89,48.56,48.7,38582,62.83
2025-07-04,49.5,49.51,47.07,47.42,38141,60.25
2025-07-07,47.42,48.28,47.42,48.0,18978,65.71
2025-07-08,48.07,51.9,48.06,49.95,196263,36.07
