DATE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,DELIV_PER
2026-06-30,40.8,42.3,39.41,40.28,47764781,51.89
2026-07-01,40.39,47.24,39.84,44.21,208285426,37.04
2026-07-02,44.8,49.49,44.58,48.64,180663243,30.16
2026-07-03,49.0,49.88,44.5,45.71,158538274,34.91
2026-07-06,45.49,46.31,42.71,43.01,55423682,44.15
2026-07-07,43.0,43.2,41.44,41.82,34850256,46.64
2026-07-08,41.36,43.2,40.52,40.74,67057540,34.85
2026-07-09,41.7,42.03,40.32,41.18,36325807,30.18
2026-07-10,41.5,42.76,41.11,41.83,44361003,32.2
2026-07-13,41.5,42.49,41.11,41.43,36357613,39.07
2026-07-14,41.41,41.41,40.0,40.04,30277448,55.35
2026-07-15,40.3,40.72,39.1,39.18,26638228,50.17
2026-07-16,39.23,40.05,39.06,39.33,17604386,35.84
2026-07-17,39.33,39.45,37.1,37.9,37963969,49.27
2026-07-20,38.0,38.55,37.22,38.31,21099591,42.2
2026-07-21,38.41,38.47,37.64,37.79,10110519,47.95
2026-07-22,37.7,37.7,35.2,35.38,28104044,52.63
2026-07-23,35.2,36.14,34.45,34.65,20779854,36.23
2026-07-24,34.54,35.42,33.88,35.01,20588022,32.36
2026-07-27,35.74,37.43,35.41,36.97,23415598,37.44
2026-07-28,37.19,37.19,35.45,35.66,15136629,40.68
2026-07-29,36.0,36.26,34.7,35.32,16950302,43.71
2026-07-30,34.5,35.17,33.66,33.82,32094523,49.8
2026-07-31,34.0,35.54,33.06,34.52,31142945,32.37
2026-08-03,34.9,35.64,34.45,35.2,18829447,45.99
2026-08-04,35.1,36.48,34.91,35.62,31685114,38.77
2026-08-05,36.1,36.8,35.2,35.47,24311532,40.65
2026-08-07,35.7,36.35,35.3,35.46,15005706,47.77
2026-08-10,35.46,37.71,34.95,36.5,68918280,36.73
2026-08-11,36.7,37.68,36.0,36.61,49965525,37.46
2026-08-12,36.5,37.15,36.36,36.75,22883820,39.53
2026-08-13,36.9,37.1,36.52,36.88,16618372,45.58
2026-08-14,36.72,37.02,36.38,36.54,10410449,56.45
2026-08-17,36.5,36.98,36.08,36.59,9962371,51.04
2026-08-18,36.49,37.14,36.13,36.18,17816221,49.59
2026-08-19,36.19,36.27,35.73,35.87,9691147,61.23
